time,BOARD.HB_51.board_type
2026-03-06 13:18:50.023132,4
2026-03-06 13:18:51.031808,4
2026-03-06 13:18:52.04003,4
2026-03-06 13:18:53.048157,4
2026-03-06 13:18:54.057431,4
2026-03-06 13:18:55.066072,4
2026-03-06 13:18:56.066047,4
2026-03-06 13:18:57.067197,4
2026-03-06 13:18:58.076006,4
2026-03-06 13:18:59.084825,4
2026-03-06 13:19:00.09315,4
2026-03-06 13:19:01.102985,4
2026-03-06 13:19:02.105687,4
2026-03-06 13:19:03.115384,4
2026-03-06 13:19:04.12485,4
2026-03-06 13:19:05.134139,4
2026-03-06 13:19:06.142672,4
2026-03-06 13:19:07.153012,4
2026-03-06 13:19:08.162685,4
2026-03-06 13:19:09.163169,4
2026-03-06 13:19:10.163537,4
2026-03-06 13:19:11.163754,4
2026-03-06 13:19:12.173667,4
2026-03-06 13:19:13.182524,4
2026-03-06 13:19:14.191781,4
2026-03-06 13:19:15.192093,4
2026-03-06 13:19:16.201365,4
2026-03-06 13:19:17.209105,4
2026-03-06 13:19:18.218576,4
2026-03-06 13:19:19.219187,4
2026-03-06 13:19:20.220103,4
2026-03-06 13:19:21.229175,4
2026-03-06 13:19:22.238621,4
2026-03-06 13:19:23.248124,4
2026-03-06 13:19:24.257835,4
2026-03-06 13:19:25.266655,4
2026-03-06 13:19:26.276335,4
2026-03-06 13:19:27.286325,4
2026-03-06 13:19:28.286318,4
2026-03-06 13:19:29.286839,4
2026-03-06 13:19:30.2943,4
2026-03-06 13:19:31.304319,4
2026-03-06 13:19:32.305462,4
2026-03-06 13:19:33.313951,4
2026-03-06 13:19:34.323695,4
2026-03-06 13:19:35.323848,4
2026-03-06 13:19:36.332718,4
2026-03-06 13:19:37.333458,4
2026-03-06 13:19:38.34139,4
2026-03-06 13:19:39.35109,4
2026-03-06 13:19:40.351391,4
2026-03-06 13:19:41.351543,4
2026-03-06 13:19:42.352353,4
2026-03-06 13:19:43.361938,4
2026-03-06 13:19:44.371574,4
2026-03-06 13:19:45.381451,4
2026-03-06 13:19:46.390581,4
2026-03-06 13:19:47.390889,4
2026-03-06 13:19:48.392378,4
2026-03-06 13:19:49.392919,4
2026-03-06 13:19:50.401413,4
2026-03-06 13:19:51.410248,4
2026-03-06 13:19:52.418671,4
2026-03-06 13:19:53.427951,4
2026-03-06 13:19:54.43737,4
2026-03-06 13:19:55.446469,4
2026-03-06 13:19:56.456321,4
2026-03-06 13:19:57.466237,4
2026-03-06 13:19:58.475638,4
2026-03-06 13:19:59.475674,4
2026-03-06 13:20:00.476862,4
2026-03-06 13:20:01.480102,4
2026-03-06 13:20:02.480685,4
2026-03-06 13:20:03.481224,4
2026-03-06 13:20:04.491271,4
2026-03-06 13:20:05.50055,4
2026-03-06 13:20:06.50916,4
2026-03-06 13:20:07.518732,4
2026-03-06 13:20:08.528883,4
2026-03-06 13:20:09.529396,4
2026-03-06 13:20:10.538987,4
2026-03-06 13:20:11.547391,4
2026-03-06 13:20:12.547718,4
2026-03-06 13:20:13.548054,4
2026-03-06 13:20:14.557498,4
2026-03-06 13:20:15.567007,4
2026-03-06 13:20:16.576112,4
2026-03-06 13:20:17.585057,4
2026-03-06 13:20:18.594439,4
2026-03-06 13:20:19.603219,4
2026-03-06 13:20:20.611785,4
2026-03-06 13:20:21.621401,4
2026-03-06 13:20:22.630729,4
2026-03-06 13:20:23.640509,4
2026-03-06 13:20:24.641331,4
2026-03-06 13:20:25.651018,4
2026-03-06 13:20:26.65947,4
2026-03-06 13:20:27.668932,4
2026-03-06 13:20:28.678842,4
2026-03-06 13:20:29.687982,4
2026-03-06 13:20:30.697013,4
2026-03-06 13:20:31.705622,4
2026-03-06 13:20:32.715416,4
2026-03-06 13:20:33.723255,4
2026-03-06 13:20:34.723641,4
2026-03-06 13:20:35.723967,4
2026-03-06 13:20:36.724482,4
2026-03-06 13:20:37.733119,4
2026-03-06 13:20:38.74213,4
2026-03-06 13:20:39.752072,4
2026-03-06 13:20:40.752934,4
2026-03-06 13:20:41.752916,4
2026-03-06 13:20:42.760619,4
2026-03-06 13:20:43.761268,4
2026-03-06 13:20:44.76133,4
2026-03-06 13:20:45.761976,4
2026-03-06 13:20:46.770298,4
2026-03-06 13:20:47.771428,4
2026-03-06 13:20:48.779714,4
2026-03-06 13:20:49.780186,4
2026-03-06 13:20:50.789795,4
2026-03-06 13:20:51.79903,4
2026-03-06 13:20:52.799838,4
2026-03-06 13:20:53.808583,4
2026-03-06 13:20:54.809824,4
2026-03-06 13:20:55.818492,4
2026-03-06 13:20:56.82803,4
2026-03-06 13:20:57.837571,4
2026-03-06 13:20:58.846561,4
2026-03-06 13:20:59.856398,4
2026-03-06 13:21:00.866478,4
2026-03-06 13:21:01.875201,4
2026-03-06 13:21:02.883961,4
2026-03-06 13:21:03.893145,4
2026-03-06 13:21:04.902967,4
2026-03-06 13:21:05.912635,4
2026-03-06 13:21:06.922291,4
2026-03-06 13:21:07.922916,4
2026-03-06 13:21:08.931664,4
2026-03-06 13:21:09.94173,4
2026-03-06 13:21:10.95174,4
2026-03-06 13:21:11.961818,4
2026-03-06 13:21:12.961508,4
2026-03-06 13:21:13.971087,4
2026-03-06 13:21:14.979525,4
2026-03-06 13:21:15.979964,4
2026-03-06 13:21:16.990584,4
2026-03-06 13:21:17.999941,4
2026-03-06 13:21:19.008696,4
2026-03-06 13:21:20.0184,4
2026-03-06 13:21:21.018517,4
2026-03-06 13:21:22.028194,4
2026-03-06 13:21:23.028249,4
2026-03-06 13:21:24.038408,4
2026-03-06 13:21:25.047069,4
2026-03-06 13:21:26.056594,4
2026-03-06 13:21:27.066422,4
2026-03-06 13:21:28.074543,4
2026-03-06 13:21:29.07611,4
2026-03-06 13:21:30.076282,4
2026-03-06 13:21:31.085246,4
2026-03-06 13:21:32.085672,4
2026-03-06 13:21:33.094582,4
2026-03-06 13:21:34.094823,4
2026-03-06 13:21:35.104397,4
2026-03-06 13:21:36.10486,4
2026-03-06 13:21:37.104656,4
2026-03-06 13:21:38.113381,4
2026-03-06 13:21:39.122827,4
2026-03-06 13:21:40.130985,4
2026-03-06 13:21:41.140593,4
2026-03-06 13:21:42.141816,4
2026-03-06 13:21:43.150273,4
2026-03-06 13:21:44.159952,4
2026-03-06 13:21:45.159613,4
2026-03-06 13:21:46.169274,4
2026-03-06 13:21:47.170389,4
2026-03-06 13:21:48.178926,4
2026-03-06 13:21:49.188144,4
2026-03-06 13:21:50.197181,4
2026-03-06 13:21:51.197614,4
2026-03-06 13:21:52.207046,4
2026-03-06 13:21:53.215841,4
2026-03-06 13:21:54.226099,4
2026-03-06 13:21:55.235327,4
2026-03-06 13:21:56.243141,4
2026-03-06 13:21:57.251459,4
2026-03-06 13:21:58.251823,4
2026-03-06 13:21:59.260543,4
2026-03-06 13:22:00.268154,4
2026-03-06 13:22:01.277843,4
2026-03-06 13:22:02.28663,4
2026-03-06 13:22:03.295605,4
2026-03-06 13:22:04.305219,4
2026-03-06 13:22:05.314668,4
2026-03-06 13:22:06.324566,4
2026-03-06 13:22:07.333515,4
2026-03-06 13:22:08.342457,4
2026-03-06 13:22:09.350691,4
2026-03-06 13:22:10.351134,4
2026-03-06 13:22:11.351384,4
2026-03-06 13:22:12.351472,4
2026-03-06 13:22:13.36069,4
2026-03-06 13:22:14.360555,4
2026-03-06 13:22:15.369652,4
2026-03-06 13:22:16.378292,4
2026-03-06 13:22:17.387936,4
2026-03-06 13:22:18.388787,4
2026-03-06 13:22:19.3885,4
2026-03-06 13:22:20.391321,4
2026-03-06 13:22:21.392169,4
2026-03-06 13:22:22.399976,4
2026-03-06 13:22:23.408416,4
2026-03-06 13:22:24.416432,4
2026-03-06 13:22:25.416038,4
2026-03-06 13:22:26.424979,4
2026-03-06 13:22:27.434341,4
2026-03-06 13:22:28.437005,4
2026-03-06 13:22:29.445768,4
2026-03-06 13:22:30.455031,4
2026-03-06 13:22:31.454956,4
2026-03-06 13:22:32.463955,4
2026-03-06 13:22:33.474276,4
2026-03-06 13:22:34.482964,4
2026-03-06 13:22:35.491766,4
2026-03-06 13:22:36.50033,4
2026-03-06 13:22:37.510472,4
2026-03-06 13:22:38.51895,4
2026-03-06 13:22:39.528219,4
2026-03-06 13:22:40.537429,4
2026-03-06 13:22:41.547707,4
2026-03-06 13:22:42.54924,4
2026-03-06 13:22:43.55102,4
2026-03-06 13:22:44.553219,4
2026-03-06 13:22:45.555077,4
2026-03-06 13:22:46.563973,4
2026-03-06 13:22:47.565027,4
2026-03-06 13:22:48.575133,4
2026-03-06 13:22:49.584815,4
2026-03-06 13:22:50.594732,4
2026-03-06 13:22:51.604291,4
2026-03-06 13:22:52.604178,4
2026-03-06 13:22:53.614101,4
2026-03-06 13:22:54.623586,4
2026-03-06 13:22:55.631952,4
2026-03-06 13:22:56.641403,4
2026-03-06 13:22:57.650616,4
2026-03-06 13:22:58.659774,4
2026-03-06 13:22:59.669779,4
2026-03-06 13:23:00.679162,4
2026-03-06 13:23:01.688019,4
2026-03-06 13:23:02.688716,4
2026-03-06 13:23:03.698459,4
2026-03-06 13:23:04.707978,4
2026-03-06 13:23:05.717106,4
2026-03-06 13:23:06.716736,4
2026-03-06 13:23:07.72672,4
2026-03-06 13:23:08.735125,4
2026-03-06 13:23:09.745156,4
2026-03-06 13:23:10.755049,4
2026-03-06 13:23:11.76477,4
2026-03-06 13:23:12.7744,4
2026-03-06 13:23:13.774905,4
2026-03-06 13:23:14.784658,4
2026-03-06 13:23:15.793316,4
2026-03-06 13:23:16.802567,4
2026-03-06 13:23:17.8125,4
2026-03-06 13:23:18.812507,4
2026-03-06 13:23:19.815474,4
2026-03-06 13:23:20.823929,4
2026-03-06 13:23:21.832307,4
2026-03-06 13:23:22.842175,4
2026-03-06 13:23:23.851952,4
2026-03-06 13:23:24.861486,4
2026-03-06 13:23:25.861708,4
2026-03-06 13:23:26.861664,4
2026-03-06 13:23:27.871407,4
2026-03-06 13:23:28.871789,4
2026-03-06 13:23:29.872062,4
2026-03-06 13:23:30.881524,4
2026-03-06 13:23:31.882498,4
2026-03-06 13:23:32.891175,4
2026-03-06 13:23:33.900777,4
2026-03-06 13:23:34.910584,4
2026-03-06 13:23:35.91969,4
2026-03-06 13:23:36.928446,4
2026-03-06 13:23:37.937977,4
2026-03-06 13:23:38.938469,4
2026-03-06 13:23:39.939641,4
2026-03-06 13:23:40.939564,4
2026-03-06 13:23:41.949378,4
2026-03-06 13:23:42.949924,4
2026-03-06 13:23:43.959098,4
2026-03-06 13:23:44.968506,4
2026-03-06 13:23:45.977656,4
2026-03-06 13:23:46.978604,4
2026-03-06 13:23:47.987622,4
2026-03-06 13:23:48.988053,4
2026-03-06 13:23:49.997346,4
2026-03-06 13:23:51.006681,4
2026-03-06 13:23:52.016049,4
2026-03-06 13:23:53.026119,4
2026-03-06 13:23:54.035876,4
2026-03-06 13:23:55.037189,4
2026-03-06 13:23:56.046678,4
2026-03-06 13:23:57.048061,4
2026-03-06 13:23:58.057453,4
2026-03-06 13:23:59.066949,4
2026-03-06 13:24:00.075933,4
2026-03-06 13:24:01.084235,4
2026-03-06 13:24:02.094273,4
2026-03-06 13:24:03.103433,4
2026-03-06 13:24:04.113537,4
2026-03-06 13:24:05.122686,4
2026-03-06 13:24:06.130804,4
2026-03-06 13:24:07.140875,4
2026-03-06 13:24:08.150518,4
2026-03-06 13:24:09.160136,4
2026-03-06 13:24:10.162096,4
2026-03-06 13:24:11.172455,4
2026-03-06 13:24:12.180458,4
2026-03-06 13:24:13.18987,4
2026-03-06 13:24:14.197576,4
2026-03-06 13:24:15.207111,4
2026-03-06 13:24:16.216316,4
2026-03-06 13:24:17.216851,4
2026-03-06 13:24:18.218005,4
2026-03-06 13:24:19.227232,4
2026-03-06 13:24:20.227474,4
2026-03-06 13:24:21.236556,4
2026-03-06 13:24:22.236864,4
2026-03-06 13:24:23.245618,4
2026-03-06 13:24:24.25573,4
2026-03-06 13:24:25.255659,4
2026-03-06 13:24:26.256101,4
2026-03-06 13:24:27.258438,4
2026-03-06 13:24:28.268131,4
2026-03-06 13:24:29.277878,4
2026-03-06 13:24:30.286078,4
2026-03-06 13:24:31.295132,4
2026-03-06 13:24:32.30442,4
2026-03-06 13:24:33.314316,4
2026-03-06 13:24:34.323815,4
2026-03-06 13:24:35.324208,4
2026-03-06 13:24:36.325718,4
2026-03-06 13:24:37.334559,4
2026-03-06 13:24:38.342852,4
2026-03-06 13:24:39.350997,4
2026-03-06 13:24:40.36019,4
2026-03-06 13:24:41.370262,4
2026-03-06 13:24:42.370698,4
2026-03-06 13:24:43.379673,4
2026-03-06 13:24:44.380634,4
2026-03-06 13:24:45.388794,4
2026-03-06 13:24:46.397817,4
2026-03-06 13:24:47.407987,4
2026-03-06 13:24:48.408331,4
2026-03-06 13:24:49.417811,4
2026-03-06 13:24:50.426821,4
2026-03-06 13:24:51.427012,4
2026-03-06 13:24:52.427001,4
2026-03-06 13:24:53.427293,4
2026-03-06 13:24:54.427165,4
2026-03-06 13:24:55.436071,4
2026-03-06 13:24:56.438397,4
2026-03-06 13:24:57.448072,4
2026-03-06 13:24:58.448493,4
2026-03-06 13:24:59.45793,4
2026-03-06 13:25:00.467878,4
2026-03-06 13:25:01.475736,4
2026-03-06 13:25:02.476637,4
2026-03-06 13:25:03.477627,4
2026-03-06 13:25:04.477783,4
2026-03-06 13:25:05.478887,4
2026-03-06 13:25:06.48846,4
2026-03-06 13:25:07.498071,4
2026-03-06 13:25:08.506683,4
2026-03-06 13:25:09.515673,4
2026-03-06 13:25:10.525407,4
2026-03-06 13:25:11.53415,4
2026-03-06 13:25:12.544542,4
2026-03-06 13:25:13.553181,4
2026-03-06 13:25:14.562627,4
2026-03-06 13:25:15.572192,4
2026-03-06 13:25:16.581518,4
2026-03-06 13:25:17.590151,4
2026-03-06 13:25:18.600345,4
2026-03-06 13:25:19.609516,4
2026-03-06 13:25:20.618829,4
2026-03-06 13:25:21.618939,4
2026-03-06 13:25:22.628014,4
2026-03-06 13:25:23.637043,4
2026-03-06 13:25:24.645227,4
2026-03-06 13:25:25.65432,4
2026-03-06 13:25:26.663734,4
2026-03-06 13:25:27.672753,4
2026-03-06 13:25:28.682086,4
2026-03-06 13:25:29.683655,4
2026-03-06 13:25:30.691044,4
2026-03-06 13:25:31.691265,4
2026-03-06 13:25:32.691983,4
2026-03-06 13:25:33.692544,4
2026-03-06 13:25:34.69244,4
2026-03-06 13:25:35.701784,4
2026-03-06 13:25:36.711009,4
2026-03-06 13:25:37.719061,4
