time,PT.GN2_High.sample_ts_ms
2026-03-06 13:28:00.0285,3277154076
2026-03-06 13:28:00.129705,3277154177
2026-03-06 13:28:00.230471,3277154277
2026-03-06 13:28:00.331729,3277154378
2026-03-06 13:28:00.432911,3277154480
2026-03-06 13:28:00.533782,3277154580
2026-03-06 13:28:00.634667,3277154682
2026-03-06 13:28:00.735299,3277154782
2026-03-06 13:28:00.836655,3277154884
2026-03-06 13:28:00.937527,3277154984
2026-03-06 13:28:01.038632,3277155085
2026-03-06 13:28:01.139985,3277155187
2026-03-06 13:28:01.240778,3277155288
2026-03-06 13:28:01.34199,3277155389
2026-03-06 13:28:01.442633,3277155490
2026-03-06 13:28:01.543237,3277155590
2026-03-06 13:28:01.644349,3277155691
2026-03-06 13:28:01.746246,3277155793
2026-03-06 13:28:01.846843,3277155894
2026-03-06 13:28:01.947593,3277155994
2026-03-06 13:28:02.048111,3277156095
2026-03-06 13:28:02.148957,3277156196
2026-03-06 13:28:02.250002,3277156297
2026-03-06 13:28:02.3509,3277156398
2026-03-06 13:28:02.452364,3277156499
2026-03-06 13:28:02.553467,3277156600
2026-03-06 13:28:02.654184,3277156701
2026-03-06 13:28:02.755916,3277156802
2026-03-06 13:28:02.855813,3277156903
2026-03-06 13:28:02.956874,3277157004
2026-03-06 13:28:03.057554,3277157105
2026-03-06 13:28:03.15845,3277157206
2026-03-06 13:28:03.260014,3277157307
2026-03-06 13:28:03.360546,3277157408
2026-03-06 13:28:03.461785,3277157509
2026-03-06 13:28:03.562705,3277157610
2026-03-06 13:28:03.66382,3277157711
2026-03-06 13:28:03.765135,3277157811
2026-03-06 13:28:03.865259,3277157912
2026-03-06 13:28:03.966316,3277158013
2026-03-06 13:28:04.067765,3277158115
2026-03-06 13:28:04.168613,3277158216
2026-03-06 13:28:04.270034,3277158317
2026-03-06 13:28:04.37095,3277158418
2026-03-06 13:28:04.472106,3277158519
2026-03-06 13:28:04.57255,3277158619
2026-03-06 13:28:04.673527,3277158720
2026-03-06 13:28:04.775101,3277158821
2026-03-06 13:28:04.87541,3277158922
2026-03-06 13:28:04.975833,3277159023
2026-03-06 13:28:05.07698,3277159124
