time,PT.Fuel_Fill_Press.sample_ts_ms
2026-03-06 12:51:41.70912,3274975756
2026-03-06 12:51:41.809867,3274975857
2026-03-06 12:51:41.911159,3274975958
2026-03-06 12:51:42.012386,3274976059
2026-03-06 12:51:42.113315,3274976160
2026-03-06 12:51:42.214122,3274976261
2026-03-06 12:51:42.315599,3274976362
2026-03-06 12:51:42.416757,3274976463
2026-03-06 12:51:42.517663,3274976565
2026-03-06 12:51:42.618725,3274976666
2026-03-06 12:51:42.719852,3274976767
2026-03-06 12:51:42.821353,3274976868
2026-03-06 12:51:42.922191,3274976969
2026-03-06 12:51:43.023237,3274977070
2026-03-06 12:51:43.12396,3274977171
2026-03-06 12:51:43.224727,3274977272
2026-03-06 12:51:43.325482,3274977373
2026-03-06 12:51:43.426307,3274977474
2026-03-06 12:51:43.527426,3274977574
2026-03-06 12:51:43.628623,3274977675
2026-03-06 12:51:43.729538,3274977776
2026-03-06 12:51:43.830508,3274977877
2026-03-06 12:51:43.931438,3274977978
2026-03-06 12:51:44.031721,3274978079
2026-03-06 12:51:44.132873,3274978180
2026-03-06 12:51:44.233935,3274978281
2026-03-06 12:51:44.334741,3274978382
2026-03-06 12:51:44.436181,3274978483
2026-03-06 12:51:44.536826,3274978584
2026-03-06 12:51:44.637561,3274978685
2026-03-06 12:51:44.738698,3274978786
2026-03-06 12:51:44.839491,3274978887
2026-03-06 12:51:44.940585,3274978988
2026-03-06 12:51:45.042136,3274979089
2026-03-06 12:51:45.143142,3274979190
2026-03-06 12:51:45.244089,3274979291
2026-03-06 12:51:45.344549,3274979392
2026-03-06 12:51:45.445763,3274979492
2026-03-06 12:51:45.546633,3274979593
2026-03-06 12:51:45.648,3274979695
2026-03-06 12:51:45.749297,3274979796
2026-03-06 12:51:45.849876,3274979897
2026-03-06 12:51:45.950924,3274979998
2026-03-06 12:51:46.051627,3274980099
2026-03-06 12:51:46.15256,3274980200
2026-03-06 12:51:46.253835,3274980300
