time,PT.Ox_Downstream.status
2026-03-06 14:53:56.658808,0
2026-03-06 14:53:56.760204,0
2026-03-06 14:53:56.860755,0
2026-03-06 14:53:56.961975,0
2026-03-06 14:53:57.062607,0
2026-03-06 14:53:57.164059,0
2026-03-06 14:53:57.264999,0
2026-03-06 14:53:57.366225,0
2026-03-06 14:53:57.466872,0
2026-03-06 14:53:57.567628,0
2026-03-06 14:53:57.669141,0
2026-03-06 14:53:57.769862,0
2026-03-06 14:53:57.871115,0
2026-03-06 14:53:57.971742,0
2026-03-06 14:53:58.073083,0
2026-03-06 14:53:58.174263,0
2026-03-06 14:53:58.275212,0
2026-03-06 14:53:58.376041,0
2026-03-06 14:53:58.476964,0
2026-03-06 14:53:58.578404,0
2026-03-06 14:53:58.678991,0
2026-03-06 14:53:58.779685,0
2026-03-06 14:53:58.880699,0
2026-03-06 14:53:58.981819,0
2026-03-06 14:53:59.082848,0
2026-03-06 14:53:59.183747,0
2026-03-06 14:53:59.285145,0
2026-03-06 14:53:59.386,0
2026-03-06 14:53:59.487166,0
2026-03-06 14:53:59.588013,0
2026-03-06 14:53:59.690613,0
2026-03-06 14:53:59.791263,0
2026-03-06 14:53:59.892196,0
2026-03-06 14:53:59.993697,0
2026-03-06 14:54:00.094149,0
2026-03-06 14:54:00.195605,0
2026-03-06 14:54:00.296894,0
2026-03-06 14:54:00.397321,0
2026-03-06 14:54:00.498235,0
2026-03-06 14:54:00.599291,0
2026-03-06 14:54:00.700034,0
2026-03-06 14:54:00.800682,0
2026-03-06 14:54:00.902066,0
2026-03-06 14:54:01.003491,0
2026-03-06 14:54:01.103799,0
2026-03-06 14:54:01.204664,0
2026-03-06 14:54:01.305309,0
2026-03-06 14:54:01.405969,0
2026-03-06 14:54:01.50692,0
2026-03-06 14:54:01.607941,0
2026-03-06 14:54:01.708978,0
2026-03-06 14:54:01.810236,0
2026-03-06 14:54:01.910933,0
2026-03-06 14:54:02.01279,0
2026-03-06 14:54:02.113496,0
2026-03-06 14:54:02.2142,0
2026-03-06 14:54:02.315556,0
2026-03-06 14:54:02.416466,0
2026-03-06 14:54:02.517647,0
2026-03-06 14:54:02.619124,0
2026-03-06 14:54:02.71991,0
2026-03-06 14:54:02.820941,0
2026-03-06 14:54:02.922007,0
2026-03-06 14:54:03.023034,0
2026-03-06 14:54:03.123852,0
2026-03-06 14:54:03.225002,0
2026-03-06 14:54:03.325765,0
2026-03-06 14:54:03.427268,0
2026-03-06 14:54:03.528344,0
2026-03-06 14:54:03.629628,0
2026-03-06 14:54:03.730275,0
2026-03-06 14:54:03.83129,0
2026-03-06 14:54:03.93226,0
2026-03-06 14:54:04.033282,0
2026-03-06 14:54:04.134968,0
2026-03-06 14:54:04.235898,0
2026-03-06 14:54:04.336861,0
2026-03-06 14:54:04.43801,0
2026-03-06 14:54:04.539106,0
2026-03-06 14:54:04.640252,0
2026-03-06 14:54:04.740825,0
2026-03-06 14:54:04.841736,0
2026-03-06 14:54:04.943193,0
2026-03-06 14:54:05.043969,0
2026-03-06 14:54:05.145257,0
2026-03-06 14:54:05.246217,0
2026-03-06 14:54:05.347214,0
2026-03-06 14:54:05.448508,0
2026-03-06 14:54:05.549664,0
2026-03-06 14:54:05.651697,0
2026-03-06 14:54:05.751686,0
2026-03-06 14:54:05.852994,0
2026-03-06 14:54:05.954319,0
2026-03-06 14:54:06.055,0
2026-03-06 14:54:06.156032,0
2026-03-06 14:54:06.256741,0
2026-03-06 14:54:06.358173,0
2026-03-06 14:54:06.458906,0
2026-03-06 14:54:06.560041,0
2026-03-06 14:54:06.661426,0
2026-03-06 14:54:06.763147,0
2026-03-06 14:54:06.862973,0
2026-03-06 14:54:06.963967,0
2026-03-06 14:54:07.065114,0
2026-03-06 14:54:07.166262,0
2026-03-06 14:54:07.267199,0
2026-03-06 14:54:07.368368,0
2026-03-06 14:54:07.469448,0
2026-03-06 14:54:07.569941,0
2026-03-06 14:54:07.671057,0
2026-03-06 14:54:07.771832,0
2026-03-06 14:54:07.872926,0
2026-03-06 14:54:07.974147,0
2026-03-06 14:54:08.074904,0
2026-03-06 14:54:08.175762,0
2026-03-06 14:54:08.276901,0
2026-03-06 14:54:08.378628,0
2026-03-06 14:54:08.479243,0
2026-03-06 14:54:08.580709,0
2026-03-06 14:54:08.681631,0
2026-03-06 14:54:08.782823,0
2026-03-06 14:54:08.884059,0
2026-03-06 14:54:08.98552,0
2026-03-06 14:54:09.086477,0
2026-03-06 14:54:09.187329,0
2026-03-06 14:54:09.288585,0
2026-03-06 14:54:09.389367,0
2026-03-06 14:54:09.490403,0
2026-03-06 14:54:09.591837,0
2026-03-06 14:54:09.692697,0
2026-03-06 14:54:09.79412,0
2026-03-06 14:54:09.895657,0
2026-03-06 14:54:09.996602,0
2026-03-06 14:54:10.097403,0
2026-03-06 14:54:10.198248,0
2026-03-06 14:54:10.299866,0
2026-03-06 14:54:10.400689,0
2026-03-06 14:54:10.501579,0
2026-03-06 14:54:10.602718,0
2026-03-06 14:54:10.70321,0
2026-03-06 14:54:10.804161,0
2026-03-06 14:54:10.905428,0
2026-03-06 14:54:11.00598,0
2026-03-06 14:54:11.107198,0
2026-03-06 14:54:11.208433,0
2026-03-06 14:54:11.309781,0
2026-03-06 14:54:11.410318,0
2026-03-06 14:54:11.511654,0
2026-03-06 14:54:11.612523,0
2026-03-06 14:54:11.713492,0
2026-03-06 14:54:11.814785,0
2026-03-06 14:54:11.915311,0
2026-03-06 14:54:12.016522,0
2026-03-06 14:54:12.117431,0
2026-03-06 14:54:12.218917,0
2026-03-06 14:54:12.320354,0
2026-03-06 14:54:12.421376,0
2026-03-06 14:54:12.522392,0
2026-03-06 14:54:12.622761,0
2026-03-06 14:54:12.723296,0
2026-03-06 14:54:12.824909,0
2026-03-06 14:54:12.925755,0
2026-03-06 14:54:13.027089,0
2026-03-06 14:54:13.128185,0
2026-03-06 14:54:13.22924,0
2026-03-06 14:54:13.330532,0
2026-03-06 14:54:13.431386,0
2026-03-06 14:54:13.532286,0
2026-03-06 14:54:13.633573,0
2026-03-06 14:54:13.734515,0
2026-03-06 14:54:13.8359,0
2026-03-06 14:54:13.936947,0
2026-03-06 14:54:14.038065,0
2026-03-06 14:54:14.139176,0
2026-03-06 14:54:14.239955,0
2026-03-06 14:54:14.341123,0
2026-03-06 14:54:14.44225,0
2026-03-06 14:54:14.543119,0
2026-03-06 14:54:14.643834,0
2026-03-06 14:54:14.745141,0
2026-03-06 14:54:14.846534,0
2026-03-06 14:54:14.947754,0
2026-03-06 14:54:15.048884,0
2026-03-06 14:54:15.149419,0
2026-03-06 14:54:15.250285,0
2026-03-06 14:54:15.351154,0
2026-03-06 14:54:15.451953,0
2026-03-06 14:54:15.552989,0
2026-03-06 14:54:15.654137,0
2026-03-06 14:54:15.754863,0
2026-03-06 14:54:15.856235,0
2026-03-06 14:54:15.957492,0
2026-03-06 14:54:16.058728,0
2026-03-06 14:54:16.159903,0
2026-03-06 14:54:16.261203,0
2026-03-06 14:54:16.361975,0
2026-03-06 14:54:16.46286,0
2026-03-06 14:54:16.563896,0
2026-03-06 14:54:16.665467,0
2026-03-06 14:54:16.766029,0
2026-03-06 14:54:16.867029,0
2026-03-06 14:54:16.96834,0
2026-03-06 14:54:17.069181,0
2026-03-06 14:54:17.170204,0
2026-03-06 14:54:17.271215,0
2026-03-06 14:54:17.372414,0
2026-03-06 14:54:17.473591,0
2026-03-06 14:54:17.574307,0
2026-03-06 14:54:17.675448,0
2026-03-06 14:54:17.776295,0
2026-03-06 14:54:17.877839,0
2026-03-06 14:54:17.979063,0
2026-03-06 14:54:18.080194,0
2026-03-06 14:54:18.181072,0
2026-03-06 14:54:18.282251,0
2026-03-06 14:54:18.383296,0
2026-03-06 14:54:18.48462,0
2026-03-06 14:54:18.585934,0
2026-03-06 14:54:18.687167,0
2026-03-06 14:54:18.787915,0
2026-03-06 14:54:18.888751,0
2026-03-06 14:54:18.990133,0
2026-03-06 14:54:19.090585,0
2026-03-06 14:54:19.191706,0
2026-03-06 14:54:19.29269,0
2026-03-06 14:54:19.393183,0
2026-03-06 14:54:19.494426,0
2026-03-06 14:54:19.595371,0
2026-03-06 14:54:19.696229,0
2026-03-06 14:54:19.797342,0
2026-03-06 14:54:19.898695,0
2026-03-06 14:54:19.999602,0
2026-03-06 14:54:20.100366,0
2026-03-06 14:54:20.201683,0
2026-03-06 14:54:20.302786,0
2026-03-06 14:54:20.404022,0
2026-03-06 14:54:20.504894,0
2026-03-06 14:54:20.605626,0
2026-03-06 14:54:20.706698,0
2026-03-06 14:54:20.808151,0
2026-03-06 14:54:20.909442,0
2026-03-06 14:54:21.009757,0
2026-03-06 14:54:21.111202,0
2026-03-06 14:54:21.212215,0
2026-03-06 14:54:21.313692,0
2026-03-06 14:54:21.414768,0
2026-03-06 14:54:21.515764,0
2026-03-06 14:54:21.6172,0
2026-03-06 14:54:21.717941,0
2026-03-06 14:54:21.818768,0
2026-03-06 14:54:21.920174,0
2026-03-06 14:54:22.021378,0
2026-03-06 14:54:22.122095,0
2026-03-06 14:54:22.223388,0
2026-03-06 14:54:22.324793,0
2026-03-06 14:54:22.425669,0
2026-03-06 14:54:22.526663,0
2026-03-06 14:54:22.627876,0
2026-03-06 14:54:22.729355,0
2026-03-06 14:54:22.83012,0
2026-03-06 14:54:22.930374,0
2026-03-06 14:54:23.031765,0
2026-03-06 14:54:23.133046,0
2026-03-06 14:54:23.234695,0
2026-03-06 14:54:23.335595,0
2026-03-06 14:54:23.436354,0
2026-03-06 14:54:23.537213,0
2026-03-06 14:54:23.638177,0
2026-03-06 14:54:23.738701,0
2026-03-06 14:54:23.839471,0
2026-03-06 14:54:23.940582,0
2026-03-06 14:54:24.041934,0
2026-03-06 14:54:24.142246,0
2026-03-06 14:54:24.24361,0
2026-03-06 14:54:24.344313,0
2026-03-06 14:54:24.445583,0
2026-03-06 14:54:24.546674,0
2026-03-06 14:54:24.648265,0
2026-03-06 14:54:24.749251,0
2026-03-06 14:54:24.850213,0
2026-03-06 14:54:24.950672,0
2026-03-06 14:54:25.052119,0
2026-03-06 14:54:25.153816,0
2026-03-06 14:54:25.254186,0
2026-03-06 14:54:25.35532,0
2026-03-06 14:54:25.456469,0
2026-03-06 14:54:25.557041,0
2026-03-06 14:54:25.658445,0
2026-03-06 14:54:25.759298,0
2026-03-06 14:54:25.860294,0
2026-03-06 14:54:25.961593,0
2026-03-06 14:54:26.062626,0
2026-03-06 14:54:26.164326,0
2026-03-06 14:54:26.264423,0
2026-03-06 14:54:26.365947,0
2026-03-06 14:54:26.467743,0
2026-03-06 14:54:26.568315,0
2026-03-06 14:54:26.669169,0
2026-03-06 14:54:26.770077,0
2026-03-06 14:54:26.870898,0
2026-03-06 14:54:26.971742,0
2026-03-06 14:54:27.073583,0
