time,PT.Fuel_Downstream.status
2026-03-06 12:50:30.82295,0
2026-03-06 12:50:30.924162,0
2026-03-06 12:50:31.024801,0
2026-03-06 12:50:31.125901,0
2026-03-06 12:50:31.226587,0
2026-03-06 12:50:31.327281,0
2026-03-06 12:50:31.428487,0
2026-03-06 12:50:31.529256,0
2026-03-06 12:50:31.630774,0
2026-03-06 12:50:31.731705,0
2026-03-06 12:50:31.83282,0
2026-03-06 12:50:31.933827,0
2026-03-06 12:50:32.035032,0
2026-03-06 12:50:32.136082,0
2026-03-06 12:50:32.236879,0
2026-03-06 12:50:32.338305,0
2026-03-06 12:50:32.439112,0
2026-03-06 12:50:32.540674,0
2026-03-06 12:50:32.641256,0
2026-03-06 12:50:32.742781,0
2026-03-06 12:50:32.843285,0
2026-03-06 12:50:32.944229,0
2026-03-06 12:50:33.045764,0
2026-03-06 12:50:33.147225,0
2026-03-06 12:50:33.247965,0
2026-03-06 12:50:33.349981,0
2026-03-06 12:50:33.450686,0
2026-03-06 12:50:33.552142,0
2026-03-06 12:50:33.654064,0
2026-03-06 12:50:33.754835,0
2026-03-06 12:50:33.855995,0
2026-03-06 12:50:33.957226,0
2026-03-06 12:50:34.057941,0
2026-03-06 12:50:34.159425,0
2026-03-06 12:50:34.260912,0
2026-03-06 12:50:34.361915,0
2026-03-06 12:50:34.463362,0
2026-03-06 12:50:34.564454,0
2026-03-06 12:50:34.665363,0
2026-03-06 12:50:34.766203,0
2026-03-06 12:50:34.867136,0
2026-03-06 12:50:34.968223,0
2026-03-06 12:50:35.069148,0
2026-03-06 12:50:35.169946,0
2026-03-06 12:50:35.270492,0
2026-03-06 12:50:35.371562,0
2026-03-06 12:50:35.472449,0
2026-03-06 12:50:35.57324,0
2026-03-06 12:50:35.674004,0
2026-03-06 12:50:35.775225,0
2026-03-06 12:50:35.875927,0
2026-03-06 12:50:35.976517,0
2026-03-06 12:50:36.077184,0
2026-03-06 12:50:36.178548,0
2026-03-06 12:50:36.280153,0
2026-03-06 12:50:36.38056,0
2026-03-06 12:50:36.481446,0
2026-03-06 12:50:36.581907,0
2026-03-06 12:50:36.68286,0
2026-03-06 12:50:36.783651,0
2026-03-06 12:50:36.88492,0
2026-03-06 12:50:36.985505,0
2026-03-06 12:50:37.086638,0
2026-03-06 12:50:37.187784,0
2026-03-06 12:50:37.288448,0
2026-03-06 12:50:37.389112,0
2026-03-06 12:50:37.490199,0
2026-03-06 12:50:37.590374,0
2026-03-06 12:50:37.691879,0
2026-03-06 12:50:37.792667,0
2026-03-06 12:50:37.893451,0
2026-03-06 12:50:37.994176,0
2026-03-06 12:50:38.094879,0
2026-03-06 12:50:38.195752,0
2026-03-06 12:50:38.297615,0
2026-03-06 12:50:38.39871,0
2026-03-06 12:50:38.499485,0
2026-03-06 12:50:38.600939,0
2026-03-06 12:50:38.701741,0
2026-03-06 12:50:38.802459,0
2026-03-06 12:50:38.903986,0
2026-03-06 12:50:39.006067,0
2026-03-06 12:50:39.105674,0
2026-03-06 12:50:39.207095,0
2026-03-06 12:50:39.307906,0
2026-03-06 12:50:39.409217,0
2026-03-06 12:50:39.509639,0
2026-03-06 12:50:39.611442,0
2026-03-06 12:50:39.712922,0
2026-03-06 12:50:39.814321,0
2026-03-06 12:50:39.915466,0
2026-03-06 12:50:40.015834,0
2026-03-06 12:50:40.116654,0
2026-03-06 12:50:40.217577,0
2026-03-06 12:50:40.319026,0
2026-03-06 12:50:40.420033,0
2026-03-06 12:50:40.521099,0
2026-03-06 12:50:40.622051,0
2026-03-06 12:50:40.723045,0
2026-03-06 12:50:40.823644,0
2026-03-06 12:50:40.924083,0
2026-03-06 12:50:41.025539,0
2026-03-06 12:50:41.12693,0
2026-03-06 12:50:41.228055,0
2026-03-06 12:50:41.328907,0
2026-03-06 12:50:41.429775,0
2026-03-06 12:50:41.531037,0
2026-03-06 12:50:41.632257,0
2026-03-06 12:50:41.732776,0
2026-03-06 12:50:41.833773,0
2026-03-06 12:50:41.93453,0
2026-03-06 12:50:42.035936,0
2026-03-06 12:50:42.136705,0
2026-03-06 12:50:42.238036,0
2026-03-06 12:50:42.338511,0
2026-03-06 12:50:42.439515,0
2026-03-06 12:50:42.540869,0
2026-03-06 12:50:42.640973,0
2026-03-06 12:50:42.742111,0
2026-03-06 12:50:42.843389,0
2026-03-06 12:50:42.944305,0
2026-03-06 12:50:43.045631,0
2026-03-06 12:50:43.145942,0
2026-03-06 12:50:43.247014,0
2026-03-06 12:50:43.347598,0
2026-03-06 12:50:43.448499,0
2026-03-06 12:50:43.549798,0
2026-03-06 12:50:43.650637,0
2026-03-06 12:50:43.751992,0
2026-03-06 12:50:43.852862,0
2026-03-06 12:50:43.95416,0
2026-03-06 12:50:44.054679,0
2026-03-06 12:50:44.155841,0
2026-03-06 12:50:44.256651,0
2026-03-06 12:50:44.357348,0
2026-03-06 12:50:44.458627,0
2026-03-06 12:50:44.559455,0
2026-03-06 12:50:44.66021,0
2026-03-06 12:50:44.761263,0
2026-03-06 12:50:44.862133,0
2026-03-06 12:50:44.963283,0
2026-03-06 12:50:45.063768,0
2026-03-06 12:50:45.164865,0
2026-03-06 12:50:45.265997,0
2026-03-06 12:50:45.366905,0
2026-03-06 12:50:45.46773,0
2026-03-06 12:50:45.568853,0
2026-03-06 12:50:45.670019,0
2026-03-06 12:50:45.771558,0
2026-03-06 12:50:45.872616,0
2026-03-06 12:50:45.973762,0
2026-03-06 12:50:46.074622,0
2026-03-06 12:50:46.175693,0
2026-03-06 12:50:46.277048,0
2026-03-06 12:50:46.378217,0
2026-03-06 12:50:46.478794,0
2026-03-06 12:50:46.579869,0
2026-03-06 12:50:46.680965,0
2026-03-06 12:50:46.781672,0
2026-03-06 12:50:46.882668,0
2026-03-06 12:50:46.983321,0
2026-03-06 12:50:47.084681,0
2026-03-06 12:50:47.185254,0
2026-03-06 12:50:47.286682,0
2026-03-06 12:50:47.387435,0
2026-03-06 12:50:47.488116,0
2026-03-06 12:50:47.58904,0
2026-03-06 12:50:47.690234,0
2026-03-06 12:50:47.790566,0
2026-03-06 12:50:47.891623,0
2026-03-06 12:50:47.993095,0
2026-03-06 12:50:48.094536,0
2026-03-06 12:50:48.195548,0
2026-03-06 12:50:48.296291,0
2026-03-06 12:50:48.397084,0
2026-03-06 12:50:48.497948,0
2026-03-06 12:50:48.598941,0
2026-03-06 12:50:48.699982,0
2026-03-06 12:50:48.801237,0
2026-03-06 12:50:48.902423,0
