time,RTD.CH1.raw_resistance_counts
2026-03-06 14:36:17.776074,4949132
2026-03-06 14:36:17.876995,4950998
2026-03-06 14:36:17.978256,4952811
2026-03-06 14:36:18.078625,4954642
2026-03-06 14:36:18.179819,4956545
2026-03-06 14:36:18.280987,4958431
2026-03-06 14:36:18.381656,4960151
2026-03-06 14:36:18.482963,4961899
2026-03-06 14:36:18.584381,4963415
2026-03-06 14:36:18.685184,4965169
2026-03-06 14:36:18.786289,4966740
2026-03-06 14:36:18.88701,4968410
2026-03-06 14:36:18.987956,4969816
2026-03-06 14:36:19.089216,4971353
2026-03-06 14:36:19.18958,4972858
2026-03-06 14:36:19.290689,4974282
2026-03-06 14:36:19.391574,4975488
2026-03-06 14:36:19.492378,4976915
2026-03-06 14:36:19.592728,4978219
2026-03-06 14:36:19.693326,4979442
2026-03-06 14:36:19.794512,4980690
2026-03-06 14:36:19.895461,4981928
2026-03-06 14:36:19.995988,4983147
2026-03-06 14:36:20.097399,4984165
2026-03-06 14:36:20.19798,4985263
2026-03-06 14:36:20.299411,4986350
2026-03-06 14:36:20.39989,4987219
2026-03-06 14:36:20.501573,4988274
2026-03-06 14:36:20.602102,4989281
2026-03-06 14:36:20.703056,4989980
2026-03-06 14:36:20.804125,4990930
2026-03-06 14:36:20.904719,4991682
2026-03-06 14:36:21.005871,4992466
2026-03-06 14:36:21.106808,4993163
2026-03-06 14:36:21.207533,4994020
2026-03-06 14:36:21.308796,4994535
2026-03-06 14:36:21.409392,4995185
2026-03-06 14:36:21.510564,4995787
2026-03-06 14:36:21.611882,4996374
2026-03-06 14:36:21.712202,4996824
2026-03-06 14:36:21.813221,4997393
2026-03-06 14:36:21.914561,4997806
2026-03-06 14:36:22.015218,4998189
2026-03-06 14:36:22.115907,4998476
2026-03-06 14:36:22.216604,4998929
2026-03-06 14:36:22.317355,4999176
2026-03-06 14:36:22.418386,4999419
2026-03-06 14:36:22.519692,4999566
2026-03-06 14:36:22.620781,4999663
2026-03-06 14:36:22.720965,4999843
2026-03-06 14:36:22.822126,4999949
2026-03-06 14:36:22.92293,4999915
2026-03-06 14:36:23.02389,5000031
2026-03-06 14:36:23.12444,4999938
2026-03-06 14:36:23.225247,4999980
2026-03-06 14:36:23.326115,4999722
2026-03-06 14:36:23.427308,4999688
2026-03-06 14:36:23.527882,4999478
2026-03-06 14:36:23.628985,4999247
2026-03-06 14:36:23.729754,4998928
2026-03-06 14:36:23.830285,4998712
2026-03-06 14:36:23.931108,4998327
2026-03-06 14:36:24.032245,4998107
2026-03-06 14:36:24.133237,4997676
2026-03-06 14:36:24.233939,4997076
2026-03-06 14:36:24.334828,4996620
2026-03-06 14:36:24.435822,4996073
2026-03-06 14:36:24.536533,4995587
2026-03-06 14:36:24.637493,4995088
2026-03-06 14:36:24.738396,4994335
2026-03-06 14:36:24.839185,4993691
2026-03-06 14:36:24.940194,4993052
2026-03-06 14:36:25.04136,4992307
2026-03-06 14:36:25.142481,4991393
2026-03-06 14:36:25.243182,4990561
2026-03-06 14:36:25.344176,4989814
2026-03-06 14:36:25.444964,4988810
2026-03-06 14:36:25.545974,4987956
2026-03-06 14:36:25.646851,4986876
2026-03-06 14:36:25.74797,4985865
2026-03-06 14:36:25.8487,4984832
2026-03-06 14:36:25.950067,4983855
2026-03-06 14:36:26.050551,4982698
2026-03-06 14:36:26.151838,4981451
2026-03-06 14:36:26.253066,4980356
2026-03-06 14:36:26.353769,4978960
2026-03-06 14:36:26.455086,4977639
2026-03-06 14:36:26.555994,4976486
2026-03-06 14:36:26.657007,4975061
2026-03-06 14:36:26.757693,4973713
2026-03-06 14:36:26.858406,4972221
2026-03-06 14:36:26.959111,4970863
2026-03-06 14:36:27.060664,4969352
2026-03-06 14:36:27.161545,4967803
2026-03-06 14:36:27.262373,4966190
2026-03-06 14:36:27.36306,4964512
2026-03-06 14:36:27.464361,4962924
2026-03-06 14:36:27.565138,4961164
2026-03-06 14:36:27.666115,4959517
2026-03-06 14:36:27.766926,4957628
2026-03-06 14:36:27.868076,4955843
2026-03-06 14:36:27.968544,4953980
2026-03-06 14:36:28.069806,4952109
2026-03-06 14:36:28.170369,4950217
2026-03-06 14:36:28.271438,4948379
2026-03-06 14:36:28.372092,4946334
2026-03-06 14:36:28.473026,4944285
2026-03-06 14:36:28.574346,4942259
2026-03-06 14:36:28.675347,4940127
2026-03-06 14:36:28.776301,4938077
2026-03-06 14:36:28.876624,4935714
2026-03-06 14:36:28.977336,4933684
2026-03-06 14:36:29.078201,4931441
2026-03-06 14:36:29.179812,4929065
2026-03-06 14:36:29.280403,4926808
2026-03-06 14:36:29.381649,4924319
2026-03-06 14:36:29.482108,4922061
2026-03-06 14:36:29.583293,4919592
2026-03-06 14:36:29.684001,4917101
2026-03-06 14:36:29.785245,4914718
2026-03-06 14:36:29.886238,4912145
2026-03-06 14:36:29.986951,4909455
2026-03-06 14:36:30.088451,4906923
2026-03-06 14:36:30.18895,4904323
2026-03-06 14:36:30.290004,4901607
2026-03-06 14:36:30.391127,4898820
2026-03-06 14:36:30.49161,4896171
2026-03-06 14:36:30.592601,4893346
2026-03-06 14:36:30.693999,4890580
2026-03-06 14:36:30.794237,4887611
2026-03-06 14:36:30.895073,4884776
2026-03-06 14:36:30.996209,4881749
2026-03-06 14:36:31.097227,4878927
2026-03-06 14:36:31.197934,4875806
2026-03-06 14:36:31.298513,4872778
2026-03-06 14:36:31.399281,4869769
2026-03-06 14:36:31.500498,4866684
2026-03-06 14:36:31.601008,4863521
2026-03-06 14:36:31.702008,4860402
2026-03-06 14:36:31.802891,4857285
2026-03-06 14:36:31.903417,4853892
2026-03-06 14:36:32.004516,4850651
2026-03-06 14:36:32.105453,4847324
2026-03-06 14:36:32.206581,4843962
2026-03-06 14:36:32.307384,4840733
2026-03-06 14:36:32.40816,4837184
2026-03-06 14:36:32.509477,4833829
2026-03-06 14:36:32.610106,4830366
2026-03-06 14:36:32.711241,4826776
2026-03-06 14:36:32.811943,4823149
2026-03-06 14:36:32.912512,4819655
2026-03-06 14:36:33.013936,4816044
2026-03-06 14:36:33.115119,4812346
2026-03-06 14:36:33.216133,4808609
2026-03-06 14:36:33.316669,4805021
2026-03-06 14:36:33.418068,4801169
2026-03-06 14:36:33.518908,4797511
2026-03-06 14:36:33.619773,4793624
2026-03-06 14:36:33.720511,4789831
2026-03-06 14:36:33.821392,4786006
2026-03-06 14:36:33.922167,4782055
2026-03-06 14:36:34.022926,4777994
2026-03-06 14:36:34.123454,4774013
2026-03-06 14:36:34.224472,4770006
2026-03-06 14:36:34.325618,4766033
2026-03-06 14:36:34.42672,4762044
2026-03-06 14:36:34.527912,4757941
2026-03-06 14:36:34.628774,4753701
2026-03-06 14:36:34.729747,4749482
2026-03-06 14:36:34.830451,4745382
2026-03-06 14:36:34.931096,4741064
2026-03-06 14:36:35.032381,4736859
2026-03-06 14:36:35.133162,4732530
2026-03-06 14:36:35.23469,4728158
2026-03-06 14:36:35.33526,4723899
2026-03-06 14:36:35.436005,4719473
2026-03-06 14:36:35.536724,4715037
2026-03-06 14:36:35.637597,4710575
2026-03-06 14:36:35.738152,4706119
2026-03-06 14:36:35.839093,4701573
2026-03-06 14:36:35.939868,4697062
2026-03-06 14:36:36.041228,4692542
2026-03-06 14:36:36.142056,4687812
2026-03-06 14:36:36.243029,4683163
2026-03-06 14:36:36.34404,4678551
2026-03-06 14:36:36.445097,4673854
2026-03-06 14:36:36.545598,4669128
2026-03-06 14:36:36.646536,4664387
2026-03-06 14:36:36.747485,4659666
2026-03-06 14:36:36.84852,4654852
2026-03-06 14:36:36.948907,4650012
2026-03-06 14:36:37.049833,4645061
2026-03-06 14:36:37.150509,4640221
2026-03-06 14:36:37.251774,4635201
2026-03-06 14:36:37.352367,4630227
2026-03-06 14:36:37.453613,4625230
2026-03-06 14:36:37.554196,4620229
2026-03-06 14:36:37.654927,4615175
2026-03-06 14:36:37.756016,4610265
2026-03-06 14:36:37.856973,4604986
2026-03-06 14:36:37.957812,4600013
2026-03-06 14:36:38.058894,4594726
2026-03-06 14:36:38.15917,4589509
2026-03-06 14:36:38.260505,4584413
2026-03-06 14:36:38.361376,4579114
2026-03-06 14:36:38.462085,4573945
2026-03-06 14:36:38.563108,4568658
2026-03-06 14:36:38.663869,4563319
2026-03-06 14:36:38.765238,4557841
2026-03-06 14:36:38.866091,4552420
2026-03-06 14:36:38.966607,4547015
2026-03-06 14:36:39.067274,4541761
2026-03-06 14:36:39.16858,4536145
2026-03-06 14:36:39.269502,4530649
2026-03-06 14:36:39.370669,4525300
2026-03-06 14:36:39.471276,4519745
2026-03-06 14:36:39.57237,4514033
2026-03-06 14:36:39.673796,4508417
2026-03-06 14:36:39.774245,4502962
2026-03-06 14:36:39.875347,4497157
2026-03-06 14:36:39.976421,4491535
2026-03-06 14:36:40.077434,4485849
2026-03-06 14:36:40.178226,4480113
2026-03-06 14:36:40.279219,4474489
2026-03-06 14:36:40.380291,4468553
2026-03-06 14:36:40.480806,4462777
2026-03-06 14:36:40.582262,4457128
2026-03-06 14:36:40.6833,4451124
2026-03-06 14:36:40.783665,4445248
2026-03-06 14:36:40.884623,4439503
2026-03-06 14:36:40.985606,4433496
2026-03-06 14:36:41.087044,4427548
2026-03-06 14:36:41.18797,4421635
2026-03-06 14:36:41.288403,4415612
2026-03-06 14:36:41.389478,4409620
2026-03-06 14:36:41.490507,4403592
2026-03-06 14:36:41.5918,4397493
2026-03-06 14:36:41.692706,4391401
2026-03-06 14:36:41.793153,4385371
2026-03-06 14:36:41.894316,4379296
2026-03-06 14:36:41.994707,4373105
2026-03-06 14:36:42.095655,4367002
2026-03-06 14:36:42.196807,4360845
2026-03-06 14:36:42.297541,4354643
2026-03-06 14:36:42.398655,4348236
2026-03-06 14:36:42.499395,4342161
2026-03-06 14:36:42.600301,4335852
2026-03-06 14:36:42.70133,4329449
2026-03-06 14:36:42.801952,4323154
2026-03-06 14:36:42.903018,4316925
2026-03-06 14:36:43.003654,4310444
2026-03-06 14:36:43.104521,4304124
2026-03-06 14:36:43.205568,4297805
2026-03-06 14:36:43.306839,4291252
2026-03-06 14:36:43.408003,4284754
2026-03-06 14:36:43.50851,4278329
2026-03-06 14:36:43.609611,4271959
2026-03-06 14:36:43.710346,4265324
2026-03-06 14:36:43.811461,4258979
2026-03-06 14:36:43.912044,4252338
2026-03-06 14:36:44.013267,4245832
2026-03-06 14:36:44.114338,4239200
2026-03-06 14:36:44.215062,4232631
2026-03-06 14:36:44.316571,4225974
2026-03-06 14:36:44.417166,4219306
2026-03-06 14:36:44.518071,4212616
2026-03-06 14:36:44.618824,4205953
2026-03-06 14:36:44.719878,4199280
2026-03-06 14:36:44.820766,4192765
2026-03-06 14:36:44.921224,4186040
2026-03-06 14:36:45.02267,4179253
2026-03-06 14:36:45.122947,4172388
2026-03-06 14:36:45.224164,4165666
2026-03-06 14:36:45.325141,4158977
2026-03-06 14:36:45.4264,4151995
2026-03-06 14:36:45.526991,4145146
2026-03-06 14:36:45.628331,4138362
2026-03-06 14:36:45.728982,4131604
2026-03-06 14:36:45.830041,4124569
2026-03-06 14:36:45.930897,4117856
2026-03-06 14:36:46.031826,4110936
2026-03-06 14:36:46.132671,4103981
2026-03-06 14:36:46.233896,4096996
2026-03-06 14:36:46.334655,4090116
2026-03-06 14:36:46.435968,4082981
2026-03-06 14:36:46.536652,4076086
2026-03-06 14:36:46.63791,4069061
2026-03-06 14:36:46.739336,4061959
2026-03-06 14:36:46.839831,4054976
2026-03-06 14:36:46.941249,4047948
2026-03-06 14:36:47.041784,4041031
2026-03-06 14:36:47.142237,4033867
2026-03-06 14:36:47.243298,4026887
2026-03-06 14:36:47.344536,4019724
2026-03-06 14:36:47.445042,4012690
2026-03-06 14:36:47.546558,4005392
2026-03-06 14:36:47.647291,3998260
2026-03-06 14:36:47.748839,3991274
2026-03-06 14:36:47.849522,3984007
2026-03-06 14:36:47.950607,3976846
2026-03-06 14:36:48.051643,3969710
