time,PT.GSE_Mid.raw_adc_counts
2026-03-06 13:13:19.284753,1684815796
2026-03-06 13:13:19.385339,1705553691
2026-03-06 13:13:19.486659,1725936614
2026-03-06 13:13:19.587542,1745771144
2026-03-06 13:13:19.68803,1765127028
2026-03-06 13:13:19.788694,1784022148
2026-03-06 13:13:19.889984,1802486488
2026-03-06 13:13:19.990552,1820370543
2026-03-06 13:13:20.091572,1837735439
2026-03-06 13:13:20.192348,1854572307
2026-03-06 13:13:20.293531,1870865628
2026-03-06 13:13:20.395089,1886571079
2026-03-06 13:13:20.495401,1901636850
2026-03-06 13:13:20.596984,1916136996
2026-03-06 13:13:20.69792,1930007304
2026-03-06 13:13:20.799594,1943319200
2026-03-06 13:13:20.901356,1955962867
2026-03-06 13:13:21.002109,1967871791
2026-03-06 13:13:21.103196,1979090466
2026-03-06 13:13:21.204334,1989646442
2026-03-06 13:13:21.305078,1999487748
2026-03-06 13:13:21.406147,2008653687
2026-03-06 13:13:21.50735,2017119929
2026-03-06 13:13:21.608267,2024847908
2026-03-06 13:13:21.708959,2031860011
2026-03-06 13:13:21.809972,2038139971
2026-03-06 13:13:21.91119,2043682569
2026-03-06 13:13:22.012678,2048514084
2026-03-06 13:13:22.113873,2052579125
2026-03-06 13:13:22.214501,2055884616
2026-03-06 13:13:22.31601,2058451256
2026-03-06 13:13:22.417398,2060253909
2026-03-06 13:13:22.518448,2061295172
2026-03-06 13:13:22.619935,2061578262
2026-03-06 13:13:22.721027,2061101543
2026-03-06 13:13:22.821496,2059872001
2026-03-06 13:13:22.923293,2057889906
2026-03-06 13:13:23.023452,2055159632
2026-03-06 13:13:23.124366,2051665584
2026-03-06 13:13:23.225102,2047428622
2026-03-06 13:13:23.32668,2042437939
2026-03-06 13:13:23.427608,2036706714
2026-03-06 13:13:23.52838,2030268902
2026-03-06 13:13:23.629355,2023080601
2026-03-06 13:13:23.730092,2015199964
2026-03-06 13:13:23.830776,2006601437
2026-03-06 13:13:23.931552,1997304226
2026-03-06 13:13:24.032937,1987282827
2026-03-06 13:13:24.134109,1976561315
2026-03-06 13:13:24.234865,1965170697
2026-03-06 13:13:24.335969,1953124909
2026-03-06 13:13:24.437132,1940379602
2026-03-06 13:13:24.53819,1926994895
2026-03-06 13:13:24.6393,1913013448
2026-03-06 13:13:24.740117,1898401001
2026-03-06 13:13:24.841803,1883163737
2026-03-06 13:13:24.941753,1867387049
2026-03-06 13:13:25.042712,1851000331
2026-03-06 13:13:25.144475,1833994225
2026-03-06 13:13:25.245221,1816432561
2026-03-06 13:13:25.346725,1798378833
2026-03-06 13:13:25.448333,1779749381
2026-03-06 13:13:25.548863,1760714744
2026-03-06 13:13:25.650054,1741180377
2026-03-06 13:13:25.751014,1721182313
2026-03-06 13:13:25.851926,1700704827
2026-03-06 13:13:25.95289,1679879502
2026-03-06 13:13:26.05342,1658653018
2026-03-06 13:13:26.154454,1637030191
2026-03-06 13:13:26.255045,1615045520
2026-03-06 13:13:26.356639,1592572612
2026-03-06 13:13:26.457492,1569845282
2026-03-06 13:13:26.558649,1546777680
2026-03-06 13:13:26.659782,1523555110
2026-03-06 13:13:26.760529,1500066152
2026-03-06 13:13:26.861315,1476239240
2026-03-06 13:13:26.962446,1452173850
2026-03-06 13:13:27.063279,1427981052
2026-03-06 13:13:27.164283,1403644165
2026-03-06 13:13:27.265301,1379151194
2026-03-06 13:13:27.366122,1354511430
2026-03-06 13:13:27.466901,1329760961
2026-03-06 13:13:27.568541,1304848987
2026-03-06 13:13:27.669261,1279944498
2026-03-06 13:13:27.770179,1254979093
2026-03-06 13:13:27.870946,1229988000
2026-03-06 13:13:27.971942,1205013321
2026-03-06 13:13:28.07273,1180070405
2026-03-06 13:13:28.173893,1155201052
2026-03-06 13:13:28.274991,1130362959
2026-03-06 13:13:28.375827,1105669426
2026-03-06 13:13:28.476787,1081093797
2026-03-06 13:13:28.577834,1056626675
2026-03-06 13:13:28.678835,1032300563
2026-03-06 13:13:28.779781,1008153973
2026-03-06 13:13:28.881059,984274681
2026-03-06 13:13:28.981428,960669663
2026-03-06 13:13:29.082468,937272385
2026-03-06 13:13:29.183278,914175111
2026-03-06 13:13:29.284545,891345326
2026-03-06 13:13:29.385474,868852683
2026-03-06 13:13:29.486238,846660773
2026-03-06 13:13:29.586921,824853896
2026-03-06 13:13:29.688029,803444030
2026-03-06 13:13:29.788742,782409049
2026-03-06 13:13:29.889694,761791268
2026-03-06 13:13:29.990647,741608125
2026-03-06 13:13:30.091286,721903696
2026-03-06 13:13:30.192344,702622421
2026-03-06 13:13:30.293216,683855046
2026-03-06 13:13:30.394284,665558292
2026-03-06 13:13:30.495814,647778730
2026-03-06 13:13:30.596995,630527524
2026-03-06 13:13:30.697826,613879357
2026-03-06 13:13:30.798881,597816799
2026-03-06 13:13:30.899793,582329370
2026-03-06 13:13:31.00133,567389424
2026-03-06 13:13:31.102276,553066795
2026-03-06 13:13:31.203589,539403948
2026-03-06 13:13:31.304906,526391137
2026-03-06 13:13:31.405975,514042783
2026-03-06 13:13:31.50682,502367556
2026-03-06 13:13:31.607939,491336253
2026-03-06 13:13:31.708787,481001076
2026-03-06 13:13:31.809853,471370119
2026-03-06 13:13:31.91041,462449853
2026-03-06 13:13:32.011526,454222928
2026-03-06 13:13:32.112376,446719789
2026-03-06 13:13:32.213718,439942509
2026-03-06 13:13:32.314263,433908767
2026-03-06 13:13:32.415185,428603545
2026-03-06 13:13:32.516208,424039120
2026-03-06 13:13:32.616997,420212821
2026-03-06 13:13:32.717758,417145440
2026-03-06 13:13:32.818883,414822430
2026-03-06 13:13:32.920027,413251033
2026-03-06 13:13:33.02117,412439714
2026-03-06 13:13:33.122,412385720
2026-03-06 13:13:33.222969,413086515
2026-03-06 13:13:33.323744,414541160
2026-03-06 13:13:33.424803,416755144
2026-03-06 13:13:33.526008,419724458
2026-03-06 13:13:33.627078,423454396
2026-03-06 13:13:33.72889,427945385
2026-03-06 13:13:33.829593,433155740
2026-03-06 13:13:33.930578,439109611
2026-03-06 13:13:34.031662,445785072
2026-03-06 13:13:34.133019,453227203
2026-03-06 13:13:34.234288,461358105
2026-03-06 13:13:34.335161,470196773
2026-03-06 13:13:34.436354,479781833
2026-03-06 13:13:34.537619,490047547
2026-03-06 13:13:34.63882,501009763
2026-03-06 13:13:34.740444,512651198
2026-03-06 13:13:34.841331,524950082
2026-03-06 13:13:34.942498,537904677
2026-03-06 13:13:35.043968,551512481
2026-03-06 13:13:35.145969,565736410
2026-03-06 13:13:35.246011,580521557
2026-03-06 13:13:35.346341,595917644
2026-03-06 13:13:35.447861,611953213
2026-03-06 13:13:35.54857,628497734
2026-03-06 13:13:35.649225,645633500
2026-03-06 13:13:35.7506,663281473
2026-03-06 13:13:35.850835,681438040
2026-03-06 13:13:35.951624,700092791
2026-03-06 13:13:36.052174,719236053
2026-03-06 13:13:36.152976,738896008
2026-03-06 13:13:36.25408,758989329
2026-03-06 13:13:36.354646,779522205
2026-03-06 13:13:36.455762,800469991
2026-03-06 13:13:36.556317,821805843
2026-03-06 13:13:36.65701,843547670
2026-03-06 13:13:36.758202,865704461
2026-03-06 13:13:36.859008,888136305
2026-03-06 13:13:36.95972,910899340
2026-03-06 13:13:37.061081,933997321
2026-03-06 13:13:37.161714,957298313
2026-03-06 13:13:37.261992,980875918
2026-03-06 13:13:37.36308,1004675344
2026-03-06 13:13:37.463757,1028717464
2026-03-06 13:13:37.564467,1052949467
2026-03-06 13:13:37.665944,1077406252
2026-03-06 13:13:37.76702,1101985783
2026-03-06 13:13:37.867381,1126635541
2026-03-06 13:13:37.968358,1151380768
2026-03-06 13:13:38.068954,1176217189
2026-03-06 13:13:38.169784,1201126915
2026-03-06 13:13:38.270716,1226029582
2026-03-06 13:13:38.371214,1250965364
2026-03-06 13:13:38.472319,1275888085
2026-03-06 13:13:38.573215,1300807988
2026-03-06 13:13:38.674416,1325689578
2026-03-06 13:13:38.775084,1350485204
2026-03-06 13:13:38.876199,1375168278
2026-03-06 13:13:38.977304,1399777566
2026-03-06 13:13:39.078407,1424141824
2026-03-06 13:13:39.179173,1448360005
2026-03-06 13:13:39.28034,1472533618
2026-03-06 13:13:39.381753,1496383665
2026-03-06 13:13:39.482715,1519976098
2026-03-06 13:13:39.583365,1543324143
2026-03-06 13:13:39.684715,1566349614
2026-03-06 13:13:39.785173,1589043657
2026-03-06 13:13:39.885875,1611459211
2026-03-06 13:13:39.987425,1633546680
2026-03-06 13:13:40.087824,1655225234
2026-03-06 13:13:40.188436,1676518925
2026-03-06 13:13:40.289321,1697386686
2026-03-06 13:13:40.390515,1717891380
2026-03-06 13:13:40.490871,1737911213
2026-03-06 13:13:40.592177,1757510096
2026-03-06 13:13:40.692951,1776617102
2026-03-06 13:13:40.793788,1795190813
2026-03-06 13:13:40.894587,1813296493
2026-03-06 13:13:40.995296,1830909455
2026-03-06 13:13:41.096257,1847951285
2026-03-06 13:13:41.197597,1864447228
2026-03-06 13:13:41.298065,1880338986
2026-03-06 13:13:41.398776,1895642237
2026-03-06 13:13:41.499932,1910335847
2026-03-06 13:13:41.601096,1924454052
2026-03-06 13:13:41.701579,1937914966
2026-03-06 13:13:41.802673,1950765328
2026-03-06 13:13:41.903857,1962971690
2026-03-06 13:13:42.005021,1974490626
2026-03-06 13:13:42.105978,1985313332
2026-03-06 13:13:42.206476,1995452574
