time,BOARD.HB_14.packet_ts_ms
2026-03-06 14:34:35.4666,3281149514
2026-03-06 14:34:36.476694,3281150523
2026-03-06 14:34:37.485375,3281151532
2026-03-06 14:34:38.494226,3281152541
2026-03-06 14:34:39.503384,3281153551
2026-03-06 14:34:40.512408,3281154560
2026-03-06 14:34:41.522723,3281155570
2026-03-06 14:34:42.531635,3281156578
2026-03-06 14:34:43.541052,3281157588
2026-03-06 14:34:44.549923,3281158597
2026-03-06 14:34:45.55942,3281159606
2026-03-06 14:34:46.568867,3281160616
2026-03-06 14:34:47.578202,3281161625
2026-03-06 14:34:48.587435,3281162634
2026-03-06 14:34:49.596582,3281163644
2026-03-06 14:34:50.596704,3281164644
2026-03-06 14:34:51.605689,3281165653
2026-03-06 14:34:52.614243,3281166661
2026-03-06 14:34:53.623318,3281167670
2026-03-06 14:34:54.623573,3281168671
2026-03-06 14:34:55.632106,3281169679
2026-03-06 14:34:56.641636,3281170689
2026-03-06 14:34:57.651377,3281171699
2026-03-06 14:34:58.651815,3281172699
2026-03-06 14:34:59.660425,3281173707
2026-03-06 14:35:00.660716,3281174708
2026-03-06 14:35:01.670287,3281175717
2026-03-06 14:35:02.678344,3281176725
2026-03-06 14:35:03.688187,3281177735
2026-03-06 14:35:04.69782,3281178745
2026-03-06 14:35:05.707438,3281179755
2026-03-06 14:35:06.716739,3281180764
2026-03-06 14:35:07.725119,3281181772
2026-03-06 14:35:08.734541,3281182781
2026-03-06 14:35:09.744029,3281183791
2026-03-06 14:35:10.753138,3281184800
2026-03-06 14:35:11.762941,3281185810
2026-03-06 14:35:12.771741,3281186819
2026-03-06 14:35:13.781134,3281187828
2026-03-06 14:35:14.781101,3281188828
2026-03-06 14:35:15.790578,3281189837
2026-03-06 14:35:16.790832,3281190838
2026-03-06 14:35:17.799599,3281191846
2026-03-06 14:35:18.808927,3281192856
2026-03-06 14:35:19.818428,3281193866
2026-03-06 14:35:20.826949,3281194874
2026-03-06 14:35:21.836675,3281195884
2026-03-06 14:35:22.846331,3281196894
2026-03-06 14:35:23.856145,3281197903
2026-03-06 14:35:24.865521,3281198913
2026-03-06 14:35:25.875395,3281199923
2026-03-06 14:35:26.876087,3281200923
2026-03-06 14:35:27.884199,3281201931
2026-03-06 14:35:28.893303,3281202941
2026-03-06 14:35:29.902973,3281203950
2026-03-06 14:35:30.91174,3281204959
2026-03-06 14:35:31.921666,3281205969
2026-03-06 14:35:32.93145,3281206978
2026-03-06 14:35:33.939438,3281207987
2026-03-06 14:35:34.948648,3281208996
2026-03-06 14:35:35.957802,3281210005
2026-03-06 14:35:36.966978,3281211014
2026-03-06 14:35:37.97559,3281212023
2026-03-06 14:35:38.985147,3281213032
2026-03-06 14:35:39.994918,3281214042
2026-03-06 14:35:40.995412,3281215042
2026-03-06 14:35:42.004808,3281216052
2026-03-06 14:35:43.014867,3281217062
2026-03-06 14:35:44.014672,3281218062
2026-03-06 14:35:45.024659,3281219071
2026-03-06 14:35:46.033962,3281220081
2026-03-06 14:35:47.04381,3281221091
2026-03-06 14:35:48.052985,3281222100
2026-03-06 14:35:49.062661,3281223110
2026-03-06 14:35:50.071806,3281224119
2026-03-06 14:35:51.082164,3281225129
2026-03-06 14:35:52.090679,3281226138
2026-03-06 14:35:53.099142,3281227146
2026-03-06 14:35:54.10782,3281228155
2026-03-06 14:35:55.11727,3281229165
2026-03-06 14:35:56.126762,3281230174
2026-03-06 14:35:57.135479,3281231183
2026-03-06 14:35:58.145433,3281232193
2026-03-06 14:35:59.154396,3281233201
2026-03-06 14:36:00.16327,3281234210
2026-03-06 14:36:01.172958,3281235220
2026-03-06 14:36:02.182046,3281236229
2026-03-06 14:36:03.192134,3281237239
2026-03-06 14:36:04.201483,3281238248
2026-03-06 14:36:05.211409,3281239258
2026-03-06 14:36:06.220926,3281240268
2026-03-06 14:36:07.229289,3281241276
2026-03-06 14:36:08.237851,3281242285
2026-03-06 14:36:09.247328,3281243294
2026-03-06 14:36:10.25699,3281244304
2026-03-06 14:36:11.265636,3281245313
2026-03-06 14:36:12.274731,3281246322
