time,PT.Ox_Downstream.raw_adc_counts
2026-03-06 16:51:32.637772,398236566
2026-03-06 16:51:32.739713,398571763
2026-03-06 16:51:32.840306,398875013
2026-03-06 16:51:32.941361,399142797
2026-03-06 16:51:33.042147,399370801
2026-03-06 16:51:33.142752,399565366
2026-03-06 16:51:33.244422,399728329
2026-03-06 16:51:33.345033,399850858
2026-03-06 16:51:33.445893,399938255
2026-03-06 16:51:33.547419,399988213
2026-03-06 16:51:33.647893,399996999
2026-03-06 16:51:33.748869,399970736
2026-03-06 16:51:33.850069,399917850
2026-03-06 16:51:33.95033,399819723
2026-03-06 16:51:34.051686,399686575
2026-03-06 16:51:34.152824,399515634
2026-03-06 16:51:34.254354,399309020
2026-03-06 16:51:34.354485,399065771
2026-03-06 16:51:34.455479,398783799
2026-03-06 16:51:34.556708,398474004
2026-03-06 16:51:34.657627,398127372
2026-03-06 16:51:34.758326,397735443
2026-03-06 16:51:34.859165,397320548
2026-03-06 16:51:34.959974,396866159
2026-03-06 16:51:35.060868,396378855
2026-03-06 16:51:35.161393,395867882
2026-03-06 16:51:35.262556,395306811
2026-03-06 16:51:35.363557,394722385
2026-03-06 16:51:35.464186,394108035
2026-03-06 16:51:35.565267,393462738
2026-03-06 16:51:35.666141,392788444
2026-03-06 16:51:35.767413,392069647
2026-03-06 16:51:35.868283,391337768
2026-03-06 16:51:35.969151,390570166
2026-03-06 16:51:36.069802,389769126
2026-03-06 16:51:36.170935,388947600
2026-03-06 16:51:36.272023,388099224
2026-03-06 16:51:36.372836,387224239
2026-03-06 16:51:36.473671,386331593
2026-03-06 16:51:36.574543,385399315
2026-03-06 16:51:36.675497,384456502
2026-03-06 16:51:36.776964,383487778
2026-03-06 16:51:36.877705,382496595
2026-03-06 16:51:36.978801,381482387
2026-03-06 16:51:37.079612,380451722
2026-03-06 16:51:37.180312,379407731
2026-03-06 16:51:37.28135,378337906
2026-03-06 16:51:37.382543,377244165
2026-03-06 16:51:37.483719,376145629
2026-03-06 16:51:37.58371,375030743
2026-03-06 16:51:37.685092,373909335
2026-03-06 16:51:37.785521,372760483
2026-03-06 16:51:37.886717,371611377
2026-03-06 16:51:37.987711,370447432
2026-03-06 16:51:38.089083,369267081
2026-03-06 16:51:38.189732,368086705
2026-03-06 16:51:38.29189,366895938
2026-03-06 16:51:38.391858,365696970
2026-03-06 16:51:38.492622,364503553
2026-03-06 16:51:38.593635,363294829
2026-03-06 16:51:38.694609,362081357
2026-03-06 16:51:38.795995,360875288
2026-03-06 16:51:38.896659,359660681
2026-03-06 16:51:38.998744,358450496
2026-03-06 16:51:39.0984,357242942
2026-03-06 16:51:39.200224,356037817
2026-03-06 16:51:39.30102,354831068
2026-03-06 16:51:39.401334,353633135
2026-03-06 16:51:39.502494,352435138
2026-03-06 16:51:39.603545,351254797
2026-03-06 16:51:39.704906,350069859
2026-03-06 16:51:39.806885,348887981
2026-03-06 16:51:39.907692,347729799
2026-03-06 16:51:40.008377,346584414
2026-03-06 16:51:40.109267,345453943
2026-03-06 16:51:40.210232,344336040
2026-03-06 16:51:40.310776,343225063
2026-03-06 16:51:40.411504,342137885
2026-03-06 16:51:40.513117,341059329
2026-03-06 16:51:40.61417,339994096
2026-03-06 16:51:40.715267,338954057
2026-03-06 16:51:40.815985,337940191
2026-03-06 16:51:40.917298,336940056
2026-03-06 16:51:41.017486,335963229
2026-03-06 16:51:41.118736,334999218
2026-03-06 16:51:41.220186,334063289
2026-03-06 16:51:41.322114,333152613
2026-03-06 16:51:41.421876,332269736
2026-03-06 16:51:41.522612,331412752
2026-03-06 16:51:41.623576,330577204
2026-03-06 16:51:41.724039,329772147
2026-03-06 16:51:41.824951,328991886
2026-03-06 16:51:41.92584,328240902
2026-03-06 16:51:42.026452,327517885
2026-03-06 16:51:42.128015,326826887
2026-03-06 16:51:42.229039,326165503
2026-03-06 16:51:42.3304,325530566
2026-03-06 16:51:42.430672,324934043
2026-03-06 16:51:42.531685,324365682
2026-03-06 16:51:42.633162,323837158
2026-03-06 16:51:42.733612,323338542
2026-03-06 16:51:42.834047,322865806
2026-03-06 16:51:42.935009,322431702
2026-03-06 16:51:43.036241,322037396
2026-03-06 16:51:43.137298,321672077
2026-03-06 16:51:43.237822,321346542
