time,PT.GSE_High.sample_ts_ms
2026-03-06 13:08:24.109687,3275978157
2026-03-06 13:08:24.210542,3275978258
2026-03-06 13:08:24.311291,3275978358
2026-03-06 13:08:24.412182,3275978459
2026-03-06 13:08:24.513193,3275978560
2026-03-06 13:08:24.61437,3275978662
2026-03-06 13:08:24.715407,3275978763
2026-03-06 13:08:24.816543,3275978864
2026-03-06 13:08:24.917696,3275978965
2026-03-06 13:08:25.019196,3275979066
2026-03-06 13:08:25.119779,3275979167
2026-03-06 13:08:25.22098,3275979268
2026-03-06 13:08:25.322638,3275979369
2026-03-06 13:08:25.42325,3275979470
2026-03-06 13:08:25.524297,3275979571
2026-03-06 13:08:25.62537,3275979672
2026-03-06 13:08:25.726087,3275979773
2026-03-06 13:08:25.826241,3275979874
2026-03-06 13:08:25.927275,3275979974
2026-03-06 13:08:26.028282,3275980075
2026-03-06 13:08:26.129621,3275980176
2026-03-06 13:08:26.230564,3275980278
2026-03-06 13:08:26.33151,3275980379
2026-03-06 13:08:26.432893,3275980480
2026-03-06 13:08:26.533708,3275980581
2026-03-06 13:08:26.635019,3275980682
2026-03-06 13:08:26.736478,3275980783
2026-03-06 13:08:26.837189,3275980884
2026-03-06 13:08:26.938461,3275980985
2026-03-06 13:08:27.039169,3275981086
2026-03-06 13:08:27.140275,3275981187
2026-03-06 13:08:27.241024,3275981288
2026-03-06 13:08:27.341896,3275981389
2026-03-06 13:08:27.443395,3275981490
2026-03-06 13:08:27.54418,3275981591
2026-03-06 13:08:27.645731,3275981693
2026-03-06 13:08:27.747265,3275981795
2026-03-06 13:08:27.848636,3275981895
2026-03-06 13:08:27.949493,3275981997
2026-03-06 13:08:28.050967,3275982098
2026-03-06 13:08:28.151934,3275982199
2026-03-06 13:08:28.252967,3275982300
2026-03-06 13:08:28.353813,3275982401
2026-03-06 13:08:28.455151,3275982502
2026-03-06 13:08:28.556717,3275982604
2026-03-06 13:08:28.658118,3275982705
2026-03-06 13:08:28.758599,3275982806
2026-03-06 13:08:28.860376,3275982908
2026-03-06 13:08:28.962937,3275983009
2026-03-06 13:08:29.063186,3275983110
2026-03-06 13:08:29.16432,3275983211
2026-03-06 13:08:29.265441,3275983313
2026-03-06 13:08:29.366726,3275983414
2026-03-06 13:08:29.467938,3275983515
2026-03-06 13:08:29.569389,3275983616
2026-03-06 13:08:29.670842,3275983718
2026-03-06 13:08:29.77203,3275983819
2026-03-06 13:08:29.873091,3275983920
2026-03-06 13:08:29.974206,3275984021
2026-03-06 13:08:30.075156,3275984122
2026-03-06 13:08:30.175957,3275984223
2026-03-06 13:08:30.276535,3275984324
2026-03-06 13:08:30.377392,3275984424
2026-03-06 13:08:30.477958,3275984525
2026-03-06 13:08:30.578963,3275984626
2026-03-06 13:08:30.679929,3275984727
2026-03-06 13:08:30.780555,3275984827
2026-03-06 13:08:30.881711,3275984928
2026-03-06 13:08:30.982595,3275985029
2026-03-06 13:08:31.083352,3275985130
2026-03-06 13:08:31.184298,3275985231
2026-03-06 13:08:31.28504,3275985332
2026-03-06 13:08:31.38637,3275985433
2026-03-06 13:08:31.487092,3275985534
2026-03-06 13:08:31.587723,3275985635
2026-03-06 13:08:31.688635,3275985736
2026-03-06 13:08:31.789225,3275985836
2026-03-06 13:08:31.890158,3275985937
2026-03-06 13:08:31.990632,3275986038
2026-03-06 13:08:32.091692,3275986139
2026-03-06 13:08:32.19217,3275986239
2026-03-06 13:08:32.293432,3275986341
2026-03-06 13:08:32.394514,3275986442
2026-03-06 13:08:32.495535,3275986543
2026-03-06 13:08:32.596584,3275986644
2026-03-06 13:08:32.69738,3275986744
2026-03-06 13:08:32.798881,3275986846
2026-03-06 13:08:32.899401,3275986947
2026-03-06 13:08:33.000134,3275987047
2026-03-06 13:08:33.101307,3275987148
2026-03-06 13:08:33.202206,3275987249
2026-03-06 13:08:33.302814,3275987350
2026-03-06 13:08:33.403791,3275987451
2026-03-06 13:08:33.504534,3275987552
2026-03-06 13:08:33.605739,3275987653
2026-03-06 13:08:33.70646,3275987753
2026-03-06 13:08:33.806837,3275987854
2026-03-06 13:08:33.908136,3275987955
2026-03-06 13:08:34.009086,3275988056
2026-03-06 13:08:34.110309,3275988157
2026-03-06 13:08:34.211124,3275988258
2026-03-06 13:08:34.312242,3275988359
2026-03-06 13:08:34.412715,3275988460
2026-03-06 13:08:34.514036,3275988561
2026-03-06 13:08:34.615043,3275988662
2026-03-06 13:08:34.71645,3275988763
2026-03-06 13:08:34.817497,3275988864
2026-03-06 13:08:34.918636,3275988966
2026-03-06 13:08:35.019639,3275989066
2026-03-06 13:08:35.120661,3275989167
2026-03-06 13:08:35.221474,3275989269
2026-03-06 13:08:35.322834,3275989370
2026-03-06 13:08:35.423755,3275989471
2026-03-06 13:08:35.525012,3275989572
2026-03-06 13:08:35.625619,3275989673
2026-03-06 13:08:35.727146,3275989774
2026-03-06 13:08:35.828321,3275989875
2026-03-06 13:08:35.929456,3275989976
2026-03-06 13:08:36.030059,3275990077
2026-03-06 13:08:36.131004,3275990178
2026-03-06 13:08:36.232097,3275990279
2026-03-06 13:08:36.33257,3275990380
2026-03-06 13:08:36.433925,3275990481
2026-03-06 13:08:36.53579,3275990583
2026-03-06 13:08:36.636433,3275990683
2026-03-06 13:08:36.737475,3275990784
2026-03-06 13:08:36.837854,3275990885
2026-03-06 13:08:36.939423,3275990986
2026-03-06 13:08:37.039925,3275991087
2026-03-06 13:08:37.141102,3275991188
2026-03-06 13:08:37.242042,3275991289
2026-03-06 13:08:37.342763,3275991390
2026-03-06 13:08:37.444145,3275991491
2026-03-06 13:08:37.544635,3275991592
2026-03-06 13:08:37.645866,3275991693
2026-03-06 13:08:37.746593,3275991794
2026-03-06 13:08:37.847256,3275991894
2026-03-06 13:08:37.948399,3275991995
2026-03-06 13:08:38.049695,3275992097
2026-03-06 13:08:38.150179,3275992197
2026-03-06 13:08:38.250902,3275992298
2026-03-06 13:08:38.351894,3275992399
2026-03-06 13:08:38.452679,3275992500
2026-03-06 13:08:38.55342,3275992600
2026-03-06 13:08:38.654145,3275992701
2026-03-06 13:08:38.754926,3275992802
2026-03-06 13:08:38.855808,3275992903
2026-03-06 13:08:38.957296,3275993004
2026-03-06 13:08:39.058516,3275993106
2026-03-06 13:08:39.159932,3275993207
2026-03-06 13:08:39.26123,3275993308
2026-03-06 13:08:39.362158,3275993409
2026-03-06 13:08:39.462573,3275993510
2026-03-06 13:08:39.563628,3275993611
2026-03-06 13:08:39.664272,3275993712
2026-03-06 13:08:39.765061,3275993812
2026-03-06 13:08:39.866017,3275993913
2026-03-06 13:08:39.966427,3275994014
2026-03-06 13:08:40.067734,3275994115
2026-03-06 13:08:40.168849,3275994216
2026-03-06 13:08:40.270295,3275994317
2026-03-06 13:08:40.370724,3275994418
2026-03-06 13:08:40.471942,3275994519
2026-03-06 13:08:40.573107,3275994620
2026-03-06 13:08:40.67365,3275994721
2026-03-06 13:08:40.774551,3275994822
2026-03-06 13:08:40.875657,3275994923
2026-03-06 13:08:40.976857,3275995024
2026-03-06 13:08:41.077953,3275995125
2026-03-06 13:08:41.179601,3275995226
2026-03-06 13:08:41.279968,3275995327
2026-03-06 13:08:41.381826,3275995429
2026-03-06 13:08:41.482385,3275995530
2026-03-06 13:08:41.584161,3275995631
2026-03-06 13:08:41.685199,3275995732
2026-03-06 13:08:41.785975,3275995833
2026-03-06 13:08:41.886992,3275995934
2026-03-06 13:08:41.988154,3275996035
2026-03-06 13:08:42.089519,3275996136
2026-03-06 13:08:42.190375,3275996237
2026-03-06 13:08:42.291452,3275996338
2026-03-06 13:08:42.39208,3275996439
2026-03-06 13:08:42.493851,3275996541
2026-03-06 13:08:42.595664,3275996642
2026-03-06 13:08:42.695381,3275996743
2026-03-06 13:08:42.796614,3275996844
2026-03-06 13:08:42.897838,3275996945
2026-03-06 13:08:42.99843,3275997046
2026-03-06 13:08:43.099861,3275997147
2026-03-06 13:08:43.200353,3275997248
2026-03-06 13:08:43.301978,3275997349
2026-03-06 13:08:43.402767,3275997450
2026-03-06 13:08:43.503919,3275997551
2026-03-06 13:08:43.60457,3275997652
2026-03-06 13:08:43.705388,3275997753
2026-03-06 13:08:43.806913,3275997854
2026-03-06 13:08:43.908349,3275997955
2026-03-06 13:08:44.009004,3275998056
2026-03-06 13:08:44.110131,3275998157
2026-03-06 13:08:44.210628,3275998258
2026-03-06 13:08:44.311366,3275998359
2026-03-06 13:08:44.411945,3275998459
