time,PT.Fuel_Downstream.sample_ts_ms
2026-03-06 12:49:55.77169,3274869819
2026-03-06 12:49:55.872479,3274869920
2026-03-06 12:49:55.973203,3274870020
2026-03-06 12:49:56.074447,3274870121
2026-03-06 12:49:56.175208,3274870222
2026-03-06 12:49:56.276612,3274870324
2026-03-06 12:49:56.377427,3274870424
2026-03-06 12:49:56.478764,3274870526
2026-03-06 12:49:56.579478,3274870626
2026-03-06 12:49:56.680327,3274870727
2026-03-06 12:49:56.781756,3274870828
2026-03-06 12:49:56.882542,3274870930
2026-03-06 12:49:56.983441,3274871030
2026-03-06 12:49:57.084462,3274871132
2026-03-06 12:49:57.185604,3274871232
2026-03-06 12:49:57.28621,3274871334
2026-03-06 12:49:57.387302,3274871434
2026-03-06 12:49:57.488143,3274871535
2026-03-06 12:49:57.588938,3274871636
2026-03-06 12:49:57.690191,3274871737
2026-03-06 12:49:57.790866,3274871838
2026-03-06 12:49:57.891463,3274871939
2026-03-06 12:49:57.99281,3274872040
2026-03-06 12:49:58.093813,3274872141
2026-03-06 12:49:58.194906,3274872242
2026-03-06 12:49:58.296098,3274872343
2026-03-06 12:49:58.396876,3274872444
2026-03-06 12:49:58.497994,3274872545
2026-03-06 12:49:58.598912,3274872646
2026-03-06 12:49:58.699354,3274872747
2026-03-06 12:49:58.800089,3274872847
2026-03-06 12:49:58.901219,3274872948
2026-03-06 12:49:59.002441,3274873049
2026-03-06 12:49:59.103136,3274873150
2026-03-06 12:49:59.204355,3274873251
2026-03-06 12:49:59.305268,3274873352
2026-03-06 12:49:59.405774,3274873453
2026-03-06 12:49:59.507432,3274873554
2026-03-06 12:49:59.6084,3274873655
2026-03-06 12:49:59.709081,3274873756
2026-03-06 12:49:59.810067,3274873857
2026-03-06 12:49:59.910809,3274873958
2026-03-06 12:50:00.012049,3274874059
2026-03-06 12:50:00.112979,3274874160
2026-03-06 12:50:00.214164,3274874261
2026-03-06 12:50:00.314825,3274874362
2026-03-06 12:50:00.416047,3274874463
2026-03-06 12:50:00.516759,3274874564
2026-03-06 12:50:00.617826,3274874665
2026-03-06 12:50:00.718749,3274874766
2026-03-06 12:50:00.819857,3274874867
2026-03-06 12:50:00.921737,3274874968
2026-03-06 12:50:01.022324,3274875069
2026-03-06 12:50:01.123201,3274875170
2026-03-06 12:50:01.224069,3274875271
2026-03-06 12:50:01.32505,3274875372
2026-03-06 12:50:01.425992,3274875473
2026-03-06 12:50:01.52692,3274875574
2026-03-06 12:50:01.628479,3274875675
2026-03-06 12:50:01.729223,3274875776
2026-03-06 12:50:01.830224,3274875877
2026-03-06 12:50:01.930772,3274875978
2026-03-06 12:50:02.032239,3274876079
2026-03-06 12:50:02.133283,3274876180
2026-03-06 12:50:02.234115,3274876281
2026-03-06 12:50:02.335722,3274876383
2026-03-06 12:50:02.436474,3274876484
2026-03-06 12:50:02.537712,3274876585
2026-03-06 12:50:02.639013,3274876686
2026-03-06 12:50:02.739904,3274876787
2026-03-06 12:50:02.842207,3274876888
2026-03-06 12:50:02.941836,3274876989
2026-03-06 12:50:03.042438,3274877090
2026-03-06 12:50:03.143511,3274877191
2026-03-06 12:50:03.244534,3274877291
2026-03-06 12:50:03.345603,3274877392
2026-03-06 12:50:03.446618,3274877493
2026-03-06 12:50:03.547555,3274877594
2026-03-06 12:50:03.648038,3274877695
2026-03-06 12:50:03.74936,3274877797
2026-03-06 12:50:03.851324,3274877898
2026-03-06 12:50:03.952209,3274877999
2026-03-06 12:50:04.053394,3274878100
2026-03-06 12:50:04.15445,3274878201
2026-03-06 12:50:04.255455,3274878303
2026-03-06 12:50:04.356255,3274878403
2026-03-06 12:50:04.45725,3274878505
2026-03-06 12:50:04.558497,3274878606
2026-03-06 12:50:04.659629,3274878706
2026-03-06 12:50:04.760453,3274878808
2026-03-06 12:50:04.860956,3274878908
2026-03-06 12:50:04.962227,3274879009
2026-03-06 12:50:05.062905,3274879110
2026-03-06 12:50:05.1635,3274879211
2026-03-06 12:50:05.265116,3274879312
2026-03-06 12:50:05.366132,3274879413
2026-03-06 12:50:05.467824,3274879515
2026-03-06 12:50:05.568541,3274879615
2026-03-06 12:50:05.669266,3274879716
2026-03-06 12:50:05.770718,3274879817
2026-03-06 12:50:05.871451,3274879918
2026-03-06 12:50:05.973076,3274880020
2026-03-06 12:50:06.074203,3274880121
2026-03-06 12:50:06.175252,3274880222
2026-03-06 12:50:06.276378,3274880323
2026-03-06 12:50:06.377128,3274880424
2026-03-06 12:50:06.478214,3274880525
2026-03-06 12:50:06.578755,3274880626
2026-03-06 12:50:06.679415,3274880726
2026-03-06 12:50:06.7803,3274880827
2026-03-06 12:50:06.881427,3274880928
2026-03-06 12:50:06.982526,3274881029
2026-03-06 12:50:07.083269,3274881130
2026-03-06 12:50:07.184422,3274881231
2026-03-06 12:50:07.285372,3274881332
2026-03-06 12:50:07.386437,3274881434
2026-03-06 12:50:07.487831,3274881534
2026-03-06 12:50:07.58899,3274881635
2026-03-06 12:50:07.689938,3274881737
2026-03-06 12:50:07.790701,3274881838
2026-03-06 12:50:07.891928,3274881939
2026-03-06 12:50:07.992875,3274882040
2026-03-06 12:50:08.093626,3274882140
2026-03-06 12:50:08.194847,3274882242
2026-03-06 12:50:08.296204,3274882343
2026-03-06 12:50:08.397638,3274882444
2026-03-06 12:50:08.497978,3274882545
2026-03-06 12:50:08.598926,3274882646
2026-03-06 12:50:08.699531,3274882747
2026-03-06 12:50:08.800616,3274882847
2026-03-06 12:50:08.901524,3274882949
2026-03-06 12:50:09.003508,3274883050
2026-03-06 12:50:09.104415,3274883151
2026-03-06 12:50:09.205726,3274883252
2026-03-06 12:50:09.306257,3274883353
2026-03-06 12:50:09.407392,3274883454
2026-03-06 12:50:09.508485,3274883555
2026-03-06 12:50:09.608978,3274883656
2026-03-06 12:50:09.710517,3274883757
2026-03-06 12:50:09.811209,3274883858
