time,PT.Ox_Upstream.status
2026-03-06 14:32:19.250991,0
2026-03-06 14:32:19.352241,0
2026-03-06 14:32:19.453213,0
2026-03-06 14:32:19.554382,0
2026-03-06 14:32:19.654634,0
2026-03-06 14:32:19.755679,0
2026-03-06 14:32:19.856836,0
2026-03-06 14:32:19.957226,0
2026-03-06 14:32:20.058381,0
2026-03-06 14:32:20.159363,0
2026-03-06 14:32:20.26053,0
2026-03-06 14:32:20.362138,0
2026-03-06 14:32:20.463057,0
2026-03-06 14:32:20.56427,0
2026-03-06 14:32:20.665277,0
2026-03-06 14:32:20.766728,0
2026-03-06 14:32:20.86747,0
2026-03-06 14:32:20.968968,0
2026-03-06 14:32:21.069725,0
2026-03-06 14:32:21.170837,0
2026-03-06 14:32:21.2717,0
2026-03-06 14:32:21.373122,0
2026-03-06 14:32:21.474164,0
2026-03-06 14:32:21.575004,0
2026-03-06 14:32:21.675759,0
2026-03-06 14:32:21.777305,0
2026-03-06 14:32:21.877924,0
2026-03-06 14:32:21.978496,0
2026-03-06 14:32:22.079321,0
2026-03-06 14:32:22.18007,0
2026-03-06 14:32:22.281319,0
2026-03-06 14:32:22.381717,0
2026-03-06 14:32:22.482497,0
2026-03-06 14:32:22.583817,0
2026-03-06 14:32:22.684275,0
2026-03-06 14:32:22.785414,0
2026-03-06 14:32:22.886306,0
2026-03-06 14:32:22.986898,0
2026-03-06 14:32:23.087813,0
2026-03-06 14:32:23.18841,0
2026-03-06 14:32:23.289219,0
2026-03-06 14:32:23.390181,0
2026-03-06 14:32:23.490862,0
2026-03-06 14:32:23.591532,0
2026-03-06 14:32:23.692264,0
2026-03-06 14:32:23.793454,0
2026-03-06 14:32:23.894085,0
2026-03-06 14:32:23.995151,0
2026-03-06 14:32:24.095544,0
2026-03-06 14:32:24.196635,0
2026-03-06 14:32:24.297564,0
2026-03-06 14:32:24.398376,0
2026-03-06 14:32:24.499018,0
2026-03-06 14:32:24.600241,0
2026-03-06 14:32:24.701367,0
2026-03-06 14:32:24.801813,0
2026-03-06 14:32:24.903366,0
2026-03-06 14:32:25.003772,0
2026-03-06 14:32:25.104342,0
2026-03-06 14:32:25.205745,0
2026-03-06 14:32:25.306087,0
2026-03-06 14:32:25.407515,0
2026-03-06 14:32:25.508562,0
2026-03-06 14:32:25.609246,0
2026-03-06 14:32:25.710326,0
2026-03-06 14:32:25.811628,0
2026-03-06 14:32:25.912512,0
2026-03-06 14:32:26.013397,0
2026-03-06 14:32:26.114535,0
2026-03-06 14:32:26.215372,0
2026-03-06 14:32:26.316333,0
2026-03-06 14:32:26.41718,0
2026-03-06 14:32:26.517807,0
2026-03-06 14:32:26.618859,0
