time,PT.Ox_Upstream.raw_adc_counts
2026-03-06 14:10:51.136715,330511959
2026-03-06 14:10:51.237432,329709227
2026-03-06 14:10:51.338783,328928077
2026-03-06 14:10:51.439784,328179187
2026-03-06 14:10:51.540786,327460671
2026-03-06 14:10:51.641828,326766453
2026-03-06 14:10:51.743157,326109323
2026-03-06 14:10:51.84393,325482869
2026-03-06 14:10:51.945269,324886785
2026-03-06 14:10:52.0464,324321462
2026-03-06 14:10:52.147379,323790976
2026-03-06 14:10:52.248269,323293664
2026-03-06 14:10:52.348724,322822876
2026-03-06 14:10:52.449666,322394958
2026-03-06 14:10:52.550586,322003804
2026-03-06 14:10:52.651598,321642546
2026-03-06 14:10:52.752647,321316602
2026-03-06 14:10:52.853631,321028818
2026-03-06 14:10:52.95488,320771801
2026-03-06 14:10:53.055696,320552675
2026-03-06 14:10:53.156978,320369660
2026-03-06 14:10:53.257965,320219174
2026-03-06 14:10:53.35869,320118312
2026-03-06 14:10:53.459371,320044046
2026-03-06 14:10:53.560498,320003409
2026-03-06 14:10:53.661895,320004983
2026-03-06 14:10:53.762656,320038985
2026-03-06 14:10:53.86373,320116520
2026-03-06 14:10:53.965169,320231012
2026-03-06 14:10:54.065482,320373592
2026-03-06 14:10:54.166878,320556740
2026-03-06 14:10:54.26773,320773303
2026-03-06 14:10:54.368773,321035289
2026-03-06 14:10:54.469689,321327126
2026-03-06 14:10:54.571662,321651203
2026-03-06 14:10:54.67203,322015213
2026-03-06 14:10:54.77315,322414144
2026-03-06 14:10:54.874285,322843097
2026-03-06 14:10:54.975024,323312224
2026-03-06 14:10:55.076288,323811739
2026-03-06 14:10:55.177232,324338493
2026-03-06 14:10:55.277965,324909078
2026-03-06 14:10:55.37884,325506625
2026-03-06 14:10:55.480137,326130691
2026-03-06 14:10:55.58091,326796031
2026-03-06 14:10:55.682348,327489020
2026-03-06 14:10:55.783135,328201491
2026-03-06 14:10:55.884153,328958688
2026-03-06 14:10:55.985523,329735683
