time,PT.Fuel_Fill_Press.status
2026-03-06 14:54:10.097362,0
2026-03-06 14:54:10.198218,0
2026-03-06 14:54:10.299784,0
2026-03-06 14:54:10.400661,0
2026-03-06 14:54:10.501525,0
2026-03-06 14:54:10.602656,0
2026-03-06 14:54:10.703162,0
2026-03-06 14:54:10.804098,0
2026-03-06 14:54:10.905379,0
2026-03-06 14:54:11.005924,0
2026-03-06 14:54:11.107139,0
2026-03-06 14:54:11.208351,0
2026-03-06 14:54:11.309717,0
2026-03-06 14:54:11.41023,0
2026-03-06 14:54:11.511588,0
2026-03-06 14:54:11.612463,0
2026-03-06 14:54:11.713462,0
2026-03-06 14:54:11.814751,0
2026-03-06 14:54:11.91527,0
2026-03-06 14:54:12.016495,0
2026-03-06 14:54:12.117368,0
2026-03-06 14:54:12.218861,0
2026-03-06 14:54:12.3203,0
2026-03-06 14:54:12.421321,0
2026-03-06 14:54:12.52234,0
2026-03-06 14:54:12.622697,0
2026-03-06 14:54:12.723265,0
2026-03-06 14:54:12.824881,0
2026-03-06 14:54:12.925729,0
2026-03-06 14:54:13.027065,0
2026-03-06 14:54:13.128128,0
2026-03-06 14:54:13.229216,0
2026-03-06 14:54:13.330503,0
2026-03-06 14:54:13.43135,0
2026-03-06 14:54:13.53226,0
2026-03-06 14:54:13.633539,0
2026-03-06 14:54:13.734481,0
2026-03-06 14:54:13.83582,0
2026-03-06 14:54:13.936906,0
2026-03-06 14:54:14.037991,0
2026-03-06 14:54:14.139147,0
2026-03-06 14:54:14.239908,0
2026-03-06 14:54:14.341068,0
2026-03-06 14:54:14.442213,0
2026-03-06 14:54:14.543078,0
2026-03-06 14:54:14.643786,0
2026-03-06 14:54:14.745089,0
2026-03-06 14:54:14.846477,0
2026-03-06 14:54:14.947691,0
2026-03-06 14:54:15.048821,0
2026-03-06 14:54:15.149347,0
2026-03-06 14:54:15.250255,0
2026-03-06 14:54:15.351129,0
2026-03-06 14:54:15.451888,0
2026-03-06 14:54:15.55291,0
2026-03-06 14:54:15.654066,0
2026-03-06 14:54:15.754794,0
2026-03-06 14:54:15.856197,0
2026-03-06 14:54:15.957465,0
2026-03-06 14:54:16.058693,0
2026-03-06 14:54:16.159808,0
2026-03-06 14:54:16.261145,0
2026-03-06 14:54:16.361917,0
