time,PT.Ox_Downstream.channel_id
2026-03-06 12:32:27.746713,7
2026-03-06 12:32:27.847558,7
2026-03-06 12:32:27.948384,7
2026-03-06 12:32:28.049691,7
2026-03-06 12:32:28.150395,7
2026-03-06 12:32:28.251575,7
2026-03-06 12:32:28.352464,7
2026-03-06 12:32:28.453769,7
2026-03-06 12:32:28.555607,7
2026-03-06 12:32:28.655682,7
2026-03-06 12:32:28.756654,7
2026-03-06 12:32:28.857669,7
2026-03-06 12:32:28.958636,7
2026-03-06 12:32:29.059871,7
2026-03-06 12:32:29.16063,7
2026-03-06 12:32:29.261702,7
2026-03-06 12:32:29.363134,7
2026-03-06 12:32:29.464381,7
2026-03-06 12:32:29.565512,7
2026-03-06 12:32:29.666494,7
2026-03-06 12:32:29.767217,7
2026-03-06 12:32:29.868567,7
2026-03-06 12:32:29.969053,7
2026-03-06 12:32:30.069881,7
2026-03-06 12:32:30.17062,7
2026-03-06 12:32:30.271953,7
2026-03-06 12:32:30.373181,7
2026-03-06 12:32:30.474149,7
2026-03-06 12:32:30.575297,7
2026-03-06 12:32:30.675909,7
2026-03-06 12:32:30.777017,7
2026-03-06 12:32:30.877308,7
2026-03-06 12:32:30.97827,7
2026-03-06 12:32:31.079532,7
2026-03-06 12:32:31.181174,7
2026-03-06 12:32:31.282748,7
2026-03-06 12:32:31.383617,7
2026-03-06 12:32:31.485068,7
2026-03-06 12:32:31.585967,7
2026-03-06 12:32:31.687276,7
2026-03-06 12:32:31.787985,7
2026-03-06 12:32:31.888849,7
2026-03-06 12:32:31.989807,7
2026-03-06 12:32:32.090634,7
2026-03-06 12:32:32.191714,7
2026-03-06 12:32:32.292349,7
2026-03-06 12:32:32.393518,7
2026-03-06 12:32:32.494593,7
2026-03-06 12:32:32.595985,7
2026-03-06 12:32:32.696736,7
2026-03-06 12:32:32.797454,7
2026-03-06 12:32:32.898569,7
2026-03-06 12:32:32.99931,7
2026-03-06 12:32:33.100166,7
2026-03-06 12:32:33.201174,7
2026-03-06 12:32:33.301859,7
2026-03-06 12:32:33.402694,7
2026-03-06 12:32:33.503688,7
2026-03-06 12:32:33.604624,7
2026-03-06 12:32:33.705904,7
2026-03-06 12:32:33.807372,7
2026-03-06 12:32:33.908657,7
2026-03-06 12:32:34.009311,7
2026-03-06 12:32:34.110297,7
2026-03-06 12:32:34.211401,7
2026-03-06 12:32:34.312507,7
2026-03-06 12:32:34.413897,7
2026-03-06 12:32:34.515142,7
2026-03-06 12:32:34.616901,7
2026-03-06 12:32:34.718172,7
2026-03-06 12:32:34.819329,7
2026-03-06 12:32:34.920512,7
2026-03-06 12:32:35.021709,7
2026-03-06 12:32:35.122372,7
2026-03-06 12:32:35.223724,7
2026-03-06 12:32:35.324552,7
2026-03-06 12:32:35.425443,7
2026-03-06 12:32:35.526983,7
