time,PT.Ox_Upstream.channel_id
2026-03-06 14:37:29.022407,5
2026-03-06 14:37:29.123573,5
2026-03-06 14:37:29.22448,5
2026-03-06 14:37:29.325124,5
2026-03-06 14:37:29.425944,5
2026-03-06 14:37:29.527072,5
2026-03-06 14:37:29.627554,5
2026-03-06 14:37:29.729003,5
2026-03-06 14:37:29.829771,5
2026-03-06 14:37:29.930686,5
2026-03-06 14:37:30.031692,5
2026-03-06 14:37:30.132667,5
2026-03-06 14:37:30.233569,5
2026-03-06 14:37:30.334295,5
2026-03-06 14:37:30.435071,5
2026-03-06 14:37:30.536117,5
2026-03-06 14:37:30.636937,5
2026-03-06 14:37:30.738062,5
2026-03-06 14:37:30.838427,5
2026-03-06 14:37:30.939473,5
2026-03-06 14:37:31.04038,5
2026-03-06 14:37:31.141052,5
2026-03-06 14:37:31.241985,5
2026-03-06 14:37:31.342889,5
2026-03-06 14:37:31.443893,5
2026-03-06 14:37:31.545147,5
2026-03-06 14:37:31.64681,5
2026-03-06 14:37:31.747593,5
2026-03-06 14:37:31.848743,5
2026-03-06 14:37:31.949527,5
2026-03-06 14:37:32.051955,5
2026-03-06 14:37:32.152075,5
2026-03-06 14:37:32.252964,5
2026-03-06 14:37:32.354114,5
2026-03-06 14:37:32.455338,5
2026-03-06 14:37:32.55615,5
2026-03-06 14:37:32.656982,5
2026-03-06 14:37:32.757711,5
2026-03-06 14:37:32.858775,5
2026-03-06 14:37:32.959577,5
2026-03-06 14:37:33.060931,5
2026-03-06 14:37:33.160626,5
2026-03-06 14:37:33.261761,5
2026-03-06 14:37:33.362811,5
2026-03-06 14:37:33.463528,5
2026-03-06 14:37:33.564236,5
2026-03-06 14:37:33.665219,5
2026-03-06 14:37:33.765878,5
2026-03-06 14:37:33.866963,5
2026-03-06 14:37:33.96801,5
2026-03-06 14:37:34.069698,5
2026-03-06 14:37:34.170044,5
2026-03-06 14:37:34.270945,5
2026-03-06 14:37:34.372015,5
2026-03-06 14:37:34.472951,5
2026-03-06 14:37:34.573882,5
2026-03-06 14:37:34.674298,5
2026-03-06 14:37:34.775199,5
2026-03-06 14:37:34.876433,5
2026-03-06 14:37:34.977331,5
2026-03-06 14:37:35.078512,5
2026-03-06 14:37:35.179174,5
2026-03-06 14:37:35.279746,5
2026-03-06 14:37:35.38063,5
2026-03-06 14:37:35.481602,5
2026-03-06 14:37:35.582372,5
2026-03-06 14:37:35.683102,5
2026-03-06 14:37:35.784048,5
2026-03-06 14:37:35.884965,5
2026-03-06 14:37:35.986049,5
2026-03-06 14:37:36.087534,5
2026-03-06 14:37:36.187669,5
2026-03-06 14:37:36.288281,5
2026-03-06 14:37:36.389442,5
2026-03-06 14:37:36.490331,5
2026-03-06 14:37:36.591579,5
2026-03-06 14:37:36.692564,5
2026-03-06 14:37:36.793289,5
2026-03-06 14:37:36.894297,5
2026-03-06 14:37:36.995171,5
2026-03-06 14:37:37.096777,5
2026-03-06 14:37:37.19677,5
2026-03-06 14:37:37.297883,5
2026-03-06 14:37:37.39911,5
2026-03-06 14:37:37.499746,5
2026-03-06 14:37:37.600765,5
2026-03-06 14:37:37.702052,5
2026-03-06 14:37:37.802727,5
2026-03-06 14:37:37.903342,5
2026-03-06 14:37:38.004444,5
2026-03-06 14:37:38.106321,5
2026-03-06 14:37:38.206022,5
2026-03-06 14:37:38.306942,5
2026-03-06 14:37:38.407953,5
2026-03-06 14:37:38.508789,5
2026-03-06 14:37:38.609827,5
2026-03-06 14:37:38.710241,5
2026-03-06 14:37:38.811496,5
2026-03-06 14:37:38.912507,5
2026-03-06 14:37:39.013201,5
2026-03-06 14:37:39.114745,5
2026-03-06 14:37:39.215231,5
2026-03-06 14:37:39.315862,5
2026-03-06 14:37:39.417023,5
2026-03-06 14:37:39.517955,5
2026-03-06 14:37:39.618678,5
2026-03-06 14:37:39.719791,5
2026-03-06 14:37:39.82047,5
2026-03-06 14:37:39.921354,5
2026-03-06 14:37:40.022731,5
2026-03-06 14:37:40.124049,5
2026-03-06 14:37:40.224124,5
2026-03-06 14:37:40.324928,5
2026-03-06 14:37:40.425745,5
2026-03-06 14:37:40.527035,5
2026-03-06 14:37:40.628117,5
2026-03-06 14:37:40.728981,5
2026-03-06 14:37:40.829894,5
2026-03-06 14:37:40.930211,5
2026-03-06 14:37:41.031005,5
2026-03-06 14:37:41.132959,5
2026-03-06 14:37:41.232933,5
2026-03-06 14:37:41.33359,5
2026-03-06 14:37:41.434756,5
2026-03-06 14:37:41.535673,5
2026-03-06 14:37:41.636583,5
2026-03-06 14:37:41.737607,5
2026-03-06 14:37:41.838414,5
2026-03-06 14:37:41.939462,5
2026-03-06 14:37:42.040259,5
2026-03-06 14:37:42.14171,5
2026-03-06 14:37:42.241623,5
2026-03-06 14:37:42.342466,5
2026-03-06 14:37:42.443475,5
2026-03-06 14:37:42.54436,5
2026-03-06 14:37:42.645555,5
2026-03-06 14:37:42.746184,5
2026-03-06 14:37:42.847342,5
2026-03-06 14:37:42.948535,5
2026-03-06 14:37:43.049081,5
2026-03-06 14:37:43.150864,5
2026-03-06 14:37:43.251312,5
2026-03-06 14:37:43.352338,5
2026-03-06 14:37:43.453099,5
2026-03-06 14:37:43.553705,5
2026-03-06 14:37:43.655096,5
2026-03-06 14:37:43.755683,5
2026-03-06 14:37:43.856462,5
2026-03-06 14:37:43.957564,5
2026-03-06 14:37:44.058958,5
2026-03-06 14:37:44.160086,5
2026-03-06 14:37:44.260218,5
2026-03-06 14:37:44.361941,5
2026-03-06 14:37:44.462335,5
2026-03-06 14:37:44.563716,5
2026-03-06 14:37:44.664392,5
2026-03-06 14:37:44.765855,5
2026-03-06 14:37:44.866877,5
2026-03-06 14:37:44.967896,5
2026-03-06 14:37:45.068858,5
2026-03-06 14:37:45.169835,5
2026-03-06 14:37:45.270509,5
2026-03-06 14:37:45.371977,5
2026-03-06 14:37:45.472347,5
2026-03-06 14:37:45.573575,5
2026-03-06 14:37:45.674301,5
2026-03-06 14:37:45.775334,5
2026-03-06 14:37:45.876182,5
2026-03-06 14:37:45.976984,5
2026-03-06 14:37:46.078176,5
2026-03-06 14:37:46.17872,5
2026-03-06 14:37:46.279831,5
2026-03-06 14:37:46.380453,5
2026-03-06 14:37:46.48154,5
2026-03-06 14:37:46.581697,5
2026-03-06 14:37:46.682529,5
2026-03-06 14:37:46.783525,5
2026-03-06 14:37:46.884218,5
2026-03-06 14:37:46.985069,5
2026-03-06 14:37:47.085864,5
2026-03-06 14:37:47.186554,5
2026-03-06 14:37:47.287522,5
2026-03-06 14:37:47.388132,5
2026-03-06 14:37:47.489208,5
2026-03-06 14:37:47.589979,5
2026-03-06 14:37:47.691138,5
2026-03-06 14:37:47.79167,5
2026-03-06 14:37:47.892469,5
2026-03-06 14:37:47.993227,5
2026-03-06 14:37:48.094495,5
2026-03-06 14:37:48.195514,5
2026-03-06 14:37:48.296605,5
2026-03-06 14:37:48.397474,5
2026-03-06 14:37:48.498101,5
2026-03-06 14:37:48.599345,5
2026-03-06 14:37:48.699542,5
2026-03-06 14:37:48.80074,5
2026-03-06 14:37:48.901622,5
2026-03-06 14:37:49.002525,5
2026-03-06 14:37:49.103233,5
2026-03-06 14:37:49.20432,5
2026-03-06 14:37:49.305435,5
2026-03-06 14:37:49.405831,5
2026-03-06 14:37:49.506981,5
2026-03-06 14:37:49.607609,5
2026-03-06 14:37:49.70856,5
2026-03-06 14:37:49.809715,5
2026-03-06 14:37:49.910022,5
2026-03-06 14:37:50.011261,5
2026-03-06 14:37:50.111975,5
2026-03-06 14:37:50.213123,5
2026-03-06 14:37:50.31391,5
2026-03-06 14:37:50.414805,5
2026-03-06 14:37:50.515563,5
2026-03-06 14:37:50.616597,5
2026-03-06 14:37:50.717805,5
2026-03-06 14:37:50.819194,5
2026-03-06 14:37:50.919702,5
2026-03-06 14:37:51.020604,5
2026-03-06 14:37:51.121658,5
2026-03-06 14:37:51.222187,5
2026-03-06 14:37:51.323076,5
2026-03-06 14:37:51.423892,5
2026-03-06 14:37:51.524601,5
2026-03-06 14:37:51.625199,5
2026-03-06 14:37:51.726432,5
2026-03-06 14:37:51.827289,5
2026-03-06 14:37:51.928869,5
2026-03-06 14:37:52.02948,5
2026-03-06 14:37:52.130411,5
2026-03-06 14:37:52.23092,5
2026-03-06 14:37:52.332017,5
2026-03-06 14:37:52.433383,5
2026-03-06 14:37:52.534219,5
2026-03-06 14:37:52.634812,5
2026-03-06 14:37:52.736063,5
2026-03-06 14:37:52.837056,5
2026-03-06 14:37:52.937739,5
2026-03-06 14:37:53.039222,5
2026-03-06 14:37:53.140221,5
2026-03-06 14:37:53.240877,5
2026-03-06 14:37:53.342004,5
2026-03-06 14:37:53.443228,5
2026-03-06 14:37:53.543685,5
2026-03-06 14:37:53.644919,5
2026-03-06 14:37:53.745686,5
2026-03-06 14:37:53.846694,5
2026-03-06 14:37:53.947815,5
2026-03-06 14:37:54.048917,5
2026-03-06 14:37:54.149558,5
2026-03-06 14:37:54.250356,5
2026-03-06 14:37:54.351778,5
2026-03-06 14:37:54.452673,5
2026-03-06 14:37:54.553472,5
2026-03-06 14:37:54.654496,5
2026-03-06 14:37:54.755373,5
2026-03-06 14:37:54.856395,5
2026-03-06 14:37:54.95735,5
2026-03-06 14:37:55.058951,5
2026-03-06 14:37:55.159673,5
2026-03-06 14:37:55.260368,5
2026-03-06 14:37:55.361672,5
2026-03-06 14:37:55.462558,5
2026-03-06 14:37:55.563315,5
2026-03-06 14:37:55.664252,5
2026-03-06 14:37:55.765506,5
2026-03-06 14:37:55.866192,5
2026-03-06 14:37:55.967643,5
2026-03-06 14:37:56.068055,5
2026-03-06 14:37:56.169084,5
2026-03-06 14:37:56.270122,5
2026-03-06 14:37:56.371082,5
2026-03-06 14:37:56.471629,5
2026-03-06 14:37:56.572588,5
2026-03-06 14:37:56.673747,5
2026-03-06 14:37:56.77437,5
