time,PT.GSE_High.raw_adc_counts
2026-03-06 14:33:32.15098,706544371
2026-03-06 14:33:32.251732,725931267
2026-03-06 14:33:32.352838,745749442
2026-03-06 14:33:32.45427,766133448
2026-03-06 14:33:32.555527,786896909
2026-03-06 14:33:32.656622,808054163
2026-03-06 14:33:32.75733,829578120
2026-03-06 14:33:32.858255,851436367
2026-03-06 14:33:32.958776,873656407
2026-03-06 14:33:33.060071,896234868
2026-03-06 14:33:33.161046,919146996
2026-03-06 14:33:33.261976,942329568
2026-03-06 14:33:33.362906,965812453
2026-03-06 14:33:33.463533,989475994
2026-03-06 14:33:33.56482,1013422931
2026-03-06 14:33:33.665529,1037540724
2026-03-06 14:33:33.766282,1061854494
2026-03-06 14:33:33.867282,1086318513
2026-03-06 14:33:33.968387,1111038766
2026-03-06 14:33:34.069931,1135794904
2026-03-06 14:33:34.17068,1160630610
2026-03-06 14:33:34.271656,1185537628
2026-03-06 14:33:34.372306,1210455281
2026-03-06 14:33:34.473578,1235403767
2026-03-06 14:33:34.573839,1260326596
2026-03-06 14:33:34.674701,1285217815
2026-03-06 14:33:34.775576,1310039906
2026-03-06 14:33:34.876241,1334824795
2026-03-06 14:33:34.976751,1359533190
2026-03-06 14:33:35.078727,1384165706
2026-03-06 14:33:35.179591,1408831608
2026-03-06 14:33:35.280671,1433181784
2026-03-06 14:33:35.381138,1457295903
2026-03-06 14:33:35.482432,1481308473
2026-03-06 14:33:35.583446,1505094347
2026-03-06 14:33:35.684996,1528637921
2026-03-06 14:33:35.785337,1551838628
2026-03-06 14:33:35.886635,1574753731
2026-03-06 14:33:35.987064,1597345742
2026-03-06 14:33:36.08803,1619642134
2026-03-06 14:33:36.189196,1641570864
2026-03-06 14:33:36.289713,1663123236
2026-03-06 14:33:36.391031,1684280652
2026-03-06 14:33:36.491892,1705035848
2026-03-06 14:33:36.592573,1725334336
2026-03-06 14:33:36.693098,1745220032
2026-03-06 14:33:36.794134,1764685402
2026-03-06 14:33:36.895605,1783696536
2026-03-06 14:33:36.996358,1802115196
2026-03-06 14:33:37.097502,1820028308
2026-03-06 14:33:37.198715,1837419689
2026-03-06 14:33:37.299403,1854268858
2026-03-06 14:33:37.400569,1870581087
2026-03-06 14:33:37.501647,1886274373
2026-03-06 14:33:37.602796,1901377573
2026-03-06 14:33:37.703483,1915870354
2026-03-06 14:33:37.804725,1929776220
2026-03-06 14:33:37.90569,1943005923
2026-03-06 14:33:38.006958,1955574777
2026-03-06 14:33:38.107663,1967463031
2026-03-06 14:33:38.207829,1978675838
2026-03-06 14:33:38.309302,1989255333
2026-03-06 14:33:38.410057,1999130313
2026-03-06 14:33:38.510899,2008305016
