time,RTD_Cal.CH1.cal_status
2026-03-06 12:33:09.549427,0
2026-03-06 12:33:09.650347,0
2026-03-06 12:33:09.751046,0
2026-03-06 12:33:09.852298,0
2026-03-06 12:33:09.952786,0
2026-03-06 12:33:10.053578,0
2026-03-06 12:33:10.15469,0
2026-03-06 12:33:10.255631,0
2026-03-06 12:33:10.35666,0
2026-03-06 12:33:10.457097,0
2026-03-06 12:33:10.558242,0
2026-03-06 12:33:10.659909,0
2026-03-06 12:33:10.761281,0
2026-03-06 12:33:10.862611,0
2026-03-06 12:33:10.963383,0
2026-03-06 12:33:11.063916,0
2026-03-06 12:33:11.165577,0
2026-03-06 12:33:11.266651,0
2026-03-06 12:33:11.368133,0
2026-03-06 12:33:11.469098,0
2026-03-06 12:33:11.569856,0
2026-03-06 12:33:11.671176,0
2026-03-06 12:33:11.772664,0
2026-03-06 12:33:11.873035,0
2026-03-06 12:33:11.97386,0
2026-03-06 12:33:12.074772,0
2026-03-06 12:33:12.176816,0
2026-03-06 12:33:12.277642,0
2026-03-06 12:33:12.378852,0
2026-03-06 12:33:12.479888,0
2026-03-06 12:33:12.580757,0
2026-03-06 12:33:12.681123,0
2026-03-06 12:33:12.782309,0
2026-03-06 12:33:12.882897,0
2026-03-06 12:33:12.984191,0
2026-03-06 12:33:13.085372,0
2026-03-06 12:33:13.186728,0
2026-03-06 12:33:13.287445,0
2026-03-06 12:33:13.389301,0
2026-03-06 12:33:13.489734,0
2026-03-06 12:33:13.590711,0
2026-03-06 12:33:13.691605,0
2026-03-06 12:33:13.792324,0
2026-03-06 12:33:13.893127,0
2026-03-06 12:33:13.994368,0
2026-03-06 12:33:14.09493,0
2026-03-06 12:33:14.195917,0
2026-03-06 12:33:14.29669,0
2026-03-06 12:33:14.397967,0
2026-03-06 12:33:14.499093,0
2026-03-06 12:33:14.599866,0
2026-03-06 12:33:14.701174,0
2026-03-06 12:33:14.802324,0
2026-03-06 12:33:14.903762,0
2026-03-06 12:33:15.005353,0
2026-03-06 12:33:15.105824,0
2026-03-06 12:33:15.20745,0
2026-03-06 12:33:15.308408,0
2026-03-06 12:33:15.409199,0
2026-03-06 12:33:15.510146,0
2026-03-06 12:33:15.611551,0
2026-03-06 12:33:15.712655,0
2026-03-06 12:33:15.813608,0
2026-03-06 12:33:15.915058,0
2026-03-06 12:33:16.015748,0
2026-03-06 12:33:16.117062,0
2026-03-06 12:33:16.217771,0
2026-03-06 12:33:16.318826,0
2026-03-06 12:33:16.419651,0
2026-03-06 12:33:16.520335,0
2026-03-06 12:33:16.621423,0
2026-03-06 12:33:16.722208,0
2026-03-06 12:33:16.823302,0
2026-03-06 12:33:16.924007,0
2026-03-06 12:33:17.025443,0
2026-03-06 12:33:17.127771,0
2026-03-06 12:33:17.22923,0
2026-03-06 12:33:17.329915,0
2026-03-06 12:33:17.430738,0
2026-03-06 12:33:17.531355,0
2026-03-06 12:33:17.632077,0
2026-03-06 12:33:17.733342,0
2026-03-06 12:33:17.833879,0
2026-03-06 12:33:17.93513,0
2026-03-06 12:33:18.036078,0
2026-03-06 12:33:18.136668,0
2026-03-06 12:33:18.237397,0
2026-03-06 12:33:18.338359,0
2026-03-06 12:33:18.439151,0
2026-03-06 12:33:18.540005,0
2026-03-06 12:33:18.64072,0
2026-03-06 12:33:18.741505,0
2026-03-06 12:33:18.842515,0
2026-03-06 12:33:18.943715,0
2026-03-06 12:33:19.044726,0
2026-03-06 12:33:19.145787,0
2026-03-06 12:33:19.246438,0
2026-03-06 12:33:19.348248,0
2026-03-06 12:33:19.449325,0
2026-03-06 12:33:19.550959,0
2026-03-06 12:33:19.651694,0
2026-03-06 12:33:19.753163,0
