time,LC.CH2.sample_ts_ms
2026-03-06 13:49:34.66057,3278448708
2026-03-06 13:49:34.761782,3278448809
2026-03-06 13:49:34.8623,3278448910
2026-03-06 13:49:34.964373,3278449011
2026-03-06 13:49:35.064436,3278449112
2026-03-06 13:49:35.165857,3278449213
2026-03-06 13:49:35.266491,3278449314
2026-03-06 13:49:35.367826,3278449415
2026-03-06 13:49:35.468981,3278449516
2026-03-06 13:49:35.569502,3278449617
2026-03-06 13:49:35.670577,3278449718
2026-03-06 13:49:35.771934,3278449819
2026-03-06 13:49:35.873006,3278449920
2026-03-06 13:49:35.973866,3278450021
2026-03-06 13:49:36.074547,3278450121
2026-03-06 13:49:36.175393,3278450222
2026-03-06 13:49:36.276096,3278450323
2026-03-06 13:49:36.376574,3278450424
2026-03-06 13:49:36.477317,3278450525
2026-03-06 13:49:36.578154,3278450626
2026-03-06 13:49:36.679165,3278450726
2026-03-06 13:49:36.7799,3278450827
2026-03-06 13:49:36.880431,3278450928
2026-03-06 13:49:36.981363,3278451029
2026-03-06 13:49:37.082288,3278451129
2026-03-06 13:49:37.182686,3278451230
2026-03-06 13:49:37.283662,3278451331
2026-03-06 13:49:37.384432,3278451431
2026-03-06 13:49:37.485341,3278451533
2026-03-06 13:49:37.586866,3278451634
2026-03-06 13:49:37.687694,3278451735
2026-03-06 13:49:37.788427,3278451835
2026-03-06 13:49:37.889377,3278451936
2026-03-06 13:49:37.990362,3278452037
2026-03-06 13:49:38.091385,3278452138
2026-03-06 13:49:38.192557,3278452239
2026-03-06 13:49:38.293624,3278452341
2026-03-06 13:49:38.394302,3278452441
2026-03-06 13:49:38.495762,3278452543
2026-03-06 13:49:38.596768,3278452644
2026-03-06 13:49:38.697749,3278452745
2026-03-06 13:49:38.798468,3278452846
2026-03-06 13:49:38.899726,3278452947
2026-03-06 13:49:39.000949,3278453048
2026-03-06 13:49:39.10184,3278453149
2026-03-06 13:49:39.203199,3278453250
2026-03-06 13:49:39.303751,3278453351
2026-03-06 13:49:39.404984,3278453452
2026-03-06 13:49:39.505698,3278453553
