T_K,P_Pa,Z
248.29145728643215,3049246.2311557787,0.9780125496136179
248.29145728643215,3089949.7487437185,0.9777635218584118
248.29145728643215,3130653.2663316582,0.9775157554168785
248.29145728643215,3171356.783919598,0.9772692537845655
248.29145728643215,3212060.3015075377,0.9770240204528285
248.29145728643215,3252763.8190954775,0.9767800589085611
248.29145728643215,3293467.336683417,0.9765373726339246
248.29145728643215,3334170.854271357,0.9762959651060796
248.29145728643215,3374874.3718592967,0.9760558397969177
248.29145728643215,3415577.8894472364,0.9758170001727927
248.29145728643215,3456281.4070351757,0.9755794496942548
248.29145728643215,3496984.9246231155,0.9753431918157839
248.29145728643215,3537688.442211055,0.9751082299855235
248.29145728643215,3578391.959798995,0.9748745676450166
248.29145728643215,3619095.4773869347,0.9746422082289411
248.29145728643215,3659798.9949748744,0.9744111551648471
248.29145728643215,3700502.512562814,0.9741814118728946
248.29145728643215,3741206.030150754,0.9739529817655909
248.29145728643215,3781909.5477386937,0.9737258682475316
248.29145728643215,3822613.0653266334,0.9735000747151397
248.29145728643215,3863316.582914573,0.9732756045564073
248.29145728643215,3904020.1005025124,0.9730524611506375
248.29145728643215,3944723.618090452,0.9728306478681884
248.29145728643215,3985427.135678392,0.9726101680702158
248.29145728643215,4026130.6532663316,0.9723910251084201
248.29145728643215,4066834.1708542714,0.9721732223247908
248.29145728643215,4107537.688442211,0.9719567630513555
248.29145728643215,4148241.206030151,0.971741651
248.29145728643215,4188944.7236180906,0.9715278883118535
248.29145728643215,4229648.241,0.9713154794577695
248.29145728643215,4270351.758793971,0.9711044273373466
248.29145728643215,4311055.276,0.9708947352290478
248.29145728643215,4351758.793969849,0.9706864063998807
248.29145728643215,4392462.311557788,0.9704794441051535
248.29145728643215,4433165.829145729,0.970273852
248.29145728643215,4473869.346733669,0.9700696320802964
248.29145728643215,4514572.864321608,0.9698667888001022
248.29145728643215,4555276.381909547,0.9696653249537396
248.29145728643215,4595979.899497488,0.9694652437343956
248.29145728643215,4636683.417085427,0.9692665483221174
248.29145728643215,4677386.934673367,0.9690692418835781
248.29145728643215,4718090.452261306,0.9688733275718406
248.29145728643215,4758793.969849247,0.968678809
248.29145728643215,4799497.487437186,0.9684856878715864
248.29145728643215,4840201.005025126,0.9682939687190663
248.29145728643215,4880904.522613065,0.9681036541648833
248.29145728643215,4921608.0402010055,0.9679147472905972
248.29145728643215,4962311.557788945,0.9677272511627859
248.29145728643215,5003015.075376884,0.9675411688328212
248.29145728643215,5043718.592964824,0.9673565033366472
248.29145728643215,5084422.110552764,0.9671732576945603
248.29145728643215,5125125.628140704,0.9669914349109894
248.29145728643215,5165829.145728643,0.9668110379742789
248.29145728643215,5206532.663316583,0.9666320698564737
248.29145728643215,5247236.180904523,0.9664545335131043
248.29145728643215,5287939.698492463,0.9662784318829751
248.29145728643215,5328643.216080402,0.9661037678879536
248.29145728643215,5369346.733668342,0.9659305444327613
248.29145728643215,5410050.2512562815,0.9657587644047664
248.29145728643215,5450753.768844221,0.9655884306737785
248.29145728643215,5491457.286432161,0.9654195460918451
248.29145728643215,5532160.804,0.9652521134930486
248.29145728643215,5572864.3216080405,0.9650861356933073
248.29145728643215,5613567.839,0.9649216154901759
248.29145728643215,5654271.357,0.9647585556626496
248.29145728643215,5694974.874371859,0.9645969589709685
248.29145728643215,5735678.391959799,0.964436828
248.29145728643215,5776381.909547739,0.9642781659411758
248.29145728643215,5817085.427135679,0.9641209750280438
248.29145728643215,5857788.944723618,0.9639652581003412
248.29145728643215,5898492.4623115575,0.963811018
248.29145728643215,5939195.979899498,0.9636582568357768
248.29145728643215,5979899.497487437,0.963506978
248.29145728643215,6020603.015075377,0.9633571832166568
248.29145728643215,6061306.5326633165,0.9632088757698388
248.29145728643215,6102010.050251257,0.9630620579882341
248.29145728643215,6142713.567839196,0.9629167324134584
248.29145728643215,6183417.085427136,0.9627729015661811
248.29145728643215,6224120.603015075,0.9626305679459567
248.29145728643215,6264824.120603016,0.9624897340310555
248.29145728643215,6305527.638190955,0.9623504022782989
248.29145728643215,6346231.155778894,0.962212575
248.29145728643215,6386934.673366834,0.962076255
248.29145728643215,6427638.190954774,0.9619414442359326
248.29145728643215,6468341.708542714,0.961808145
248.29145728643215,6509045.226130653,0.96167636
248.29145728643215,6549748.743718593,0.9615460920052301
248.29145728643215,6590452.261306533,0.9614173423427891
248.29145728643215,6631155.778894473,0.9612901137056289
248.29145728643215,6671859.296482412,0.9611644083503901
248.29145728643215,6712562.814070351,0.9610402285107179
248.29145728643215,6753266.331658292,0.960917576
248.29145728643215,6793969.849246231,0.9607964541968069
248.29145728643215,6834673.366834171,0.9606768640735927
248.29145728643215,6875376.884,0.9605588081677168
248.29145728643215,6916080.402010051,0.960442289
248.29145728643215,6956783.92,0.9603273074503611
248.29145728643215,6997487.437,0.9602138668003768
248.29145728643215,7038190.954773869,0.9601019686904636
248.29145728643215,7078894.472,0.9599916151410959
248.29145728643215,7119597.989949749,0.9598828081484131
248.29145728643215,7160301.507537688,0.9597755496840972
248.29145728643215,7201005.025125628,0.9596698416952535
248.29145728643215,7241708.542713568,0.9595656861042919
248.29145728643215,7282412.060301508,0.9594630848088126
248.29145728643215,7323115.577889447,0.9593620396814914
248.29145728643215,7363819.095477387,0.959262553
248.29145728643215,7404522.613065327,0.959164625
248.29145728643215,7445226.130653267,0.9590682596590558
248.29145728643215,7485929.648241206,0.9589734574288002
248.29145728643215,7526633.165829146,0.9588802203524059
248.29145728643215,7567336.683417086,0.9587885501507455
248.29145728643215,7608040.201005025,0.9586984485190331
248.29145728643215,7648743.718592965,0.9586099171267313
248.29145728643215,7689447.236180904,0.9585229576174538
248.29145728643215,7730150.7537688445,0.9584375716088768
248.29145728643215,7770854.271356784,0.9583537606926475
248.29145728643215,7811557.788944724,0.9582715264342978
248.29145728643215,7852261.306532663,0.95819087
248.29145728643215,7892964.8241206035,0.9581117940222746
248.29145728643215,7933668.341708543,0.9580342988683297
248.29145728643215,7974371.859296483,0.9579583863715615
248.29145728643215,8015075.376884422,0.9578840579656883
248.29145728643215,8055778.894472362,0.9578113150578343
248.29145728643215,8096482.412060302,0.957740159
248.29145728643215,8137185.929648241,0.9576705912312766
248.29145728643215,8177889.447236181,0.9576026129932099
248.29145728643215,8218592.9648241205,0.9575362256143034
248.29145728643215,8259296.482412061,0.9574714303676696
248.29145728643215,8300000,0.9574082284994261
249.3467336683417,200000,0.9984074931656761
249.3467336683417,240703.51758793968,0.9980863795592257
249.3467336683417,281407.03517587937,0.997766284
249.3467336683417,322110.5527638191,0.9974472092496034
249.3467336683417,362814.0703517588,0.9971291585936655
249.3467336683417,403517.5879396985,0.9968121349918504
249.3467336683417,444221.1055276382,0.9964961415024759
249.3467336683417,484924.6231155779,0.9961811811972879
249.3467336683417,525628.1407035176,0.9958672571612079
249.3467336683417,566331.6582914572,0.9955543724920797
249.3467336683417,607035.1759,0.9952425303004149
249.3467336683417,647738.6934673367,0.9949317337091382
249.3467336683417,688442.2110552764,0.9946219858533324
249.3467336683417,729145.7286432161,0.9943132898799805
249.3467336683417,769849.2462311558,0.994005649
249.3467336683417,810552.7638190954,0.9936990662265346
249.3467336683417,851256.2814070352,0.9933935448975953
249.3467336683417,891959.7989949749,0.9930890881529018
249.3467336683417,932663.3165829146,0.9927856991950723
249.3467336683417,973366.8341708543,0.9924833812370735
249.3467336683417,1014070.3517587939,0.9921821375019587
249.3467336683417,1054773.8693467337,0.9918819712226076
249.3467336683417,1095477.3869346734,0.9915828856414624
249.3467336683417,1136180.9045226132,0.9912848840102664
249.3467336683417,1176884.422110553,0.9909879695898002
249.3467336683417,1217587.9396984926,0.9906921456496177
249.3467336683417,1258291.4572864322,0.9903974154677826
249.3467336683417,1298994.974874372,0.9901037823306026
249.3467336683417,1339698.4924623116,0.98981125
249.3467336683417,1380402.0100502514,0.9895198203750709
249.3467336683417,1421105.527638191,0.9892294981681692
249.3467336683417,1461809.0452261306,0.988940286
249.3467336683417,1502512.5628140704,0.9886521878789781
249.3467336683417,1543216.0804020101,0.9883652064504258
249.3467336683417,1583919.5979899499,0.9880793452792052
249.3467336683417,1624623.1155778894,0.9877946077080009
249.3467336683417,1665326.6331658291,0.9875109970853418
249.3467336683417,1706030.1507537689,0.9872285167653329
249.3467336683417,1746733.6683417086,0.9869471701073863
249.3467336683417,1787437.1859296483,0.9866669604759534
249.3467336683417,1828140.7035175879,0.986387891
249.3467336683417,1868844.2211055276,0.9861099657740131
249.3467336683417,1909547.7386934673,0.9858331874551807
249.3467336683417,1950251.256281407,0.9855575596656734
249.3467336683417,1990954.7738693468,0.9852830857910992
249.3467336683417,2031658.2914572866,0.9850097692204893
249.3467336683417,2072361.809045226,0.9847376133460285
249.3467336683417,2113065.3266331656,0.984466622
249.3467336683417,2153768.844221106,0.9841967972684416
249.3467336683417,2194472.361809045,0.9839281438630253
249.3467336683417,2235175.8793969853,0.9836606647486381
249.3467336683417,2275879.3969849246,0.9833943633291872
249.3467336683417,2316582.9145728643,0.9831292430101154
249.3467336683417,2357286.432160804,0.9828653071981319
249.3467336683417,2397989.949748744,0.9826025593009429
249.3467336683417,2438693.4673366835,0.9823410027269824
249.3467336683417,2479396.9849246233,0.9820806408851434
249.3467336683417,2520100.502512563,0.9818214771845087
249.3467336683417,2560804.0201005028,0.981563515
249.3467336683417,2601507.537688442,0.9813067578425237
249.3467336683417,2642211.055276382,0.9810512090178737
249.3467336683417,2682914.5728643215,0.9807968719672927
249.3467336683417,2723618.0904522613,0.9805437500967904
249.3467336683417,2764321.608040201,0.9802918468109592
249.3467336683417,2805025.1256281408,0.9800411655127068
249.3467336683417,2845728.6432160805,0.9797917096029908
249.3467336683417,2886432.1608040202,0.9795434824805518
249.3467336683417,2927135.678,0.979296488
