time,LC_Cal.CH1.raw_adc
2026-03-06 21:16:04.741194,423126
2026-03-06 21:16:04.741301,642860
2026-03-06 21:16:04.741418,628706
2026-03-06 21:16:04.741518,483788
2026-03-06 21:16:04.741984,628706
2026-03-06 21:16:04.841234,680605
2026-03-06 21:16:04.841351,572760
2026-03-06 21:16:04.841398,551867
2026-03-06 21:16:04.841448,729136
2026-03-06 21:16:04.841523,626683
2026-03-06 21:16:04.841578,611180
2026-03-06 21:16:04.841653,731833
2026-03-06 21:16:04.841702,487159
2026-03-06 21:16:04.841981,551867
2026-03-06 21:16:04.940564,685324
2026-03-06 21:16:04.940636,708916
2026-03-06 21:16:04.940691,615225
2026-03-06 21:16:04.940724,688020
2026-03-06 21:16:04.940767,573435
2026-03-06 21:16:04.940979,542429
2026-03-06 21:16:04.94201,542429
2026-03-06 21:16:05.041673,568716
2026-03-06 21:16:05.041815,691391
2026-03-06 21:16:05.041884,490529
2026-03-06 21:16:05.041989,670495
2026-03-06 21:16:05.042181,568716
2026-03-06 21:16:05.04229,642187
2026-03-06 21:16:05.042377,561976
2026-03-06 21:16:05.042461,551867
2026-03-06 21:16:05.04254,603093
2026-03-06 21:16:05.042619,665103
2026-03-06 21:16:05.141186,560629
2026-03-06 21:16:05.141358,790474
2026-03-06 21:16:05.141454,516142
2026-03-06 21:16:05.141568,753402
2026-03-06 21:16:05.141659,756772
2026-03-06 21:16:05.141771,638816
2026-03-06 21:16:05.141862,665778
2026-03-06 21:16:05.141982,632750
2026-03-06 21:16:05.142083,562650
2026-03-06 21:16:05.142721,753402
2026-03-06 21:16:05.243982,676561
2026-03-06 21:16:05.244092,545800
2026-03-06 21:16:05.24415,644883
2026-03-06 21:16:05.244217,661733
2026-03-06 21:16:05.244296,712959
2026-03-06 21:16:05.244373,650274
2026-03-06 21:16:05.244393,676561
2026-03-06 21:16:05.24445,477722
2026-03-06 21:16:05.244531,448739
2026-03-06 21:16:05.244603,393468
2026-03-06 21:16:05.343814,719026
2026-03-06 21:16:05.343902,626683
2026-03-06 21:16:05.343953,626683
2026-03-06 21:16:05.344002,592308
2026-03-06 21:16:05.344054,471657
2026-03-06 21:16:05.344109,639491
2026-03-06 21:16:05.344164,665103
2026-03-06 21:16:05.344216,586242
2026-03-06 21:16:05.344269,649601
2026-03-06 21:16:05.34469,665103
2026-03-06 21:16:05.444122,654993
2026-03-06 21:16:05.444259,800584
2026-03-06 21:16:05.444333,452109
2026-03-06 21:16:05.444425,448739
2026-03-06 21:16:05.444502,419082
2026-03-06 21:16:05.444582,608485
2026-03-06 21:16:05.444659,846419
2026-03-06 21:16:05.444818,800584
2026-03-06 21:16:05.444858,568044
2026-03-06 21:16:05.444913,592981
2026-03-06 21:16:05.543766,581523
2026-03-06 21:16:05.543881,599048
2026-03-06 21:16:05.543912,579502
2026-03-06 21:16:05.543976,492551
2026-03-06 21:16:05.544045,624662
2026-03-06 21:16:05.544111,590286
2026-03-06 21:16:05.5442,554563
2026-03-06 21:16:05.643965,525580
2026-03-06 21:16:05.64403,384033
2026-03-06 21:16:05.644073,504684
2026-03-06 21:16:05.644137,504684
2026-03-06 21:16:05.644443,525580
2026-03-06 21:16:05.644473,457501
2026-03-06 21:16:05.644632,646231
2026-03-06 21:16:05.645016,572760
2026-03-06 21:16:05.744272,770928
2026-03-06 21:16:05.744335,603767
2026-03-06 21:16:05.744359,752054
2026-03-06 21:16:05.744385,589612
2026-03-06 21:16:05.74441,460871
2026-03-06 21:16:05.744429,796540
2026-03-06 21:16:05.744464,668474
2026-03-06 21:16:05.744517,656341
2026-03-06 21:16:05.744572,535689
2026-03-06 21:16:05.744771,770928
2026-03-06 21:16:05.843956,654993
2026-03-06 21:16:05.844075,514120
2026-03-06 21:16:05.844143,776319
2026-03-06 21:16:05.844341,648253
2026-03-06 21:16:05.844403,497269
2026-03-06 21:16:05.844533,543104
2026-03-06 21:16:05.844589,514120
2026-03-06 21:16:05.844714,512099
2026-03-06 21:16:05.844879,497269
2026-03-06 21:16:05.943664,538386
2026-03-06 21:16:05.943766,495247
2026-03-06 21:16:05.943831,618595
2026-03-06 21:16:05.943896,543777
2026-03-06 21:16:05.943959,553888
2026-03-06 21:16:06.043903,641512
2026-03-06 21:16:06.043982,597027
2026-03-06 21:16:06.044044,695435
2026-03-06 21:16:06.044089,571413
2026-03-06 21:16:06.044149,580850
2026-03-06 21:16:06.0442,547148
2026-03-06 21:16:06.044263,654993
2026-03-06 21:16:06.044305,660385
2026-03-06 21:16:06.044402,641512
2026-03-06 21:16:06.143773,512771
2026-03-06 21:16:06.143879,549844
2026-03-06 21:16:06.143939,458176
2026-03-06 21:16:06.144007,487159
2026-03-06 21:16:06.144076,422451
2026-03-06 21:16:06.144151,637468
2026-03-06 21:16:06.144241,517490
2026-03-06 21:16:06.144547,487159
2026-03-06 21:16:06.246605,605114
2026-03-06 21:16:06.246664,501313
2026-03-06 21:16:06.246688,650949
2026-03-06 21:16:06.246715,734530
2026-03-06 21:16:06.246743,508728
2026-03-06 21:16:06.246769,676561
2026-03-06 21:16:06.24679,522209
2026-03-06 21:16:06.246819,725767
2026-03-06 21:16:06.246849,638816
2026-03-06 21:16:06.246954,605114
2026-03-06 21:16:06.346774,596352
2026-03-06 21:16:06.346867,760142
2026-03-06 21:16:06.346924,706219
2026-03-06 21:16:06.346984,497269
2026-03-06 21:16:06.347056,734530
2026-03-06 21:16:06.347057,760142
2026-03-06 21:16:06.347103,398186
2026-03-06 21:16:06.347164,592308
2026-03-06 21:16:06.347204,655668
2026-03-06 21:16:06.34726,352352
2026-03-06 21:16:06.447122,817435
2026-03-06 21:16:06.447262,737225
2026-03-06 21:16:06.447318,456828
2026-03-06 21:16:06.447419,364485
2026-03-06 21:16:06.447486,698131
2026-03-06 21:16:06.447576,593656
2026-03-06 21:16:06.447628,817435
2026-03-06 21:16:06.447652,523556
2026-03-06 21:16:06.447742,528275
2026-03-06 21:16:06.547328,558606
2026-03-06 21:16:06.547467,612529
2026-03-06 21:16:06.547551,603767
2026-03-06 21:16:06.547633,478397
2026-03-06 21:16:06.547663,612529
2026-03-06 21:16:06.54775,547822
2026-03-06 21:16:06.547811,521534
2026-03-06 21:16:06.547891,525580
2026-03-06 21:16:06.547994,537038
2026-03-06 21:16:06.548089,387402
2026-03-06 21:16:06.646849,586242
2026-03-06 21:16:06.646963,491203
2026-03-06 21:16:06.647002,631401
2026-03-06 21:16:06.64706,559281
2026-03-06 21:16:06.64711,417732
2026-03-06 21:16:06.647156,396164
2026-03-06 21:16:06.647225,438628
2026-03-06 21:16:06.647293,560629
2026-03-06 21:16:06.648011,560629
2026-03-06 21:16:06.746678,495922
2026-03-06 21:16:06.746745,543777
2026-03-06 21:16:06.746783,670495
2026-03-06 21:16:06.74682,622639
2026-03-06 21:16:06.746857,537711
2026-03-06 21:16:06.746894,680605
2026-03-06 21:16:06.746926,553888
2026-03-06 21:16:06.747032,640165
2026-03-06 21:16:06.747082,629380
2026-03-06 21:16:06.847063,641512
2026-03-06 21:16:06.847156,708242
2026-03-06 21:16:06.84721,576131
2026-03-06 21:16:06.84728,799236
2026-03-06 21:16:06.847334,617248
2026-03-06 21:16:06.847383,494573
2026-03-06 21:16:06.847433,700153
2026-03-06 21:16:06.847438,641512
2026-03-06 21:16:06.847497,704872
2026-03-06 21:16:06.847542,684651
2026-03-06 21:16:06.946852,682629
2026-03-06 21:16:06.946981,592308
2026-03-06 21:16:06.947082,538386
2026-03-06 21:16:06.947179,533667
2026-03-06 21:16:06.947281,788452
2026-03-06 21:16:06.947358,634097
2026-03-06 21:16:06.947472,714308
2026-03-06 21:16:06.947495,533667
2026-03-06 21:16:06.947545,688695
2026-03-06 21:16:07.046988,701501
2026-03-06 21:16:07.047148,689369
2026-03-06 21:16:07.047235,727115
2026-03-06 21:16:07.047366,739246
2026-03-06 21:16:07.047551,632750
2026-03-06 21:16:07.047735,859899
2026-03-06 21:16:07.047812,617920
2026-03-06 21:16:07.047907,689369
2026-03-06 21:16:07.04795,652971
2026-03-06 21:16:07.048116,638143
2026-03-06 21:16:07.146849,431213
2026-03-06 21:16:07.146895,586916
2026-03-06 21:16:07.146924,646231
2026-03-06 21:16:07.146946,535689
2026-03-06 21:16:07.146974,680605
2026-03-06 21:16:07.147002,642860
2026-03-06 21:16:07.147038,743292
2026-03-06 21:16:07.249869,684651
2026-03-06 21:16:07.249941,667126
2026-03-06 21:16:07.249954,724418
2026-03-06 21:16:07.24999,466938
2026-03-06 21:16:07.250049,726440
2026-03-06 21:16:07.250131,701501
2026-03-06 21:16:07.250213,611180
2026-03-06 21:16:07.25028,630054
2026-03-06 21:16:07.250371,684651
2026-03-06 21:16:07.250385,685324
2026-03-06 21:16:07.349777,483116
2026-03-06 21:16:07.349849,476374
2026-03-06 21:16:07.3499,727115
2026-03-06 21:16:07.349962,743965
2026-03-06 21:16:07.350044,373247
2026-03-06 21:16:07.350088,478397
2026-03-06 21:16:07.350355,478397
2026-03-06 21:16:07.449932,648927
2026-03-06 21:16:07.449996,507380
2026-03-06 21:16:07.450053,733855
2026-03-06 21:16:07.450123,788452
2026-03-06 21:16:07.450197,677236
