time,ACT.GN2_Vent.status
2026-03-06 21:25:19.792284,0
2026-03-06 21:25:19.833612,0
2026-03-06 21:25:19.894129,0
2026-03-06 21:25:19.935719,0
2026-03-06 21:25:19.99623,0
2026-03-06 21:25:20.037989,0
2026-03-06 21:25:20.097751,0
2026-03-06 21:25:20.139756,0
2026-03-06 21:25:20.199851,0
2026-03-06 21:25:20.241789,0
2026-03-06 21:25:20.301605,0
2026-03-06 21:25:20.343807,0
2026-03-06 21:25:20.404068,0
2026-03-06 21:25:20.446017,0
2026-03-06 21:25:20.506001,0
2026-03-06 21:25:20.547507,0
2026-03-06 21:25:20.607801,0
2026-03-06 21:25:20.649953,0
2026-03-06 21:25:20.709671,0
2026-03-06 21:25:20.751572,0
2026-03-06 21:25:20.811933,0
2026-03-06 21:25:20.854025,0
2026-03-06 21:25:20.914098,0
2026-03-06 21:25:20.955604,0
2026-03-06 21:25:21.015759,0
2026-03-06 21:25:21.057645,0
2026-03-06 21:25:21.117787,0
2026-03-06 21:25:21.159882,0
2026-03-06 21:25:21.219752,0
2026-03-06 21:25:21.26183,0
2026-03-06 21:25:21.322132,0
2026-03-06 21:25:21.364149,0
2026-03-06 21:25:21.424274,0
2026-03-06 21:25:21.466274,0
2026-03-06 21:25:21.525637,0
2026-03-06 21:25:21.568132,0
2026-03-06 21:25:21.628114,0
2026-03-06 21:25:21.670091,0
2026-03-06 21:25:21.730383,0
2026-03-06 21:25:21.771979,0
2026-03-06 21:25:21.831794,0
2026-03-06 21:25:21.873796,0
2026-03-06 21:25:21.934126,0
2026-03-06 21:25:21.975693,0
2026-03-06 21:25:22.035847,0
2026-03-06 21:25:22.077923,0
2026-03-06 21:25:22.137769,0
2026-03-06 21:25:22.179944,0
2026-03-06 21:25:22.240024,0
2026-03-06 21:25:22.281691,0
2026-03-06 21:25:22.342227,0
2026-03-06 21:25:22.383537,0
2026-03-06 21:25:22.44377,0
2026-03-06 21:25:22.485781,0
2026-03-06 21:25:22.546166,0
2026-03-06 21:25:22.587985,0
2026-03-06 21:25:22.647868,0
2026-03-06 21:25:22.689984,0
2026-03-06 21:25:22.750111,0
2026-03-06 21:25:22.792213,0
2026-03-06 21:25:22.851729,0
2026-03-06 21:25:22.893714,0
2026-03-06 21:25:22.953935,0
2026-03-06 21:25:22.995735,0
2026-03-06 21:25:23.055932,0
2026-03-06 21:25:23.097945,0
2026-03-06 21:25:23.158501,0
2026-03-06 21:25:23.200025,0
2026-03-06 21:25:23.260081,0
2026-03-06 21:25:23.301512,0
2026-03-06 21:25:23.362212,0
2026-03-06 21:25:23.403627,0
2026-03-06 21:25:23.463957,0
2026-03-06 21:25:23.505852,0
2026-03-06 21:25:23.566281,0
2026-03-06 21:25:23.6082,0
2026-03-06 21:25:23.668119,0
2026-03-06 21:25:23.710142,0
2026-03-06 21:25:23.769633,0
2026-03-06 21:25:23.811834,0
2026-03-06 21:25:23.871943,0
2026-03-06 21:25:23.913791,0
2026-03-06 21:25:23.97423,0
2026-03-06 21:25:24.015728,0
2026-03-06 21:25:24.075752,0
2026-03-06 21:25:24.118021,0
2026-03-06 21:25:24.178031,0
2026-03-06 21:25:24.220047,0
2026-03-06 21:25:24.279987,0
2026-03-06 21:25:24.321652,0
2026-03-06 21:25:24.381894,0
2026-03-06 21:25:24.423777,0
2026-03-06 21:25:24.483885,0
2026-03-06 21:25:24.525763,0
2026-03-06 21:25:24.58613,0
2026-03-06 21:25:24.627635,0
2026-03-06 21:25:24.688178,0
2026-03-06 21:25:24.729974,0
