time,PT_Cal.Fuel_Fill_Press.pressure_psi
2026-03-06 21:24:18.492423,2.1469767
2026-03-06 21:24:18.492506,0.0
2026-03-06 21:24:18.492599,0.0
2026-03-06 21:24:18.601566,0.0
2026-03-06 21:24:18.601745,0.0
2026-03-06 21:24:18.601934,0.0
2026-03-06 21:24:18.602178,0.0
2026-03-06 21:24:18.602462,2.1469052
2026-03-06 21:24:18.710384,0.0
2026-03-06 21:24:18.710464,0.0
2026-03-06 21:24:18.710552,0.0
2026-03-06 21:24:18.710595,2.146676
2026-03-06 21:24:18.710845,0.0
2026-03-06 21:24:18.710912,0.0
2026-03-06 21:24:18.711007,0.0
2026-03-06 21:24:18.711227,0.0
2026-03-06 21:24:18.711381,0.0
2026-03-06 21:24:18.819536,0.0
2026-03-06 21:24:18.819623,0.0
2026-03-06 21:24:18.8197,0.0
2026-03-06 21:24:18.819782,0.0
2026-03-06 21:24:18.819874,0.0
2026-03-06 21:24:18.820057,2.1466923
2026-03-06 21:24:18.928666,0.0
2026-03-06 21:24:18.928839,0.0
2026-03-06 21:24:18.928931,0.0
2026-03-06 21:24:18.928945,2.146685
2026-03-06 21:24:18.929172,0.0
2026-03-06 21:24:18.929304,0.0
2026-03-06 21:24:19.037565,0.0
2026-03-06 21:24:19.037632,0.0
2026-03-06 21:24:19.037708,0.0
2026-03-06 21:24:19.03778,0.0
2026-03-06 21:24:19.037858,0.0
2026-03-06 21:24:19.037859,2.1468756
2026-03-06 21:24:19.037975,0.0
2026-03-06 21:24:19.03802,0.0
2026-03-06 21:24:19.146815,0.0
2026-03-06 21:24:19.146914,0.0
2026-03-06 21:24:19.147012,0.0
2026-03-06 21:24:19.147092,0.0
2026-03-06 21:24:19.147215,0.0
2026-03-06 21:24:19.147346,0.0
2026-03-06 21:24:19.147431,0.0
2026-03-06 21:24:19.147534,2.146813
2026-03-06 21:24:19.147673,0.0
2026-03-06 21:24:19.255435,0.0
2026-03-06 21:24:19.255602,0.0
2026-03-06 21:24:19.255775,0.0
2026-03-06 21:24:19.255881,2.1468189
2026-03-06 21:24:19.255904,0.0
2026-03-06 21:24:19.365064,0.0
2026-03-06 21:24:19.365189,0.0
2026-03-06 21:24:19.365221,0.0
2026-03-06 21:24:19.365243,0.0
2026-03-06 21:24:19.365264,0.0
2026-03-06 21:24:19.365333,0.0
2026-03-06 21:24:19.365446,0.0
2026-03-06 21:24:19.365453,2.1466894
2026-03-06 21:24:19.365538,0.0
2026-03-06 21:24:19.473485,0.0
2026-03-06 21:24:19.473546,0.0
2026-03-06 21:24:19.473573,0.0
2026-03-06 21:24:19.473656,0.0
2026-03-06 21:24:19.473721,0.0
2026-03-06 21:24:19.473887,0.0
2026-03-06 21:24:19.474003,0.0
2026-03-06 21:24:19.474087,2.14661
2026-03-06 21:24:19.582819,0.0
2026-03-06 21:24:19.582876,0.0
2026-03-06 21:24:19.582948,0.0
2026-03-06 21:24:19.583047,0.0
2026-03-06 21:24:19.583089,0.0
2026-03-06 21:24:19.583787,2.1466835
2026-03-06 21:24:19.691805,0.0
2026-03-06 21:24:19.691936,0.0
2026-03-06 21:24:19.692084,0.0
2026-03-06 21:24:19.692235,0.0
2026-03-06 21:24:19.692409,0.0
2026-03-06 21:24:19.692553,0.0
2026-03-06 21:24:19.692855,2.1465795
2026-03-06 21:24:19.800566,0.0
2026-03-06 21:24:19.800666,0.0
2026-03-06 21:24:19.800698,0.0
2026-03-06 21:24:19.800765,0.0
2026-03-06 21:24:19.800841,0.0
2026-03-06 21:24:19.800915,0.0
2026-03-06 21:24:19.801306,2.1467085
2026-03-06 21:24:19.909577,0.0
2026-03-06 21:24:19.909668,0.0
2026-03-06 21:24:19.909724,0.0
2026-03-06 21:24:19.909781,0.0
2026-03-06 21:24:19.90984,0.0
2026-03-06 21:24:19.909888,2.146699
2026-03-06 21:24:19.909905,0.0
2026-03-06 21:24:19.90996,0.0
2026-03-06 21:24:19.910033,0.0
2026-03-06 21:24:19.910108,0.0
2026-03-06 21:24:20.018602,0.0
2026-03-06 21:24:20.018655,0.0
2026-03-06 21:24:20.01868,0.0
2026-03-06 21:24:20.018694,0.0
2026-03-06 21:24:20.018724,0.0
2026-03-06 21:24:20.018764,0.0
2026-03-06 21:24:20.018817,0.0
2026-03-06 21:24:20.018882,0.0
2026-03-06 21:24:20.019235,2.1466613
2026-03-06 21:24:20.1277,0.0
2026-03-06 21:24:20.127815,0.0
2026-03-06 21:24:20.12792,0.0
2026-03-06 21:24:20.128047,0.0
2026-03-06 21:24:20.128163,2.1467683
2026-03-06 21:24:20.12819,0.0
2026-03-06 21:24:20.236858,0.0
2026-03-06 21:24:20.236929,0.0
2026-03-06 21:24:20.236987,0.0
2026-03-06 21:24:20.237035,0.0
2026-03-06 21:24:20.237058,0.0
2026-03-06 21:24:20.237087,0.0
2026-03-06 21:24:20.237088,2.1466794
2026-03-06 21:24:20.237113,0.0
2026-03-06 21:24:20.3458,0.0
2026-03-06 21:24:20.345863,0.0
2026-03-06 21:24:20.345886,0.0
2026-03-06 21:24:20.345909,0.0
2026-03-06 21:24:20.34595,0.0
2026-03-06 21:24:20.346037,0.0
2026-03-06 21:24:20.346083,0.0
2026-03-06 21:24:20.346147,2.1467845
2026-03-06 21:24:20.454538,0.0
2026-03-06 21:24:20.454684,0.0
2026-03-06 21:24:20.454844,0.0
2026-03-06 21:24:20.454993,0.0
2026-03-06 21:24:20.455045,2.146603
2026-03-06 21:24:20.455152,0.0
2026-03-06 21:24:20.455309,0.0
2026-03-06 21:24:20.455537,0.0
2026-03-06 21:24:20.563699,0.0
2026-03-06 21:24:20.563772,0.0
2026-03-06 21:24:20.563842,0.0
2026-03-06 21:24:20.563915,0.0
2026-03-06 21:24:20.563985,0.0
2026-03-06 21:24:20.563986,2.1466186
2026-03-06 21:24:20.564064,0.0
2026-03-06 21:24:20.564137,0.0
2026-03-06 21:24:20.564223,0.0
2026-03-06 21:24:20.67231,0.0
2026-03-06 21:24:20.67238,0.0
2026-03-06 21:24:20.672435,0.0
2026-03-06 21:24:20.672505,0.0
2026-03-06 21:24:20.672748,2.1465938
2026-03-06 21:24:20.781071,0.0
2026-03-06 21:24:20.781129,0.0
2026-03-06 21:24:20.781212,0.0
2026-03-06 21:24:20.781311,0.0
2026-03-06 21:24:20.781568,2.1466653
2026-03-06 21:24:20.890326,0.0
2026-03-06 21:24:20.890372,0.0
2026-03-06 21:24:20.890389,0.0
2026-03-06 21:24:20.890405,0.0
2026-03-06 21:24:20.89063,2.1467137
2026-03-06 21:24:20.999437,0.0
2026-03-06 21:24:20.999502,0.0
2026-03-06 21:24:20.999523,0.0
2026-03-06 21:24:20.999574,0.0
2026-03-06 21:24:20.999658,0.0
2026-03-06 21:24:20.999712,2.1467779
2026-03-06 21:24:20.999773,0.0
2026-03-06 21:24:21.109038,0.0
2026-03-06 21:24:21.109134,0.0
2026-03-06 21:24:21.10923,0.0
2026-03-06 21:24:21.109244,2.146914
2026-03-06 21:24:21.109289,0.0
2026-03-06 21:24:21.21797,0.0
2026-03-06 21:24:21.218035,0.0
2026-03-06 21:24:21.218109,0.0
2026-03-06 21:24:21.21825,0.0
2026-03-06 21:24:21.218309,2.1467779
2026-03-06 21:24:21.218393,0.0
2026-03-06 21:24:21.218826,0.0
2026-03-06 21:24:21.218979,0.0
2026-03-06 21:24:21.219134,0.0
2026-03-06 21:24:21.32633,0.0
2026-03-06 21:24:21.326416,0.0
2026-03-06 21:24:21.326513,0.0
2026-03-06 21:24:21.326637,0.0
2026-03-06 21:24:21.327139,2.1466222
2026-03-06 21:24:21.435498,0.0
2026-03-06 21:24:21.435691,0.0
2026-03-06 21:24:21.43578,0.0
2026-03-06 21:24:21.435921,0.0
2026-03-06 21:24:21.435947,2.1466928
2026-03-06 21:24:21.436087,0.0
2026-03-06 21:24:21.436288,0.0
2026-03-06 21:24:21.544853,0.0
2026-03-06 21:24:21.544909,0.0
2026-03-06 21:24:21.544961,0.0
2026-03-06 21:24:21.54504,0.0
2026-03-06 21:24:21.545099,2.1468143
2026-03-06 21:24:21.545112,0.0
2026-03-06 21:24:21.545207,0.0
2026-03-06 21:24:21.653375,0.0
2026-03-06 21:24:21.653476,0.0
2026-03-06 21:24:21.653666,0.0
2026-03-06 21:24:21.653742,0.0
2026-03-06 21:24:21.653748,2.1466389
2026-03-06 21:24:21.653942,0.0
2026-03-06 21:24:21.654225,0.0
2026-03-06 21:24:21.76237,0.0
2026-03-06 21:24:21.762435,0.0
2026-03-06 21:24:21.762494,0.0
2026-03-06 21:24:21.762579,0.0
2026-03-06 21:24:21.762923,2.146678
2026-03-06 21:24:21.87137,0.0
2026-03-06 21:24:21.871433,0.0
2026-03-06 21:24:21.871497,0.0
2026-03-06 21:24:21.871589,0.0
2026-03-06 21:24:21.871778,0.0
2026-03-06 21:24:21.871886,2.146877
2026-03-06 21:24:21.980519,0.0
2026-03-06 21:24:21.980666,2.1466591
2026-03-06 21:24:21.980672,0.0
2026-03-06 21:24:21.980837,0.0
2026-03-06 21:24:21.981389,0.0
2026-03-06 21:24:22.089703,0.0
2026-03-06 21:24:22.089762,0.0
2026-03-06 21:24:22.08982,0.0
2026-03-06 21:24:22.089894,0.0
2026-03-06 21:24:22.089969,0.0
2026-03-06 21:24:22.090434,2.14668
2026-03-06 21:24:22.198826,0.0
2026-03-06 21:24:22.199061,0.0
2026-03-06 21:24:22.199332,0.0
2026-03-06 21:24:22.199522,0.0
2026-03-06 21:24:22.19963,2.146709
2026-03-06 21:24:22.199752,0.0
2026-03-06 21:24:22.307257,0.0
2026-03-06 21:24:22.307315,0.0
2026-03-06 21:24:22.307392,0.0
2026-03-06 21:24:22.307468,0.0
2026-03-06 21:24:22.307542,0.0
2026-03-06 21:24:22.307622,0.0
2026-03-06 21:24:22.307792,2.146744
2026-03-06 21:24:22.416633,0.0
2026-03-06 21:24:22.416748,0.0
2026-03-06 21:24:22.416937,0.0
2026-03-06 21:24:22.416965,2.1466537
2026-03-06 21:24:22.417071,0.0
2026-03-06 21:24:22.417236,0.0
2026-03-06 21:24:22.417512,0.0
2026-03-06 21:24:22.525436,0.0
2026-03-06 21:24:22.525607,0.0
2026-03-06 21:24:22.525671,0.0
2026-03-06 21:24:22.525739,0.0
2026-03-06 21:24:22.525792,0.0
2026-03-06 21:24:22.52581,0.0
2026-03-06 21:24:22.525968,2.1466658
2026-03-06 21:24:22.634615,0.0
2026-03-06 21:24:22.63468,2.1467907
2026-03-06 21:24:22.634687,0.0
2026-03-06 21:24:22.634765,0.0
2026-03-06 21:24:22.634869,0.0
2026-03-06 21:24:22.74367,0.0
2026-03-06 21:24:22.743713,0.0
2026-03-06 21:24:22.743761,0.0
2026-03-06 21:24:22.743832,0.0
2026-03-06 21:24:22.743902,0.0
2026-03-06 21:24:22.743956,2.1467347
2026-03-06 21:24:22.743998,0.0
2026-03-06 21:24:22.852582,0.0
2026-03-06 21:24:22.852708,0.0
2026-03-06 21:24:22.852846,2.1465864
2026-03-06 21:24:22.85287,0.0
2026-03-06 21:24:22.853031,0.0
2026-03-06 21:24:22.853216,0.0
2026-03-06 21:24:22.853444,0.0
2026-03-06 21:24:22.853647,0.0
2026-03-06 21:24:22.962257,0.0
2026-03-06 21:24:22.962447,0.0
2026-03-06 21:24:22.962635,0.0
2026-03-06 21:24:22.962828,0.0
2026-03-06 21:24:22.963015,0.0
2026-03-06 21:24:22.963145,2.146834
2026-03-06 21:24:22.963258,0.0
2026-03-06 21:24:23.071003,0.0
2026-03-06 21:24:23.071073,2.1467137
2026-03-06 21:24:23.071102,0.0
2026-03-06 21:24:23.071135,0.0
2026-03-06 21:24:23.071188,0.0
2026-03-06 21:24:23.180144,0.0
2026-03-06 21:24:23.180223,0.0
2026-03-06 21:24:23.180471,2.1466558
2026-03-06 21:24:23.288286,0.0
2026-03-06 21:24:23.288354,0.0
2026-03-06 21:24:23.288409,0.0
2026-03-06 21:24:23.288474,2.1467414
2026-03-06 21:24:23.288506,0.0
2026-03-06 21:24:23.397763,0.0
2026-03-06 21:24:23.397826,0.0
2026-03-06 21:24:23.397991,2.1468816
2026-03-06 21:24:23.398016,0.0
2026-03-06 21:24:23.398096,0.0
2026-03-06 21:24:23.506416,0.0
2026-03-06 21:24:23.506633,0.0
2026-03-06 21:24:23.50678,0.0
2026-03-06 21:24:23.506975,2.146769
2026-03-06 21:24:23.615766,0.0
2026-03-06 21:24:23.61589,0.0
2026-03-06 21:24:23.615967,0.0
2026-03-06 21:24:23.616037,0.0
2026-03-06 21:24:23.616109,0.0
2026-03-06 21:24:23.616611,2.1468735
2026-03-06 21:24:23.724657,0.0
2026-03-06 21:24:23.724757,0.0
2026-03-06 21:24:23.724811,0.0
2026-03-06 21:24:23.724881,0.0
2026-03-06 21:24:23.725207,2.146796
2026-03-06 21:24:23.833428,0.0
2026-03-06 21:24:23.83349,0.0
2026-03-06 21:24:23.833513,0.0
2026-03-06 21:24:23.833724,2.147022
2026-03-06 21:24:23.942371,0.0
2026-03-06 21:24:23.942438,0.0
2026-03-06 21:24:23.942474,2.146782
2026-03-06 21:24:23.942492,0.0
2026-03-06 21:24:24.05163,0.0
2026-03-06 21:24:24.051716,0.0
2026-03-06 21:24:24.051763,0.0
2026-03-06 21:24:24.051818,0.0
2026-03-06 21:24:24.051876,0.0
2026-03-06 21:24:24.052149,2.1467063
2026-03-06 21:24:24.160668,0.0
2026-03-06 21:24:24.160721,0.0
2026-03-06 21:24:24.16076,0.0
2026-03-06 21:24:24.160821,0.0
2026-03-06 21:24:24.160891,0.0
2026-03-06 21:24:24.161255,2.1466875
2026-03-06 21:24:24.269935,0.0
2026-03-06 21:24:24.270027,0.0
2026-03-06 21:24:24.270132,0.0
2026-03-06 21:24:24.270251,0.0
2026-03-06 21:24:24.27036,2.1467185
2026-03-06 21:24:24.270466,0.0
2026-03-06 21:24:24.378506,0.0
2026-03-06 21:24:24.378593,0.0
2026-03-06 21:24:24.378676,0.0
2026-03-06 21:24:24.378756,0.0
2026-03-06 21:24:24.378839,0.0
2026-03-06 21:24:24.37892,0.0
2026-03-06 21:24:24.379011,0.0
2026-03-06 21:24:24.379343,2.1467192
2026-03-06 21:24:24.487756,0.0
2026-03-06 21:24:24.487811,0.0
2026-03-06 21:24:24.487875,0.0
2026-03-06 21:24:24.487949,0.0
2026-03-06 21:24:24.488022,0.0
2026-03-06 21:24:24.488166,2.1466923
2026-03-06 21:24:24.59668,0.0
2026-03-06 21:24:24.596751,0.0
2026-03-06 21:24:24.596838,0.0
2026-03-06 21:24:24.596931,0.0
2026-03-06 21:24:24.597019,0.0
2026-03-06 21:24:24.597104,0.0
2026-03-06 21:24:24.597138,2.1468027
2026-03-06 21:24:24.597202,0.0
2026-03-06 21:24:24.705776,0.0
2026-03-06 21:24:24.705831,0.0
2026-03-06 21:24:24.705903,0.0
2026-03-06 21:24:24.705978,0.0
2026-03-06 21:24:24.706041,2.1467192
2026-03-06 21:24:24.706051,0.0
2026-03-06 21:24:24.70613,0.0
2026-03-06 21:24:24.706213,0.0
2026-03-06 21:24:24.706286,0.0
2026-03-06 21:24:24.814678,0.0
2026-03-06 21:24:24.814734,0.0
2026-03-06 21:24:24.814891,0.0
2026-03-06 21:24:24.815012,0.0
2026-03-06 21:24:24.815183,0.0
2026-03-06 21:24:24.81522,2.1469538
2026-03-06 21:24:24.815324,0.0
2026-03-06 21:24:24.815502,0.0
2026-03-06 21:24:24.923391,0.0
2026-03-06 21:24:24.92345,0.0
2026-03-06 21:24:24.923481,0.0
2026-03-06 21:24:24.92353,0.0
2026-03-06 21:24:24.923829,2.1468627
2026-03-06 21:24:25.032806,0.0
2026-03-06 21:24:25.032897,2.1467204
2026-03-06 21:24:25.032956,0.0
2026-03-06 21:24:25.033043,0.0
2026-03-06 21:24:25.033191,0.0
2026-03-06 21:24:25.033334,0.0
2026-03-06 21:24:25.033471,0.0
2026-03-06 21:24:25.141973,0.0
2026-03-06 21:24:25.142043,0.0
2026-03-06 21:24:25.142122,0.0
2026-03-06 21:24:25.142236,0.0
2026-03-06 21:24:25.142293,0.0
2026-03-06 21:24:25.142711,2.1467927
2026-03-06 21:24:25.25042,0.0
2026-03-06 21:24:25.250483,0.0
2026-03-06 21:24:25.250557,0.0
2026-03-06 21:24:25.250625,0.0
2026-03-06 21:24:25.250697,0.0
2026-03-06 21:24:25.250981,2.1468668
2026-03-06 21:24:25.359796,0.0
2026-03-06 21:24:25.359886,0.0
2026-03-06 21:24:25.359945,0.0
2026-03-06 21:24:25.360039,0.0
2026-03-06 21:24:25.360135,0.0
2026-03-06 21:24:25.360257,0.0
2026-03-06 21:24:25.360293,2.1467314
2026-03-06 21:24:25.360531,0.0
2026-03-06 21:24:25.360789,0.0
2026-03-06 21:24:25.468557,0.0
2026-03-06 21:24:25.468642,0.0
2026-03-06 21:24:25.468706,0.0
2026-03-06 21:24:25.468769,0.0
2026-03-06 21:24:25.46921,2.1467664
2026-03-06 21:24:25.577748,0.0
2026-03-06 21:24:25.577807,0.0
2026-03-06 21:24:25.577867,0.0
2026-03-06 21:24:25.57795,0.0
2026-03-06 21:24:25.578027,0.0
2026-03-06 21:24:25.578085,2.1467152
2026-03-06 21:24:25.578104,0.0
2026-03-06 21:24:25.578187,0.0
2026-03-06 21:24:25.687062,0.0
2026-03-06 21:24:25.687251,0.0
2026-03-06 21:24:25.687336,0.0
2026-03-06 21:24:25.687489,0.0
2026-03-06 21:24:25.687671,0.0
2026-03-06 21:24:25.687672,2.1470118
2026-03-06 21:24:25.687851,0.0
2026-03-06 21:24:25.795645,0.0
2026-03-06 21:24:25.795713,0.0
2026-03-06 21:24:25.79576,0.0
2026-03-06 21:24:25.795834,0.0
2026-03-06 21:24:25.795926,0.0
2026-03-06 21:24:25.796153,2.1468143
2026-03-06 21:24:25.90467,0.0
2026-03-06 21:24:25.904739,0.0
2026-03-06 21:24:25.904769,0.0
2026-03-06 21:24:25.90484,0.0
2026-03-06 21:24:25.904917,0.0
2026-03-06 21:24:25.904994,0.0
2026-03-06 21:24:25.905412,2.1468613
2026-03-06 21:24:26.013842,0.0
2026-03-06 21:24:26.013908,0.0
2026-03-06 21:24:26.013946,0.0
2026-03-06 21:24:26.013983,0.0
2026-03-06 21:24:26.01406,0.0
2026-03-06 21:24:26.014621,2.1467373
2026-03-06 21:24:26.122819,0.0
2026-03-06 21:24:26.122896,0.0
2026-03-06 21:24:26.123018,0.0
2026-03-06 21:24:26.12317,0.0
2026-03-06 21:24:26.12332,0.0
2026-03-06 21:24:26.123459,0.0
2026-03-06 21:24:26.123638,0.0
2026-03-06 21:24:26.124178,2.1468413
2026-03-06 21:24:26.231418,0.0
2026-03-06 21:24:26.231472,0.0
2026-03-06 21:24:26.231547,0.0
2026-03-06 21:24:26.231621,0.0
2026-03-06 21:24:26.231692,0.0
2026-03-06 21:24:26.231768,0.0
2026-03-06 21:24:26.231845,0.0
2026-03-06 21:24:26.232286,2.1467912
2026-03-06 21:24:26.340316,0.0
2026-03-06 21:24:26.340389,0.0
2026-03-06 21:24:26.340474,0.0
2026-03-06 21:24:26.340554,0.0
2026-03-06 21:24:26.340643,0.0
2026-03-06 21:24:26.341166,2.1468654
2026-03-06 21:24:26.449581,0.0
2026-03-06 21:24:26.449682,0.0
2026-03-06 21:24:26.44979,0.0
2026-03-06 21:24:26.449904,0.0
2026-03-06 21:24:26.449905,2.146792
