time,ACT.GSE_LOX_Fill_Vent.actuator_state
2026-03-06 21:18:39.642547,1
2026-03-06 21:18:39.686234,0
2026-03-06 21:18:39.744571,1
2026-03-06 21:18:39.788443,0
2026-03-06 21:18:39.846661,1
2026-03-06 21:18:39.89021,0
2026-03-06 21:18:39.948732,1
2026-03-06 21:18:39.992377,0
2026-03-06 21:18:40.05032,1
2026-03-06 21:18:40.094478,0
2026-03-06 21:18:40.153012,1
2026-03-06 21:18:40.196422,0
2026-03-06 21:18:40.254832,1
2026-03-06 21:18:40.298309,0
2026-03-06 21:18:40.356675,1
2026-03-06 21:18:40.40015,0
2026-03-06 21:18:40.458683,1
2026-03-06 21:18:40.50205,0
2026-03-06 21:18:40.560801,1
2026-03-06 21:18:40.604577,0
2026-03-06 21:18:40.663025,1
2026-03-06 21:18:40.706273,0
2026-03-06 21:18:40.764689,1
2026-03-06 21:18:40.807943,0
2026-03-06 21:18:40.866752,1
2026-03-06 21:18:40.910362,0
2026-03-06 21:18:40.968447,1
2026-03-06 21:18:41.01212,0
2026-03-06 21:18:41.070565,1
2026-03-06 21:18:41.114206,0
2026-03-06 21:18:41.172723,1
2026-03-06 21:18:41.216513,0
2026-03-06 21:18:41.274552,1
2026-03-06 21:18:41.317983,0
2026-03-06 21:18:41.376969,1
2026-03-06 21:18:41.420231,0
2026-03-06 21:18:41.478708,1
2026-03-06 21:18:41.522176,0
2026-03-06 21:18:41.580673,1
2026-03-06 21:18:41.624372,0
2026-03-06 21:18:41.682459,1
2026-03-06 21:18:41.726143,0
2026-03-06 21:18:41.784681,1
2026-03-06 21:18:41.828334,0
2026-03-06 21:18:41.886815,1
2026-03-06 21:18:41.930156,0
2026-03-06 21:18:41.98876,1
2026-03-06 21:18:42.032269,0
2026-03-06 21:18:42.090479,1
2026-03-06 21:18:42.134329,0
2026-03-06 21:18:42.1929,1
2026-03-06 21:18:42.236436,0
2026-03-06 21:18:42.294399,1
2026-03-06 21:18:42.339655,0
2026-03-06 21:18:42.396593,1
2026-03-06 21:18:42.440258,0
2026-03-06 21:18:42.498482,1
2026-03-06 21:18:42.542565,0
2026-03-06 21:18:42.600626,1
2026-03-06 21:18:42.644504,0
2026-03-06 21:18:42.70244,1
2026-03-06 21:18:42.74656,0
2026-03-06 21:18:42.804695,1
2026-03-06 21:18:42.848275,0
2026-03-06 21:18:42.906751,1
2026-03-06 21:18:42.950514,0
2026-03-06 21:18:43.008419,1
2026-03-06 21:18:43.052097,0
2026-03-06 21:18:43.110586,1
2026-03-06 21:18:43.154009,0
2026-03-06 21:18:43.212713,1
2026-03-06 21:18:43.256624,0
2026-03-06 21:18:43.314389,1
2026-03-06 21:18:43.358112,0
2026-03-06 21:18:43.416515,1
2026-03-06 21:18:43.460233,0
