time,ACT.Fuel_Fill_Press.actuator_state
2026-03-06 21:26:16.444175,0
2026-03-06 21:26:16.504264,1
2026-03-06 21:26:16.545784,0
2026-03-06 21:26:16.60666,1
2026-03-06 21:26:16.64794,0
2026-03-06 21:26:16.708391,1
2026-03-06 21:26:16.750079,0
2026-03-06 21:26:16.810479,1
2026-03-06 21:26:16.852295,0
2026-03-06 21:26:16.91271,1
2026-03-06 21:26:16.953829,0
2026-03-06 21:26:17.014773,1
2026-03-06 21:26:17.056506,0
2026-03-06 21:26:17.116584,1
2026-03-06 21:26:17.157937,0
2026-03-06 21:26:17.21852,1
2026-03-06 21:26:17.260241,0
2026-03-06 21:26:17.320205,1
2026-03-06 21:26:17.361936,0
2026-03-06 21:26:17.422691,1
2026-03-06 21:26:17.464073,0
2026-03-06 21:26:17.524519,1
2026-03-06 21:26:17.566174,0
2026-03-06 21:26:17.626693,1
2026-03-06 21:26:17.668143,0
2026-03-06 21:26:17.728564,1
2026-03-06 21:26:17.769849,0
2026-03-06 21:26:17.83046,1
2026-03-06 21:26:17.871807,0
2026-03-06 21:26:17.932208,1
