time,ACT.Fuel_Fill_Vent.raw_adc_counts
2026-03-06 21:24:02.721705,0
2026-03-06 21:24:02.781515,1049191779
2026-03-06 21:24:02.823601,986923112
2026-03-06 21:24:02.88339,1049164739
2026-03-06 21:24:02.925465,0
2026-03-06 21:24:02.985136,1049110659
2026-03-06 21:24:03.027691,0
2026-03-06 21:24:03.087074,1049137699
2026-03-06 21:24:03.129353,0
2026-03-06 21:24:03.189459,1049137699
2026-03-06 21:24:03.231515,0
2026-03-06 21:24:03.291334,1049083618
2026-03-06 21:24:03.333301,0
2026-03-06 21:24:03.393387,1049137699
2026-03-06 21:24:03.43526,978534504
2026-03-06 21:24:03.495347,1049164739
2026-03-06 21:24:03.537149,978534504
2026-03-06 21:24:03.597337,1049191779
2026-03-06 21:24:03.639534,0
2026-03-06 21:24:03.699353,1049191779
2026-03-06 21:24:03.741451,0
2026-03-06 21:24:03.801415,1049137699
2026-03-06 21:24:03.843343,0
2026-03-06 21:24:03.903332,1049029538
2026-03-06 21:24:03.945701,0
2026-03-06 21:24:04.005513,1049083618
2026-03-06 21:24:04.047235,978534504
2026-03-06 21:24:04.107242,1049083618
2026-03-06 21:24:04.149228,0
2026-03-06 21:24:04.209152,1049137699
2026-03-06 21:24:04.251389,0
2026-03-06 21:24:04.311545,1049137699
2026-03-06 21:24:04.353435,978534504
2026-03-06 21:24:04.413282,1049164739
2026-03-06 21:24:04.45551,0
2026-03-06 21:24:04.515412,1049191779
2026-03-06 21:24:04.557512,0
2026-03-06 21:24:04.617477,1049137699
2026-03-06 21:24:04.659205,978534504
2026-03-06 21:24:04.719103,1049137699
2026-03-06 21:24:04.761608,978534504
2026-03-06 21:24:04.821536,1049083618
2026-03-06 21:24:04.863222,0
2026-03-06 21:24:04.923215,1049137699
2026-03-06 21:24:04.965738,0
2026-03-06 21:24:05.025208,1049137699
2026-03-06 21:24:05.067718,0
2026-03-06 21:24:05.127547,1049137699
2026-03-06 21:24:05.169585,0
2026-03-06 21:24:05.229329,1049137699
2026-03-06 21:24:05.271565,978534504
2026-03-06 21:24:05.331551,1049191779
2026-03-06 21:24:05.373449,0
2026-03-06 21:24:05.433167,1049137699
2026-03-06 21:24:05.475646,0
2026-03-06 21:24:05.535419,1049137699
2026-03-06 21:24:05.57772,0
2026-03-06 21:24:05.637422,1049137699
2026-03-06 21:24:05.679609,978534504
2026-03-06 21:24:05.739447,1049083618
2026-03-06 21:24:05.781386,0
2026-03-06 21:24:05.84108,1049083618
2026-03-06 21:24:05.883589,0
2026-03-06 21:24:05.943239,1049137699
2026-03-06 21:24:05.985477,0
2026-03-06 21:24:06.045121,1049408101
2026-03-06 21:24:06.087525,0
2026-03-06 21:24:06.146958,1049326980
2026-03-06 21:24:06.189456,0
2026-03-06 21:24:06.249595,1049516262
2026-03-06 21:24:06.291283,0
2026-03-06 21:24:06.351401,1049245860
2026-03-06 21:24:06.393553,0
2026-03-06 21:24:06.453506,1049137699
2026-03-06 21:24:06.495685,978534504
2026-03-06 21:24:06.555338,1049110659
2026-03-06 21:24:06.59731,0
2026-03-06 21:24:06.657494,1049083618
2026-03-06 21:24:06.699303,0
2026-03-06 21:24:06.758974,1049110659
2026-03-06 21:24:06.801705,0
2026-03-06 21:24:06.861093,1049137699
2026-03-06 21:24:06.90377,978534504
2026-03-06 21:24:06.963606,1049164739
2026-03-06 21:24:07.005235,0
2026-03-06 21:24:07.065802,1049137699
2026-03-06 21:24:07.107446,0
2026-03-06 21:24:07.167184,1049137699
2026-03-06 21:24:07.209402,978534504
2026-03-06 21:24:07.269126,1049083618
2026-03-06 21:24:07.311537,0
2026-03-06 21:24:07.371529,1049083618
2026-03-06 21:24:07.413269,0
2026-03-06 21:24:07.473333,1049083618
2026-03-06 21:24:07.515461,0
2026-03-06 21:24:07.575254,1049137699
2026-03-06 21:24:07.617586,0
2026-03-06 21:24:07.677269,1049137699
2026-03-06 21:24:07.719517,0
2026-03-06 21:24:07.779256,1049137699
2026-03-06 21:24:07.821657,0
2026-03-06 21:24:07.881119,1049110659
2026-03-06 21:24:07.923668,0
2026-03-06 21:24:07.983528,1049137699
2026-03-06 21:24:08.02547,0
2026-03-06 21:24:08.085188,1049083618
2026-03-06 21:24:08.127641,978534504
2026-03-06 21:24:08.187428,1049110659
2026-03-06 21:24:08.229681,978534504
2026-03-06 21:24:08.289447,1049083618
2026-03-06 21:24:08.331282,0
2026-03-06 21:24:08.391527,1049083618
2026-03-06 21:24:08.433437,0
2026-03-06 21:24:08.492956,1049110659
2026-03-06 21:24:08.535304,0
2026-03-06 21:24:08.595326,1049137699
2026-03-06 21:24:08.637332,0
2026-03-06 21:24:08.697421,1049164739
2026-03-06 21:24:08.739493,978534504
2026-03-06 21:24:08.79949,1049191779
2026-03-06 21:24:08.841764,0
2026-03-06 21:24:08.901513,1049137699
2026-03-06 21:24:08.943517,978534504
2026-03-06 21:24:09.003061,1049110659
2026-03-06 21:24:09.045636,0
2026-03-06 21:24:09.105292,1049056578
2026-03-06 21:24:09.147343,0
2026-03-06 21:24:09.207365,1049137699
2026-03-06 21:24:09.24938,0
2026-03-06 21:24:09.309333,1049137699
2026-03-06 21:24:09.351706,0
2026-03-06 21:24:09.411154,1049164739
2026-03-06 21:24:09.453475,0
2026-03-06 21:24:09.513194,1049191779
2026-03-06 21:24:09.555129,0
2026-03-06 21:24:09.615434,1049191779
2026-03-06 21:24:09.657569,0
2026-03-06 21:24:09.717303,1049137699
2026-03-06 21:24:09.759741,0
2026-03-06 21:24:09.819526,1049083618
2026-03-06 21:24:09.861919,0
2026-03-06 21:24:09.921092,1049056578
2026-03-06 21:24:09.963489,0
2026-03-06 21:24:10.02324,1049056578
2026-03-06 21:24:10.065406,978534504
2026-03-06 21:24:10.125199,1049056578
