time,PT.GSE_Low.status
2026-03-06 21:28:32.791706,0
2026-03-06 21:28:32.791719,0
2026-03-06 21:28:32.791737,0
2026-03-06 21:28:32.791751,0
2026-03-06 21:28:32.791763,0
2026-03-06 21:28:32.79178,0
2026-03-06 21:28:32.791788,0
2026-03-06 21:28:32.900297,0
2026-03-06 21:28:32.900378,0
2026-03-06 21:28:32.900413,0
2026-03-06 21:28:32.900426,0
2026-03-06 21:28:32.900448,0
2026-03-06 21:28:32.900468,0
2026-03-06 21:28:32.900485,0
2026-03-06 21:28:32.900506,0
2026-03-06 21:28:32.900522,0
2026-03-06 21:28:33.00949,0
2026-03-06 21:28:33.009575,0
2026-03-06 21:28:33.009611,0
2026-03-06 21:28:33.00964,0
2026-03-06 21:28:33.009661,0
2026-03-06 21:28:33.009695,0
2026-03-06 21:28:33.009718,0
2026-03-06 21:28:33.009743,0
2026-03-06 21:28:33.009771,0
2026-03-06 21:28:33.118591,0
2026-03-06 21:28:33.118703,0
2026-03-06 21:28:33.118769,0
2026-03-06 21:28:33.118832,0
2026-03-06 21:28:33.118915,0
2026-03-06 21:28:33.119119,0
2026-03-06 21:28:33.119205,0
2026-03-06 21:28:33.119226,0
2026-03-06 21:28:33.119253,0
2026-03-06 21:28:33.227302,0
2026-03-06 21:28:33.22737,0
2026-03-06 21:28:33.227403,0
2026-03-06 21:28:33.227417,0
2026-03-06 21:28:33.227444,0
2026-03-06 21:28:33.227459,0
2026-03-06 21:28:33.227482,0
2026-03-06 21:28:33.227503,0
2026-03-06 21:28:33.227517,0
2026-03-06 21:28:33.336458,0
2026-03-06 21:28:33.336602,0
2026-03-06 21:28:33.336658,0
2026-03-06 21:28:33.336714,0
2026-03-06 21:28:33.336765,0
2026-03-06 21:28:33.336793,0
2026-03-06 21:28:33.336846,0
2026-03-06 21:28:33.336885,0
2026-03-06 21:28:33.336917,0
2026-03-06 21:28:33.445521,0
2026-03-06 21:28:33.44574,0
2026-03-06 21:28:33.445792,0
2026-03-06 21:28:33.445908,0
2026-03-06 21:28:33.446309,0
2026-03-06 21:28:33.446364,0
2026-03-06 21:28:33.446382,0
2026-03-06 21:28:33.446436,0
2026-03-06 21:28:33.446453,0
2026-03-06 21:28:33.554427,0
2026-03-06 21:28:33.554543,0
2026-03-06 21:28:33.554604,0
2026-03-06 21:28:33.554655,0
2026-03-06 21:28:33.55471,0
2026-03-06 21:28:33.554764,0
2026-03-06 21:28:33.554817,0
2026-03-06 21:28:33.554868,0
2026-03-06 21:28:33.55492,0
2026-03-06 21:28:33.663506,0
2026-03-06 21:28:33.663604,0
2026-03-06 21:28:33.663641,0
2026-03-06 21:28:33.663657,0
2026-03-06 21:28:33.663683,0
2026-03-06 21:28:33.663708,0
2026-03-06 21:28:33.663725,0
2026-03-06 21:28:33.663759,0
2026-03-06 21:28:33.663778,0
2026-03-06 21:28:33.772681,0
2026-03-06 21:28:33.772792,0
2026-03-06 21:28:33.772854,0
2026-03-06 21:28:33.772916,0
2026-03-06 21:28:33.772975,0
2026-03-06 21:28:33.773036,0
2026-03-06 21:28:33.773085,0
2026-03-06 21:28:33.773107,0
2026-03-06 21:28:33.773128,0
2026-03-06 21:28:33.88196,0
2026-03-06 21:28:33.88208,0
2026-03-06 21:28:33.882135,0
2026-03-06 21:28:33.882195,0
2026-03-06 21:28:33.882245,0
2026-03-06 21:28:33.882301,0
2026-03-06 21:28:33.882346,0
2026-03-06 21:28:33.882362,0
2026-03-06 21:28:33.882382,0
2026-03-06 21:28:33.990505,0
2026-03-06 21:28:33.990621,0
2026-03-06 21:28:33.990667,0
