time,PT_Cal.GN2_Regulated.raw_adc
2026-03-06 21:18:11.596811,576962056
2026-03-06 21:18:11.597025,576574368
2026-03-06 21:18:11.703578,577113085
2026-03-06 21:18:11.703849,576990374
2026-03-06 21:18:11.704153,577388849
2026-03-06 21:18:11.704593,577113085
2026-03-06 21:18:11.812239,577259394
2026-03-06 21:18:11.812399,576573694
2026-03-06 21:18:11.812551,576593248
2026-03-06 21:18:11.812736,577042965
2026-03-06 21:18:11.812897,576587179
2026-03-06 21:18:11.813732,577259394
2026-03-06 21:18:11.921311,576604035
2026-03-06 21:18:11.921376,577118479
2026-03-06 21:18:11.921431,576407157
2026-03-06 21:18:11.921483,577484590
2026-03-06 21:18:11.921539,576607406
2026-03-06 21:18:11.922424,576604035
2026-03-06 21:18:12.03041,577649105
2026-03-06 21:18:12.030584,577311311
2026-03-06 21:18:12.030771,577157585
2026-03-06 21:18:12.030959,576558187
2026-03-06 21:18:12.031217,577649105
2026-03-06 21:18:12.139791,576713261
2026-03-06 21:18:12.140028,577390197
2026-03-06 21:18:12.14058,577009926
2026-03-06 21:18:12.142141,576713261
2026-03-06 21:18:12.248334,577765073
2026-03-06 21:18:12.248635,576776640
2026-03-06 21:18:12.248931,577203433
2026-03-06 21:18:12.249014,577765073
2026-03-06 21:18:12.249318,577799460
2026-03-06 21:18:12.357701,576771920
2026-03-06 21:18:12.35813,577302546
2026-03-06 21:18:12.358272,577823732
2026-03-06 21:18:12.358842,576771920
2026-03-06 21:18:12.466658,577809574
2026-03-06 21:18:12.466721,577293106
2026-03-06 21:18:12.466775,577180508
2026-03-06 21:18:12.466825,576344453
2026-03-06 21:18:12.467293,577311985
2026-03-06 21:18:12.467601,577809574
2026-03-06 21:18:12.575961,576984306
2026-03-06 21:18:12.576451,577187251
2026-03-06 21:18:12.576675,576984306
2026-03-06 21:18:12.576912,576465141
2026-03-06 21:18:12.57741,576558861
2026-03-06 21:18:12.684582,576975541
2026-03-06 21:18:12.684749,577258721
2026-03-06 21:18:12.684926,577251979
2026-03-06 21:18:12.685096,577144099
2026-03-06 21:18:12.685239,576975541
2026-03-06 21:18:12.68531,576590550
2026-03-06 21:18:12.794168,577023411
2026-03-06 21:18:12.794341,577086790
2026-03-06 21:18:12.794523,577081395
