time,PT_Cal.Fuel_Fill_Press.timestamp_ns
2026-03-06 21:14:23.999564,1772831663998567133
2026-03-06 21:14:23.99971,1772831663998567133
2026-03-06 21:14:23.999712,1772831663999698921
2026-03-06 21:14:24.108002,1772831664107218449
2026-03-06 21:14:24.108214,1772831664107218449
2026-03-06 21:14:24.108452,1772831664107218449
2026-03-06 21:14:24.108702,1772831664107218449
2026-03-06 21:14:24.108985,1772831664107218449
2026-03-06 21:14:24.109187,1772831664109137534
2026-03-06 21:14:24.216515,1772831664215987557
2026-03-06 21:14:24.216585,1772831664215987557
2026-03-06 21:14:24.216766,1772831664215987557
2026-03-06 21:14:24.216833,1772831664215987557
2026-03-06 21:14:24.216886,1772831664215987557
2026-03-06 21:14:24.217017,1772831664217000022
2026-03-06 21:14:24.325942,1772831664325251175
2026-03-06 21:14:24.326011,1772831664325251175
2026-03-06 21:14:24.326065,1772831664325251175
2026-03-06 21:14:24.326186,1772831664325251175
2026-03-06 21:14:24.326416,1772831664325251175
2026-03-06 21:14:24.32659,1772831664325251175
2026-03-06 21:14:24.326673,1772831664326597519
2026-03-06 21:14:24.4356,1772831664434381344
2026-03-06 21:14:24.435951,1772831664434381344
2026-03-06 21:14:24.436298,1772831664434381344
2026-03-06 21:14:24.436311,1772831664436296245
2026-03-06 21:14:24.436614,1772831664434381344
2026-03-06 21:14:24.436847,1772831664434381344
2026-03-06 21:14:24.437069,1772831664434381344
2026-03-06 21:14:24.437294,1772831664434381344
2026-03-06 21:14:24.543822,1772831664543325569
2026-03-06 21:14:24.543968,1772831664543325569
2026-03-06 21:14:24.544131,1772831664543325569
2026-03-06 21:14:24.544362,1772831664543325569
2026-03-06 21:14:24.544456,1772831664544426909
2026-03-06 21:14:24.544546,1772831664543325569
2026-03-06 21:14:24.652839,1772831664652245183
2026-03-06 21:14:24.653011,1772831664652245183
2026-03-06 21:14:24.653182,1772831664652245183
2026-03-06 21:14:24.653339,1772831664652245183
2026-03-06 21:14:24.65351,1772831664652245183
2026-03-06 21:14:24.653734,1772831664653711175
2026-03-06 21:14:24.762204,1772831664761380116
2026-03-06 21:14:24.762399,1772831664761380116
2026-03-06 21:14:24.762586,1772831664761380116
2026-03-06 21:14:24.762764,1772831664761380116
2026-03-06 21:14:24.76297,1772831664761380116
2026-03-06 21:14:24.763112,1772831664763086222
2026-03-06 21:14:24.763175,1772831664761380116
2026-03-06 21:14:24.871145,1772831664870417404
2026-03-06 21:14:24.871242,1772831664870417404
2026-03-06 21:14:24.871336,1772831664870417404
2026-03-06 21:14:24.871437,1772831664870417404
2026-03-06 21:14:24.871533,1772831664870417404
2026-03-06 21:14:24.871632,1772831664870417404
2026-03-06 21:14:24.871653,1772831664871639828
2026-03-06 21:14:24.871723,1772831664870417404
2026-03-06 21:14:24.871822,1772831664870417404
2026-03-06 21:14:24.979964,1772831664979436704
2026-03-06 21:14:24.980212,1772831664979436704
2026-03-06 21:14:24.980462,1772831664980431822
2026-03-06 21:14:24.980476,1772831664979436704
2026-03-06 21:14:24.980707,1772831664979436704
2026-03-06 21:14:24.980936,1772831664979436704
2026-03-06 21:14:25.088869,1772831665088100743
2026-03-06 21:14:25.089017,1772831665088100743
2026-03-06 21:14:25.089187,1772831665088100743
2026-03-06 21:14:25.089342,1772831665088100743
2026-03-06 21:14:25.089409,1772831665089386491
