time,PT.GSE_High.status
2026-03-06 21:14:22.718916,0
2026-03-06 21:14:22.718952,0
2026-03-06 21:14:22.71899,0
2026-03-06 21:14:22.719018,0
2026-03-06 21:14:22.818185,0
2026-03-06 21:14:22.81828,0
2026-03-06 21:14:22.818315,0
2026-03-06 21:14:22.818348,0
2026-03-06 21:14:22.818379,0
2026-03-06 21:14:22.81841,0
2026-03-06 21:14:22.818434,0
2026-03-06 21:14:22.818455,0
2026-03-06 21:14:22.818483,0
2026-03-06 21:14:22.922294,0
2026-03-06 21:14:22.92238,0
2026-03-06 21:14:22.922411,0
2026-03-06 21:14:22.92244,0
2026-03-06 21:14:22.922469,0
2026-03-06 21:14:22.922508,0
2026-03-06 21:14:22.922536,0
2026-03-06 21:14:22.922567,0
2026-03-06 21:14:22.922597,0
2026-03-06 21:14:23.021978,0
2026-03-06 21:14:23.022029,0
2026-03-06 21:14:23.022046,0
2026-03-06 21:14:23.022059,0
2026-03-06 21:14:23.02207,0
2026-03-06 21:14:23.022086,0
2026-03-06 21:14:23.022104,0
2026-03-06 21:14:23.022118,0
2026-03-06 21:14:23.022132,0
2026-03-06 21:14:23.122425,0
2026-03-06 21:14:23.12251,0
2026-03-06 21:14:23.122541,0
2026-03-06 21:14:23.122574,0
2026-03-06 21:14:23.122604,0
2026-03-06 21:14:23.122634,0
2026-03-06 21:14:23.122668,0
2026-03-06 21:14:23.1227,0
2026-03-06 21:14:23.122734,0
2026-03-06 21:14:23.222176,0
2026-03-06 21:14:23.222314,0
2026-03-06 21:14:23.222366,0
2026-03-06 21:14:23.222422,0
2026-03-06 21:14:23.222473,0
2026-03-06 21:14:23.222523,0
2026-03-06 21:14:23.222585,0
2026-03-06 21:14:23.222629,0
2026-03-06 21:14:23.222678,0
2026-03-06 21:14:23.322285,0
2026-03-06 21:14:23.322357,0
2026-03-06 21:14:23.322389,0
2026-03-06 21:14:23.322421,0
2026-03-06 21:14:23.322457,0
2026-03-06 21:14:23.322488,0
2026-03-06 21:14:23.322518,0
2026-03-06 21:14:23.322548,0
2026-03-06 21:14:23.322581,0
2026-03-06 21:14:23.42252,0
2026-03-06 21:14:23.422655,0
2026-03-06 21:14:23.422732,0
2026-03-06 21:14:23.422807,0
2026-03-06 21:14:23.42287,0
2026-03-06 21:14:23.422918,0
2026-03-06 21:14:23.423186,0
2026-03-06 21:14:23.423248,0
2026-03-06 21:14:23.423312,0
2026-03-06 21:14:23.522288,0
2026-03-06 21:14:23.522369,0
2026-03-06 21:14:23.522405,0
2026-03-06 21:14:23.522442,0
2026-03-06 21:14:23.522474,0
2026-03-06 21:14:23.522501,0
2026-03-06 21:14:23.522527,0
2026-03-06 21:14:23.522548,0
2026-03-06 21:14:23.522572,0
2026-03-06 21:14:23.623387,0
2026-03-06 21:14:23.623457,0
2026-03-06 21:14:23.623485,0
2026-03-06 21:14:23.623682,0
2026-03-06 21:14:23.623738,0
2026-03-06 21:14:23.623786,0
2026-03-06 21:14:23.623837,0
2026-03-06 21:14:23.623888,0
2026-03-06 21:14:23.623917,0
2026-03-06 21:14:23.723519,0
2026-03-06 21:14:23.723615,0
2026-03-06 21:14:23.723673,0
2026-03-06 21:14:23.723728,0
2026-03-06 21:14:23.723783,0
2026-03-06 21:14:23.723839,0
2026-03-06 21:14:23.723898,0
2026-03-06 21:14:23.723958,0
2026-03-06 21:14:23.724014,0
2026-03-06 21:14:23.823478,0
2026-03-06 21:14:23.82355,0
2026-03-06 21:14:23.823602,0
2026-03-06 21:14:23.82364,0
2026-03-06 21:14:23.823685,0
2026-03-06 21:14:23.823721,0
2026-03-06 21:14:23.823767,0
