time,ACT.GSE_LOX_Fill_Vent.sample_ts_ms
2026-03-06 21:16:45.139416,11026620
2026-03-06 21:16:45.197531,11026640
2026-03-06 21:16:45.241891,11026722
2026-03-06 21:16:45.300204,11026742
2026-03-06 21:16:45.343531,11026824
2026-03-06 21:16:45.401788,11026844
2026-03-06 21:16:45.445582,11026926
2026-03-06 21:16:45.503551,11026946
2026-03-06 21:16:45.547485,11027028
2026-03-06 21:16:45.605169,11027048
2026-03-06 21:16:45.649371,11027130
2026-03-06 21:16:45.707261,11027150
2026-03-06 21:16:45.75118,11027232
2026-03-06 21:16:45.809255,11027252
2026-03-06 21:16:45.853606,11027334
2026-03-06 21:16:45.911091,11027354
2026-03-06 21:16:45.955725,11027436
2026-03-06 21:16:46.01314,11027456
2026-03-06 21:16:46.05853,11027538
2026-03-06 21:16:46.115152,11027558
2026-03-06 21:16:46.159394,11027640
2026-03-06 21:16:46.217112,11027660
2026-03-06 21:16:46.261654,11027742
2026-03-06 21:16:46.319453,11027762
2026-03-06 21:16:46.363719,11027844
2026-03-06 21:16:46.421448,11027864
2026-03-06 21:16:46.465828,11027946
2026-03-06 21:16:46.52337,11027966
2026-03-06 21:16:46.567705,11028048
2026-03-06 21:16:46.625028,11028068
2026-03-06 21:16:46.669774,11028150
2026-03-06 21:16:46.727252,11028170
2026-03-06 21:16:46.771614,11028252
2026-03-06 21:16:46.829401,11028272
2026-03-06 21:16:46.873296,11028354
2026-03-06 21:16:46.931599,11028374
2026-03-06 21:16:46.975424,11028456
2026-03-06 21:16:47.033236,11028476
2026-03-06 21:16:47.077612,11028558
2026-03-06 21:16:47.135434,11028578
2026-03-06 21:16:47.179425,11028660
2026-03-06 21:16:47.237285,11028680
2026-03-06 21:16:47.281874,11028762
2026-03-06 21:16:47.339512,11028782
2026-03-06 21:16:47.383556,11028864
2026-03-06 21:16:47.441577,11028884
2026-03-06 21:16:47.485453,11028966
2026-03-06 21:16:47.54355,11028986
2026-03-06 21:16:47.587297,11029068
2026-03-06 21:16:47.645618,11029088
2026-03-06 21:16:47.689506,11029170
2026-03-06 21:16:47.747769,11029190
2026-03-06 21:16:47.791412,11029272
2026-03-06 21:16:47.849822,11029292
2026-03-06 21:16:47.893903,11029374
2026-03-06 21:16:47.951226,11029394
2026-03-06 21:16:47.995561,11029476
2026-03-06 21:16:48.053363,11029496
2026-03-06 21:16:48.097621,11029578
2026-03-06 21:16:48.155696,11029598
2026-03-06 21:16:48.199494,11029680
2026-03-06 21:16:48.257336,11029700
2026-03-06 21:16:48.301879,11029782
2026-03-06 21:16:48.359407,11029802
2026-03-06 21:16:48.403843,11029884
2026-03-06 21:16:48.461453,11029904
2026-03-06 21:16:48.50554,11029986
2026-03-06 21:16:48.563237,11030006
2026-03-06 21:16:48.607835,11030088
2026-03-06 21:16:48.665574,11030108
2026-03-06 21:16:48.709781,11030190
2026-03-06 21:16:48.767373,11030210
2026-03-06 21:16:48.811923,11030292
2026-03-06 21:16:48.869422,11030312
2026-03-06 21:16:48.913237,11030394
2026-03-06 21:16:48.972021,11030414
2026-03-06 21:16:49.015881,11030496
2026-03-06 21:16:49.073574,11030516
2026-03-06 21:16:49.117464,11030598
2026-03-06 21:16:49.175648,11030618
2026-03-06 21:16:49.219795,11030700
2026-03-06 21:16:49.277483,11030720
2026-03-06 21:16:49.321672,11030802
2026-03-06 21:16:49.379465,11030822
2026-03-06 21:16:49.423269,11030904
2026-03-06 21:16:49.481329,11030924
2026-03-06 21:16:49.525456,11031006
2026-03-06 21:16:49.583107,11031026
2026-03-06 21:16:49.627298,11031108
2026-03-06 21:16:49.685148,11031128
2026-03-06 21:16:49.729446,11031210
2026-03-06 21:16:49.787561,11031230
2026-03-06 21:16:49.831354,11031312
2026-03-06 21:16:49.889222,11031332
2026-03-06 21:16:49.933866,11031414
2026-03-06 21:16:49.991396,11031434
2026-03-06 21:16:50.036514,11031516
2026-03-06 21:16:50.093437,11031536
2026-03-06 21:16:50.137272,11031618
2026-03-06 21:16:50.195277,11031638
2026-03-06 21:16:50.239694,11031720
2026-03-06 21:16:50.297797,11031740
2026-03-06 21:16:50.341257,11031822
2026-03-06 21:16:50.399342,11031842
2026-03-06 21:16:50.443603,11031924
2026-03-06 21:16:50.501315,11031944
2026-03-06 21:16:50.545799,11032026
2026-03-06 21:16:50.603571,11032046
2026-03-06 21:16:50.647843,11032128
2026-03-06 21:16:50.705392,11032148
2026-03-06 21:16:50.749549,11032230
2026-03-06 21:16:50.80708,11032250
2026-03-06 21:16:50.851293,11032332
2026-03-06 21:16:50.909469,11032352
2026-03-06 21:16:50.953439,11032434
2026-03-06 21:16:51.011667,11032454
2026-03-06 21:16:51.055371,11032536
2026-03-06 21:16:51.113797,11032556
2026-03-06 21:16:51.157701,11032638
2026-03-06 21:16:51.215271,11032658
2026-03-06 21:16:51.259508,11032740
2026-03-06 21:16:51.317274,11032760
2026-03-06 21:16:51.361782,11032842
2026-03-06 21:16:51.41959,11032862
2026-03-06 21:16:51.463993,11032944
2026-03-06 21:16:51.521402,11032964
2026-03-06 21:16:51.566046,11033046
2026-03-06 21:16:51.623378,11033066
2026-03-06 21:16:51.667603,11033148
2026-03-06 21:16:51.725509,11033168
2026-03-06 21:16:51.769838,11033250
2026-03-06 21:16:51.827444,11033270
2026-03-06 21:16:51.871442,11033352
2026-03-06 21:16:51.929456,11033372
2026-03-06 21:16:51.973623,11033454
2026-03-06 21:16:52.031296,11033474
2026-03-06 21:16:52.075586,11033556
2026-03-06 21:16:52.133371,11033576
2026-03-06 21:16:52.177377,11033658
2026-03-06 21:16:52.235614,11033678
2026-03-06 21:16:52.279427,11033760
2026-03-06 21:16:52.337208,11033780
2026-03-06 21:16:52.381742,11033862
2026-03-06 21:16:52.439744,11033882
2026-03-06 21:16:52.483524,11033964
2026-03-06 21:16:52.54151,11033984
2026-03-06 21:16:52.585575,11034066
2026-03-06 21:16:52.643303,11034086
2026-03-06 21:16:52.687351,11034168
2026-03-06 21:16:52.745539,11034188
2026-03-06 21:16:52.789257,11034270
2026-03-06 21:16:52.847131,11034290
2026-03-06 21:16:52.891591,11034372
2026-03-06 21:16:52.949433,11034392
2026-03-06 21:16:52.993302,11034474
2026-03-06 21:16:53.051465,11034494
2026-03-06 21:16:53.09584,11034576
2026-03-06 21:16:53.154233,11034596
2026-03-06 21:16:53.197994,11034678
2026-03-06 21:16:53.255696,11034698
2026-03-06 21:16:53.299926,11034780
2026-03-06 21:16:53.3574,11034800
2026-03-06 21:16:53.402031,11034882
2026-03-06 21:16:53.459643,11034902
2026-03-06 21:16:53.503409,11034984
2026-03-06 21:16:53.561704,11035004
2026-03-06 21:16:53.605906,11035086
2026-03-06 21:16:53.663409,11035106
2026-03-06 21:16:53.70752,11035188
2026-03-06 21:16:53.765423,11035208
2026-03-06 21:16:53.809725,11035290
2026-03-06 21:16:53.867627,11035310
2026-03-06 21:16:53.911635,11035392
2026-03-06 21:16:53.969385,11035412
2026-03-06 21:16:54.013474,11035494
2026-03-06 21:16:54.071381,11035514
2026-03-06 21:16:54.115747,11035596
2026-03-06 21:16:54.173844,11035616
2026-03-06 21:16:54.217699,11035698
2026-03-06 21:16:54.275647,11035718
2026-03-06 21:16:54.319249,11035800
2026-03-06 21:16:54.377449,11035820
2026-03-06 21:16:54.421345,11035902
2026-03-06 21:16:54.479374,11035922
2026-03-06 21:16:54.523631,11036004
2026-03-06 21:16:54.581521,11036024
2026-03-06 21:16:54.625705,11036106
2026-03-06 21:16:54.683248,11036126
2026-03-06 21:16:54.727939,11036208
2026-03-06 21:16:54.785736,11036228
2026-03-06 21:16:54.829595,11036310
2026-03-06 21:16:54.887806,11036330
2026-03-06 21:16:54.931474,11036412
2026-03-06 21:16:54.989513,11036432
2026-03-06 21:16:55.0338,11036514
2026-03-06 21:16:55.09171,11036534
2026-03-06 21:16:55.135771,11036616
2026-03-06 21:16:55.193415,11036636
2026-03-06 21:16:55.237366,11036718
2026-03-06 21:16:55.295438,11036738
2026-03-06 21:16:55.339709,11036820
2026-03-06 21:16:55.398017,11036840
2026-03-06 21:16:55.441538,11036922
2026-03-06 21:16:55.499658,11036942
2026-03-06 21:16:55.543694,11037024
2026-03-06 21:16:55.601213,11037044
2026-03-06 21:16:55.645508,11037126
2026-03-06 21:16:55.703625,11037146
2026-03-06 21:16:55.747344,11037228
2026-03-06 21:16:55.805526,11037248
2026-03-06 21:16:55.849557,11037330
2026-03-06 21:16:55.907217,11037350
2026-03-06 21:16:55.952749,11037432
2026-03-06 21:16:56.009443,11037452
2026-03-06 21:16:56.053805,11037534
2026-03-06 21:16:56.111621,11037554
2026-03-06 21:16:56.155479,11037636
2026-03-06 21:16:56.213886,11037656
2026-03-06 21:16:56.257535,11037738
2026-03-06 21:16:56.315573,11037758
2026-03-06 21:16:56.359488,11037840
2026-03-06 21:16:56.417355,11037860
2026-03-06 21:16:56.46191,11037942
2026-03-06 21:16:56.519443,11037962
2026-03-06 21:16:56.563465,11038044
2026-03-06 21:16:56.621772,11038064
2026-03-06 21:16:56.665534,11038146
2026-03-06 21:16:56.723282,11038166
2026-03-06 21:16:56.767735,11038248
2026-03-06 21:16:56.825349,11038268
2026-03-06 21:16:56.87048,11038350
2026-03-06 21:16:56.927491,11038370
2026-03-06 21:16:56.971462,11038452
2026-03-06 21:16:57.029725,11038472
2026-03-06 21:16:57.073296,11038554
2026-03-06 21:16:57.131955,11038574
2026-03-06 21:16:57.175771,11038656
2026-03-06 21:16:57.233262,11038676
2026-03-06 21:16:57.277413,11038758
2026-03-06 21:16:57.33549,11038778
2026-03-06 21:16:57.379896,11038860
2026-03-06 21:16:57.437562,11038880
2026-03-06 21:16:57.481511,11038962
2026-03-06 21:16:57.539406,11038982
2026-03-06 21:16:57.583596,11039064
2026-03-06 21:16:57.641805,11039084
2026-03-06 21:16:57.685768,11039166
2026-03-06 21:16:57.743528,11039186
2026-03-06 21:16:57.787791,11039268
2026-03-06 21:16:57.845746,11039288
2026-03-06 21:16:57.889366,11039370
2026-03-06 21:16:57.947802,11039390
2026-03-06 21:16:57.991357,11039472
2026-03-06 21:16:58.04955,11039492
2026-03-06 21:16:58.093885,11039574
2026-03-06 21:16:58.151359,11039594
2026-03-06 21:16:58.195513,11039676
2026-03-06 21:16:58.253687,11039696
2026-03-06 21:16:58.297348,11039778
2026-03-06 21:16:58.355454,11039798
2026-03-06 21:16:58.399703,11039880
2026-03-06 21:16:58.457574,11039900
2026-03-06 21:16:58.501948,11039982
