time,RTD.CH1.sample_ts_ms
2026-03-06 21:17:40.675577,11082023
2026-03-06 21:17:40.810023,11082038
2026-03-06 21:17:40.810098,11082053
2026-03-06 21:17:40.810133,11082068
2026-03-06 21:17:40.810171,11082083
2026-03-06 21:17:40.810207,11082098
2026-03-06 21:17:40.810239,11082113
2026-03-06 21:17:40.810275,11082128
2026-03-06 21:17:40.810311,11082143
2026-03-06 21:17:40.810346,11082158
2026-03-06 21:17:40.945197,11082173
2026-03-06 21:17:40.945341,11082188
2026-03-06 21:17:40.945423,11082203
2026-03-06 21:17:40.945516,11082218
2026-03-06 21:17:40.945605,11082233
2026-03-06 21:17:40.945688,11082248
2026-03-06 21:17:40.945778,11082263
2026-03-06 21:17:40.945864,11082278
2026-03-06 21:17:40.94591,11082293
2026-03-06 21:17:41.079884,11082308
2026-03-06 21:17:41.079984,11082323
2026-03-06 21:17:41.080039,11082338
2026-03-06 21:17:41.080102,11082353
2026-03-06 21:17:41.080213,11082368
2026-03-06 21:17:41.080252,11082383
2026-03-06 21:17:41.08027,11082398
2026-03-06 21:17:41.080296,11082413
2026-03-06 21:17:41.080307,11082428
2026-03-06 21:17:41.214965,11082443
2026-03-06 21:17:41.215036,11082458
2026-03-06 21:17:41.215067,11082473
2026-03-06 21:17:41.215096,11082488
2026-03-06 21:17:41.215125,11082503
2026-03-06 21:17:41.215155,11082518
2026-03-06 21:17:41.215189,11082533
2026-03-06 21:17:41.215219,11082548
2026-03-06 21:17:41.215248,11082563
2026-03-06 21:17:41.350258,11082578
2026-03-06 21:17:41.350364,11082593
2026-03-06 21:17:41.350429,11082608
2026-03-06 21:17:41.350499,11082623
2026-03-06 21:17:41.350555,11082638
2026-03-06 21:17:41.350581,11082653
2026-03-06 21:17:41.350607,11082668
2026-03-06 21:17:41.350634,11082683
2026-03-06 21:17:41.35066,11082698
2026-03-06 21:17:41.485251,11082713
2026-03-06 21:17:41.485344,11082728
2026-03-06 21:17:41.485371,11082743
2026-03-06 21:17:41.485405,11082758
2026-03-06 21:17:41.48546,11082773
2026-03-06 21:17:41.485478,11082788
2026-03-06 21:17:41.485532,11082803
2026-03-06 21:17:41.485563,11082818
2026-03-06 21:17:41.485586,11082833
2026-03-06 21:17:41.620081,11082848
2026-03-06 21:17:41.620192,11082863
2026-03-06 21:17:41.620236,11082878
2026-03-06 21:17:41.620272,11082893
2026-03-06 21:17:41.620331,11082908
2026-03-06 21:17:41.620369,11082923
2026-03-06 21:17:41.620399,11082938
2026-03-06 21:17:41.620459,11082953
2026-03-06 21:17:41.620482,11082968
2026-03-06 21:17:41.758955,11082987
2026-03-06 21:17:41.759053,11083002
2026-03-06 21:17:41.759102,11083017
2026-03-06 21:17:41.759134,11083032
2026-03-06 21:17:41.759176,11083047
2026-03-06 21:17:41.759217,11083062
2026-03-06 21:17:41.759251,11083077
2026-03-06 21:17:41.759286,11083092
2026-03-06 21:17:41.759335,11083107
2026-03-06 21:17:41.89439,11083122
2026-03-06 21:17:41.894469,11083137
2026-03-06 21:17:41.894506,11083152
2026-03-06 21:17:41.894532,11083167
2026-03-06 21:17:41.894558,11083182
2026-03-06 21:17:41.8946,11083197
2026-03-06 21:17:41.894625,11083212
2026-03-06 21:17:41.894658,11083227
2026-03-06 21:17:41.894676,11083242
2026-03-06 21:17:42.029205,11083257
2026-03-06 21:17:42.029333,11083272
2026-03-06 21:17:42.02942,11083287
2026-03-06 21:17:42.029504,11083302
2026-03-06 21:17:42.029586,11083317
2026-03-06 21:17:42.029626,11083332
2026-03-06 21:17:42.029695,11083347
2026-03-06 21:17:42.029723,11083362
2026-03-06 21:17:42.029769,11083377
2026-03-06 21:17:42.164682,11083392
2026-03-06 21:17:42.164762,11083407
2026-03-06 21:17:42.164837,11083422
2026-03-06 21:17:42.164884,11083437
2026-03-06 21:17:42.165024,11083452
2026-03-06 21:17:42.165109,11083467
2026-03-06 21:17:42.165172,11083482
2026-03-06 21:17:42.165208,11083497
2026-03-06 21:17:42.165253,11083512
2026-03-06 21:17:42.298954,11083527
2026-03-06 21:17:42.299055,11083542
2026-03-06 21:17:42.299104,11083557
2026-03-06 21:17:42.299148,11083572
2026-03-06 21:17:42.299184,11083587
2026-03-06 21:17:42.299214,11083602
2026-03-06 21:17:42.299244,11083617
2026-03-06 21:17:42.299273,11083632
2026-03-06 21:17:42.299312,11083647
2026-03-06 21:17:42.434027,11083662
2026-03-06 21:17:42.43419,11083677
2026-03-06 21:17:42.434279,11083692
2026-03-06 21:17:42.434336,11083707
2026-03-06 21:17:42.434372,11083722
2026-03-06 21:17:42.434393,11083737
2026-03-06 21:17:42.434429,11083752
2026-03-06 21:17:42.434493,11083767
2026-03-06 21:17:42.434529,11083782
2026-03-06 21:17:42.569205,11083797
2026-03-06 21:17:42.569282,11083812
2026-03-06 21:17:42.569309,11083827
2026-03-06 21:17:42.569336,11083842
2026-03-06 21:17:42.569358,11083857
2026-03-06 21:17:42.569385,11083872
2026-03-06 21:17:42.569407,11083887
2026-03-06 21:17:42.569435,11083902
2026-03-06 21:17:42.569466,11083917
2026-03-06 21:17:42.703849,11083932
2026-03-06 21:17:42.703939,11083947
2026-03-06 21:17:42.703966,11083962
2026-03-06 21:17:42.703996,11083977
2026-03-06 21:17:42.704011,11083992
2026-03-06 21:17:42.704041,11084007
2026-03-06 21:17:42.704063,11084022
2026-03-06 21:17:42.704076,11084037
2026-03-06 21:17:42.704106,11084052
2026-03-06 21:17:42.842945,11084071
2026-03-06 21:17:42.843048,11084086
2026-03-06 21:17:42.84309,11084101
2026-03-06 21:17:42.843133,11084116
2026-03-06 21:17:42.843179,11084131
2026-03-06 21:17:42.843221,11084146
2026-03-06 21:17:42.843264,11084161
2026-03-06 21:17:42.843307,11084176
2026-03-06 21:17:42.843353,11084191
2026-03-06 21:17:42.978069,11084206
2026-03-06 21:17:42.978198,11084221
2026-03-06 21:17:42.978282,11084236
2026-03-06 21:17:42.978358,11084251
2026-03-06 21:17:42.978432,11084266
2026-03-06 21:17:42.978503,11084281
2026-03-06 21:17:42.978581,11084296
2026-03-06 21:17:42.978645,11084311
2026-03-06 21:17:42.97867,11084326
2026-03-06 21:17:43.11288,11084341
2026-03-06 21:17:43.112989,11084356
2026-03-06 21:17:43.113035,11084371
2026-03-06 21:17:43.11308,11084386
2026-03-06 21:17:43.113124,11084401
2026-03-06 21:17:43.113195,11084416
