time,ACT.GSE_High_Press_Control.channel_id
2026-03-06 21:17:25.838252,3
2026-03-06 21:17:25.895683,3
2026-03-06 21:17:25.895718,3
2026-03-06 21:17:25.939834,3
2026-03-06 21:17:25.939861,3
2026-03-06 21:17:25.997741,3
2026-03-06 21:17:25.997766,3
2026-03-06 21:17:26.041964,3
2026-03-06 21:17:26.041992,3
2026-03-06 21:17:26.100035,3
2026-03-06 21:17:26.100061,3
2026-03-06 21:17:26.143865,3
2026-03-06 21:17:26.143878,3
2026-03-06 21:17:26.202009,3
2026-03-06 21:17:26.202025,3
2026-03-06 21:17:26.245589,3
2026-03-06 21:17:26.245606,3
2026-03-06 21:17:26.303954,3
2026-03-06 21:17:26.303986,3
2026-03-06 21:17:26.348033,3
2026-03-06 21:17:26.348066,3
2026-03-06 21:17:26.406343,3
2026-03-06 21:17:26.406374,3
2026-03-06 21:17:26.449715,3
2026-03-06 21:17:26.449736,3
2026-03-06 21:17:26.507731,3
2026-03-06 21:17:26.507765,3
2026-03-06 21:17:26.551732,3
2026-03-06 21:17:26.55176,3
2026-03-06 21:17:26.610429,3
2026-03-06 21:17:26.610456,3
2026-03-06 21:17:26.653691,3
2026-03-06 21:17:26.653724,3
2026-03-06 21:17:26.711892,3
2026-03-06 21:17:26.711923,3
2026-03-06 21:17:26.755894,3
2026-03-06 21:17:26.755923,3
2026-03-06 21:17:26.813829,3
2026-03-06 21:17:26.813861,3
2026-03-06 21:17:26.857756,3
2026-03-06 21:17:26.85777,3
2026-03-06 21:17:26.915764,3
2026-03-06 21:17:26.915779,3
2026-03-06 21:17:26.959818,3
2026-03-06 21:17:26.959856,3
2026-03-06 21:17:27.01771,3
2026-03-06 21:17:27.017722,3
2026-03-06 21:17:27.061764,3
2026-03-06 21:17:27.061776,3
2026-03-06 21:17:27.119546,3
2026-03-06 21:17:27.119562,3
2026-03-06 21:17:27.16422,3
2026-03-06 21:17:27.16424,3
2026-03-06 21:17:27.222302,3
2026-03-06 21:17:27.222319,3
2026-03-06 21:17:27.265863,3
2026-03-06 21:17:27.265886,3
2026-03-06 21:17:27.32369,3
2026-03-06 21:17:27.323701,3
2026-03-06 21:17:27.368094,3
2026-03-06 21:17:27.368109,3
2026-03-06 21:17:27.425904,3
2026-03-06 21:17:27.425917,3
2026-03-06 21:17:27.469798,3
2026-03-06 21:17:27.469812,3
2026-03-06 21:17:27.5277,3
2026-03-06 21:17:27.527722,3
2026-03-06 21:17:27.571909,3
2026-03-06 21:17:27.571929,3
2026-03-06 21:17:27.629843,3
2026-03-06 21:17:27.629879,3
2026-03-06 21:17:27.674023,3
2026-03-06 21:17:27.674057,3
2026-03-06 21:17:27.73178,3
2026-03-06 21:17:27.731805,3
2026-03-06 21:17:27.776688,3
2026-03-06 21:17:27.776714,3
2026-03-06 21:17:27.833976,3
2026-03-06 21:17:27.834014,3
2026-03-06 21:17:27.87775,3
2026-03-06 21:17:27.877781,3
2026-03-06 21:17:27.936316,3
2026-03-06 21:17:27.93633,3
2026-03-06 21:17:27.98019,3
2026-03-06 21:17:27.980227,3
2026-03-06 21:17:28.038002,3
2026-03-06 21:17:28.038036,3
2026-03-06 21:17:28.081937,3
2026-03-06 21:17:28.081953,3
2026-03-06 21:17:28.140343,3
2026-03-06 21:17:28.140382,3
2026-03-06 21:17:28.183674,3
2026-03-06 21:17:28.1837,3
2026-03-06 21:17:28.242174,3
2026-03-06 21:17:28.242197,3
2026-03-06 21:17:28.285751,3
2026-03-06 21:17:28.28578,3
2026-03-06 21:17:28.344204,3
2026-03-06 21:17:28.344228,3
2026-03-06 21:17:28.38783,3
2026-03-06 21:17:28.387852,3
2026-03-06 21:17:28.445625,3
2026-03-06 21:17:28.445637,3
2026-03-06 21:17:28.489965,3
2026-03-06 21:17:28.489983,3
2026-03-06 21:17:28.547817,3
2026-03-06 21:17:28.54783,3
2026-03-06 21:17:28.592203,3
2026-03-06 21:17:28.592224,3
2026-03-06 21:17:28.650027,3
2026-03-06 21:17:28.650042,3
2026-03-06 21:17:28.694065,3
2026-03-06 21:17:28.694084,3
2026-03-06 21:17:28.751417,3
2026-03-06 21:17:28.751433,3
2026-03-06 21:17:28.795532,3
2026-03-06 21:17:28.79555,3
2026-03-06 21:17:28.85393,3
2026-03-06 21:17:28.853948,3
2026-03-06 21:17:28.897712,3
2026-03-06 21:17:28.897741,3
2026-03-06 21:17:28.956004,3
2026-03-06 21:17:28.956037,3
2026-03-06 21:17:28.999855,3
2026-03-06 21:17:28.99987,3
2026-03-06 21:17:29.057772,3
2026-03-06 21:17:29.057806,3
2026-03-06 21:17:29.101839,3
2026-03-06 21:17:29.101862,3
2026-03-06 21:17:29.15959,3
2026-03-06 21:17:29.15961,3
2026-03-06 21:17:29.204126,3
2026-03-06 21:17:29.204155,3
2026-03-06 21:17:29.261736,3
2026-03-06 21:17:29.261761,3
2026-03-06 21:17:29.305681,3
2026-03-06 21:17:29.305705,3
2026-03-06 21:17:29.363938,3
2026-03-06 21:17:29.363968,3
2026-03-06 21:17:29.408084,3
2026-03-06 21:17:29.408112,3
2026-03-06 21:17:29.465931,3
2026-03-06 21:17:29.466017,3
2026-03-06 21:17:29.509619,3
2026-03-06 21:17:29.509636,3
2026-03-06 21:17:29.568535,3
2026-03-06 21:17:29.568566,3
2026-03-06 21:17:29.611965,3
2026-03-06 21:17:29.611982,3
2026-03-06 21:17:29.669614,3
2026-03-06 21:17:29.669629,3
2026-03-06 21:17:29.714035,3
2026-03-06 21:17:29.714059,3
2026-03-06 21:17:29.771859,3
2026-03-06 21:17:29.771883,3
2026-03-06 21:17:29.815932,3
2026-03-06 21:17:29.815956,3
2026-03-06 21:17:29.874176,3
2026-03-06 21:17:29.87421,3
2026-03-06 21:17:29.91796,3
2026-03-06 21:17:29.917988,3
2026-03-06 21:17:29.975703,3
2026-03-06 21:17:29.97573,3
2026-03-06 21:17:30.019675,3
2026-03-06 21:17:30.019706,3
2026-03-06 21:17:30.078022,3
2026-03-06 21:17:30.078059,3
2026-03-06 21:17:30.121754,3
2026-03-06 21:17:30.121778,3
2026-03-06 21:17:30.180045,3
2026-03-06 21:17:30.180078,3
2026-03-06 21:17:30.224129,3
2026-03-06 21:17:30.224156,3
2026-03-06 21:17:30.281628,3
2026-03-06 21:17:30.281651,3
2026-03-06 21:17:30.325943,3
2026-03-06 21:17:30.325974,3
2026-03-06 21:17:30.383687,3
2026-03-06 21:17:30.383705,3
2026-03-06 21:17:30.427689,3
2026-03-06 21:17:30.427711,3
2026-03-06 21:17:30.485718,3
2026-03-06 21:17:30.485748,3
2026-03-06 21:17:30.529802,3
2026-03-06 21:17:30.529831,3
2026-03-06 21:17:30.588014,3
2026-03-06 21:17:30.588031,3
2026-03-06 21:17:30.632117,3
2026-03-06 21:17:30.632143,3
2026-03-06 21:17:30.689755,3
2026-03-06 21:17:30.689768,3
2026-03-06 21:17:30.734094,3
2026-03-06 21:17:30.734109,3
2026-03-06 21:17:30.791971,3
2026-03-06 21:17:30.791998,3
2026-03-06 21:17:30.835792,3
2026-03-06 21:17:30.83581,3
2026-03-06 21:17:30.893727,3
2026-03-06 21:17:30.893753,3
2026-03-06 21:17:30.937621,3
2026-03-06 21:17:30.937652,3
2026-03-06 21:17:30.995822,3
2026-03-06 21:17:30.995839,3
2026-03-06 21:17:31.039997,3
2026-03-06 21:17:31.040021,3
2026-03-06 21:17:31.098186,3
2026-03-06 21:17:31.098206,3
2026-03-06 21:17:31.141895,3
2026-03-06 21:17:31.141918,3
2026-03-06 21:17:31.200764,3
2026-03-06 21:17:31.200793,3
2026-03-06 21:17:31.243707,3
2026-03-06 21:17:31.243731,3
2026-03-06 21:17:31.301761,3
2026-03-06 21:17:31.301798,3
2026-03-06 21:17:31.345876,3
2026-03-06 21:17:31.345898,3
2026-03-06 21:17:31.403699,3
2026-03-06 21:17:31.403728,3
2026-03-06 21:17:31.447692,3
2026-03-06 21:17:31.447727,3
2026-03-06 21:17:31.506012,3
2026-03-06 21:17:31.506037,3
2026-03-06 21:17:31.549751,3
2026-03-06 21:17:31.54978,3
2026-03-06 21:17:31.607687,3
2026-03-06 21:17:31.607719,3
2026-03-06 21:17:31.651753,3
2026-03-06 21:17:31.651787,3
2026-03-06 21:17:31.710138,3
2026-03-06 21:17:31.710177,3
2026-03-06 21:17:31.753736,3
2026-03-06 21:17:31.753769,3
2026-03-06 21:17:31.811778,3
2026-03-06 21:17:31.811812,3
2026-03-06 21:17:31.855709,3
2026-03-06 21:17:31.855743,3
2026-03-06 21:17:31.913688,3
2026-03-06 21:17:31.913704,3
2026-03-06 21:17:31.957844,3
2026-03-06 21:17:31.957875,3
2026-03-06 21:17:32.015878,3
2026-03-06 21:17:32.01591,3
2026-03-06 21:17:32.059651,3
2026-03-06 21:17:32.059684,3
2026-03-06 21:17:32.117909,3
2026-03-06 21:17:32.117944,3
2026-03-06 21:17:32.161783,3
2026-03-06 21:17:32.161817,3
2026-03-06 21:17:32.22011,3
2026-03-06 21:17:32.220142,3
2026-03-06 21:17:32.263568,3
2026-03-06 21:17:32.263717,3
2026-03-06 21:17:32.321708,3
2026-03-06 21:17:32.321727,3
2026-03-06 21:17:32.365832,3
2026-03-06 21:17:32.365862,3
2026-03-06 21:17:32.424143,3
2026-03-06 21:17:32.424177,3
2026-03-06 21:17:32.467425,3
2026-03-06 21:17:32.467448,3
2026-03-06 21:17:32.525695,3
2026-03-06 21:17:32.525718,3
2026-03-06 21:17:32.569912,3
2026-03-06 21:17:32.569945,3
2026-03-06 21:17:32.62782,3
2026-03-06 21:17:32.627831,3
2026-03-06 21:17:32.671972,3
2026-03-06 21:17:32.672005,3
2026-03-06 21:17:32.730051,3
2026-03-06 21:17:32.730078,3
2026-03-06 21:17:32.773933,3
2026-03-06 21:17:32.773967,3
2026-03-06 21:17:32.832012,3
2026-03-06 21:17:32.832027,3
2026-03-06 21:17:32.875957,3
2026-03-06 21:17:32.875985,3
2026-03-06 21:17:32.933956,3
2026-03-06 21:17:32.933978,3
2026-03-06 21:17:32.978011,3
2026-03-06 21:17:32.978045,3
2026-03-06 21:17:33.035829,3
2026-03-06 21:17:33.035861,3
2026-03-06 21:17:33.079903,3
2026-03-06 21:17:33.079933,3
2026-03-06 21:17:33.13813,3
2026-03-06 21:17:33.138154,3
2026-03-06 21:17:33.182054,3
2026-03-06 21:17:33.182096,3
2026-03-06 21:17:33.240368,3
2026-03-06 21:17:33.24039,3
2026-03-06 21:17:33.283705,3
2026-03-06 21:17:33.283723,3
2026-03-06 21:17:33.34172,3
2026-03-06 21:17:33.341741,3
2026-03-06 21:17:33.386025,3
2026-03-06 21:17:33.386044,3
2026-03-06 21:17:33.444193,3
2026-03-06 21:17:33.444219,3
