time,TC.CH5.sample_ts_ms
2026-03-06 21:15:08.762674,10930022
2026-03-06 21:15:08.762757,10930036
2026-03-06 21:15:08.762838,10930050
2026-03-06 21:15:08.762914,10930064
2026-03-06 21:15:08.762994,10930078
2026-03-06 21:15:08.763072,10930092
2026-03-06 21:15:08.763134,10930106
2026-03-06 21:15:08.76319,10930120
2026-03-06 21:15:08.76323,10930134
2026-03-06 21:15:08.890009,10930149
2026-03-06 21:15:08.890083,10930163
2026-03-06 21:15:08.890154,10930177
2026-03-06 21:15:08.890231,10930191
2026-03-06 21:15:08.890301,10930205
2026-03-06 21:15:08.890368,10930219
2026-03-06 21:15:08.890394,10930233
2026-03-06 21:15:08.890445,10930247
2026-03-06 21:15:08.890481,10930261
2026-03-06 21:15:09.020579,10930280
2026-03-06 21:15:09.020647,10930294
2026-03-06 21:15:09.020706,10930308
2026-03-06 21:15:09.020766,10930322
2026-03-06 21:15:09.020826,10930336
2026-03-06 21:15:09.020891,10930350
2026-03-06 21:15:09.020923,10930364
2026-03-06 21:15:09.020976,10930378
2026-03-06 21:15:09.020997,10930392
2026-03-06 21:15:09.148904,10930407
2026-03-06 21:15:09.148987,10930421
2026-03-06 21:15:09.149067,10930435
2026-03-06 21:15:09.149145,10930449
2026-03-06 21:15:09.149239,10930463
2026-03-06 21:15:09.149315,10930478
2026-03-06 21:15:09.149401,10930492
2026-03-06 21:15:09.149487,10930506
2026-03-06 21:15:09.149523,10930520
2026-03-06 21:15:09.275567,10930535
2026-03-06 21:15:09.275618,10930549
2026-03-06 21:15:09.275662,10930563
2026-03-06 21:15:09.275684,10930577
2026-03-06 21:15:09.275722,10930591
2026-03-06 21:15:09.275766,10930605
2026-03-06 21:15:09.275799,10930619
2026-03-06 21:15:09.275845,10930633
2026-03-06 21:15:09.275881,10930647
2026-03-06 21:15:09.402809,10930662
2026-03-06 21:15:09.402901,10930676
2026-03-06 21:15:09.402977,10930690
2026-03-06 21:15:09.403018,10930704
2026-03-06 21:15:09.403084,10930718
2026-03-06 21:15:09.40317,10930732
2026-03-06 21:15:09.40325,10930746
2026-03-06 21:15:09.4033,10930760
2026-03-06 21:15:09.403355,10930774
2026-03-06 21:15:09.529689,10930789
2026-03-06 21:15:09.529782,10930803
2026-03-06 21:15:09.529865,10930817
2026-03-06 21:15:09.529946,10930831
2026-03-06 21:15:09.530027,10930845
2026-03-06 21:15:09.530109,10930859
2026-03-06 21:15:09.530219,10930873
2026-03-06 21:15:09.530265,10930887
2026-03-06 21:15:09.530309,10930901
2026-03-06 21:15:09.656672,10930916
2026-03-06 21:15:09.656758,10930930
2026-03-06 21:15:09.656833,10930944
2026-03-06 21:15:09.656908,10930958
2026-03-06 21:15:09.65699,10930972
2026-03-06 21:15:09.657059,10930986
2026-03-06 21:15:09.657109,10931000
2026-03-06 21:15:09.657175,10931014
2026-03-06 21:15:09.657218,10931028
2026-03-06 21:15:09.783736,10931043
2026-03-06 21:15:09.783762,10931057
2026-03-06 21:15:09.783782,10931071
2026-03-06 21:15:09.783799,10931085
2026-03-06 21:15:09.783823,10931099
2026-03-06 21:15:09.783835,10931113
2026-03-06 21:15:09.783854,10931127
2026-03-06 21:15:09.783873,10931141
2026-03-06 21:15:09.783884,10931155
2026-03-06 21:15:09.910473,10931170
2026-03-06 21:15:09.910503,10931184
2026-03-06 21:15:09.910527,10931198
2026-03-06 21:15:09.910539,10931212
2026-03-06 21:15:09.910564,10931226
2026-03-06 21:15:09.910583,10931240
2026-03-06 21:15:09.910604,10931254
2026-03-06 21:15:09.910628,10931268
2026-03-06 21:15:09.910645,10931282
2026-03-06 21:15:10.04162,10931301
2026-03-06 21:15:10.041657,10931315
2026-03-06 21:15:10.041671,10931329
2026-03-06 21:15:10.0417,10931343
2026-03-06 21:15:10.041714,10931357
2026-03-06 21:15:10.041743,10931371
2026-03-06 21:15:10.041761,10931385
2026-03-06 21:15:10.041782,10931399
2026-03-06 21:15:10.041804,10931413
2026-03-06 21:15:10.1695,10931428
2026-03-06 21:15:10.169548,10931442
2026-03-06 21:15:10.169573,10931456
2026-03-06 21:15:10.1696,10931470
2026-03-06 21:15:10.1697,10931485
2026-03-06 21:15:10.169765,10931499
2026-03-06 21:15:10.169834,10931513
2026-03-06 21:15:10.169904,10931527
2026-03-06 21:15:10.169929,10931541
2026-03-06 21:15:10.296849,10931556
2026-03-06 21:15:10.296908,10931570
2026-03-06 21:15:10.296943,10931584
2026-03-06 21:15:10.296977,10931598
