time,ACT.GSE_High_Press_Control.status
2026-03-06 21:29:10.823368,0
2026-03-06 21:29:10.839363,0
2026-03-06 21:29:10.925487,0
2026-03-06 21:29:10.941061,0
2026-03-06 21:29:11.027524,0
2026-03-06 21:29:11.043329,0
2026-03-06 21:29:11.129445,0
2026-03-06 21:29:11.145443,0
2026-03-06 21:29:11.231628,0
2026-03-06 21:29:11.247189,0
2026-03-06 21:29:11.333363,0
2026-03-06 21:29:11.349367,0
2026-03-06 21:29:11.435037,0
2026-03-06 21:29:11.451298,0
2026-03-06 21:29:11.537332,0
2026-03-06 21:29:11.553389,0
2026-03-06 21:29:11.639429,0
2026-03-06 21:29:11.655437,0
2026-03-06 21:29:11.741369,0
2026-03-06 21:29:11.757414,0
2026-03-06 21:29:11.843278,0
2026-03-06 21:29:11.858394,0
2026-03-06 21:29:11.945359,0
2026-03-06 21:29:11.960288,0
2026-03-06 21:29:12.047326,0
2026-03-06 21:29:12.062823,0
2026-03-06 21:29:12.149338,0
2026-03-06 21:29:12.164129,0
2026-03-06 21:29:12.251418,0
2026-03-06 21:29:12.266317,0
2026-03-06 21:29:12.353515,0
2026-03-06 21:29:12.368026,0
2026-03-06 21:29:12.455577,0
2026-03-06 21:29:12.470177,0
2026-03-06 21:29:12.557389,0
2026-03-06 21:29:12.572107,0
2026-03-06 21:29:12.659598,0
2026-03-06 21:29:12.674035,0
2026-03-06 21:29:12.761262,0
2026-03-06 21:29:12.775989,0
2026-03-06 21:29:12.863527,0
2026-03-06 21:29:12.878462,0
2026-03-06 21:29:12.965421,0
2026-03-06 21:29:12.980244,0
2026-03-06 21:29:13.067253,0
2026-03-06 21:29:13.082077,0
2026-03-06 21:29:13.169662,0
2026-03-06 21:29:13.184197,0
2026-03-06 21:29:13.271212,0
2026-03-06 21:29:13.286246,0
2026-03-06 21:29:13.373503,0
2026-03-06 21:29:13.388633,0
2026-03-06 21:29:13.47542,0
2026-03-06 21:29:13.489936,0
2026-03-06 21:29:13.577266,0
2026-03-06 21:29:13.592234,0
2026-03-06 21:29:13.679452,0
2026-03-06 21:29:13.694023,0
2026-03-06 21:29:13.781454,0
2026-03-06 21:29:13.796326,0
2026-03-06 21:29:13.883518,0
2026-03-06 21:29:13.898262,0
2026-03-06 21:29:13.98534,0
2026-03-06 21:29:14.00019,0
2026-03-06 21:29:14.087317,0
2026-03-06 21:29:14.102135,0
2026-03-06 21:29:14.189391,0
2026-03-06 21:29:14.203957,0
2026-03-06 21:29:14.291496,0
2026-03-06 21:29:14.305833,0
2026-03-06 21:29:14.393579,0
2026-03-06 21:29:14.408472,0
2026-03-06 21:29:14.495376,0
2026-03-06 21:29:14.509906,0
2026-03-06 21:29:14.597311,0
2026-03-06 21:29:14.612136,0
2026-03-06 21:29:14.699037,0
2026-03-06 21:29:14.714328,0
2026-03-06 21:29:14.801348,0
2026-03-06 21:29:14.815977,0
2026-03-06 21:29:14.903199,0
2026-03-06 21:29:14.918307,0
2026-03-06 21:29:15.005271,0
2026-03-06 21:29:15.020289,0
2026-03-06 21:29:15.107222,0
2026-03-06 21:29:15.122252,0
2026-03-06 21:29:15.209349,0
2026-03-06 21:29:15.224011,0
2026-03-06 21:29:15.311132,0
2026-03-06 21:29:15.325992,0
2026-03-06 21:29:15.413446,0
2026-03-06 21:29:15.427994,0
2026-03-06 21:29:15.515429,0
2026-03-06 21:29:15.530365,0
2026-03-06 21:29:15.617181,0
2026-03-06 21:29:15.631941,0
2026-03-06 21:29:15.719409,0
2026-03-06 21:29:15.734333,0
2026-03-06 21:29:15.82116,0
2026-03-06 21:29:15.836338,0
2026-03-06 21:29:15.92362,0
2026-03-06 21:29:15.938062,0
2026-03-06 21:29:16.025222,0
2026-03-06 21:29:16.039959,0
2026-03-06 21:29:16.127652,0
2026-03-06 21:29:16.142379,0
2026-03-06 21:29:16.229535,0
2026-03-06 21:29:16.244217,0
2026-03-06 21:29:16.331066,0
2026-03-06 21:29:16.3462,0
2026-03-06 21:29:16.433276,0
2026-03-06 21:29:16.448241,0
2026-03-06 21:29:16.535351,0
2026-03-06 21:29:16.550255,0
2026-03-06 21:29:16.637381,0
2026-03-06 21:29:16.65233,0
2026-03-06 21:29:16.739388,0
2026-03-06 21:29:16.754018,0
2026-03-06 21:29:16.841539,0
2026-03-06 21:29:16.856325,0
2026-03-06 21:29:16.943262,0
2026-03-06 21:29:16.958329,0
2026-03-06 21:29:17.045241,0
2026-03-06 21:29:17.060045,0
2026-03-06 21:29:17.147558,0
2026-03-06 21:29:17.161902,0
2026-03-06 21:29:17.249714,0
2026-03-06 21:29:17.264485,0
