time,ACT.Fuel_Fill_Vent.actuator_state
2026-03-06 21:21:07.340072,1
2026-03-06 21:21:07.382807,0
2026-03-06 21:21:07.442119,1
2026-03-06 21:21:07.484653,1
2026-03-06 21:21:07.544248,1
2026-03-06 21:21:07.586437,0
2026-03-06 21:21:07.646066,1
2026-03-06 21:21:07.689109,0
2026-03-06 21:21:07.747773,1
2026-03-06 21:21:07.7908,0
2026-03-06 21:21:07.849873,1
2026-03-06 21:21:07.892884,0
2026-03-06 21:21:07.951729,1
2026-03-06 21:21:07.994611,0
2026-03-06 21:21:08.053844,1
2026-03-06 21:21:08.096732,0
2026-03-06 21:21:08.155767,1
2026-03-06 21:21:08.198765,0
2026-03-06 21:21:08.258135,1
2026-03-06 21:21:08.300932,0
2026-03-06 21:21:08.360152,1
2026-03-06 21:21:08.402935,1
2026-03-06 21:21:08.46192,1
2026-03-06 21:21:08.504976,1
2026-03-06 21:21:08.563848,1
2026-03-06 21:21:08.606689,0
2026-03-06 21:21:08.665944,1
2026-03-06 21:21:08.708781,0
2026-03-06 21:21:08.76807,1
2026-03-06 21:21:08.810785,0
2026-03-06 21:21:08.869708,1
2026-03-06 21:21:08.913305,0
2026-03-06 21:21:08.971625,1
2026-03-06 21:21:09.015091,0
2026-03-06 21:21:09.073935,1
2026-03-06 21:21:09.117214,0
2026-03-06 21:21:09.176446,1
2026-03-06 21:21:09.219044,1
2026-03-06 21:21:09.277923,1
2026-03-06 21:21:09.320904,0
2026-03-06 21:21:09.379637,1
2026-03-06 21:21:09.423317,0
2026-03-06 21:21:09.481953,1
2026-03-06 21:21:09.524817,1
2026-03-06 21:21:09.584054,1
2026-03-06 21:21:09.626835,1
2026-03-06 21:21:09.685834,1
2026-03-06 21:21:09.729046,0
2026-03-06 21:21:09.788035,1
2026-03-06 21:21:09.831074,0
2026-03-06 21:21:09.890091,1
2026-03-06 21:21:09.93281,0
2026-03-06 21:21:09.992074,1
2026-03-06 21:21:10.034917,0
2026-03-06 21:21:10.09418,1
2026-03-06 21:21:10.136946,0
2026-03-06 21:21:10.196316,1
2026-03-06 21:21:10.239014,0
2026-03-06 21:21:10.297798,1
2026-03-06 21:21:10.341182,0
2026-03-06 21:21:10.399826,1
2026-03-06 21:21:10.4433,0
2026-03-06 21:21:10.501943,1
2026-03-06 21:21:10.544612,0
2026-03-06 21:21:10.603736,1
2026-03-06 21:21:10.646931,0
2026-03-06 21:21:10.705993,1
2026-03-06 21:21:10.748686,0
2026-03-06 21:21:10.807753,1
2026-03-06 21:21:10.851105,0
2026-03-06 21:21:10.910023,1
