time,ACT.LOX_Dump.actuator_state
2026-03-06 21:20:46.123651,0
2026-03-06 21:20:46.166795,0
2026-03-06 21:20:46.225518,0
2026-03-06 21:20:46.269025,0
2026-03-06 21:20:46.328025,0
2026-03-06 21:20:46.371287,0
2026-03-06 21:20:46.429452,0
2026-03-06 21:20:46.473029,0
2026-03-06 21:20:46.531508,0
2026-03-06 21:20:46.574835,0
2026-03-06 21:20:46.63372,0
2026-03-06 21:20:46.677402,0
2026-03-06 21:20:46.73565,0
2026-03-06 21:20:46.778788,0
2026-03-06 21:20:46.837954,0
2026-03-06 21:20:46.880873,0
2026-03-06 21:20:46.939796,0
2026-03-06 21:20:46.983011,0
2026-03-06 21:20:47.042238,0
2026-03-06 21:20:47.084639,0
2026-03-06 21:20:47.143621,0
2026-03-06 21:20:47.187026,0
2026-03-06 21:20:47.24607,0
2026-03-06 21:20:47.288645,0
2026-03-06 21:20:47.347953,0
2026-03-06 21:20:47.390955,0
2026-03-06 21:20:47.449655,0
2026-03-06 21:20:47.492903,0
2026-03-06 21:20:47.552205,0
2026-03-06 21:20:47.59479,0
2026-03-06 21:20:47.653767,0
2026-03-06 21:20:47.696685,0
2026-03-06 21:20:47.755799,0
2026-03-06 21:20:47.798565,0
2026-03-06 21:20:47.857592,0
2026-03-06 21:20:47.901051,0
2026-03-06 21:20:47.959833,0
2026-03-06 21:20:48.003216,0
2026-03-06 21:20:48.061887,0
2026-03-06 21:20:48.104625,0
2026-03-06 21:20:48.163996,0
2026-03-06 21:20:48.20678,0
2026-03-06 21:20:48.265857,0
2026-03-06 21:20:48.308988,0
2026-03-06 21:20:48.368141,0
2026-03-06 21:20:48.411148,0
2026-03-06 21:20:48.469747,0
2026-03-06 21:20:48.513324,0
2026-03-06 21:20:48.57201,0
2026-03-06 21:20:48.614803,0
2026-03-06 21:20:48.673943,0
2026-03-06 21:20:48.716926,0
2026-03-06 21:20:48.776087,0
2026-03-06 21:20:48.818839,0
2026-03-06 21:20:48.878246,0
2026-03-06 21:20:48.920978,0
2026-03-06 21:20:48.980039,0
2026-03-06 21:20:49.023312,0
2026-03-06 21:20:49.082014,0
2026-03-06 21:20:49.125007,0
2026-03-06 21:20:49.184331,0
2026-03-06 21:20:49.226765,0
2026-03-06 21:20:49.286119,0
2026-03-06 21:20:49.329205,0
2026-03-06 21:20:49.387995,0
2026-03-06 21:20:49.430835,0
2026-03-06 21:20:49.489722,0
2026-03-06 21:20:49.533021,0
2026-03-06 21:20:49.591611,0
2026-03-06 21:20:49.634698,0
2026-03-06 21:20:49.69413,0
2026-03-06 21:20:49.736966,0
2026-03-06 21:20:49.795765,0
2026-03-06 21:20:49.838944,0
2026-03-06 21:20:49.898043,0
2026-03-06 21:20:49.941109,0
2026-03-06 21:20:49.99997,0
2026-03-06 21:20:50.042888,0
2026-03-06 21:20:50.10223,0
2026-03-06 21:20:50.144952,0
2026-03-06 21:20:50.203756,0
2026-03-06 21:20:50.247191,0
2026-03-06 21:20:50.305772,0
2026-03-06 21:20:50.348825,0
2026-03-06 21:20:50.408016,0
2026-03-06 21:20:50.450664,0
2026-03-06 21:20:50.509795,0
2026-03-06 21:20:50.552949,0
2026-03-06 21:20:50.611945,0
2026-03-06 21:20:50.655442,0
2026-03-06 21:20:50.714136,0
2026-03-06 21:20:50.756982,0
2026-03-06 21:20:50.815671,0
2026-03-06 21:20:50.859287,0
2026-03-06 21:20:50.917631,0
2026-03-06 21:20:50.960992,0
2026-03-06 21:20:51.019811,0
2026-03-06 21:20:51.063485,0
2026-03-06 21:20:51.121971,0
2026-03-06 21:20:51.165011,0
2026-03-06 21:20:51.224231,0
2026-03-06 21:20:51.26694,0
2026-03-06 21:20:51.326017,0
2026-03-06 21:20:51.36901,0
2026-03-06 21:20:51.427855,0
2026-03-06 21:20:51.470727,0
2026-03-06 21:20:51.530198,0
2026-03-06 21:20:51.573153,0
2026-03-06 21:20:51.632233,0
2026-03-06 21:20:51.675093,0
2026-03-06 21:20:51.734048,0
2026-03-06 21:20:51.777126,0
2026-03-06 21:20:51.836123,0
2026-03-06 21:20:51.879052,0
2026-03-06 21:20:51.937904,0
2026-03-06 21:20:51.981205,0
2026-03-06 21:20:52.040041,0
2026-03-06 21:20:52.083429,0
2026-03-06 21:20:52.142025,0
2026-03-06 21:20:52.184864,0
2026-03-06 21:20:52.244054,0
2026-03-06 21:20:52.287088,0
2026-03-06 21:20:52.346165,0
2026-03-06 21:20:52.388872,0
2026-03-06 21:20:52.447678,0
2026-03-06 21:20:52.490699,0
2026-03-06 21:20:52.549717,0
2026-03-06 21:20:52.592684,0
2026-03-06 21:20:52.651686,0
2026-03-06 21:20:52.694877,0
2026-03-06 21:20:52.754142,0
2026-03-06 21:20:52.797134,0
2026-03-06 21:20:52.85603,0
2026-03-06 21:20:52.898961,0
2026-03-06 21:20:52.957739,0
2026-03-06 21:20:53.001189,0
2026-03-06 21:20:53.059683,0
2026-03-06 21:20:53.103425,0
2026-03-06 21:20:53.161948,0
2026-03-06 21:20:53.205181,0
2026-03-06 21:20:53.263997,0
2026-03-06 21:20:53.307075,0
2026-03-06 21:20:53.365963,0
2026-03-06 21:20:53.408906,0
2026-03-06 21:20:53.467853,0
2026-03-06 21:20:53.510944,0
2026-03-06 21:20:53.570391,0
2026-03-06 21:20:53.612721,0
2026-03-06 21:20:53.672197,0
2026-03-06 21:20:53.714899,0
2026-03-06 21:20:53.7736,0
2026-03-06 21:20:53.817003,0
2026-03-06 21:20:53.87663,0
2026-03-06 21:20:53.91876,0
2026-03-06 21:20:53.978457,0
2026-03-06 21:20:54.021234,0
2026-03-06 21:20:54.080314,0
2026-03-06 21:20:54.12308,0
2026-03-06 21:20:54.182019,0
2026-03-06 21:20:54.224801,0
2026-03-06 21:20:54.284035,0
2026-03-06 21:20:54.327032,0
2026-03-06 21:20:54.385716,0
2026-03-06 21:20:54.429146,0
2026-03-06 21:20:54.487821,0
2026-03-06 21:20:54.531126,0
2026-03-06 21:20:54.590019,0
2026-03-06 21:20:54.633251,0
2026-03-06 21:20:54.691904,0
2026-03-06 21:20:54.735041,0
2026-03-06 21:20:54.793828,0
2026-03-06 21:20:54.836824,0
2026-03-06 21:20:54.896393,0
2026-03-06 21:20:54.939095,0
2026-03-06 21:20:54.997923,0
2026-03-06 21:20:55.041144,0
2026-03-06 21:20:55.099971,0
2026-03-06 21:20:55.142833,0
2026-03-06 21:20:55.202147,0
2026-03-06 21:20:55.245392,0
2026-03-06 21:20:55.304032,0
2026-03-06 21:20:55.347214,0
2026-03-06 21:20:55.406242,0
2026-03-06 21:20:55.448787,0
2026-03-06 21:20:55.507753,0
2026-03-06 21:20:55.551061,0
2026-03-06 21:20:55.609895,0
2026-03-06 21:20:55.652911,0
2026-03-06 21:20:55.712414,0
2026-03-06 21:20:55.75474,0
2026-03-06 21:20:55.814107,0
2026-03-06 21:20:55.856682,0
2026-03-06 21:20:55.91585,0
2026-03-06 21:20:55.958803,0
2026-03-06 21:20:56.018317,0
2026-03-06 21:20:56.060775,0
2026-03-06 21:20:56.119678,0
2026-03-06 21:20:56.163314,0
2026-03-06 21:20:56.222167,0
2026-03-06 21:20:56.265151,0
2026-03-06 21:20:56.323656,0
2026-03-06 21:20:56.366853,0
2026-03-06 21:20:56.425639,0
2026-03-06 21:20:56.469144,0
2026-03-06 21:20:56.527679,0
2026-03-06 21:20:56.571045,0
2026-03-06 21:20:56.630116,0
2026-03-06 21:20:56.673497,0
2026-03-06 21:20:56.732044,0
2026-03-06 21:20:56.774725,0
2026-03-06 21:20:56.833993,0
2026-03-06 21:20:56.876832,0
2026-03-06 21:20:56.936323,0
2026-03-06 21:20:56.97909,0
2026-03-06 21:20:57.037801,0
2026-03-06 21:20:57.080674,0
2026-03-06 21:20:57.140479,0
2026-03-06 21:20:57.183201,0
2026-03-06 21:20:57.242066,0
2026-03-06 21:20:57.28508,0
2026-03-06 21:20:57.343856,0
2026-03-06 21:20:57.387083,0
2026-03-06 21:20:57.446274,0
2026-03-06 21:20:57.488849,0
2026-03-06 21:20:57.547925,0
2026-03-06 21:20:57.591135,0
2026-03-06 21:20:57.649901,0
2026-03-06 21:20:57.693331,0
2026-03-06 21:20:57.751834,0
2026-03-06 21:20:57.795121,0
2026-03-06 21:20:57.854577,0
2026-03-06 21:20:57.896938,0
2026-03-06 21:20:57.955764,0
2026-03-06 21:20:57.999399,0
2026-03-06 21:20:58.058108,0
2026-03-06 21:20:58.100874,0
2026-03-06 21:20:58.159976,0
2026-03-06 21:20:58.2029,0
2026-03-06 21:20:58.262268,0
2026-03-06 21:20:58.305232,0
2026-03-06 21:20:58.364111,0
2026-03-06 21:20:58.407085,0
2026-03-06 21:20:58.466202,0
2026-03-06 21:20:58.509319,0
2026-03-06 21:20:58.568094,0
2026-03-06 21:20:58.611125,0
2026-03-06 21:20:58.669837,0
2026-03-06 21:20:58.713219,0
2026-03-06 21:20:58.771978,0
2026-03-06 21:20:58.815236,0
2026-03-06 21:20:58.873958,0
2026-03-06 21:20:58.917136,0
2026-03-06 21:20:58.976486,0
2026-03-06 21:20:59.019221,0
2026-03-06 21:20:59.077838,0
2026-03-06 21:20:59.121147,0
2026-03-06 21:20:59.180034,0
2026-03-06 21:20:59.223213,0
2026-03-06 21:20:59.282222,0
2026-03-06 21:20:59.324833,0
2026-03-06 21:20:59.384334,0
2026-03-06 21:20:59.426954,0
2026-03-06 21:20:59.485776,0
2026-03-06 21:20:59.52884,0
2026-03-06 21:20:59.587923,0
2026-03-06 21:20:59.631137,0
2026-03-06 21:20:59.690131,0
2026-03-06 21:20:59.733232,0
2026-03-06 21:20:59.792324,0
2026-03-06 21:20:59.834909,0
2026-03-06 21:20:59.893982,0
2026-03-06 21:20:59.93703,0
2026-03-06 21:20:59.996072,0
2026-03-06 21:21:00.038759,0
2026-03-06 21:21:00.098033,0
2026-03-06 21:21:00.141083,0
2026-03-06 21:21:00.200103,0
2026-03-06 21:21:00.242867,0
2026-03-06 21:21:00.301944,0
2026-03-06 21:21:00.345102,0
2026-03-06 21:21:00.403958,0
2026-03-06 21:21:00.447013,0
2026-03-06 21:21:00.506137,0
2026-03-06 21:21:00.548632,0
2026-03-06 21:21:00.608208,0
2026-03-06 21:21:00.650915,0
2026-03-06 21:21:00.710423,0
2026-03-06 21:21:00.753038,0
2026-03-06 21:21:00.812216,0
2026-03-06 21:21:00.85507,0
2026-03-06 21:21:00.913928,0
2026-03-06 21:21:00.957097,0
2026-03-06 21:21:01.016146,0
2026-03-06 21:21:01.058798,0
2026-03-06 21:21:01.11801,0
2026-03-06 21:21:01.16088,0
2026-03-06 21:21:01.220015,0
2026-03-06 21:21:01.263149,0
2026-03-06 21:21:01.321774,0
2026-03-06 21:21:01.365262,0
2026-03-06 21:21:01.423911,0
2026-03-06 21:21:01.46731,0
2026-03-06 21:21:01.526513,0
2026-03-06 21:21:01.569219,0
2026-03-06 21:21:01.628017,0
2026-03-06 21:21:01.670773,0
2026-03-06 21:21:01.7302,0
2026-03-06 21:21:01.772759,0
2026-03-06 21:21:01.831727,0
2026-03-06 21:21:01.874857,0
2026-03-06 21:21:01.93391,0
2026-03-06 21:21:01.977171,0
2026-03-06 21:21:02.035886,0
2026-03-06 21:21:02.078908,0
2026-03-06 21:21:02.137925,0
2026-03-06 21:21:02.181435,0
2026-03-06 21:21:02.239789,0
2026-03-06 21:21:02.28348,0
2026-03-06 21:21:02.341687,0
2026-03-06 21:21:02.384816,0
2026-03-06 21:21:02.444122,0
2026-03-06 21:21:02.48698,0
2026-03-06 21:21:02.54612,0
2026-03-06 21:21:02.589144,0
2026-03-06 21:21:02.648206,0
2026-03-06 21:21:02.690767,0
2026-03-06 21:21:02.749659,0
2026-03-06 21:21:02.792774,0
2026-03-06 21:21:02.851977,0
2026-03-06 21:21:02.894941,0
2026-03-06 21:21:02.954095,0
2026-03-06 21:21:02.997205,0
2026-03-06 21:21:03.055802,0
2026-03-06 21:21:03.099206,0
2026-03-06 21:21:03.15818,0
2026-03-06 21:21:03.201251,0
2026-03-06 21:21:03.260134,0
2026-03-06 21:21:03.302971,0
2026-03-06 21:21:03.361909,0
2026-03-06 21:21:03.404896,0
2026-03-06 21:21:03.463847,0
2026-03-06 21:21:03.506837,0
2026-03-06 21:21:03.573388,0
