time,ACT.Fuel_Fill_Vent.sample_ts_ms
2026-03-06 21:30:49.458028,11870894
2026-03-06 21:30:49.55918,11871037
2026-03-06 21:30:49.560022,11870996
2026-03-06 21:30:49.661366,11871139
2026-03-06 21:30:49.661931,11871098
2026-03-06 21:30:49.763119,11871241
2026-03-06 21:30:49.76371,11871200
2026-03-06 21:30:49.865332,11871343
2026-03-06 21:30:49.866035,11871302
2026-03-06 21:30:49.966032,11871444
2026-03-06 21:30:49.967932,11871404
2026-03-06 21:30:50.06813,11871546
2026-03-06 21:30:50.069983,11871506
2026-03-06 21:30:50.170539,11871648
2026-03-06 21:30:50.171806,11871608
2026-03-06 21:30:50.272244,11871750
2026-03-06 21:30:50.273984,11871710
2026-03-06 21:30:50.374169,11871852
2026-03-06 21:30:50.375907,11871812
2026-03-06 21:30:50.476351,11871954
2026-03-06 21:30:50.477731,11871914
2026-03-06 21:30:50.578259,11872056
2026-03-06 21:30:50.580025,11872016
2026-03-06 21:30:50.680236,11872158
2026-03-06 21:30:50.682029,11872118
2026-03-06 21:30:50.782135,11872260
2026-03-06 21:30:50.783973,11872220
2026-03-06 21:30:50.884452,11872362
2026-03-06 21:30:50.885694,11872322
2026-03-06 21:30:50.986441,11872464
2026-03-06 21:30:50.987633,11872424
2026-03-06 21:30:51.088333,11872566
2026-03-06 21:30:51.089543,11872526
2026-03-06 21:30:51.190181,11872668
2026-03-06 21:30:51.191908,11872628
2026-03-06 21:30:51.292211,11872770
2026-03-06 21:30:51.294076,11872730
2026-03-06 21:30:51.394469,11872872
2026-03-06 21:30:51.39567,11872832
2026-03-06 21:30:51.496338,11872974
2026-03-06 21:30:51.497493,11872934
2026-03-06 21:30:51.598289,11873076
2026-03-06 21:30:51.599504,11873036
2026-03-06 21:30:51.700331,11873178
2026-03-06 21:30:51.702045,11873138
2026-03-06 21:30:51.802467,11873280
2026-03-06 21:30:51.803544,11873240
2026-03-06 21:30:51.903994,11873382
2026-03-06 21:30:51.905764,11873342
2026-03-06 21:30:52.005929,11873484
2026-03-06 21:30:52.007735,11873444
2026-03-06 21:30:52.108335,11873586
2026-03-06 21:30:52.109505,11873546
2026-03-06 21:30:52.210296,11873688
2026-03-06 21:30:52.212045,11873648
2026-03-06 21:30:52.312306,11873790
2026-03-06 21:30:52.313628,11873750
2026-03-06 21:30:52.414006,11873892
2026-03-06 21:30:52.415838,11873852
2026-03-06 21:30:52.516127,11873994
