time,PT_Cal.Fuel_Downstream.pressure_psi
2026-03-06 21:35:25.367521,-1.6782941
2026-03-06 21:35:25.47703,-1.7547892
2026-03-06 21:35:25.477324,-1.7600907
2026-03-06 21:35:25.47759,-1.7070746
2026-03-06 21:35:25.477644,0.22953765
2026-03-06 21:35:25.477837,-1.4366747
2026-03-06 21:35:25.584788,-1.776753
2026-03-06 21:35:25.585006,-1.3488076
2026-03-06 21:35:25.585248,-1.3590338
2026-03-06 21:35:25.585481,-1.7657706
2026-03-06 21:35:25.585482,0.22949855
2026-03-06 21:35:25.694044,-1.7513812
2026-03-06 21:35:25.694348,-1.7339616
2026-03-06 21:35:25.694684,-1.6479982
2026-03-06 21:35:25.694996,0.22954372
2026-03-06 21:35:25.802886,-1.8354474
2026-03-06 21:35:25.803126,-1.3143421
2026-03-06 21:35:25.803441,-1.3461573
2026-03-06 21:35:25.803699,0.22939403
2026-03-06 21:35:25.803877,-1.7089685
2026-03-06 21:35:25.912037,-1.6631459
2026-03-06 21:35:25.912381,-1.6498916
2026-03-06 21:35:25.912815,-1.6900339
2026-03-06 21:35:25.913901,0.22970082
2026-03-06 21:35:26.021022,-1.6631459
2026-03-06 21:35:26.021301,-1.6976068
2026-03-06 21:35:26.021657,-1.7089685
2026-03-06 21:35:26.023125,0.22970082
2026-03-06 21:35:26.130317,-1.6396664
2026-03-06 21:35:26.130543,-1.7892495
2026-03-06 21:35:26.130724,-1.7093465
2026-03-06 21:35:26.131332,-1.7907642
2026-03-06 21:35:26.132457,0.22974262
2026-03-06 21:35:26.238656,-2.3628862
2026-03-06 21:35:26.238965,-1.7036664
2026-03-06 21:35:26.239439,-1.5718784
2026-03-06 21:35:26.239863,0.22845483
2026-03-06 21:35:26.348284,-1.6673112
2026-03-06 21:35:26.348827,-1.7547892
2026-03-06 21:35:26.348947,0.2296934
2026-03-06 21:35:26.349626,-1.7650135
2026-03-06 21:35:26.349976,-1.7403988
2026-03-06 21:35:26.456554,-1.6782941
2026-03-06 21:35:26.45681,-1.6442109
2026-03-06 21:35:26.457035,-1.7263877
2026-03-06 21:35:26.457363,0.22967385
2026-03-06 21:35:26.457618,-1.7002578
2026-03-06 21:35:26.565858,-1.6139147
2026-03-06 21:35:26.56613,-1.7688006
2026-03-06 21:35:26.566405,-1.7540321
2026-03-06 21:35:26.566854,0.22978847
2026-03-06 21:35:26.675201,-2.0698361
2026-03-06 21:35:26.675483,-1.7521383
2026-03-06 21:35:26.675784,-1.6654184
2026-03-06 21:35:26.676485,0.22897668
2026-03-06 21:35:26.783707,-1.3279772
2026-03-06 21:35:26.783975,-1.6949569
2026-03-06 21:35:26.784224,-1.6339862
2026-03-06 21:35:26.784675,-1.7366126
2026-03-06 21:35:26.784815,0.23029752
2026-03-06 21:35:26.892439,-3.3368359
2026-03-06 21:35:26.892663,-2.0312145
2026-03-06 21:35:26.892927,-1.6343642
2026-03-06 21:35:26.892962,0.22672
2026-03-06 21:35:26.893428,-2.0111458
2026-03-06 21:35:27.001509,-2.11035
2026-03-06 21:35:27.001822,-1.7188144
2026-03-06 21:35:27.002217,-1.7188144
2026-03-06 21:35:27.002447,0.22890455
2026-03-06 21:35:27.003098,-1.6036899
2026-03-06 21:35:27.110686,-1.7006369
2026-03-06 21:35:27.11091,-1.9706306
2026-03-06 21:35:27.111128,-1.9800969
2026-03-06 21:35:27.111387,0.22963406
2026-03-06 21:35:27.111403,-1.5949794
2026-03-06 21:35:27.219767,-1.7002578
2026-03-06 21:35:27.220049,-1.6722342
2026-03-06 21:35:27.220397,-1.6915481
2026-03-06 21:35:27.220882,-1.6650393
2026-03-06 21:35:27.220995,0.22963475
2026-03-06 21:35:27.329153,-1.7063175
2026-03-06 21:35:27.32991,-1.799095
2026-03-06 21:35:27.33036,0.22962396
2026-03-06 21:35:27.33051,-2.064535
2026-03-06 21:35:27.331146,-1.8487012
2026-03-06 21:35:27.437776,-1.67072
2026-03-06 21:35:27.437952,-1.7131332
2026-03-06 21:35:27.438156,-1.3400967
2026-03-06 21:35:27.438772,-1.595358
2026-03-06 21:35:27.439006,0.22968733
2026-03-06 21:35:27.546963,-1.6283054
2026-03-06 21:35:27.547232,-1.9694945
2026-03-06 21:35:27.547503,-1.6510273
2026-03-06 21:35:27.548113,-1.6101279
2026-03-06 21:35:27.548425,0.22976285
2026-03-06 21:35:27.656,-1.7271448
2026-03-06 21:35:27.656273,-1.6233823
2026-03-06 21:35:27.656686,-1.753653
2026-03-06 21:35:27.65725,0.22958687
2026-03-06 21:35:27.657623,-1.6362581
2026-03-06 21:35:27.764734,-1.993728
2026-03-06 21:35:27.76497,-2.0410595
2026-03-06 21:35:27.765374,-1.6885179
2026-03-06 21:35:27.765528,0.22911221
2026-03-06 21:35:27.873677,-1.5370362
2026-03-06 21:35:27.874088,-1.7684215
2026-03-06 21:35:27.874585,-1.6771578
2026-03-06 21:35:27.874644,0.22992533
2026-03-06 21:35:27.87534,-1.6078559
2026-03-06 21:35:27.982756,-1.7339616
2026-03-06 21:35:27.983007,-1.6404241
2026-03-06 21:35:27.983339,-1.7850838
2026-03-06 21:35:27.983543,0.22957474
2026-03-06 21:35:28.091821,-2.0777872
2026-03-06 21:35:28.092109,-1.9903208
2026-03-06 21:35:28.092566,-1.7347187
2026-03-06 21:35:28.09271,0.22896253
2026-03-06 21:35:28.20117,-1.815378
2026-03-06 21:35:28.201736,-1.6703414
2026-03-06 21:35:28.201928,0.22942977
2026-03-06 21:35:28.202208,-1.6555724
2026-03-06 21:35:28.309757,-1.6320922
2026-03-06 21:35:28.310033,-2.1031556
2026-03-06 21:35:28.310372,-1.975553
2026-03-06 21:35:28.310582,0.2297561
2026-03-06 21:35:28.310994,-1.6960925
2026-03-06 21:35:28.419325,-1.7199501
2026-03-06 21:35:28.419632,-2.0728648
2026-03-06 21:35:28.420076,0.22959968
2026-03-06 21:35:28.420171,-2.0751364
2026-03-06 21:35:28.420761,-1.7797819
2026-03-06 21:35:28.527668,-1.7260091
2026-03-06 21:35:28.52784,-1.642696
2026-03-06 21:35:28.528125,-1.6881399
2026-03-06 21:35:28.528401,0.2295889
2026-03-06 21:35:28.636752,-2.016826
2026-03-06 21:35:28.636903,-2.1679015
2026-03-06 21:35:28.637132,-1.9282209
2026-03-06 21:35:28.637348,0.22907108
2026-03-06 21:35:28.745727,-1.6612525
2026-03-06 21:35:28.745858,-1.9827477
2026-03-06 21:35:28.745917,-1.7816758
2026-03-06 21:35:28.74624,-2.003573
2026-03-06 21:35:28.746376,0.22970419
2026-03-06 21:35:28.854469,-2.0516613
2026-03-06 21:35:28.854577,-1.6710985
2026-03-06 21:35:28.854728,-2.0414376
2026-03-06 21:35:28.854896,-1.9619213
2026-03-06 21:35:28.855014,0.22900905
2026-03-06 21:35:28.963929,-2.0952048
2026-03-06 21:35:28.964095,-1.6695843
2026-03-06 21:35:28.964424,-2.1262527
2026-03-06 21:35:28.964638,0.22893152
2026-03-06 21:35:28.965053,-1.6563295
2026-03-06 21:35:29.072756,-1.67072
2026-03-06 21:35:29.073076,-1.7025297
2026-03-06 21:35:29.07342,-1.7547892
2026-03-06 21:35:29.073512,0.22968733
2026-03-06 21:35:29.181919,-1.6616311
2026-03-06 21:35:29.182258,-1.6904119
2026-03-06 21:35:29.182591,-1.7445644
2026-03-06 21:35:29.182761,0.22970352
2026-03-06 21:35:29.18315,-1.9569988
2026-03-06 21:35:29.290544,-1.7445644
2026-03-06 21:35:29.290645,-1.9827477
2026-03-06 21:35:29.29098,0.22955586
2026-03-06 21:35:29.291035,-2.007738
2026-03-06 21:35:29.291184,-2.0130396
2026-03-06 21:35:29.399343,-1.7207072
2026-03-06 21:35:29.399392,-1.7305529
2026-03-06 21:35:29.399405,0.22959833
2026-03-06 21:35:29.399438,-1.7445644
2026-03-06 21:35:29.399475,-1.7006369
2026-03-06 21:35:29.399516,-2.1307957
2026-03-06 21:35:29.507966,-2.0531757
2026-03-06 21:35:29.50801,-1.9891847
2026-03-06 21:35:29.508046,-1.6945777
2026-03-06 21:35:29.508101,-1.6343642
2026-03-06 21:35:29.508163,-1.7434288
2026-03-06 21:35:29.508367,0.22900635
2026-03-06 21:35:29.617345,-1.7430497
2026-03-06 21:35:29.617394,-1.6991221
2026-03-06 21:35:29.617447,-1.6442109
2026-03-06 21:35:29.617498,0.22955856
2026-03-06 21:35:29.617524,-2.0368943
2026-03-06 21:35:29.61758,-1.7335831
2026-03-06 21:35:29.726202,-1.690791
2026-03-06 21:35:29.726255,-1.6991221
2026-03-06 21:35:29.726304,-1.7218434
2026-03-06 21:35:29.726329,0.2296516
2026-03-06 21:35:29.72636,-2.6771028
2026-03-06 21:35:29.726505,-1.7415355
2026-03-06 21:35:29.835299,-1.7010155
2026-03-06 21:35:29.835347,-1.5980091
2026-03-06 21:35:29.835389,-1.7017726
2026-03-06 21:35:29.835453,-1.6525421
2026-03-06 21:35:29.835477,0.22963339
2026-03-06 21:35:29.835506,-1.617323
2026-03-06 21:35:29.943964,-1.6597383
2026-03-06 21:35:29.944014,-1.7316892
2026-03-06 21:35:29.944068,-1.6385301
2026-03-06 21:35:29.944127,-1.656708
2026-03-06 21:35:29.944182,0.22970688
2026-03-06 21:35:29.944189,-1.7082103
2026-03-06 21:35:30.053304,-1.6623882
2026-03-06 21:35:30.053354,-1.637773
2026-03-06 21:35:30.053399,-1.8895969
2026-03-06 21:35:30.05346,-1.9588926
2026-03-06 21:35:30.053474,0.22970216
2026-03-06 21:35:30.053554,-1.6710985
2026-03-06 21:35:30.162347,-1.7460792
2026-03-06 21:35:30.162403,-1.6457263
2026-03-06 21:35:30.162449,-1.6892762
2026-03-06 21:35:30.162504,-1.4063762
2026-03-06 21:35:30.162529,0.22955316
2026-03-06 21:35:30.162564,-1.7665282
2026-03-06 21:35:30.271372,-1.6294411
2026-03-06 21:35:30.271409,-1.610885
2026-03-06 21:35:30.271429,-1.3525958
2026-03-06 21:35:30.271443,-2.0679426
2026-03-06 21:35:30.271444,0.22976083
2026-03-06 21:35:30.271473,-1.6904119
2026-03-06 21:35:30.380012,-1.789628
2026-03-06 21:35:30.38007,-1.7441865
2026-03-06 21:35:30.380134,-1.7843267
2026-03-06 21:35:30.380178,-3.34554
2026-03-06 21:35:30.38028,-1.9797184
2026-03-06 21:35:30.380401,0.22947562
2026-03-06 21:35:30.489388,-1.8149989
2026-03-06 21:35:30.489446,-2.0876322
2026-03-06 21:35:30.489496,-1.6408026
2026-03-06 21:35:30.489575,-2.0732439
2026-03-06 21:35:30.489656,-1.6248972
2026-03-06 21:35:30.489775,0.22943045
2026-03-06 21:35:30.597963,-2.0823307
2026-03-06 21:35:30.598012,-1.656708
2026-03-06 21:35:30.59807,-1.9835048
2026-03-06 21:35:30.598128,-1.6820807
2026-03-06 21:35:30.598194,0.22895443
2026-03-06 21:35:30.598204,-1.6828378
2026-03-06 21:35:30.707065,-1.7483517
2026-03-06 21:35:30.707122,-1.7634988
2026-03-06 21:35:30.707183,-1.7150271
2026-03-06 21:35:30.707248,-1.7051808
2026-03-06 21:35:30.707304,-1.7066956
2026-03-06 21:35:30.707454,0.22954911
2026-03-06 21:35:30.816497,-2.0512822
2026-03-06 21:35:30.816557,-1.628684
2026-03-06 21:35:30.816625,-1.6741282
2026-03-06 21:35:30.81672,-2.039545
2026-03-06 21:35:30.816829,0.22900972
2026-03-06 21:35:30.925352,-1.8066682
2026-03-06 21:35:30.92541,-1.3961506
2026-03-06 21:35:30.925453,-1.7350979
2026-03-06 21:35:30.925491,-1.6748853
2026-03-06 21:35:30.925528,-1.6870037
2026-03-06 21:35:30.925724,0.22944528
2026-03-06 21:35:31.03412,-1.6718562
2026-03-06 21:35:31.034196,-1.7059385
2026-03-06 21:35:31.034231,-1.6146718
2026-03-06 21:35:31.034291,-1.6230032
2026-03-06 21:35:31.034362,-1.6995007
2026-03-06 21:35:31.034508,0.2296853
2026-03-06 21:35:31.143583,-1.701394
2026-03-06 21:35:31.143638,-1.8115909
2026-03-06 21:35:31.143669,-1.6839741
2026-03-06 21:35:31.143728,-1.7422926
2026-03-06 21:35:31.143934,0.22963272
2026-03-06 21:35:31.252147,-1.7335831
2026-03-06 21:35:31.252205,-1.7271448
2026-03-06 21:35:31.252268,-1.5794522
2026-03-06 21:35:31.252329,-1.5779374
2026-03-06 21:35:31.252406,-1.8172718
2026-03-06 21:35:31.25257,0.22957541
2026-03-06 21:35:31.361736,-1.6298202
2026-03-06 21:35:31.361897,-1.681323
2026-03-06 21:35:31.362091,-1.7244943
2026-03-06 21:35:31.362353,0.22976016
2026-03-06 21:35:31.362416,-1.6593591
2026-03-06 21:35:31.471056,-1.7547892
2026-03-06 21:35:31.471231,-2.1364753
2026-03-06 21:35:31.471521,-1.7532746
2026-03-06 21:35:31.471686,0.22953765
2026-03-06 21:35:31.47181,-1.6616311
2026-03-06 21:35:31.579841,-1.7415355
2026-03-06 21:35:31.580018,-1.7085894
2026-03-06 21:35:31.580169,-1.7085894
2026-03-06 21:35:31.580569,-1.9725238
2026-03-06 21:35:31.580595,0.22956125
2026-03-06 21:35:31.688498,-1.6135361
2026-03-06 21:35:31.688771,-1.685868
2026-03-06 21:35:31.689091,-2.0607488
2026-03-06 21:35:31.689354,0.22978914
2026-03-06 21:35:31.798132,-1.7786462
2026-03-06 21:35:31.798366,-1.6411812
2026-03-06 21:35:31.798556,-1.7888705
2026-03-06 21:35:31.79893,0.22949517
2026-03-06 21:35:31.906922,-1.6718562
2026-03-06 21:35:31.907153,-2.0217483
2026-03-06 21:35:31.907443,-2.065292
2026-03-06 21:35:31.90778,0.2296853
2026-03-06 21:35:32.016227,-1.7581979
2026-03-06 21:35:32.016531,-1.8718003
2026-03-06 21:35:32.016876,-1.7127547
2026-03-06 21:35:32.017179,0.22953159
2026-03-06 21:35:32.124651,-2.0524187
2026-03-06 21:35:32.124934,-1.7824329
2026-03-06 21:35:32.125295,-1.6631459
2026-03-06 21:35:32.125514,0.22900769
2026-03-06 21:35:32.23426,-1.7884924
2026-03-06 21:35:32.234594,-1.6165658
2026-03-06 21:35:32.234913,-1.7725873
2026-03-06 21:35:32.235226,0.22947764
2026-03-06 21:35:32.342775,-1.6040679
2026-03-06 21:35:32.343081,-2.0013013
2026-03-06 21:35:32.343422,-2.0478745
2026-03-06 21:35:32.343788,0.22980599
2026-03-06 21:35:32.344098,-1.3431267
2026-03-06 21:35:32.451964,-1.9134527
2026-03-06 21:35:32.452261,-1.6601162
2026-03-06 21:35:32.452521,-1.6900339
2026-03-06 21:35:32.452739,0.22925514
2026-03-06 21:35:32.562243,-1.570363
2026-03-06 21:35:32.562487,-1.7138915
2026-03-06 21:35:32.562724,-1.6832169
2026-03-06 21:35:32.563132,-1.4059976
2026-03-06 21:35:32.563653,-1.3908479
2026-03-06 21:35:32.566602,0.229866
2026-03-06 21:35:32.669428,-1.7188144
2026-03-06 21:35:32.669833,-1.4226617
2026-03-06 21:35:32.670256,0.2296017
2026-03-06 21:35:32.670448,-1.7699363
2026-03-06 21:35:32.670949,-1.9210267
2026-03-06 21:35:32.778987,-1.663903
2026-03-06 21:35:32.779194,-1.6627673
2026-03-06 21:35:32.779345,-1.6214889
2026-03-06 21:35:32.779737,0.22969946
2026-03-06 21:35:32.779759,-1.6960925
2026-03-06 21:35:32.780707,-1.717299
2026-03-06 21:35:32.888096,-1.7237372
2026-03-06 21:35:32.888817,-1.7634988
2026-03-06 21:35:32.889205,0.22959293
2026-03-06 21:35:32.88931,-1.6847318
2026-03-06 21:35:32.890481,-1.610885
2026-03-06 21:35:32.891204,-1.3518381
2026-03-06 21:35:32.891947,-1.3666089
2026-03-06 21:35:32.892807,-1.3639574
2026-03-06 21:35:32.996913,-1.6900339
2026-03-06 21:35:32.997244,-1.6635245
2026-03-06 21:35:32.997592,-3.024212
