time,ACT.GSE_High_Press_Vent.raw_adc_counts
2026-03-06 21:25:36.825964,1054680941
2026-03-06 21:25:36.868104,0
2026-03-06 21:25:36.928246,1054680941
2026-03-06 21:25:36.969698,0
2026-03-06 21:25:37.030036,1054707981
2026-03-06 21:25:37.071951,0
2026-03-06 21:25:37.132032,1054653900
2026-03-06 21:25:37.174069,0
2026-03-06 21:25:37.23427,1054653900
2026-03-06 21:25:37.275696,0
2026-03-06 21:25:37.335958,1054653900
2026-03-06 21:25:37.377765,0
2026-03-06 21:25:37.43831,1054572780
2026-03-06 21:25:37.480192,0
2026-03-06 21:25:37.53994,1054626860
2026-03-06 21:25:37.581774,0
2026-03-06 21:25:37.642172,1054599820
2026-03-06 21:25:37.68372,0
2026-03-06 21:25:37.743993,1054599820
2026-03-06 21:25:37.786024,0
2026-03-06 21:25:37.846245,1054653900
2026-03-06 21:25:37.888123,0
2026-03-06 21:25:37.947983,1054680941
2026-03-06 21:25:37.990097,0
2026-03-06 21:25:38.04999,1054599820
2026-03-06 21:25:38.092003,0
2026-03-06 21:25:38.152275,1054653900
2026-03-06 21:25:38.194132,0
2026-03-06 21:25:38.254183,1054653900
2026-03-06 21:25:38.296051,0
2026-03-06 21:25:38.356288,1054680941
2026-03-06 21:25:38.397556,0
2026-03-06 21:25:38.457787,1054680941
2026-03-06 21:25:38.499623,0
2026-03-06 21:25:38.559876,1054680941
2026-03-06 21:25:38.601681,0
2026-03-06 21:25:38.661882,1054653900
2026-03-06 21:25:38.703583,0
2026-03-06 21:25:38.764108,1054680941
2026-03-06 21:25:38.805862,0
2026-03-06 21:25:38.86574,1054707981
2026-03-06 21:25:38.908054,0
2026-03-06 21:25:38.968056,1054707981
2026-03-06 21:25:39.009499,0
2026-03-06 21:25:39.06986,1054653900
2026-03-06 21:25:39.111649,0
2026-03-06 21:25:39.172078,1054599820
2026-03-06 21:25:39.213667,0
2026-03-06 21:25:39.273987,1054653900
2026-03-06 21:25:39.316025,0
2026-03-06 21:25:39.376238,1054653900
2026-03-06 21:25:39.417633,0
2026-03-06 21:25:39.478485,1054572780
2026-03-06 21:25:39.519752,0
2026-03-06 21:25:39.580078,1054653900
2026-03-06 21:25:39.622011,0
2026-03-06 21:25:39.682109,1054599820
2026-03-06 21:25:39.723904,0
2026-03-06 21:25:39.784397,1054653900
2026-03-06 21:25:39.825834,0
2026-03-06 21:25:39.886074,1054653900
2026-03-06 21:25:39.927819,0
2026-03-06 21:25:39.988022,1054653900
2026-03-06 21:25:40.029681,0
2026-03-06 21:25:40.090448,1054653900
2026-03-06 21:25:40.13218,0
2026-03-06 21:25:40.192044,1054599820
2026-03-06 21:25:40.233785,0
2026-03-06 21:25:40.29432,1054545740
2026-03-06 21:25:40.33574,0
2026-03-06 21:25:40.396381,1054626860
2026-03-06 21:25:40.438104,0
2026-03-06 21:25:40.498381,1054680941
2026-03-06 21:25:40.539775,0
2026-03-06 21:25:40.599886,1054653900
2026-03-06 21:25:40.641632,0
2026-03-06 21:25:40.701954,1054599820
2026-03-06 21:25:40.744073,0
2026-03-06 21:25:40.804406,1054653900
2026-03-06 21:25:40.846081,0
2026-03-06 21:25:40.906053,1054653900
2026-03-06 21:25:40.948034,0
2026-03-06 21:25:41.0083,1054707981
2026-03-06 21:25:41.049529,0
2026-03-06 21:25:41.110081,1054653900
2026-03-06 21:25:41.151957,0
2026-03-06 21:25:41.211715,1054653900
2026-03-06 21:25:41.253758,0
2026-03-06 21:25:41.313905,1054707981
2026-03-06 21:25:41.356091,0
2026-03-06 21:25:41.416282,1054707981
2026-03-06 21:25:41.457652,0
2026-03-06 21:25:41.517855,1054653900
2026-03-06 21:25:41.560027,0
2026-03-06 21:25:41.619879,1054653900
2026-03-06 21:25:41.661772,0
2026-03-06 21:25:41.72174,1054707981
2026-03-06 21:25:41.763802,0
2026-03-06 21:25:41.823965,1054599820
2026-03-06 21:25:41.865904,0
2026-03-06 21:25:41.926209,1054653900
2026-03-06 21:25:41.967511,0
2026-03-06 21:25:42.028401,1054653900
2026-03-06 21:25:42.078561,0
2026-03-06 21:25:42.1302,1054626860
2026-03-06 21:25:42.172039,0
2026-03-06 21:25:42.232376,1054653900
2026-03-06 21:25:42.274066,0
2026-03-06 21:25:42.33435,1054653900
2026-03-06 21:25:42.375957,0
2026-03-06 21:25:42.436393,1054626860
2026-03-06 21:25:42.477828,0
2026-03-06 21:25:42.537908,1054653900
2026-03-06 21:25:42.580103,0
2026-03-06 21:25:42.640396,1054680941
2026-03-06 21:25:42.681834,0
2026-03-06 21:25:42.742562,1054599820
2026-03-06 21:25:42.784127,0
2026-03-06 21:25:42.84413,1054653900
2026-03-06 21:25:42.885621,0
2026-03-06 21:25:42.946082,1054653900
2026-03-06 21:25:42.987869,0
2026-03-06 21:25:43.048196,1054653900
2026-03-06 21:25:43.089991,0
2026-03-06 21:25:43.150285,1054653900
2026-03-06 21:25:43.191754,0
2026-03-06 21:25:43.25194,1054707981
2026-03-06 21:25:43.29388,0
2026-03-06 21:25:43.354221,1054707981
2026-03-06 21:25:43.395856,0
2026-03-06 21:25:43.455942,1054680941
2026-03-06 21:25:43.49763,0
2026-03-06 21:25:43.55799,1054653900
2026-03-06 21:25:43.599591,0
2026-03-06 21:25:43.660036,1054653900
2026-03-06 21:25:43.701588,0
2026-03-06 21:25:43.762011,1054653900
2026-03-06 21:25:43.803843,0
2026-03-06 21:25:43.863842,1054707981
2026-03-06 21:25:43.905784,0
2026-03-06 21:25:43.966321,1054707981
2026-03-06 21:25:44.007514,0
2026-03-06 21:25:44.067841,1054653900
2026-03-06 21:25:44.109926,0
2026-03-06 21:25:44.170066,1054680941
2026-03-06 21:25:44.211745,0
2026-03-06 21:25:44.271926,1054680941
2026-03-06 21:25:44.314129,0
2026-03-06 21:25:44.373732,1054653900
2026-03-06 21:25:44.416037,0
2026-03-06 21:25:44.475916,1054707981
2026-03-06 21:25:44.517712,0
2026-03-06 21:25:44.578186,1054653900
2026-03-06 21:25:44.620207,0
2026-03-06 21:25:44.680032,1054653900
2026-03-06 21:25:44.721859,0
2026-03-06 21:25:44.78222,1054653900
2026-03-06 21:25:44.823449,0
2026-03-06 21:25:44.883912,1054707981
2026-03-06 21:25:44.926005,0
2026-03-06 21:25:44.986365,1054626860
2026-03-06 21:25:45.02796,0
2026-03-06 21:25:45.087764,1054707981
2026-03-06 21:25:45.129655,0
2026-03-06 21:25:45.190049,1054653900
2026-03-06 21:25:45.232154,0
2026-03-06 21:25:45.291996,1054599820
2026-03-06 21:25:45.333892,0
2026-03-06 21:25:45.394201,1054626860
2026-03-06 21:25:45.435924,0
2026-03-06 21:25:45.496084,1054653900
2026-03-06 21:25:45.538099,0
2026-03-06 21:25:45.597829,1054680941
2026-03-06 21:25:45.640004,0
2026-03-06 21:25:45.699964,1054653900
2026-03-06 21:25:45.741926,0
2026-03-06 21:25:45.802612,1054599820
2026-03-06 21:25:45.844139,0
2026-03-06 21:25:45.904103,1054653900
2026-03-06 21:25:45.94595,0
2026-03-06 21:25:46.006144,1054680941
2026-03-06 21:25:46.047733,0
2026-03-06 21:25:46.108399,1054626860
2026-03-06 21:25:46.150058,0
2026-03-06 21:25:46.210169,1054653900
2026-03-06 21:25:46.252184,0
2026-03-06 21:25:46.312449,1054599820
2026-03-06 21:25:46.353646,0
2026-03-06 21:25:46.414083,1054599820
2026-03-06 21:25:46.455825,0
2026-03-06 21:25:46.516222,1054653900
2026-03-06 21:25:46.55785,0
2026-03-06 21:25:46.61817,1054653900
2026-03-06 21:25:46.659689,0
2026-03-06 21:25:46.720236,1054599820
2026-03-06 21:25:46.761969,0
2026-03-06 21:25:46.821769,1054735021
2026-03-06 21:25:46.863908,0
2026-03-06 21:25:46.924148,1054653900
2026-03-06 21:25:46.966045,0
2026-03-06 21:25:47.026238,1054653900
2026-03-06 21:25:47.06769,0
2026-03-06 21:25:47.127897,1054707981
2026-03-06 21:25:47.169647,0
2026-03-06 21:25:47.230067,1054626860
2026-03-06 21:25:47.272244,0
2026-03-06 21:25:47.331834,1054680941
2026-03-06 21:25:47.373823,0
2026-03-06 21:25:47.433846,1054762061
2026-03-06 21:25:47.475552,0
2026-03-06 21:25:47.536303,1054653900
2026-03-06 21:25:47.577862,0
2026-03-06 21:25:47.638496,1054599820
2026-03-06 21:25:47.680085,0
2026-03-06 21:25:47.740195,1054653900
2026-03-06 21:25:47.781649,0
2026-03-06 21:25:47.841883,1054707981
2026-03-06 21:25:47.883934,0
2026-03-06 21:25:47.943964,1054653900
2026-03-06 21:25:47.985916,0
2026-03-06 21:25:48.046314,1054626860
2026-03-06 21:25:48.087847,0
2026-03-06 21:25:48.147891,1054653900
2026-03-06 21:25:48.190148,0
