time,ACT.GSE_Med_Press_Control.sample_ts_ms
2026-03-06 21:35:00.074218,12121509
2026-03-06 21:35:00.149949,12121627
2026-03-06 21:35:00.176604,12121611
2026-03-06 21:35:00.251571,12121729
2026-03-06 21:35:00.278458,12121713
2026-03-06 21:35:00.353831,12121831
2026-03-06 21:35:00.380219,12121815
2026-03-06 21:35:00.455853,12121933
2026-03-06 21:35:00.482588,12121917
2026-03-06 21:35:00.557888,12122035
2026-03-06 21:35:00.584408,12122019
2026-03-06 21:35:00.659704,12122137
2026-03-06 21:35:00.68619,12122121
2026-03-06 21:35:00.761926,12122239
2026-03-06 21:35:00.788387,12122223
2026-03-06 21:35:00.863466,12122341
2026-03-06 21:35:00.890393,12122325
2026-03-06 21:35:00.965611,12122443
2026-03-06 21:35:00.992414,12122427
2026-03-06 21:35:01.067719,12122545
2026-03-06 21:35:01.094315,12122529
2026-03-06 21:35:01.169486,12122647
2026-03-06 21:35:01.196222,12122631
2026-03-06 21:35:01.271689,12122749
2026-03-06 21:35:01.298277,12122733
2026-03-06 21:35:01.373587,12122851
2026-03-06 21:35:01.400211,12122835
2026-03-06 21:35:01.475493,12122953
2026-03-06 21:35:01.502235,12122937
2026-03-06 21:35:01.57753,12123055
2026-03-06 21:35:01.60581,12123039
2026-03-06 21:35:01.679531,12123157
2026-03-06 21:35:01.706459,12123141
2026-03-06 21:35:01.781771,12123259
2026-03-06 21:35:01.808588,12123243
2026-03-06 21:35:01.883647,12123361
2026-03-06 21:35:01.910259,12123345
2026-03-06 21:35:01.985767,12123463
2026-03-06 21:35:02.012503,12123447
2026-03-06 21:35:02.087825,12123565
2026-03-06 21:35:02.114241,12123549
2026-03-06 21:35:02.189576,12123667
2026-03-06 21:35:02.216499,12123651
2026-03-06 21:35:02.291758,12123769
2026-03-06 21:35:02.318204,12123753
2026-03-06 21:35:02.393983,12123871
2026-03-06 21:35:02.420365,12123855
2026-03-06 21:35:02.496048,12123973
2026-03-06 21:35:02.522281,12123957
2026-03-06 21:35:02.598087,12124075
2026-03-06 21:35:02.624222,12124059
2026-03-06 21:35:02.699529,12124177
2026-03-06 21:35:02.72647,12124161
2026-03-06 21:35:02.801981,12124279
2026-03-06 21:35:02.828237,12124263
2026-03-06 21:35:02.90378,12124381
2026-03-06 21:35:02.930713,12124365
2026-03-06 21:35:03.00555,12124483
2026-03-06 21:35:03.032192,12124467
2026-03-06 21:35:03.107759,12124585
2026-03-06 21:35:03.134382,12124569
2026-03-06 21:35:03.20996,12124687
2026-03-06 21:35:03.236391,12124671
2026-03-06 21:35:03.31195,12124789
2026-03-06 21:35:03.338348,12124773
2026-03-06 21:35:03.413659,12124891
2026-03-06 21:35:03.440596,12124875
2026-03-06 21:35:03.516069,12124993
2026-03-06 21:35:03.542539,12124977
2026-03-06 21:35:03.617905,12125095
2026-03-06 21:35:03.644782,12125079
2026-03-06 21:35:03.719861,12125197
2026-03-06 21:35:03.746556,12125181
2026-03-06 21:35:03.821697,12125299
2026-03-06 21:35:03.848576,12125283
2026-03-06 21:35:03.923617,12125401
2026-03-06 21:35:03.950596,12125385
2026-03-06 21:35:04.02559,12125503
2026-03-06 21:35:04.052477,12125487
2026-03-06 21:35:04.127553,12125605
2026-03-06 21:35:04.154793,12125589
2026-03-06 21:35:04.229858,12125707
2026-03-06 21:35:04.2562,12125691
2026-03-06 21:35:04.331589,12125809
2026-03-06 21:35:04.358639,12125793
2026-03-06 21:35:04.434064,12125911
2026-03-06 21:35:04.460617,12125895
2026-03-06 21:35:04.536006,12126013
2026-03-06 21:35:04.562605,12125997
2026-03-06 21:35:04.63796,12126115
2026-03-06 21:35:04.66434,12126099
2026-03-06 21:35:04.739606,12126217
2026-03-06 21:35:04.766323,12126201
2026-03-06 21:35:04.84193,12126319
2026-03-06 21:35:04.868422,12126303
2026-03-06 21:35:04.9439,12126421
2026-03-06 21:35:04.970215,12126405
2026-03-06 21:35:05.045487,12126523
2026-03-06 21:35:05.072553,12126507
2026-03-06 21:35:05.147667,12126625
2026-03-06 21:35:05.174364,12126609
2026-03-06 21:35:05.249371,12126727
