time,ACT.LOX_Dump.sample_ts_ms
2026-03-06 21:21:01.321758,11282762
2026-03-06 21:21:01.365249,11282844
2026-03-06 21:21:01.423894,11282864
2026-03-06 21:21:01.467293,11282946
2026-03-06 21:21:01.526493,11282966
2026-03-06 21:21:01.569202,11283048
2026-03-06 21:21:01.627996,11283068
2026-03-06 21:21:01.67076,11283150
2026-03-06 21:21:01.730184,11283170
2026-03-06 21:21:01.772746,11283252
2026-03-06 21:21:01.831719,11283272
2026-03-06 21:21:01.874848,11283354
2026-03-06 21:21:01.933901,11283374
2026-03-06 21:21:01.977151,11283456
2026-03-06 21:21:02.035877,11283476
2026-03-06 21:21:02.078896,11283558
2026-03-06 21:21:02.137914,11283578
2026-03-06 21:21:02.181425,11283660
2026-03-06 21:21:02.239779,11283680
2026-03-06 21:21:02.283456,11283762
2026-03-06 21:21:02.341675,11283782
2026-03-06 21:21:02.384808,11283864
2026-03-06 21:21:02.444101,11283884
2026-03-06 21:21:02.486965,11283966
2026-03-06 21:21:02.546104,11283986
2026-03-06 21:21:02.589131,11284068
2026-03-06 21:21:02.648194,11284088
2026-03-06 21:21:02.690756,11284170
2026-03-06 21:21:02.749649,11284190
2026-03-06 21:21:02.792764,11284272
2026-03-06 21:21:02.851959,11284292
2026-03-06 21:21:02.894928,11284374
2026-03-06 21:21:02.954076,11284394
2026-03-06 21:21:02.997195,11284476
2026-03-06 21:21:03.055787,11284496
2026-03-06 21:21:03.099194,11284578
2026-03-06 21:21:03.158169,11284598
2026-03-06 21:21:03.201243,11284680
2026-03-06 21:21:03.260121,11284700
2026-03-06 21:21:03.302964,11284782
2026-03-06 21:21:03.3619,11284802
2026-03-06 21:21:03.404883,11284884
2026-03-06 21:21:03.463832,11284904
2026-03-06 21:21:03.506819,11284986
2026-03-06 21:21:03.573369,11285006
2026-03-06 21:21:03.609453,11285088
2026-03-06 21:21:03.668082,11285108
2026-03-06 21:21:03.711075,11285190
2026-03-06 21:21:03.770101,11285210
2026-03-06 21:21:03.81301,11285292
2026-03-06 21:21:03.872041,11285312
2026-03-06 21:21:03.915004,11285394
2026-03-06 21:21:03.97402,11285414
2026-03-06 21:21:04.01727,11285496
2026-03-06 21:21:04.076265,11285516
2026-03-06 21:21:04.119044,11285598
2026-03-06 21:21:04.177752,11285618
2026-03-06 21:21:04.220701,11285700
2026-03-06 21:21:04.280231,11285720
2026-03-06 21:21:04.3233,11285802
2026-03-06 21:21:04.381826,11285822
2026-03-06 21:21:04.425273,11285904
2026-03-06 21:21:04.48402,11285924
2026-03-06 21:21:04.527212,11286006
2026-03-06 21:21:04.586394,11286026
2026-03-06 21:21:04.628692,11286108
2026-03-06 21:21:04.688079,11286128
2026-03-06 21:21:04.730803,11286210
2026-03-06 21:21:04.789968,11286230
2026-03-06 21:21:04.83274,11286312
2026-03-06 21:21:04.892248,11286332
2026-03-06 21:21:04.934691,11286414
2026-03-06 21:21:04.994368,11286434
2026-03-06 21:21:05.037031,11286516
2026-03-06 21:21:05.096125,11286536
2026-03-06 21:21:05.138813,11286618
2026-03-06 21:21:05.198144,11286638
2026-03-06 21:21:05.241183,11286720
2026-03-06 21:21:05.300153,11286740
2026-03-06 21:21:05.342895,11286822
2026-03-06 21:21:05.402111,11286842
2026-03-06 21:21:05.445098,11286924
2026-03-06 21:21:05.504118,11286944
2026-03-06 21:21:05.547011,11287026
2026-03-06 21:21:05.606419,11287046
2026-03-06 21:21:05.648875,11287128
2026-03-06 21:21:05.707826,11287148
2026-03-06 21:21:05.750803,11287230
2026-03-06 21:21:05.810501,11287250
2026-03-06 21:21:05.853028,11287332
2026-03-06 21:21:05.911797,11287352
2026-03-06 21:21:05.954721,11287434
2026-03-06 21:21:06.01405,11287454
2026-03-06 21:21:06.05724,11287536
2026-03-06 21:21:06.116042,11287556
2026-03-06 21:21:06.158982,11287638
2026-03-06 21:21:06.218088,11287658
2026-03-06 21:21:06.26071,11287740
2026-03-06 21:21:06.320236,11287760
2026-03-06 21:21:06.363154,11287842
2026-03-06 21:21:06.421853,11287862
2026-03-06 21:21:06.464766,11287944
2026-03-06 21:21:06.524208,11287964
2026-03-06 21:21:06.566882,11288046
2026-03-06 21:21:06.625943,11288066
2026-03-06 21:21:06.668859,11288148
2026-03-06 21:21:06.728093,11288168
2026-03-06 21:21:06.770751,11288250
2026-03-06 21:21:06.830166,11288270
