time,ACT.GSE_High_Press_Control.sample_ts_ms
2026-03-06 21:25:20.50594,11541944
2026-03-06 21:25:20.547467,11542026
2026-03-06 21:25:20.607756,11542046
2026-03-06 21:25:20.649912,11542128
2026-03-06 21:25:20.709627,11542148
2026-03-06 21:25:20.751542,11542230
2026-03-06 21:25:20.8119,11542250
2026-03-06 21:25:20.85397,11542332
2026-03-06 21:25:20.914056,11542352
2026-03-06 21:25:20.95556,11542434
2026-03-06 21:25:21.01573,11542454
2026-03-06 21:25:21.057594,11542536
2026-03-06 21:25:21.117749,11542556
2026-03-06 21:25:21.159843,11542638
2026-03-06 21:25:21.219719,11542658
2026-03-06 21:25:21.261762,11542740
2026-03-06 21:25:21.322071,11542760
2026-03-06 21:25:21.364089,11542842
2026-03-06 21:25:21.424204,11542862
2026-03-06 21:25:21.466152,11542944
2026-03-06 21:25:21.525561,11542964
2026-03-06 21:25:21.568085,11543046
2026-03-06 21:25:21.628079,11543066
2026-03-06 21:25:21.670059,11543148
2026-03-06 21:25:21.730298,11543168
2026-03-06 21:25:21.77194,11543250
2026-03-06 21:25:21.831755,11543270
2026-03-06 21:25:21.873741,11543352
2026-03-06 21:25:21.934068,11543372
2026-03-06 21:25:21.975605,11543454
2026-03-06 21:25:22.035755,11543474
2026-03-06 21:25:22.077869,11543556
2026-03-06 21:25:22.137717,11543576
2026-03-06 21:25:22.179909,11543658
2026-03-06 21:25:22.239984,11543678
2026-03-06 21:25:22.281658,11543760
2026-03-06 21:25:22.342163,11543780
2026-03-06 21:25:22.383479,11543862
2026-03-06 21:25:22.443725,11543882
2026-03-06 21:25:22.485743,11543964
2026-03-06 21:25:22.546125,11543984
2026-03-06 21:25:22.587867,11544066
2026-03-06 21:25:22.647832,11544086
2026-03-06 21:25:22.689925,11544168
2026-03-06 21:25:22.750073,11544188
2026-03-06 21:25:22.792178,11544270
2026-03-06 21:25:22.851684,11544290
2026-03-06 21:25:22.893615,11544372
2026-03-06 21:25:22.953896,11544392
2026-03-06 21:25:22.995678,11544474
2026-03-06 21:25:23.05584,11544494
2026-03-06 21:25:23.097859,11544576
2026-03-06 21:25:23.158443,11544596
2026-03-06 21:25:23.199972,11544678
2026-03-06 21:25:23.260008,11544698
2026-03-06 21:25:23.301452,11544780
2026-03-06 21:25:23.362125,11544800
2026-03-06 21:25:23.403566,11544882
2026-03-06 21:25:23.463902,11544902
2026-03-06 21:25:23.505784,11544984
2026-03-06 21:25:23.566219,11545004
2026-03-06 21:25:23.608124,11545086
2026-03-06 21:25:23.668015,11545106
2026-03-06 21:25:23.710069,11545188
2026-03-06 21:25:23.769568,11545208
2026-03-06 21:25:23.811751,11545290
2026-03-06 21:25:23.871842,11545310
2026-03-06 21:25:23.913752,11545392
2026-03-06 21:25:23.974166,11545412
2026-03-06 21:25:24.015651,11545494
2026-03-06 21:25:24.075691,11545514
2026-03-06 21:25:24.117983,11545596
2026-03-06 21:25:24.177984,11545616
2026-03-06 21:25:24.220005,11545698
2026-03-06 21:25:24.279941,11545718
2026-03-06 21:25:24.321591,11545800
2026-03-06 21:25:24.381818,11545820
2026-03-06 21:25:24.423723,11545902
2026-03-06 21:25:24.483832,11545922
2026-03-06 21:25:24.5257,11546004
2026-03-06 21:25:24.586094,11546024
2026-03-06 21:25:24.62758,11546106
2026-03-06 21:25:24.688121,11546126
2026-03-06 21:25:24.729916,11546208
2026-03-06 21:25:24.79032,11546228
2026-03-06 21:25:24.831606,11546310
2026-03-06 21:25:24.892313,11546330
2026-03-06 21:25:24.934008,11546412
2026-03-06 21:25:24.994121,11546432
2026-03-06 21:25:25.035741,11546514
2026-03-06 21:25:25.09563,11546534
2026-03-06 21:25:25.137876,11546616
2026-03-06 21:25:25.197788,11546636
2026-03-06 21:25:25.239687,11546718
2026-03-06 21:25:25.300216,11546738
2026-03-06 21:25:25.341958,11546820
2026-03-06 21:25:25.402015,11546840
2026-03-06 21:25:25.443827,11546922
2026-03-06 21:25:25.50406,11546942
2026-03-06 21:25:25.546027,11547024
2026-03-06 21:25:25.605742,11547044
2026-03-06 21:25:25.647872,11547126
2026-03-06 21:25:25.708249,11547146
2026-03-06 21:25:25.749474,11547228
2026-03-06 21:25:25.810032,11547248
2026-03-06 21:25:25.851938,11547330
2026-03-06 21:25:25.911916,11547350
2026-03-06 21:25:25.953987,11547432
2026-03-06 21:25:26.014184,11547452
2026-03-06 21:25:26.055569,11547534
2026-03-06 21:25:26.115728,11547554
2026-03-06 21:25:26.157892,11547636
2026-03-06 21:25:26.217721,11547656
2026-03-06 21:25:26.259749,11547738
2026-03-06 21:25:26.319959,11547758
2026-03-06 21:25:26.361879,11547840
2026-03-06 21:25:26.422116,11547860
2026-03-06 21:25:26.463573,11547942
2026-03-06 21:25:26.523812,11547962
2026-03-06 21:25:26.565641,11548044
2026-03-06 21:25:26.62571,11548064
2026-03-06 21:25:26.667718,11548146
2026-03-06 21:25:26.727846,11548166
2026-03-06 21:25:26.769744,11548248
2026-03-06 21:25:26.82995,11548268
2026-03-06 21:25:26.871795,11548350
2026-03-06 21:25:26.931737,11548370
2026-03-06 21:25:26.973606,11548452
2026-03-06 21:25:27.033689,11548472
2026-03-06 21:25:27.076092,11548554
2026-03-06 21:25:27.136184,11548574
2026-03-06 21:25:27.177905,11548656
2026-03-06 21:25:27.237922,11548676
2026-03-06 21:25:27.280327,11548758
2026-03-06 21:25:27.340405,11548778
2026-03-06 21:25:27.382879,11548860
2026-03-06 21:25:27.442022,11548880
2026-03-06 21:25:27.483949,11548962
2026-03-06 21:25:27.543992,11548982
2026-03-06 21:25:27.586138,11549064
2026-03-06 21:25:27.646208,11549084
2026-03-06 21:25:27.687564,11549166
2026-03-06 21:25:27.74811,11549186
2026-03-06 21:25:27.790027,11549268
2026-03-06 21:25:27.850117,11549288
2026-03-06 21:25:27.891848,11549370
2026-03-06 21:25:27.951764,11549390
2026-03-06 21:25:27.993736,11549472
2026-03-06 21:25:28.054197,11549492
2026-03-06 21:25:28.095521,11549574
2026-03-06 21:25:28.156338,11549594
2026-03-06 21:25:28.197882,11549676
2026-03-06 21:25:28.258261,11549696
2026-03-06 21:25:28.299653,11549778
2026-03-06 21:25:28.360068,11549798
2026-03-06 21:25:28.401549,11549880
2026-03-06 21:25:28.46168,11549900
2026-03-06 21:25:28.503832,11549982
2026-03-06 21:25:28.563703,11550002
2026-03-06 21:25:28.605629,11550084
2026-03-06 21:25:28.666108,11550104
2026-03-06 21:25:28.707843,11550186
2026-03-06 21:25:28.76779,11550206
2026-03-06 21:25:28.809488,11550288
2026-03-06 21:25:28.870312,11550308
2026-03-06 21:25:28.911534,11550390
2026-03-06 21:25:28.971889,11550410
2026-03-06 21:25:29.01395,11550492
2026-03-06 21:25:29.074058,11550512
2026-03-06 21:25:29.115919,11550594
2026-03-06 21:25:29.176068,11550614
2026-03-06 21:25:29.217446,11550696
2026-03-06 21:25:29.277887,11550716
2026-03-06 21:25:29.319532,11550798
2026-03-06 21:25:29.38032,11550818
2026-03-06 21:25:29.42193,11550900
2026-03-06 21:25:29.48196,11550920
2026-03-06 21:25:29.523732,11551002
2026-03-06 21:25:29.584163,11551022
2026-03-06 21:25:29.625612,11551104
2026-03-06 21:25:29.685775,11551124
2026-03-06 21:25:29.727871,11551206
2026-03-06 21:25:29.78809,11551226
2026-03-06 21:25:29.830025,11551308
2026-03-06 21:25:29.889929,11551328
2026-03-06 21:25:29.931853,11551410
2026-03-06 21:25:29.991992,11551430
2026-03-06 21:25:30.033498,11551512
2026-03-06 21:25:30.093861,11551532
2026-03-06 21:25:30.135967,11551614
2026-03-06 21:25:30.195931,11551634
2026-03-06 21:25:30.23805,11551716
2026-03-06 21:25:30.298267,11551736
2026-03-06 21:25:30.339626,11551818
2026-03-06 21:25:30.400327,11551838
2026-03-06 21:25:30.441606,11551920
2026-03-06 21:25:30.502037,11551940
2026-03-06 21:25:30.544016,11552022
2026-03-06 21:25:30.603853,11552042
2026-03-06 21:25:30.645708,11552124
2026-03-06 21:25:30.705848,11552144
2026-03-06 21:25:30.747942,11552226
2026-03-06 21:25:30.808056,11552246
2026-03-06 21:25:30.84996,11552328
2026-03-06 21:25:30.910133,11552348
2026-03-06 21:25:30.952023,11552430
2026-03-06 21:25:31.011948,11552450
2026-03-06 21:25:31.053732,11552532
2026-03-06 21:25:31.113742,11552552
2026-03-06 21:25:31.155663,11552634
2026-03-06 21:25:31.215778,11552654
2026-03-06 21:25:31.257565,11552736
2026-03-06 21:25:31.318168,11552756
2026-03-06 21:25:31.35978,11552838
2026-03-06 21:25:31.420097,11552858
2026-03-06 21:25:31.462006,11552940
2026-03-06 21:25:31.522232,11552960
2026-03-06 21:25:31.563736,11553042
2026-03-06 21:25:31.62389,11553062
2026-03-06 21:25:31.665813,11553144
2026-03-06 21:25:31.725864,11553164
2026-03-06 21:25:31.767455,11553246
2026-03-06 21:25:31.827941,11553266
2026-03-06 21:25:31.869773,11553348
2026-03-06 21:25:31.929984,11553368
2026-03-06 21:25:31.971895,11553450
2026-03-06 21:25:32.032031,11553470
2026-03-06 21:25:32.073921,11553552
2026-03-06 21:25:32.134079,11553572
2026-03-06 21:25:32.175566,11553654
2026-03-06 21:25:32.235866,11553674
2026-03-06 21:25:32.277664,11553756
2026-03-06 21:25:32.33815,11553776
2026-03-06 21:25:32.380146,11553858
2026-03-06 21:25:32.44027,11553878
2026-03-06 21:25:32.481745,11553960
2026-03-06 21:25:32.542121,11553980
2026-03-06 21:25:32.583705,11554062
2026-03-06 21:25:32.644125,11554082
2026-03-06 21:25:32.685753,11554164
2026-03-06 21:25:32.746317,11554184
2026-03-06 21:25:32.788002,11554266
2026-03-06 21:25:32.847847,11554286
2026-03-06 21:25:32.889813,11554368
2026-03-06 21:25:32.949806,11554388
2026-03-06 21:25:32.99157,11554470
2026-03-06 21:25:33.052037,11554490
2026-03-06 21:25:33.093534,11554572
2026-03-06 21:25:33.154289,11554592
2026-03-06 21:25:33.196144,11554674
2026-03-06 21:25:33.255811,11554694
2026-03-06 21:25:33.297754,11554776
2026-03-06 21:25:33.358137,11554796
2026-03-06 21:25:33.399764,11554878
2026-03-06 21:25:33.459793,11554898
2026-03-06 21:25:33.50169,11554980
2026-03-06 21:25:33.562135,11555000
2026-03-06 21:25:33.603959,11555082
2026-03-06 21:25:33.663771,11555102
2026-03-06 21:25:33.705759,11555184
2026-03-06 21:25:33.766536,11555204
2026-03-06 21:25:33.80755,11555286
2026-03-06 21:25:33.86813,11555306
2026-03-06 21:25:33.910152,11555388
2026-03-06 21:25:33.969954,11555408
2026-03-06 21:25:34.011858,11555490
2026-03-06 21:25:34.072199,11555510
2026-03-06 21:25:34.113622,11555592
2026-03-06 21:25:34.174004,11555612
2026-03-06 21:25:34.216083,11555694
2026-03-06 21:25:34.276171,11555714
2026-03-06 21:25:34.317871,11555796
2026-03-06 21:25:34.378171,11555816
2026-03-06 21:25:34.420089,11555898
2026-03-06 21:25:34.48037,11555918
2026-03-06 21:25:34.521935,11556000
2026-03-06 21:25:34.582142,11556020
2026-03-06 21:25:34.623859,11556102
2026-03-06 21:25:34.684492,11556122
2026-03-06 21:25:34.725791,11556204
2026-03-06 21:25:34.785727,11556224
2026-03-06 21:25:34.827878,11556306
2026-03-06 21:25:34.887763,11556326
2026-03-06 21:25:34.930059,11556408
2026-03-06 21:25:34.990337,11556428
2026-03-06 21:25:35.031859,11556510
2026-03-06 21:25:35.092336,11556530
2026-03-06 21:25:35.134212,11556612
2026-03-06 21:25:35.194062,11556632
2026-03-06 21:25:35.235848,11556714
2026-03-06 21:25:35.296267,11556734
2026-03-06 21:25:35.337991,11556816
2026-03-06 21:25:35.397868,11556836
2026-03-06 21:25:35.440082,11556918
2026-03-06 21:25:35.49997,11556938
2026-03-06 21:25:35.54204,11557020
2026-03-06 21:25:35.601872,11557040
2026-03-06 21:25:35.644068,11557122
2026-03-06 21:25:35.704025,11557142
2026-03-06 21:25:35.745794,11557224
2026-03-06 21:25:35.806183,11557244
2026-03-06 21:25:35.847659,11557326
2026-03-06 21:25:35.908134,11557346
2026-03-06 21:25:35.94972,11557428
2026-03-06 21:25:36.010164,11557448
2026-03-06 21:25:36.051931,11557530
2026-03-06 21:25:36.111921,11557550
2026-03-06 21:25:36.153825,11557632
2026-03-06 21:25:36.214267,11557652
2026-03-06 21:25:36.255714,11557734
2026-03-06 21:25:36.316076,11557754
2026-03-06 21:25:36.357564,11557836
2026-03-06 21:25:36.418307,11557856
2026-03-06 21:25:36.459403,11557938
2026-03-06 21:25:36.519873,11557958
2026-03-06 21:25:36.56184,11558040
2026-03-06 21:25:36.622169,11558060
2026-03-06 21:25:36.663806,11558142
2026-03-06 21:25:36.723795,11558162
2026-03-06 21:25:36.766027,11558244
2026-03-06 21:25:36.825913,11558264
2026-03-06 21:25:36.868058,11558346
2026-03-06 21:25:36.928207,11558366
2026-03-06 21:25:36.969657,11558448
2026-03-06 21:25:37.029977,11558468
2026-03-06 21:25:37.071886,11558550
2026-03-06 21:25:37.131976,11558570
2026-03-06 21:25:37.174033,11558652
2026-03-06 21:25:37.234198,11558672
2026-03-06 21:25:37.275652,11558754
2026-03-06 21:25:37.335909,11558774
2026-03-06 21:25:37.377727,11558856
2026-03-06 21:25:37.438269,11558876
2026-03-06 21:25:37.480146,11558958
2026-03-06 21:25:37.539914,11558978
2026-03-06 21:25:37.581747,11559060
2026-03-06 21:25:37.642139,11559080
2026-03-06 21:25:37.683677,11559162
2026-03-06 21:25:37.743974,11559182
2026-03-06 21:25:37.785987,11559264
2026-03-06 21:25:37.846217,11559284
2026-03-06 21:25:37.888101,11559366
2026-03-06 21:25:37.947961,11559386
2026-03-06 21:25:37.990072,11559468
2026-03-06 21:25:38.049966,11559488
2026-03-06 21:25:38.091959,11559570
2026-03-06 21:25:38.152255,11559590
2026-03-06 21:25:38.194108,11559672
2026-03-06 21:25:38.254148,11559692
2026-03-06 21:25:38.296025,11559774
2026-03-06 21:25:38.356264,11559794
2026-03-06 21:25:38.397529,11559876
2026-03-06 21:25:38.457761,11559896
2026-03-06 21:25:38.4996,11559978
2026-03-06 21:25:38.559843,11559998
2026-03-06 21:25:38.601653,11560080
2026-03-06 21:25:38.661858,11560100
2026-03-06 21:25:38.703558,11560182
2026-03-06 21:25:38.764085,11560202
2026-03-06 21:25:38.80584,11560284
2026-03-06 21:25:38.865716,11560304
2026-03-06 21:25:38.908021,11560386
2026-03-06 21:25:38.968034,11560406
2026-03-06 21:25:39.009475,11560488
2026-03-06 21:25:39.06982,11560508
2026-03-06 21:25:39.111621,11560590
2026-03-06 21:25:39.17206,11560610
2026-03-06 21:25:39.21363,11560692
2026-03-06 21:25:39.273963,11560712
2026-03-06 21:25:39.315994,11560794
2026-03-06 21:25:39.376191,11560814
2026-03-06 21:25:39.417573,11560896
2026-03-06 21:25:39.478424,11560916
2026-03-06 21:25:39.519728,11560998
2026-03-06 21:25:39.580001,11561018
2026-03-06 21:25:39.621989,11561100
2026-03-06 21:25:39.682084,11561120
2026-03-06 21:25:39.723882,11561202
2026-03-06 21:25:39.784375,11561222
2026-03-06 21:25:39.82578,11561304
2026-03-06 21:25:39.886026,11561324
2026-03-06 21:25:39.927776,11561406
2026-03-06 21:25:39.987991,11561426
2026-03-06 21:25:40.029654,11561508
2026-03-06 21:25:40.090421,11561528
2026-03-06 21:25:40.132156,11561610
2026-03-06 21:25:40.192023,11561630
2026-03-06 21:25:40.233755,11561712
2026-03-06 21:25:40.2943,11561732
2026-03-06 21:25:40.335717,11561814
2026-03-06 21:25:40.396344,11561834
2026-03-06 21:25:40.438082,11561916
2026-03-06 21:25:40.498357,11561936
2026-03-06 21:25:40.539703,11562018
2026-03-06 21:25:40.599862,11562038
2026-03-06 21:25:40.641569,11562120
2026-03-06 21:25:40.701917,11562140
2026-03-06 21:25:40.744046,11562222
2026-03-06 21:25:40.804374,11562242
2026-03-06 21:25:40.846055,11562324
2026-03-06 21:25:40.906023,11562344
2026-03-06 21:25:40.948008,11562426
2026-03-06 21:25:41.008266,11562446
2026-03-06 21:25:41.049491,11562528
2026-03-06 21:25:41.110021,11562548
2026-03-06 21:25:41.151922,11562630
2026-03-06 21:25:41.21168,11562650
2026-03-06 21:25:41.253711,11562732
2026-03-06 21:25:41.31386,11562752
2026-03-06 21:25:41.356053,11562834
2026-03-06 21:25:41.416221,11562854
2026-03-06 21:25:41.457617,11562936
2026-03-06 21:25:41.517817,11562956
2026-03-06 21:25:41.559969,11563038
2026-03-06 21:25:41.619836,11563058
2026-03-06 21:25:41.661734,11563140
2026-03-06 21:25:41.721714,11563160
2026-03-06 21:25:41.763734,11563242
2026-03-06 21:25:41.823933,11563262
2026-03-06 21:25:41.865865,11563344
2026-03-06 21:25:41.926169,11563364
2026-03-06 21:25:41.967487,11563446
2026-03-06 21:25:42.028366,11563466
2026-03-06 21:25:42.078524,11563548
2026-03-06 21:25:42.130162,11563568
2026-03-06 21:25:42.171998,11563650
2026-03-06 21:25:42.232336,11563670
2026-03-06 21:25:42.274026,11563752
2026-03-06 21:25:42.334311,11563772
2026-03-06 21:25:42.375932,11563854
2026-03-06 21:25:42.436356,11563874
2026-03-06 21:25:42.477781,11563956
2026-03-06 21:25:42.537872,11563976
2026-03-06 21:25:42.580064,11564058
2026-03-06 21:25:42.640352,11564078
2026-03-06 21:25:42.681771,11564160
2026-03-06 21:25:42.742497,11564180
2026-03-06 21:25:42.78409,11564262
2026-03-06 21:25:42.844058,11564282
2026-03-06 21:25:42.885598,11564364
2026-03-06 21:25:42.94605,11564384
