time,TC_Cal.CH18.timestamp_ns
2026-03-06 21:27:24.950955,1772832444950940782
2026-03-06 21:27:25.084894,1772832445084876587
2026-03-06 21:27:25.210417,1772832445210405989
2026-03-06 21:27:25.337279,1772832445337266774
2026-03-06 21:27:25.463675,1772832445463662928
2026-03-06 21:27:25.591203,1772832445591192248
2026-03-06 21:27:25.718565,1772832445718550508
2026-03-06 21:27:25.845745,1772832445845733135
2026-03-06 21:27:25.971613,1772832445971605482
2026-03-06 21:27:26.102454,1772832446102446225
2026-03-06 21:27:26.229283,1772832446229273762
2026-03-06 21:27:26.356568,1772832446356555442
2026-03-06 21:27:26.48307,1772832446483058428
2026-03-06 21:27:26.610006,1772832446609994542
2026-03-06 21:27:26.737045,1772832446737018174
2026-03-06 21:27:26.86466,1772832446864644257
2026-03-06 21:27:26.990274,1772832446990257464
2026-03-06 21:27:27.123568,1772832447123551589
2026-03-06 21:27:27.250378,1772832447250299182
2026-03-06 21:27:27.377005,1772832447376998186
2026-03-06 21:27:27.50383,1772832447503823639
2026-03-06 21:27:27.631759,1772832447631745974
2026-03-06 21:27:27.758578,1772832447758540728
2026-03-06 21:27:27.886443,1772832447886393316
2026-03-06 21:27:28.012005,1772832448011997301
2026-03-06 21:27:28.141305,1772832448141298685
2026-03-06 21:27:28.267935,1772832448267925889
2026-03-06 21:27:28.39584,1772832448395832520
2026-03-06 21:27:28.522452,1772832448522441749
2026-03-06 21:27:28.64991,1772832448649897956
2026-03-06 21:27:28.77776,1772832448777712082
2026-03-06 21:27:28.904344,1772832448904324687
2026-03-06 21:27:29.030843,1772832449030835882
2026-03-06 21:27:29.162283,1772832449162165061
2026-03-06 21:27:29.289801,1772832449289788233
2026-03-06 21:27:29.416117,1772832449416108650
2026-03-06 21:27:29.543881,1772832449543867612
2026-03-06 21:27:29.670333,1772832449670320346
2026-03-06 21:27:29.798208,1772832449798174721
2026-03-06 21:27:29.924779,1772832449924764045
2026-03-06 21:27:30.052543,1772832450052519704
2026-03-06 21:27:30.183487,1772832450183474456
2026-03-06 21:27:30.309775,1772832450309762975
2026-03-06 21:27:30.437774,1772832450437680322
2026-03-06 21:27:30.564483,1772832450564459041
2026-03-06 21:27:30.691437,1772832450691425119
2026-03-06 21:27:30.81854,1772832450818465852
2026-03-06 21:27:30.945098,1772832450945075112
2026-03-06 21:27:31.072808,1772832451072799721
2026-03-06 21:27:31.203588,1772832451203580578
2026-03-06 21:27:31.33152,1772832451331504941
2026-03-06 21:27:31.459208,1772832451459189659
2026-03-06 21:27:31.585291,1772832451585271713
2026-03-06 21:27:31.713822,1772832451713807901
2026-03-06 21:27:31.839493,1772832451839458171
2026-03-06 21:27:31.967557,1772832451967530580
2026-03-06 21:27:32.095532,1772832452095492888
2026-03-06 21:27:32.225265,1772832452225250968
2026-03-06 21:27:32.353001,1772832452352986041
2026-03-06 21:27:32.479635,1772832452479625243
2026-03-06 21:27:32.606455,1772832452606443738
2026-03-06 21:27:32.734571,1772832452734554448
2026-03-06 21:27:32.85995,1772832452859940498
2026-03-06 21:27:32.987592,1772832452987584456
2026-03-06 21:27:33.115876,1772832453115862588
2026-03-06 21:27:33.24611,1772832453246097953
2026-03-06 21:27:33.373568,1772832453373559185
2026-03-06 21:27:33.500086,1772832453500078886
2026-03-06 21:27:33.627644,1772832453627635495
2026-03-06 21:27:33.753869,1772832453753860868
2026-03-06 21:27:33.880679,1772832453880668121
2026-03-06 21:27:34.008712,1772832454008704371
2026-03-06 21:27:34.138997,1772832454138953276
2026-03-06 21:27:34.268185,1772832454268167469
2026-03-06 21:27:34.395375,1772832454395359647
2026-03-06 21:27:34.52098,1772832454520972913
2026-03-06 21:27:34.649413,1772832454649384607
2026-03-06 21:27:34.775727,1772832454775715037
2026-03-06 21:27:34.903144,1772832454903125562
2026-03-06 21:27:35.029146,1772832455029138106
2026-03-06 21:27:35.157145,1772832455157135522
2026-03-06 21:27:35.288796,1772832455288773872
2026-03-06 21:27:35.415575,1772832455415563345
2026-03-06 21:27:35.543084,1772832455543055398
2026-03-06 21:27:35.669727,1772832455669712678
2026-03-06 21:27:35.795832,1772832455795820048
2026-03-06 21:27:35.923078,1772832455923068082
2026-03-06 21:27:36.050336,1772832456050323898
2026-03-06 21:27:36.178227,1772832456178219054
2026-03-06 21:27:36.309244,1772832456309225094
