time,ACT.LOX_Fill.sample_ts_ms
2026-03-06 21:34:34.445922,12095923
2026-03-06 21:34:34.471461,12095906
2026-03-06 21:34:34.547838,12096025
2026-03-06 21:34:34.573285,12096008
2026-03-06 21:34:34.649265,12096127
2026-03-06 21:34:34.675371,12096110
2026-03-06 21:34:34.752062,12096229
2026-03-06 21:34:34.777026,12096212
2026-03-06 21:34:34.853429,12096331
2026-03-06 21:34:34.879323,12096314
2026-03-06 21:34:34.955691,12096433
2026-03-06 21:34:34.981035,12096416
2026-03-06 21:34:35.057609,12096535
2026-03-06 21:34:35.082826,12096518
2026-03-06 21:34:35.159413,12096637
2026-03-06 21:34:35.185593,12096620
2026-03-06 21:34:35.26142,12096739
2026-03-06 21:34:35.287414,12096722
2026-03-06 21:34:35.363386,12096841
2026-03-06 21:34:35.389219,12096824
2026-03-06 21:34:35.465839,12096943
2026-03-06 21:34:35.491131,12096926
2026-03-06 21:34:35.567857,12097045
2026-03-06 21:34:35.593467,12097028
2026-03-06 21:34:35.669671,12097147
2026-03-06 21:34:35.695385,12097130
2026-03-06 21:34:35.771427,12097249
2026-03-06 21:34:35.797079,12097232
2026-03-06 21:34:35.873755,12097351
2026-03-06 21:34:35.898894,12097334
2026-03-06 21:34:35.9752,12097453
2026-03-06 21:34:36.001093,12097436
2026-03-06 21:34:36.077517,12097555
2026-03-06 21:34:36.102896,12097538
2026-03-06 21:34:36.179748,12097657
2026-03-06 21:34:36.205399,12097640
2026-03-06 21:34:36.281916,12097759
2026-03-06 21:34:36.307079,12097742
2026-03-06 21:34:36.383687,12097861
2026-03-06 21:34:36.408839,12097844
2026-03-06 21:34:36.485564,12097963
2026-03-06 21:34:36.510898,12097946
2026-03-06 21:34:36.587559,12098065
2026-03-06 21:34:36.613154,12098048
2026-03-06 21:34:36.689712,12098167
2026-03-06 21:34:36.714902,12098150
2026-03-06 21:34:36.791566,12098269
2026-03-06 21:34:36.816957,12098252
2026-03-06 21:34:36.893996,12098371
2026-03-06 21:34:36.919566,12098354
2026-03-06 21:34:36.995659,12098473
2026-03-06 21:34:37.021073,12098456
2026-03-06 21:34:37.097496,12098575
2026-03-06 21:34:37.123385,12098558
2026-03-06 21:34:37.199793,12098677
2026-03-06 21:34:37.224924,12098660
2026-03-06 21:34:37.301653,12098779
2026-03-06 21:34:37.327374,12098762
2026-03-06 21:34:37.403279,12098881
2026-03-06 21:34:37.429173,12098864
2026-03-06 21:34:37.50537,12098983
2026-03-06 21:34:37.531227,12098966
2026-03-06 21:34:37.607648,12099085
2026-03-06 21:34:37.633431,12099068
2026-03-06 21:34:37.709616,12099187
2026-03-06 21:34:37.735322,12099170
2026-03-06 21:34:37.811928,12099289
2026-03-06 21:34:37.837149,12099272
2026-03-06 21:34:37.913855,12099391
2026-03-06 21:34:37.939089,12099374
2026-03-06 21:34:38.015758,12099493
2026-03-06 21:34:38.041182,12099476
2026-03-06 21:34:38.117596,12099595
2026-03-06 21:34:38.143224,12099578
2026-03-06 21:34:38.219677,12099697
2026-03-06 21:34:38.245163,12099680
2026-03-06 21:34:38.321735,12099799
2026-03-06 21:34:38.347189,12099782
2026-03-06 21:34:38.423768,12099901
2026-03-06 21:34:38.449135,12099884
2026-03-06 21:34:38.525976,12100003
2026-03-06 21:34:38.55117,12099986
2026-03-06 21:34:38.627727,12100105
2026-03-06 21:34:38.654693,12100089
2026-03-06 21:34:38.729634,12100207
2026-03-06 21:34:38.756488,12100191
2026-03-06 21:34:38.832118,12100309
2026-03-06 21:34:38.858545,12100293
2026-03-06 21:34:38.933881,12100411
2026-03-06 21:34:38.960607,12100395
2026-03-06 21:34:39.035972,12100513
2026-03-06 21:34:39.062479,12100497
2026-03-06 21:34:39.137614,12100615
2026-03-06 21:34:39.164127,12100599
2026-03-06 21:34:39.239693,12100717
2026-03-06 21:34:39.266224,12100701
2026-03-06 21:34:39.341378,12100819
2026-03-06 21:34:39.368468,12100803
2026-03-06 21:34:39.443483,12100921
2026-03-06 21:34:39.470296,12100905
2026-03-06 21:34:39.545828,12101023
2026-03-06 21:34:39.572499,12101007
2026-03-06 21:34:39.647552,12101125
2026-03-06 21:34:39.67415,12101109
2026-03-06 21:34:39.749766,12101227
2026-03-06 21:34:39.776402,12101211
2026-03-06 21:34:39.851752,12101329
2026-03-06 21:34:39.878132,12101313
2026-03-06 21:34:39.953803,12101431
2026-03-06 21:34:39.980545,12101415
2026-03-06 21:34:40.055863,12101533
2026-03-06 21:34:40.082396,12101517
2026-03-06 21:34:40.157622,12101635
2026-03-06 21:34:40.184347,12101619
2026-03-06 21:34:40.259725,12101737
2026-03-06 21:34:40.286168,12101721
2026-03-06 21:34:40.361527,12101839
2026-03-06 21:34:40.388424,12101823
2026-03-06 21:34:40.463651,12101941
2026-03-06 21:34:40.490487,12101925
2026-03-06 21:34:40.565925,12102043
2026-03-06 21:34:40.592151,12102027
2026-03-06 21:34:40.667566,12102145
2026-03-06 21:34:40.694165,12102129
2026-03-06 21:34:40.769661,12102247
2026-03-06 21:34:40.796003,12102231
2026-03-06 21:34:40.87195,12102349
2026-03-06 21:34:40.898173,12102333
2026-03-06 21:34:40.973434,12102451
2026-03-06 21:34:41.000148,12102435
2026-03-06 21:34:41.075418,12102553
2026-03-06 21:34:41.102313,12102537
2026-03-06 21:34:41.17786,12102655
2026-03-06 21:34:41.204601,12102639
2026-03-06 21:34:41.279464,12102757
2026-03-06 21:34:41.306179,12102741
2026-03-06 21:34:41.381388,12102859
2026-03-06 21:34:41.408335,12102843
2026-03-06 21:34:41.483842,12102961
2026-03-06 21:34:41.510155,12102945
2026-03-06 21:34:41.585991,12103063
2026-03-06 21:34:41.612213,12103047
2026-03-06 21:34:41.687946,12103165
2026-03-06 21:34:41.714139,12103149
2026-03-06 21:34:41.789787,12103267
2026-03-06 21:34:41.816512,12103251
2026-03-06 21:34:41.891586,12103369
2026-03-06 21:34:41.918383,12103353
2026-03-06 21:34:41.993453,12103471
2026-03-06 21:34:42.0205,12103455
2026-03-06 21:34:42.095422,12103573
2026-03-06 21:34:42.122537,12103557
2026-03-06 21:34:42.197827,12103675
2026-03-06 21:34:42.225193,12103659
2026-03-06 21:34:42.299649,12103777
2026-03-06 21:34:42.326546,12103761
2026-03-06 21:34:42.401888,12103879
2026-03-06 21:34:42.427964,12103863
2026-03-06 21:34:42.50351,12103981
2026-03-06 21:34:42.530447,12103965
2026-03-06 21:34:42.605537,12104083
2026-03-06 21:34:42.632081,12104067
2026-03-06 21:34:42.707855,12104185
2026-03-06 21:34:42.734012,12104169
2026-03-06 21:34:42.809569,12104287
2026-03-06 21:34:42.836219,12104271
2026-03-06 21:34:42.911485,12104389
2026-03-06 21:34:42.938348,12104373
2026-03-06 21:34:43.013706,12104491
2026-03-06 21:34:43.040209,12104475
2026-03-06 21:34:43.115825,12104593
2026-03-06 21:34:43.142273,12104577
2026-03-06 21:34:43.217439,12104695
2026-03-06 21:34:43.244327,12104679
2026-03-06 21:34:43.319827,12104797
2026-03-06 21:34:43.346086,12104781
2026-03-06 21:34:43.421459,12104899
