time,PT_Cal.GN2_High.cal_status
2026-03-06 21:23:03.450038,1
2026-03-06 21:23:03.45006,1
2026-03-06 21:23:03.45007,1
2026-03-06 21:23:03.450085,1
2026-03-06 21:23:03.450106,1
2026-03-06 21:23:03.450128,1
2026-03-06 21:23:03.45015,1
2026-03-06 21:23:03.450176,1
2026-03-06 21:23:03.4502,1
2026-03-06 21:23:03.450442,0
2026-03-06 21:23:03.550162,1
2026-03-06 21:23:03.550189,1
2026-03-06 21:23:03.550215,1
2026-03-06 21:23:03.550235,1
2026-03-06 21:23:03.550261,1
2026-03-06 21:23:03.550281,1
2026-03-06 21:23:03.550302,1
2026-03-06 21:23:03.550325,1
2026-03-06 21:23:03.550346,1
2026-03-06 21:23:03.550508,0
2026-03-06 21:23:03.650401,1
2026-03-06 21:23:03.650452,1
2026-03-06 21:23:03.650465,1
2026-03-06 21:23:03.650487,1
2026-03-06 21:23:03.650572,1
2026-03-06 21:23:03.650729,1
2026-03-06 21:23:03.65073,0
2026-03-06 21:23:03.650896,1
2026-03-06 21:23:03.749904,1
2026-03-06 21:23:03.749926,1
2026-03-06 21:23:03.749942,1
2026-03-06 21:23:03.750009,1
2026-03-06 21:23:03.750079,1
2026-03-06 21:23:03.750131,1
2026-03-06 21:23:03.750171,1
2026-03-06 21:23:03.750215,1
2026-03-06 21:23:03.750268,1
2026-03-06 21:23:03.750844,0
2026-03-06 21:23:03.850375,1
2026-03-06 21:23:03.850441,1
2026-03-06 21:23:03.850477,1
2026-03-06 21:23:03.850513,1
2026-03-06 21:23:03.850545,1
2026-03-06 21:23:03.850577,1
2026-03-06 21:23:03.850608,1
2026-03-06 21:23:03.850645,1
2026-03-06 21:23:03.851003,0
2026-03-06 21:23:03.950765,1
2026-03-06 21:23:03.950803,1
2026-03-06 21:23:03.950827,1
2026-03-06 21:23:03.950839,1
2026-03-06 21:23:03.950859,1
2026-03-06 21:23:03.950868,1
2026-03-06 21:23:03.950881,1
2026-03-06 21:23:03.950948,1
2026-03-06 21:23:03.950963,1
2026-03-06 21:23:03.951097,0
2026-03-06 21:23:04.050274,1
2026-03-06 21:23:04.050301,1
2026-03-06 21:23:04.050322,1
2026-03-06 21:23:04.050377,1
2026-03-06 21:23:04.050464,1
2026-03-06 21:23:04.050532,1
2026-03-06 21:23:04.050592,1
2026-03-06 21:23:04.150422,1
2026-03-06 21:23:04.150454,1
2026-03-06 21:23:04.150468,1
2026-03-06 21:23:04.150474,1
2026-03-06 21:23:04.150494,1
2026-03-06 21:23:04.150524,1
2026-03-06 21:23:04.150687,1
2026-03-06 21:23:04.150723,1
2026-03-06 21:23:04.150793,0
2026-03-06 21:23:04.251349,1
2026-03-06 21:23:04.251526,1
2026-03-06 21:23:04.25176,1
2026-03-06 21:23:04.252041,1
2026-03-06 21:23:04.252231,1
2026-03-06 21:23:04.252565,1
2026-03-06 21:23:04.252822,1
2026-03-06 21:23:04.253103,1
2026-03-06 21:23:04.2533,1
2026-03-06 21:23:04.25355,0
2026-03-06 21:23:04.350051,1
2026-03-06 21:23:04.350068,1
2026-03-06 21:23:04.350133,1
2026-03-06 21:23:04.350206,1
2026-03-06 21:23:04.350271,1
2026-03-06 21:23:04.350351,1
2026-03-06 21:23:04.35042,1
2026-03-06 21:23:04.350503,1
2026-03-06 21:23:04.35057,1
2026-03-06 21:23:04.454359,1
2026-03-06 21:23:04.454389,1
2026-03-06 21:23:04.454401,1
2026-03-06 21:23:04.454428,1
2026-03-06 21:23:04.454451,1
2026-03-06 21:23:04.454474,1
2026-03-06 21:23:04.454491,1
2026-03-06 21:23:04.454513,1
2026-03-06 21:23:04.454855,0
2026-03-06 21:23:04.5547,1
2026-03-06 21:23:04.554726,1
2026-03-06 21:23:04.554745,1
2026-03-06 21:23:04.554754,1
2026-03-06 21:23:04.554773,1
2026-03-06 21:23:04.554821,1
2026-03-06 21:23:04.554849,1
2026-03-06 21:23:04.554904,1
2026-03-06 21:23:04.555117,0
2026-03-06 21:23:04.654688,1
2026-03-06 21:23:04.654714,1
2026-03-06 21:23:04.654729,1
2026-03-06 21:23:04.654755,1
2026-03-06 21:23:04.65478,1
2026-03-06 21:23:04.654826,1
2026-03-06 21:23:04.654851,1
2026-03-06 21:23:04.654877,1
2026-03-06 21:23:04.654902,1
2026-03-06 21:23:04.655204,0
2026-03-06 21:23:04.7544,1
2026-03-06 21:23:04.754421,1
2026-03-06 21:23:04.754437,1
2026-03-06 21:23:04.754472,1
2026-03-06 21:23:04.754514,1
2026-03-06 21:23:04.754584,1
2026-03-06 21:23:04.754666,1
2026-03-06 21:23:04.754736,1
2026-03-06 21:23:04.75564,0
2026-03-06 21:23:04.854002,1
2026-03-06 21:23:04.854029,1
2026-03-06 21:23:04.854041,1
2026-03-06 21:23:04.854057,1
2026-03-06 21:23:04.854077,1
2026-03-06 21:23:04.854104,1
2026-03-06 21:23:04.85413,1
2026-03-06 21:23:04.854173,1
2026-03-06 21:23:04.954496,1
2026-03-06 21:23:04.954518,1
2026-03-06 21:23:04.954531,1
2026-03-06 21:23:04.954547,1
2026-03-06 21:23:04.954574,1
2026-03-06 21:23:04.954597,1
2026-03-06 21:23:04.954624,1
2026-03-06 21:23:04.954659,1
2026-03-06 21:23:04.955004,0
2026-03-06 21:23:05.054459,1
2026-03-06 21:23:05.054482,1
2026-03-06 21:23:05.054503,1
2026-03-06 21:23:05.05453,1
2026-03-06 21:23:05.05455,1
2026-03-06 21:23:05.054573,1
2026-03-06 21:23:05.054598,1
2026-03-06 21:23:05.055017,0
2026-03-06 21:23:05.1554,1
2026-03-06 21:23:05.155424,1
2026-03-06 21:23:05.155445,1
2026-03-06 21:23:05.155462,1
2026-03-06 21:23:05.155481,1
2026-03-06 21:23:05.1555,1
2026-03-06 21:23:05.155518,1
2026-03-06 21:23:05.155536,1
2026-03-06 21:23:05.155561,1
2026-03-06 21:23:05.155817,0
2026-03-06 21:23:05.25529,1
2026-03-06 21:23:05.255307,1
2026-03-06 21:23:05.255325,1
2026-03-06 21:23:05.255351,1
2026-03-06 21:23:05.255386,1
2026-03-06 21:23:05.255429,1
2026-03-06 21:23:05.355035,1
2026-03-06 21:23:05.355058,1
2026-03-06 21:23:05.355078,1
2026-03-06 21:23:05.355109,1
2026-03-06 21:23:05.355149,1
2026-03-06 21:23:05.355191,1
2026-03-06 21:23:05.355219,1
2026-03-06 21:23:05.355307,0
2026-03-06 21:23:05.459009,1
2026-03-06 21:23:05.459034,1
2026-03-06 21:23:05.459046,1
2026-03-06 21:23:05.459062,1
2026-03-06 21:23:05.459335,0
2026-03-06 21:23:05.559403,1
2026-03-06 21:23:05.559424,1
2026-03-06 21:23:05.559444,1
2026-03-06 21:23:05.559456,1
2026-03-06 21:23:05.559472,1
2026-03-06 21:23:05.55949,1
2026-03-06 21:23:05.559516,1
2026-03-06 21:23:05.559611,0
2026-03-06 21:23:05.659574,1
2026-03-06 21:23:05.659603,1
2026-03-06 21:23:05.659653,1
2026-03-06 21:23:05.659676,1
2026-03-06 21:23:05.6597,1
2026-03-06 21:23:05.659725,1
2026-03-06 21:23:05.659753,1
2026-03-06 21:23:05.659777,1
2026-03-06 21:23:05.659804,1
2026-03-06 21:23:05.659929,0
2026-03-06 21:23:05.759426,1
2026-03-06 21:23:05.759453,1
2026-03-06 21:23:05.759466,1
2026-03-06 21:23:05.759481,1
2026-03-06 21:23:05.759496,1
2026-03-06 21:23:05.759766,1
2026-03-06 21:23:05.759784,1
2026-03-06 21:23:05.759795,1
2026-03-06 21:23:05.759809,1
2026-03-06 21:23:05.759942,0
2026-03-06 21:23:05.85954,1
2026-03-06 21:23:05.859563,1
2026-03-06 21:23:05.859582,1
2026-03-06 21:23:05.859615,1
2026-03-06 21:23:05.859663,1
2026-03-06 21:23:05.859697,1
2026-03-06 21:23:05.859757,1
2026-03-06 21:23:05.859796,1
2026-03-06 21:23:05.859854,1
2026-03-06 21:23:05.859994,0
2026-03-06 21:23:05.959387,1
2026-03-06 21:23:05.95941,1
2026-03-06 21:23:05.959416,1
2026-03-06 21:23:05.95944,1
2026-03-06 21:23:05.959461,1
2026-03-06 21:23:05.959478,1
2026-03-06 21:23:05.959561,1
2026-03-06 21:23:05.959581,1
2026-03-06 21:23:05.959601,1
2026-03-06 21:23:05.959988,0
2026-03-06 21:23:06.059704,1
2026-03-06 21:23:06.059719,1
2026-03-06 21:23:06.059728,1
2026-03-06 21:23:06.059738,1
2026-03-06 21:23:06.060221,0
2026-03-06 21:23:06.160515,1
2026-03-06 21:23:06.160544,1
2026-03-06 21:23:06.160573,1
2026-03-06 21:23:06.160615,1
2026-03-06 21:23:06.160669,1
2026-03-06 21:23:06.160952,0
2026-03-06 21:23:06.260692,1
2026-03-06 21:23:06.26076,1
2026-03-06 21:23:06.260794,1
2026-03-06 21:23:06.260833,1
2026-03-06 21:23:06.260901,1
2026-03-06 21:23:06.260965,1
2026-03-06 21:23:06.261053,1
2026-03-06 21:23:06.261122,1
2026-03-06 21:23:06.261317,0
2026-03-06 21:23:06.360202,1
2026-03-06 21:23:06.360224,1
2026-03-06 21:23:06.360268,1
2026-03-06 21:23:06.360298,1
2026-03-06 21:23:06.360331,1
2026-03-06 21:23:06.360367,1
2026-03-06 21:23:06.360404,1
2026-03-06 21:23:06.360459,1
2026-03-06 21:23:06.4649,1
2026-03-06 21:23:06.464932,1
2026-03-06 21:23:06.464963,1
2026-03-06 21:23:06.464986,1
2026-03-06 21:23:06.465021,1
2026-03-06 21:23:06.465043,1
2026-03-06 21:23:06.465067,1
2026-03-06 21:23:06.465091,1
2026-03-06 21:23:06.465112,1
2026-03-06 21:23:06.465441,0
2026-03-06 21:23:06.56453,1
2026-03-06 21:23:06.564565,1
2026-03-06 21:23:06.564584,1
2026-03-06 21:23:06.564599,1
2026-03-06 21:23:06.564622,1
2026-03-06 21:23:06.564669,1
2026-03-06 21:23:06.564695,1
2026-03-06 21:23:06.564735,1
2026-03-06 21:23:06.564764,1
2026-03-06 21:23:06.565591,0
2026-03-06 21:23:06.664648,1
2026-03-06 21:23:06.664711,1
2026-03-06 21:23:06.664772,1
2026-03-06 21:23:06.664837,1
2026-03-06 21:23:06.664897,1
2026-03-06 21:23:06.66497,1
2026-03-06 21:23:06.665031,1
2026-03-06 21:23:06.665092,1
2026-03-06 21:23:06.665154,1
2026-03-06 21:23:06.764017,1
2026-03-06 21:23:06.764102,1
2026-03-06 21:23:06.764168,0
2026-03-06 21:23:06.764208,1
2026-03-06 21:23:06.764407,1
2026-03-06 21:23:06.764464,1
2026-03-06 21:23:06.76449,1
2026-03-06 21:23:06.764705,1
2026-03-06 21:23:06.864103,1
2026-03-06 21:23:06.864125,1
2026-03-06 21:23:06.864161,1
2026-03-06 21:23:06.864212,1
2026-03-06 21:23:06.864273,1
2026-03-06 21:23:06.864314,1
2026-03-06 21:23:06.864387,1
2026-03-06 21:23:06.864675,0
2026-03-06 21:23:06.96429,1
2026-03-06 21:23:06.964317,1
2026-03-06 21:23:06.964333,1
2026-03-06 21:23:06.964343,1
2026-03-06 21:23:06.964357,1
2026-03-06 21:23:06.964818,1
2026-03-06 21:23:06.964851,0
2026-03-06 21:23:07.064611,1
2026-03-06 21:23:07.064648,1
2026-03-06 21:23:07.064675,1
2026-03-06 21:23:07.064696,1
2026-03-06 21:23:07.064713,1
2026-03-06 21:23:07.064787,1
2026-03-06 21:23:07.064805,1
2026-03-06 21:23:07.064821,1
2026-03-06 21:23:07.064871,1
2026-03-06 21:23:07.064996,0
2026-03-06 21:23:07.164914,1
2026-03-06 21:23:07.164995,1
2026-03-06 21:23:07.1651,1
2026-03-06 21:23:07.165181,1
2026-03-06 21:23:07.165222,1
2026-03-06 21:23:07.165298,1
2026-03-06 21:23:07.165361,0
2026-03-06 21:23:07.165382,1
2026-03-06 21:23:07.165443,1
2026-03-06 21:23:07.265076,1
2026-03-06 21:23:07.265195,1
2026-03-06 21:23:07.265275,1
2026-03-06 21:23:07.265624,1
2026-03-06 21:23:07.265655,1
2026-03-06 21:23:07.265687,1
2026-03-06 21:23:07.265709,1
2026-03-06 21:23:07.265783,1
2026-03-06 21:23:07.266059,0
2026-03-06 21:23:07.365895,1
2026-03-06 21:23:07.365943,1
2026-03-06 21:23:07.366017,1
2026-03-06 21:23:07.3661,1
2026-03-06 21:23:07.366154,0
2026-03-06 21:23:07.366164,1
2026-03-06 21:23:07.36624,1
2026-03-06 21:23:07.366301,1
2026-03-06 21:23:07.366364,1
2026-03-06 21:23:07.36643,1
2026-03-06 21:23:07.469274,1
2026-03-06 21:23:07.469301,1
2026-03-06 21:23:07.469314,1
2026-03-06 21:23:07.46934,1
2026-03-06 21:23:07.469355,1
2026-03-06 21:23:07.469371,1
2026-03-06 21:23:07.469381,1
2026-03-06 21:23:07.469398,1
2026-03-06 21:23:07.469425,1
2026-03-06 21:23:07.469768,0
2026-03-06 21:23:07.569394,1
2026-03-06 21:23:07.569419,1
2026-03-06 21:23:07.569445,1
2026-03-06 21:23:07.569501,1
2026-03-06 21:23:07.569566,1
2026-03-06 21:23:07.569631,1
2026-03-06 21:23:07.569707,1
2026-03-06 21:23:07.569771,1
2026-03-06 21:23:07.569835,1
2026-03-06 21:23:07.569873,0
2026-03-06 21:23:07.669004,1
