time,BOARD.HB_51.engine_state
2026-03-06 21:29:16.734717,0
2026-03-06 21:29:17.739948,0
2026-03-06 21:29:18.746967,0
2026-03-06 21:29:19.754181,0
2026-03-06 21:29:20.761198,0
2026-03-06 21:29:21.768025,0
2026-03-06 21:29:22.775162,0
2026-03-06 21:29:23.782273,0
2026-03-06 21:29:24.789118,0
2026-03-06 21:29:25.796102,0
2026-03-06 21:29:26.801299,0
2026-03-06 21:29:27.808466,0
2026-03-06 21:29:28.815012,0
2026-03-06 21:29:29.822471,0
2026-03-06 21:29:30.829295,0
2026-03-06 21:29:31.836144,0
2026-03-06 21:29:32.843462,0
2026-03-06 21:29:33.85056,0
2026-03-06 21:29:34.857343,0
2026-03-06 21:29:35.862167,0
2026-03-06 21:29:36.869367,0
2026-03-06 21:29:37.876043,0
2026-03-06 21:29:38.883383,0
2026-03-06 21:29:39.890464,0
2026-03-06 21:29:40.897327,0
2026-03-06 21:29:41.904064,0
2026-03-06 21:29:42.911491,0
2026-03-06 21:29:43.91839,0
2026-03-06 21:29:44.923321,0
2026-03-06 21:29:45.930248,0
2026-03-06 21:29:46.937445,0
2026-03-06 21:29:47.944641,0
2026-03-06 21:29:48.951376,0
2026-03-06 21:29:49.958653,0
2026-03-06 21:29:50.963803,0
2026-03-06 21:29:51.970801,0
2026-03-06 21:29:52.975346,0
2026-03-06 21:29:53.976503,0
2026-03-06 21:29:54.983906,0
2026-03-06 21:29:55.990379,0
2026-03-06 21:29:56.997445,0
2026-03-06 21:29:58.004607,0
2026-03-06 21:29:59.011683,0
2026-03-06 21:30:00.018617,0
2026-03-06 21:30:01.025354,0
2026-03-06 21:30:02.032336,0
2026-03-06 21:30:03.037698,0
2026-03-06 21:30:04.044334,0
2026-03-06 21:30:05.051347,0
2026-03-06 21:30:06.058391,0
2026-03-06 21:30:07.065626,0
2026-03-06 21:30:08.072391,0
2026-03-06 21:30:09.079422,0
2026-03-06 21:30:10.086498,0
2026-03-06 21:30:11.093297,0
2026-03-06 21:30:12.098874,0
2026-03-06 21:30:13.105768,0
2026-03-06 21:30:14.112787,0
2026-03-06 21:30:15.119357,0
2026-03-06 21:30:16.126811,0
2026-03-06 21:30:17.133547,0
2026-03-06 21:30:18.140837,0
2026-03-06 21:30:19.147474,0
2026-03-06 21:30:20.154691,0
2026-03-06 21:30:21.159796,0
2026-03-06 21:30:22.166777,0
2026-03-06 21:30:23.173645,0
2026-03-06 21:30:24.180656,0
2026-03-06 21:30:25.187946,0
2026-03-06 21:30:26.194736,0
2026-03-06 21:30:27.201749,0
2026-03-06 21:30:28.209091,0
2026-03-06 21:30:29.215596,0
2026-03-06 21:30:30.220686,0
2026-03-06 21:30:31.228255,0
2026-03-06 21:30:32.234885,0
2026-03-06 21:30:33.241774,0
2026-03-06 21:30:34.248769,0
2026-03-06 21:30:35.255802,0
2026-03-06 21:30:36.263017,0
2026-03-06 21:30:37.269945,0
2026-03-06 21:30:38.276646,0
2026-03-06 21:30:39.282077,0
2026-03-06 21:30:40.28904,0
2026-03-06 21:30:41.296188,0
2026-03-06 21:30:42.303211,0
2026-03-06 21:30:43.310165,0
2026-03-06 21:30:44.317086,0
2026-03-06 21:30:45.324265,0
2026-03-06 21:30:46.330987,0
2026-03-06 21:30:47.337979,0
2026-03-06 21:30:48.342988,0
2026-03-06 21:30:49.350309,0
2026-03-06 21:30:50.357462,0
2026-03-06 21:30:51.364105,0
2026-03-06 21:30:52.371383,0
2026-03-06 21:30:53.378067,0
2026-03-06 21:30:54.384933,0
2026-03-06 21:30:55.392421,0
2026-03-06 21:30:56.399003,0
2026-03-06 21:30:57.404305,0
2026-03-06 21:30:58.411494,0
2026-03-06 21:30:59.418312,0
2026-03-06 21:31:00.425425,0
2026-03-06 21:31:01.432445,0
2026-03-06 21:31:02.43939,0
2026-03-06 21:31:03.444519,0
2026-03-06 21:31:04.451312,0
2026-03-06 21:31:05.456319,0
2026-03-06 21:31:06.457241,0
2026-03-06 21:31:07.46432,0
2026-03-06 21:31:08.471493,0
2026-03-06 21:31:09.478244,0
2026-03-06 21:31:10.485234,0
2026-03-06 21:31:11.492164,0
2026-03-06 21:31:12.49914,0
2026-03-06 21:31:13.506671,0
2026-03-06 21:31:14.513099,0
2026-03-06 21:31:15.518462,0
2026-03-06 21:31:16.525284,0
2026-03-06 21:31:17.53257,0
2026-03-06 21:31:18.539354,0
2026-03-06 21:31:19.546314,0
