time,PT_Cal.Fuel_Fill_Press.raw_adc
2026-03-06 21:18:14.973702,2143924444
2026-03-06 21:18:14.97386,2143741725
2026-03-06 21:18:14.97403,2143699248
2026-03-06 21:18:14.974215,2143694528
2026-03-06 21:18:14.974453,2143744422
2026-03-06 21:18:15.082607,2143821959
2026-03-06 21:18:15.082719,2143586650
2026-03-06 21:18:15.082843,2143749142
2026-03-06 21:18:15.083025,2143525294
2026-03-06 21:18:15.083095,2143821959
2026-03-06 21:18:15.083132,2143649354
2026-03-06 21:18:15.0833,2143776785
2026-03-06 21:18:15.192099,2143643960
2026-03-06 21:18:15.192348,2143863088
2026-03-06 21:18:15.192569,2143608900
2026-03-06 21:18:15.19278,2143356060
2026-03-06 21:18:15.192837,2143643960
2026-03-06 21:18:15.193021,2143670929
2026-03-06 21:18:15.193284,2143681717
2026-03-06 21:18:15.300947,2143759929
2026-03-06 21:18:15.301572,2143759929
2026-03-06 21:18:15.301647,2143677672
2026-03-06 21:18:15.302239,2143738353
2026-03-06 21:18:15.3027,2143751163
2026-03-06 21:18:15.303309,2143749142
2026-03-06 21:18:15.303913,2143705316
2026-03-06 21:18:15.304562,2143834769
2026-03-06 21:18:15.305149,2143775437
2026-03-06 21:18:15.409838,2143785550
2026-03-06 21:18:15.41008,2143919050
2026-03-06 21:18:15.410346,2143845558
2026-03-06 21:18:15.410577,2143817239
2026-03-06 21:18:15.410805,2143697899
2026-03-06 21:18:15.410806,2143785550
2026-03-06 21:18:15.411031,2143780830
2026-03-06 21:18:15.518225,2143900170
2026-03-06 21:18:15.518509,2143761278
2026-03-06 21:18:15.518786,2143721498
2026-03-06 21:18:15.518934,2143778808
2026-03-06 21:18:15.518952,2143900170
2026-03-06 21:18:15.519051,2143884663
2026-03-06 21:18:15.627313,2143742398
2026-03-06 21:18:15.627387,2143941974
2026-03-06 21:18:15.627485,2143906913
2026-03-06 21:18:15.627585,2143948716
2026-03-06 21:18:15.627664,2143742398
2026-03-06 21:18:15.627685,2143857694
2026-03-06 21:18:15.627793,2143737005
2026-03-06 21:18:15.627918,2143827353
2026-03-06 21:18:15.736894,2144010071
2026-03-06 21:18:15.737123,2143898148
2026-03-06 21:18:15.737398,2143831399
2026-03-06 21:18:15.737629,2143729588
2026-03-06 21:18:15.737867,2144010071
2026-03-06 21:18:15.737888,2143846906
2026-03-06 21:18:15.845678,2143637217
2026-03-06 21:18:15.846093,2143791619
2026-03-06 21:18:15.846431,2143637217
2026-03-06 21:18:15.846648,2143743748
2026-03-06 21:18:15.847282,2143548218
2026-03-06 21:18:15.847866,2143478772
2026-03-06 21:18:15.848516,2143464613
2026-03-06 21:18:15.954797,2143632498
2026-03-06 21:18:15.954999,2143443711
2026-03-06 21:18:15.955227,2143491582
2026-03-06 21:18:15.955291,2143632498
2026-03-06 21:18:15.95557,2143594741
2026-03-06 21:18:16.063182,2143496302
2026-03-06 21:18:16.063316,2143838141
2026-03-06 21:18:16.063445,2143950064
2026-03-06 21:18:16.063699,2143496302
2026-03-06 21:18:16.172339,2144169866
2026-03-06 21:18:16.172395,2144151661
2026-03-06 21:18:16.172477,2144184700
2026-03-06 21:18:16.172702,2144270328
2026-03-06 21:18:16.17281,2144205600
2026-03-06 21:18:16.172814,2144169866
2026-03-06 21:18:16.172898,2144320895
2026-03-06 21:18:16.173076,2144333707
2026-03-06 21:18:16.281766,2144179980
2026-03-06 21:18:16.281884,2144164473
2026-03-06 21:18:16.282066,2144131435
2026-03-06 21:18:16.282255,2144179980
2026-03-06 21:18:16.282276,2144059965
2026-03-06 21:18:16.28268,2144221782
2026-03-06 21:18:16.390001,2144219760
2026-03-06 21:18:16.390203,2144269654
2026-03-06 21:18:16.39043,2144250774
2026-03-06 21:18:16.390625,2144219760
2026-03-06 21:18:16.390815,2144156381
2026-03-06 21:18:16.391083,2144216389
2026-03-06 21:18:16.499706,2144249426
2026-03-06 21:18:16.499903,2144173912
2026-03-06 21:18:16.500095,2144126715
2026-03-06 21:18:16.500313,2144242684
2026-03-06 21:18:16.500516,2144473948
2026-03-06 21:18:16.500722,2144249426
2026-03-06 21:18:16.60837,2144351910
2026-03-06 21:18:16.608552,2144272351
2026-03-06 21:18:16.608729,2144219760
2026-03-06 21:18:16.608926,2144173238
2026-03-06 21:18:16.609146,2144138851
2026-03-06 21:18:16.610324,2144351910
2026-03-06 21:18:16.717519,2144274373
2026-03-06 21:18:16.717676,2144357305
2026-03-06 21:18:16.717856,2144274373
2026-03-06 21:18:16.717919,2144006701
2026-03-06 21:18:16.718184,2144289881
2026-03-06 21:18:16.718458,2144247404
2026-03-06 21:18:16.71874,2144254146
2026-03-06 21:18:16.719068,2144378881
2026-03-06 21:18:16.826566,2144337752
2026-03-06 21:18:16.826682,2144275721
2026-03-06 21:18:16.826812,2144340449
2026-03-06 21:18:16.826895,2144337752
2026-03-06 21:18:16.826977,2144239987
2026-03-06 21:18:16.827247,2144318873
2026-03-06 21:18:16.827495,2144368767
2026-03-06 21:18:16.93552,2144297298
2026-03-06 21:18:16.935696,2144528561
2026-03-06 21:18:16.935855,2144273699
2026-03-06 21:18:16.936025,2144413266
2026-03-06 21:18:16.936226,2144544743
2026-03-06 21:18:16.936418,2144291903
2026-03-06 21:18:16.936945,2144297298
2026-03-06 21:18:17.044237,2144247404
2026-03-06 21:18:17.044333,2144411244
2026-03-06 21:18:17.045048,2144247404
2026-03-06 21:18:17.153789,2144500917
2026-03-06 21:18:17.154151,2144304715
2026-03-06 21:18:17.154385,2144397759
2026-03-06 21:18:17.154433,2144500917
2026-03-06 21:18:17.154574,2144270328
2026-03-06 21:18:17.154773,2144475970
2026-03-06 21:18:17.261905,2144422031
2026-03-06 21:18:17.261984,2144140200
2026-03-06 21:18:17.26222,2144558903
2026-03-06 21:18:17.262361,2144411244
2026-03-06 21:18:17.262572,2144422031
2026-03-06 21:18:17.371456,2144399781
2026-03-06 21:18:17.371592,2144335729
2026-03-06 21:18:17.37184,2144538674
2026-03-06 21:18:17.372251,2144399781
2026-03-06 21:18:17.372258,2144155708
2026-03-06 21:18:17.372589,2144370789
2026-03-06 21:18:17.372842,2144267631
2026-03-06 21:18:17.480225,2144371464
2026-03-06 21:18:17.480307,2144343820
2026-03-06 21:18:17.480401,2144360002
2026-03-06 21:18:17.480483,2144380903
2026-03-06 21:18:17.480577,2144312805
2026-03-06 21:18:17.480677,2144538674
2026-03-06 21:18:17.481087,2144371464
2026-03-06 21:18:17.5893,2144516425
2026-03-06 21:18:17.589357,2144482713
2026-03-06 21:18:17.589419,2144368767
2026-03-06 21:18:17.589489,2144345842
2026-03-06 21:18:17.589558,2144561599
