time,PT_Cal.GN2_Regulated.pressure_psi
2026-03-06 21:16:59.327098,0.575981
2026-03-06 21:16:59.437108,231.48239
2026-03-06 21:16:59.437211,231.63927
2026-03-06 21:16:59.437291,231.07967
2026-03-06 21:16:59.437487,231.34096
2026-03-06 21:16:59.437767,0.5760781
2026-03-06 21:16:59.437782,229.49239
2026-03-06 21:16:59.437882,231.43758
2026-03-06 21:16:59.438057,231.47726
2026-03-06 21:16:59.43823,230.9724
2026-03-06 21:16:59.544537,231.44458
2026-03-06 21:16:59.54476,231.46605
2026-03-06 21:16:59.544982,231.37877
2026-03-06 21:16:59.545178,0.5760235
2026-03-06 21:16:59.545238,231.39836
2026-03-06 21:16:59.545477,231.55615
2026-03-06 21:16:59.65349,231.53702
2026-03-06 21:16:59.653669,231.50386
2026-03-06 21:16:59.653892,231.58557
2026-03-06 21:16:59.654297,231.47165
2026-03-06 21:16:59.654744,0.57615703
2026-03-06 21:16:59.762493,231.47072
2026-03-06 21:16:59.762609,231.50667
2026-03-06 21:16:59.762871,231.42123
2026-03-06 21:16:59.763173,231.45065
2026-03-06 21:16:59.763491,0.57606125
2026-03-06 21:16:59.871748,231.77612
2026-03-06 21:16:59.871831,231.25836
2026-03-06 21:16:59.872004,231.37129
2026-03-06 21:16:59.872388,231.39604
2026-03-06 21:16:59.872685,0.5765022
2026-03-06 21:16:59.980636,231.49173
2026-03-06 21:16:59.980907,231.47212
2026-03-06 21:16:59.981095,231.46886
2026-03-06 21:16:59.981411,231.32835
2026-03-06 21:16:59.981927,231.46326
2026-03-06 21:16:59.982259,0.5760916
2026-03-06 21:17:00.08905,231.37177
2026-03-06 21:17:00.089424,0.5759183
2026-03-06 21:17:00.08945,231.47772
2026-03-06 21:17:00.090067,231.4315
2026-03-06 21:17:00.09045,231.41003
2026-03-06 21:17:00.090584,231.4782
2026-03-06 21:17:00.198871,231.8901
2026-03-06 21:17:00.199304,231.77425
2026-03-06 21:17:00.199516,231.38997
2026-03-06 21:17:00.199735,231.3839
2026-03-06 21:17:00.199966,231.8901
2026-03-06 21:17:00.200382,0.5766667
2026-03-06 21:17:00.307456,231.40817
2026-03-06 21:17:00.307613,231.38716
2026-03-06 21:17:00.307765,231.36569
2026-03-06 21:17:00.307929,231.4189
2026-03-06 21:17:00.30828,0.57597095
2026-03-06 21:17:00.41643,231.34749
2026-03-06 21:17:00.416619,231.32976
2026-03-06 21:17:00.416813,231.30688
2026-03-06 21:17:00.417017,231.48659
2026-03-06 21:17:00.417114,0.57588327
2026-03-06 21:17:00.417248,229.93622
2026-03-06 21:17:00.525846,231.48146
2026-03-06 21:17:00.526039,231.45532
2026-03-06 21:17:00.52625,231.38577
2026-03-06 21:17:00.52633,0.5760768
2026-03-06 21:17:00.526426,231.40677
2026-03-06 21:17:00.634316,231.72661
2026-03-06 21:17:00.634376,231.51974
2026-03-06 21:17:00.634552,231.90506
2026-03-06 21:17:00.634771,231.36896
2026-03-06 21:17:00.635792,0.57643074
2026-03-06 21:17:00.743773,231.78687
2026-03-06 21:17:00.743895,231.49966
2026-03-06 21:17:00.74404,231.3951
2026-03-06 21:17:00.744191,231.49033
2026-03-06 21:17:00.74431,0.57651776
2026-03-06 21:17:00.74435,231.37784
2026-03-06 21:17:00.744536,231.3965
2026-03-06 21:17:00.85219,231.3895
2026-03-06 21:17:00.852382,231.3573
2026-03-06 21:17:00.852772,0.57594395
2026-03-06 21:17:00.852792,231.42683
2026-03-06 21:17:00.852998,231.38904
2026-03-06 21:17:00.853234,231.38997
2026-03-06 21:17:00.961667,231.5076
2026-03-06 21:17:00.961869,231.37596
2026-03-06 21:17:00.962059,231.30922
2026-03-06 21:17:00.962285,231.41985
2026-03-06 21:17:00.96237,0.57611454
2026-03-06 21:17:00.962505,231.32323
2026-03-06 21:17:01.070328,231.80647
2026-03-06 21:17:01.070662,231.53842
2026-03-06 21:17:01.071104,231.45952
2026-03-06 21:17:01.071519,231.2831
2026-03-06 21:17:01.071561,0.5765461
2026-03-06 21:17:01.071706,231.38763
2026-03-06 21:17:01.071905,229.77148
2026-03-06 21:17:01.179693,231.54636
2026-03-06 21:17:01.179923,231.42311
2026-03-06 21:17:01.180142,231.58931
2026-03-06 21:17:01.180393,231.48473
2026-03-06 21:17:01.180649,231.38997
2026-03-06 21:17:01.180748,0.5761705
2026-03-06 21:17:01.28875,231.3349
2026-03-06 21:17:01.289063,231.37877
2026-03-06 21:17:01.28939,231.83171
2026-03-06 21:17:01.289573,0.5758651
2026-03-06 21:17:01.28972,231.43245
2026-03-06 21:17:01.397423,231.46045
2026-03-06 21:17:01.39755,231.37456
2026-03-06 21:17:01.398078,231.84898
2026-03-06 21:17:01.398266,0.57604647
2026-03-06 21:17:01.398404,231.96579
2026-03-06 21:17:01.398621,231.38156
2026-03-06 21:17:01.506139,231.43011
2026-03-06 21:17:01.506264,231.04095
2026-03-06 21:17:01.506468,231.49873
2026-03-06 21:17:01.506718,0.5760026
2026-03-06 21:17:01.506724,231.47119
