time,ACT.GSE_Med_Press_Control.actuator_state
2026-03-06 21:34:48.521884,0
2026-03-06 21:34:48.548174,0
2026-03-06 21:34:48.624048,0
2026-03-06 21:34:48.650412,0
2026-03-06 21:34:48.72567,0
2026-03-06 21:34:48.752364,0
2026-03-06 21:34:48.827815,0
2026-03-06 21:34:48.85422,0
2026-03-06 21:34:48.929541,0
2026-03-06 21:34:48.956651,0
2026-03-06 21:34:49.032005,0
2026-03-06 21:34:49.058459,0
2026-03-06 21:34:49.133558,0
2026-03-06 21:34:49.161247,0
2026-03-06 21:34:49.236021,0
2026-03-06 21:34:49.262108,0
2026-03-06 21:34:49.337629,0
2026-03-06 21:34:49.364506,0
2026-03-06 21:34:49.439972,0
2026-03-06 21:34:49.466433,0
2026-03-06 21:34:49.542259,0
2026-03-06 21:34:49.568544,0
2026-03-06 21:34:49.643891,0
2026-03-06 21:34:49.670439,0
2026-03-06 21:34:49.745605,0
2026-03-06 21:34:49.77217,0
2026-03-06 21:34:49.847718,0
2026-03-06 21:34:49.874595,0
2026-03-06 21:34:49.949845,0
2026-03-06 21:34:49.976848,0
2026-03-06 21:34:50.051666,0
2026-03-06 21:34:50.078514,0
2026-03-06 21:34:50.153593,0
2026-03-06 21:34:50.180082,0
2026-03-06 21:34:50.255878,0
2026-03-06 21:34:50.282657,0
2026-03-06 21:34:50.358139,0
2026-03-06 21:34:50.384359,0
2026-03-06 21:34:50.460021,0
2026-03-06 21:34:50.487388,0
2026-03-06 21:34:50.56159,0
2026-03-06 21:34:50.588262,0
2026-03-06 21:34:50.663912,0
2026-03-06 21:34:50.690382,0
2026-03-06 21:34:50.765968,0
2026-03-06 21:34:50.792226,0
2026-03-06 21:34:50.868089,0
2026-03-06 21:34:50.894149,0
2026-03-06 21:34:50.969887,0
2026-03-06 21:34:50.996633,0
2026-03-06 21:34:51.071379,0
2026-03-06 21:34:51.098733,0
2026-03-06 21:34:51.174152,0
2026-03-06 21:34:51.200474,0
2026-03-06 21:34:51.275777,0
2026-03-06 21:34:51.30271,0
2026-03-06 21:34:51.377532,0
2026-03-06 21:34:51.404603,0
2026-03-06 21:34:51.480096,0
2026-03-06 21:34:51.506292,0
2026-03-06 21:34:51.581959,0
2026-03-06 21:34:51.608438,0
2026-03-06 21:34:51.683803,0
2026-03-06 21:34:51.710448,0
2026-03-06 21:34:51.785817,0
2026-03-06 21:34:51.812185,0
2026-03-06 21:34:51.887581,0
2026-03-06 21:34:51.914448,0
2026-03-06 21:34:51.989509,0
2026-03-06 21:34:52.016127,0
2026-03-06 21:34:52.09232,0
2026-03-06 21:34:52.118094,0
2026-03-06 21:34:52.194047,0
2026-03-06 21:34:52.220444,0
2026-03-06 21:34:52.295908,0
2026-03-06 21:34:52.322114,0
2026-03-06 21:34:52.397985,0
2026-03-06 21:34:52.424395,0
2026-03-06 21:34:52.499884,0
2026-03-06 21:34:52.526332,0
2026-03-06 21:34:52.602378,0
2026-03-06 21:34:52.628572,0
2026-03-06 21:34:52.703463,0
2026-03-06 21:34:52.731101,0
2026-03-06 21:34:52.805465,0
2026-03-06 21:34:52.832339,0
2026-03-06 21:34:52.908033,0
2026-03-06 21:34:52.934353,0
2026-03-06 21:34:53.009527,0
2026-03-06 21:34:53.036552,0
2026-03-06 21:34:53.111887,0
2026-03-06 21:34:53.13864,0
2026-03-06 21:34:53.214199,0
2026-03-06 21:34:53.240488,0
2026-03-06 21:34:53.315901,0
2026-03-06 21:34:53.3426,0
2026-03-06 21:34:53.417761,0
2026-03-06 21:34:53.444647,0
2026-03-06 21:34:53.519793,0
2026-03-06 21:34:53.546309,0
2026-03-06 21:34:53.621896,0
2026-03-06 21:34:53.648563,0
2026-03-06 21:34:53.723627,0
2026-03-06 21:34:53.750606,0
2026-03-06 21:34:53.825954,0
2026-03-06 21:34:53.852278,0
2026-03-06 21:34:53.927692,0
2026-03-06 21:34:53.95436,0
2026-03-06 21:34:54.02988,0
2026-03-06 21:34:54.056506,0
2026-03-06 21:34:54.131635,0
2026-03-06 21:34:54.158225,0
2026-03-06 21:34:54.234112,0
2026-03-06 21:34:54.260379,0
2026-03-06 21:34:54.335464,0
2026-03-06 21:34:54.362527,0
2026-03-06 21:34:54.437998,0
2026-03-06 21:34:54.464332,0
2026-03-06 21:34:54.539799,0
2026-03-06 21:34:54.566451,0
