time,ACT.GSE_High_Press_Vent.status
2026-03-06 21:36:24.197825,0
2026-03-06 21:36:24.22507,0
2026-03-06 21:36:24.300099,0
2026-03-06 21:36:24.326962,0
2026-03-06 21:36:24.402016,0
2026-03-06 21:36:24.428875,0
2026-03-06 21:36:24.503915,0
2026-03-06 21:36:24.531325,0
2026-03-06 21:36:24.606034,0
2026-03-06 21:36:24.63299,0
2026-03-06 21:36:24.708094,0
2026-03-06 21:36:24.735824,0
2026-03-06 21:36:24.80998,0
2026-03-06 21:36:24.836773,0
2026-03-06 21:36:24.911622,0
2026-03-06 21:36:24.93897,0
2026-03-06 21:36:25.013889,0
2026-03-06 21:36:25.040876,0
2026-03-06 21:36:25.115701,0
2026-03-06 21:36:25.142985,0
2026-03-06 21:36:25.217983,0
2026-03-06 21:36:25.245046,0
2026-03-06 21:36:25.3196,0
2026-03-06 21:36:25.347132,0
2026-03-06 21:36:25.421731,0
2026-03-06 21:36:25.448768,0
2026-03-06 21:36:25.523832,0
2026-03-06 21:36:25.551072,0
2026-03-06 21:36:25.626206,0
2026-03-06 21:36:25.655707,0
2026-03-06 21:36:25.728026,0
2026-03-06 21:36:25.75477,0
2026-03-06 21:36:25.830054,0
2026-03-06 21:36:25.857009,0
2026-03-06 21:36:25.931954,0
2026-03-06 21:36:25.958749,0
2026-03-06 21:36:26.033679,0
2026-03-06 21:36:26.061217,0
2026-03-06 21:36:26.135679,0
2026-03-06 21:36:26.162753,0
2026-03-06 21:36:26.238108,0
2026-03-06 21:36:26.265041,0
2026-03-06 21:36:26.340042,0
2026-03-06 21:36:26.366634,0
2026-03-06 21:36:26.441848,0
2026-03-06 21:36:26.468801,0
2026-03-06 21:36:26.543777,0
2026-03-06 21:36:26.571265,0
2026-03-06 21:36:26.645971,0
2026-03-06 21:36:26.672977,0
2026-03-06 21:36:26.747858,0
2026-03-06 21:36:26.775211,0
2026-03-06 21:36:26.849824,0
2026-03-06 21:36:26.877011,0
2026-03-06 21:36:26.952729,0
2026-03-06 21:36:26.978864,0
2026-03-06 21:36:27.054031,0
2026-03-06 21:36:27.080946,0
2026-03-06 21:36:27.15564,0
2026-03-06 21:36:27.183012,0
2026-03-06 21:36:27.257649,0
2026-03-06 21:36:27.284842,0
2026-03-06 21:36:27.360147,0
2026-03-06 21:36:27.386979,0
2026-03-06 21:36:27.462142,0
2026-03-06 21:36:27.488855,0
2026-03-06 21:36:27.563896,0
2026-03-06 21:36:27.590713,0
2026-03-06 21:36:27.666567,0
2026-03-06 21:36:27.693106,0
2026-03-06 21:36:27.767974,0
2026-03-06 21:36:27.795127,0
2026-03-06 21:36:27.87003,0
2026-03-06 21:36:27.896773,0
2026-03-06 21:36:27.972148,0
2026-03-06 21:36:27.998839,0
2026-03-06 21:36:28.073958,0
2026-03-06 21:36:28.101211,0
2026-03-06 21:36:28.176271,0
2026-03-06 21:36:28.203088,0
2026-03-06 21:36:28.277695,0
2026-03-06 21:36:28.305083,0
2026-03-06 21:36:28.379959,0
2026-03-06 21:36:28.406908,0
2026-03-06 21:36:28.481889,0
2026-03-06 21:36:28.508941,0
2026-03-06 21:36:28.583674,0
2026-03-06 21:36:28.610652,0
2026-03-06 21:36:28.685873,0
2026-03-06 21:36:28.712712,0
2026-03-06 21:36:28.788015,0
2026-03-06 21:36:28.814809,0
2026-03-06 21:36:28.890094,0
2026-03-06 21:36:28.917309,0
2026-03-06 21:36:28.991728,0
2026-03-06 21:36:29.019235,0
2026-03-06 21:36:29.093748,0
2026-03-06 21:36:29.121092,0
2026-03-06 21:36:29.196015,0
2026-03-06 21:36:29.223022,0
2026-03-06 21:36:29.29809,0
2026-03-06 21:36:29.32524,0
2026-03-06 21:36:29.400181,0
2026-03-06 21:36:29.426677,0
2026-03-06 21:36:29.502153,0
2026-03-06 21:36:29.529055,0
2026-03-06 21:36:29.603643,0
2026-03-06 21:36:29.630933,0
2026-03-06 21:36:29.705684,0
2026-03-06 21:36:29.733313,0
2026-03-06 21:36:29.808093,0
2026-03-06 21:36:29.834833,0
2026-03-06 21:36:29.909795,0
2026-03-06 21:36:29.93725,0
2026-03-06 21:36:30.011687,0
2026-03-06 21:36:30.038822,0
2026-03-06 21:36:30.113624,0
2026-03-06 21:36:30.140716,0
2026-03-06 21:36:30.216209,0
2026-03-06 21:36:30.242792,0
2026-03-06 21:36:30.317998,0
2026-03-06 21:36:30.345006,0
2026-03-06 21:36:30.420253,0
2026-03-06 21:36:30.44724,0
2026-03-06 21:36:30.521813,0
2026-03-06 21:36:30.54958,0
2026-03-06 21:36:30.623668,0
2026-03-06 21:36:30.651116,0
2026-03-06 21:36:30.725973,0
2026-03-06 21:36:30.752818,0
2026-03-06 21:36:30.827656,0
2026-03-06 21:36:30.854647,0
2026-03-06 21:36:30.929844,0
2026-03-06 21:36:30.957133,0
2026-03-06 21:36:31.03205,0
2026-03-06 21:36:31.059093,0
2026-03-06 21:36:31.133701,0
2026-03-06 21:36:31.16089,0
2026-03-06 21:36:31.23588,0
2026-03-06 21:36:31.263048,0
2026-03-06 21:36:31.33812,0
2026-03-06 21:36:31.365252,0
2026-03-06 21:36:31.439845,0
2026-03-06 21:36:31.466831,0
2026-03-06 21:36:31.54193,0
2026-03-06 21:36:31.568627,0
2026-03-06 21:36:31.643707,0
2026-03-06 21:36:31.670993,0
2026-03-06 21:36:31.745527,0
2026-03-06 21:36:31.772866,0
2026-03-06 21:36:31.84754,0
2026-03-06 21:36:31.874956,0
2026-03-06 21:36:31.949871,0
2026-03-06 21:36:31.976656,0
2026-03-06 21:36:32.051555,0
2026-03-06 21:36:32.079,0
2026-03-06 21:36:32.153609,0
2026-03-06 21:36:32.180777,0
2026-03-06 21:36:32.255751,0
2026-03-06 21:36:32.283088,0
2026-03-06 21:36:32.357667,0
2026-03-06 21:36:32.384921,0
2026-03-06 21:36:32.459598,0
2026-03-06 21:36:32.486592,0
2026-03-06 21:36:32.561778,0
2026-03-06 21:36:32.588653,0
2026-03-06 21:36:32.663703,0
2026-03-06 21:36:32.690767,0
2026-03-06 21:36:32.765496,0
2026-03-06 21:36:32.792634,0
2026-03-06 21:36:32.86767,0
2026-03-06 21:36:32.894976,0
2026-03-06 21:36:32.969642,0
2026-03-06 21:36:32.996759,0
2026-03-06 21:36:33.07183,0
2026-03-06 21:36:33.099035,0
2026-03-06 21:36:33.173904,0
2026-03-06 21:36:33.201086,0
2026-03-06 21:36:33.275612,0
2026-03-06 21:36:33.302826,0
2026-03-06 21:36:33.377965,0
2026-03-06 21:36:33.40487,0
2026-03-06 21:36:33.479925,0
2026-03-06 21:36:33.506811,0
2026-03-06 21:36:33.581571,0
2026-03-06 21:36:33.609508,0
2026-03-06 21:36:33.683959,0
2026-03-06 21:36:33.71188,0
2026-03-06 21:36:33.786013,0
2026-03-06 21:36:33.81312,0
2026-03-06 21:36:33.887987,0
2026-03-06 21:36:33.915253,0
2026-03-06 21:36:33.989628,0
2026-03-06 21:36:34.016769,0
2026-03-06 21:36:34.091812,0
2026-03-06 21:36:34.118891,0
2026-03-06 21:36:34.193923,0
2026-03-06 21:36:34.221118,0
2026-03-06 21:36:34.296334,0
2026-03-06 21:36:34.322785,0
2026-03-06 21:36:34.397942,0
2026-03-06 21:36:34.426304,0
2026-03-06 21:36:34.500492,0
2026-03-06 21:36:34.526844,0
2026-03-06 21:36:34.601498,0
2026-03-06 21:36:34.628837,0
2026-03-06 21:36:34.703844,0
2026-03-06 21:36:34.730961,0
2026-03-06 21:36:34.805532,0
2026-03-06 21:36:34.832796,0
2026-03-06 21:36:34.9081,0
2026-03-06 21:36:34.934838,0
2026-03-06 21:36:35.0111,0
2026-03-06 21:36:35.036841,0
2026-03-06 21:36:35.111774,0
2026-03-06 21:36:35.139236,0
2026-03-06 21:36:35.213719,0
2026-03-06 21:36:35.240935,0
2026-03-06 21:36:35.315969,0
2026-03-06 21:36:35.343152,0
2026-03-06 21:36:35.417811,0
2026-03-06 21:36:35.445251,0
2026-03-06 21:36:35.520098,0
2026-03-06 21:36:35.546935,0
2026-03-06 21:36:35.622125,0
2026-03-06 21:36:35.649056,0
2026-03-06 21:36:35.723668,0
2026-03-06 21:36:35.750914,0
2026-03-06 21:36:35.826091,0
2026-03-06 21:36:35.853177,0
2026-03-06 21:36:35.927635,0
2026-03-06 21:36:35.95514,0
2026-03-06 21:36:36.030125,0
2026-03-06 21:36:36.057235,0
2026-03-06 21:36:36.132304,0
2026-03-06 21:36:36.15909,0
2026-03-06 21:36:36.233738,0
2026-03-06 21:36:36.26091,0
2026-03-06 21:36:36.335785,0
2026-03-06 21:36:36.362822,0
2026-03-06 21:36:36.437887,0
2026-03-06 21:36:36.465224,0
2026-03-06 21:36:36.539975,0
2026-03-06 21:36:36.567232,0
2026-03-06 21:36:36.641676,0
2026-03-06 21:36:36.669002,0
2026-03-06 21:36:36.743972,0
2026-03-06 21:36:36.771096,0
2026-03-06 21:36:36.84549,0
2026-03-06 21:36:36.873172,0
2026-03-06 21:36:36.947928,0
2026-03-06 21:36:36.975179,0
2026-03-06 21:36:37.049661,0
2026-03-06 21:36:37.077017,0
2026-03-06 21:36:37.151691,0
2026-03-06 21:36:37.179021,0
2026-03-06 21:36:37.253823,0
2026-03-06 21:36:37.280758,0
2026-03-06 21:36:37.356568,0
