time,TC_Cal.CH19.cal_status
2026-03-06 21:14:57.407474,0
2026-03-06 21:14:57.534953,0
2026-03-06 21:14:57.661085,0
2026-03-06 21:14:57.792062,0
2026-03-06 21:14:57.921889,0
2026-03-06 21:14:58.047168,0
2026-03-06 21:14:58.173962,0
2026-03-06 21:14:58.300786,0
2026-03-06 21:14:58.428269,0
2026-03-06 21:14:58.556443,0
2026-03-06 21:14:58.683864,0
2026-03-06 21:14:58.813475,0
2026-03-06 21:14:58.939917,0
2026-03-06 21:14:59.067982,0
2026-03-06 21:14:59.195222,0
2026-03-06 21:14:59.323278,0
2026-03-06 21:14:59.44994,0
2026-03-06 21:14:59.575964,0
2026-03-06 21:14:59.706011,0
2026-03-06 21:14:59.83466,0
2026-03-06 21:14:59.961651,0
2026-03-06 21:15:00.089103,0
2026-03-06 21:15:00.215155,0
2026-03-06 21:15:00.344201,0
2026-03-06 21:15:00.470347,0
2026-03-06 21:15:00.596745,0
2026-03-06 21:15:00.723939,0
2026-03-06 21:15:00.855205,0
2026-03-06 21:15:00.983341,0
2026-03-06 21:15:01.113824,0
2026-03-06 21:15:01.240132,0
2026-03-06 21:15:01.365152,0
2026-03-06 21:15:01.491488,0
2026-03-06 21:15:01.617935,0
2026-03-06 21:15:01.744652,0
2026-03-06 21:15:01.87809,0
2026-03-06 21:15:02.00376,0
2026-03-06 21:15:02.131628,0
2026-03-06 21:15:02.257676,0
2026-03-06 21:15:02.385518,0
2026-03-06 21:15:02.513,0
2026-03-06 21:15:02.639724,0
2026-03-06 21:15:02.76585,0
2026-03-06 21:15:02.897848,0
2026-03-06 21:15:03.028292,0
2026-03-06 21:15:03.151687,0
2026-03-06 21:15:03.278772,0
2026-03-06 21:15:03.408704,0
2026-03-06 21:15:03.534259,0
2026-03-06 21:15:03.663177,0
2026-03-06 21:15:03.790592,0
2026-03-06 21:15:03.918681,0
2026-03-06 21:15:04.045118,0
2026-03-06 21:15:04.172884,0
2026-03-06 21:15:04.301694,0
2026-03-06 21:15:04.426238,0
2026-03-06 21:15:04.554912,0
2026-03-06 21:15:04.681058,0
2026-03-06 21:15:04.811173,0
2026-03-06 21:15:04.939911,0
2026-03-06 21:15:05.066633,0
2026-03-06 21:15:05.193379,0
2026-03-06 21:15:05.321955,0
2026-03-06 21:15:05.447793,0
2026-03-06 21:15:05.574149,0
2026-03-06 21:15:05.702933,0
2026-03-06 21:15:05.828527,0
2026-03-06 21:15:05.962017,0
2026-03-06 21:15:06.088963,0
2026-03-06 21:15:06.214037,0
2026-03-06 21:15:06.341487,0
2026-03-06 21:15:06.468073,0
2026-03-06 21:15:06.598272,0
2026-03-06 21:15:06.722502,0
2026-03-06 21:15:06.849923,0
2026-03-06 21:15:06.982201,0
2026-03-06 21:15:07.110639,0
2026-03-06 21:15:07.237403,0
2026-03-06 21:15:07.364596,0
2026-03-06 21:15:07.489013,0
2026-03-06 21:15:07.619359,0
2026-03-06 21:15:07.743648,0
2026-03-06 21:15:07.870521,0
2026-03-06 21:15:08.002362,0
2026-03-06 21:15:08.130363,0
2026-03-06 21:15:08.255259,0
2026-03-06 21:15:08.383966,0
2026-03-06 21:15:08.510884,0
2026-03-06 21:15:08.640688,0
2026-03-06 21:15:08.764768,0
2026-03-06 21:15:08.891648,0
2026-03-06 21:15:09.022013,0
2026-03-06 21:15:09.151624,0
2026-03-06 21:15:09.280422,0
2026-03-06 21:15:09.405169,0
2026-03-06 21:15:09.532056,0
2026-03-06 21:15:09.65873,0
2026-03-06 21:15:09.784682,0
2026-03-06 21:15:09.911782,0
2026-03-06 21:15:10.042992,0
2026-03-06 21:15:10.171268,0
2026-03-06 21:15:10.300289,0
2026-03-06 21:15:10.425589,0
2026-03-06 21:15:10.55206,0
2026-03-06 21:15:10.679824,0
2026-03-06 21:15:10.806632,0
2026-03-06 21:15:10.933776,0
2026-03-06 21:15:11.06487,0
2026-03-06 21:15:11.192151,0
2026-03-06 21:15:11.319428,0
2026-03-06 21:15:11.448316,0
2026-03-06 21:15:11.573205,0
2026-03-06 21:15:11.700101,0
2026-03-06 21:15:11.827245,0
2026-03-06 21:15:11.955249,0
2026-03-06 21:15:12.085612,0
2026-03-06 21:15:12.213583,0
2026-03-06 21:15:12.341143,0
2026-03-06 21:15:12.466982,0
2026-03-06 21:15:12.595538,0
2026-03-06 21:15:12.721225,0
2026-03-06 21:15:12.848238,0
2026-03-06 21:15:12.975271,0
2026-03-06 21:15:13.107266,0
2026-03-06 21:15:13.236923,0
2026-03-06 21:15:13.365783,0
2026-03-06 21:15:13.490351,0
2026-03-06 21:15:13.614961,0
2026-03-06 21:15:13.742267,0
2026-03-06 21:15:13.87025,0
2026-03-06 21:15:13.995692,0
2026-03-06 21:15:14.127772,0
2026-03-06 21:15:14.254249,0
2026-03-06 21:15:14.38094,0
2026-03-06 21:15:14.50838,0
2026-03-06 21:15:14.635896,0
2026-03-06 21:15:14.763663,0
2026-03-06 21:15:14.889676,0
2026-03-06 21:15:15.016924,0
2026-03-06 21:15:15.148431,0
2026-03-06 21:15:15.275655,0
2026-03-06 21:15:15.40239,0
2026-03-06 21:15:15.534351,0
2026-03-06 21:15:15.657778,0
2026-03-06 21:15:15.783668,0
2026-03-06 21:15:15.91034,0
2026-03-06 21:15:16.038915,0
2026-03-06 21:15:16.169206,0
2026-03-06 21:15:16.297929,0
2026-03-06 21:15:16.42547,0
2026-03-06 21:15:16.55065,0
2026-03-06 21:15:16.677125,0
2026-03-06 21:15:16.804105,0
2026-03-06 21:15:16.931869,0
2026-03-06 21:15:17.059283,0
2026-03-06 21:15:17.190738,0
2026-03-06 21:15:17.317853,0
2026-03-06 21:15:17.444155,0
2026-03-06 21:15:17.570876,0
2026-03-06 21:15:17.700501,0
2026-03-06 21:15:17.825238,0
2026-03-06 21:15:17.952662,0
2026-03-06 21:15:18.079833,0
2026-03-06 21:15:18.212745,0
2026-03-06 21:15:18.338825,0
2026-03-06 21:15:18.465377,0
2026-03-06 21:15:18.593616,0
2026-03-06 21:15:18.72004,0
2026-03-06 21:15:18.848022,0
2026-03-06 21:15:18.974448,0
2026-03-06 21:15:19.100968,0
2026-03-06 21:15:19.23268,0
2026-03-06 21:15:19.359152,0
2026-03-06 21:15:19.487261,0
2026-03-06 21:15:19.613106,0
2026-03-06 21:15:19.739328,0
2026-03-06 21:15:19.868235,0
2026-03-06 21:15:19.994301,0
2026-03-06 21:15:20.121443,0
2026-03-06 21:15:20.253553,0
2026-03-06 21:15:20.38,0
2026-03-06 21:15:20.507465,0
2026-03-06 21:15:20.634201,0
2026-03-06 21:15:20.761765,0
2026-03-06 21:15:20.888455,0
2026-03-06 21:15:21.016284,0
2026-03-06 21:15:21.142965,0
2026-03-06 21:15:21.274531,0
2026-03-06 21:15:21.401198,0
2026-03-06 21:15:21.528257,0
2026-03-06 21:15:21.656357,0
2026-03-06 21:15:21.781768,0
2026-03-06 21:15:21.911075,0
2026-03-06 21:15:22.036527,0
2026-03-06 21:15:22.164278,0
2026-03-06 21:15:22.296224,0
2026-03-06 21:15:22.424639,0
2026-03-06 21:15:22.550027,0
2026-03-06 21:15:22.67639,0
2026-03-06 21:15:22.803986,0
2026-03-06 21:15:22.93015,0
2026-03-06 21:15:23.057436,0
2026-03-06 21:15:23.184977,0
2026-03-06 21:15:23.314886,0
2026-03-06 21:15:23.442203,0
2026-03-06 21:15:23.569313,0
2026-03-06 21:15:23.696009,0
2026-03-06 21:15:23.823348,0
2026-03-06 21:15:23.94998,0
2026-03-06 21:15:24.077689,0
2026-03-06 21:15:24.205365,0
2026-03-06 21:15:24.34145,0
2026-03-06 21:15:24.463695,0
2026-03-06 21:15:24.594036,0
2026-03-06 21:15:24.716627,0
2026-03-06 21:15:24.845862,0
2026-03-06 21:15:24.972579,0
2026-03-06 21:15:25.101022,0
2026-03-06 21:15:25.225956,0
2026-03-06 21:15:25.358487,0
2026-03-06 21:15:25.484238,0
2026-03-06 21:15:25.612156,0
2026-03-06 21:15:25.738499,0
2026-03-06 21:15:25.865988,0
2026-03-06 21:15:25.992756,0
2026-03-06 21:15:26.119966,0
2026-03-06 21:15:26.246597,0
2026-03-06 21:15:26.378079,0
2026-03-06 21:15:26.504945,0
2026-03-06 21:15:26.632661,0
2026-03-06 21:15:26.760129,0
2026-03-06 21:15:26.88696,0
2026-03-06 21:15:27.013794,0
2026-03-06 21:15:27.140739,0
2026-03-06 21:15:27.269223,0
2026-03-06 21:15:27.399846,0
2026-03-06 21:15:27.526094,0
2026-03-06 21:15:27.656014,0
2026-03-06 21:15:27.780476,0
2026-03-06 21:15:27.908372,0
2026-03-06 21:15:28.03369,0
2026-03-06 21:15:28.162409,0
2026-03-06 21:15:28.289535,0
2026-03-06 21:15:28.421679,0
2026-03-06 21:15:28.549729,0
2026-03-06 21:15:28.679171,0
2026-03-06 21:15:28.80443,0
2026-03-06 21:15:28.929538,0
2026-03-06 21:15:29.055473,0
2026-03-06 21:15:29.182938,0
2026-03-06 21:15:29.312242,0
2026-03-06 21:15:29.441364,0
2026-03-06 21:15:29.568982,0
2026-03-06 21:15:29.698192,0
2026-03-06 21:15:29.823618,0
2026-03-06 21:15:29.949706,0
2026-03-06 21:15:30.076371,0
2026-03-06 21:15:30.205615,0
2026-03-06 21:15:30.33132,0
2026-03-06 21:15:30.462313,0
2026-03-06 21:15:30.589016,0
2026-03-06 21:15:30.716658,0
2026-03-06 21:15:30.844612,0
2026-03-06 21:15:30.973681,0
2026-03-06 21:15:31.09766,0
2026-03-06 21:15:31.227467,0
2026-03-06 21:15:31.352363,0
2026-03-06 21:15:31.483255,0
2026-03-06 21:15:31.609583,0
2026-03-06 21:15:31.743275,0
2026-03-06 21:15:31.864845,0
2026-03-06 21:15:31.99302,0
2026-03-06 21:15:32.118151,0
2026-03-06 21:15:32.245835,0
2026-03-06 21:15:32.374077,0
2026-03-06 21:15:32.50574,0
2026-03-06 21:15:32.632389,0
2026-03-06 21:15:32.758232,0
2026-03-06 21:15:32.885684,0
