time,PT_Cal.Fuel_Upstream.raw_adc
2026-03-06 21:35:43.025431,259190668
2026-03-06 21:35:43.133576,258651276
2026-03-06 21:35:43.133923,259318099
2026-03-06 21:35:43.134315,258483391
2026-03-06 21:35:43.135112,258651276
2026-03-06 21:35:43.242976,258724094
2026-03-06 21:35:43.243332,258627004
2026-03-06 21:35:43.243643,259230448
2026-03-06 21:35:43.243807,258724094
2026-03-06 21:35:43.244154,259314727
2026-03-06 21:35:43.351643,258560254
2026-03-06 21:35:43.35191,259310682
2026-03-06 21:35:43.352135,259370690
2026-03-06 21:35:43.352562,258560254
2026-03-06 21:35:43.352614,259321469
2026-03-06 21:35:43.461004,259175161
2026-03-06 21:35:43.461333,259102342
2026-03-06 21:35:43.461631,258646556
2026-03-06 21:35:43.461739,259175161
2026-03-06 21:35:43.462622,259444856
2026-03-06 21:35:43.569889,258651276
2026-03-06 21:35:43.570266,258763874
2026-03-06 21:35:43.570642,258651276
2026-03-06 21:35:43.5707,258412597
2026-03-06 21:35:43.67862,258060643
2026-03-06 21:35:43.678878,258068059
2026-03-06 21:35:43.679146,258581155
2026-03-06 21:35:43.679353,258060643
2026-03-06 21:35:43.679679,258666785
2026-03-06 21:35:43.787669,258654648
2026-03-06 21:35:43.787991,258630374
2026-03-06 21:35:43.788373,258724769
2026-03-06 21:35:43.788487,258654648
2026-03-06 21:35:43.897195,258663413
2026-03-06 21:35:43.897391,258663413
2026-03-06 21:35:43.897487,258344498
2026-03-06 21:35:43.897784,259297872
2026-03-06 21:35:44.005972,258008052
2026-03-06 21:35:44.005976,258008052
2026-03-06 21:35:44.006287,258753761
2026-03-06 21:35:44.006557,257968947
2026-03-06 21:35:44.006804,258755784
2026-03-06 21:35:44.11488,258136158
2026-03-06 21:35:44.115261,258612844
2026-03-06 21:35:44.115272,258136158
2026-03-06 21:35:44.115556,259110433
2026-03-06 21:35:44.224125,258690382
2026-03-06 21:35:44.224523,258757806
2026-03-06 21:35:44.224862,258730162
2026-03-06 21:35:44.224885,258690382
2026-03-06 21:35:44.225273,258585875
2026-03-06 21:35:44.333278,258591269
2026-03-06 21:35:44.333625,259266182
2026-03-06 21:35:44.333728,258697125
2026-03-06 21:35:44.333957,258591269
2026-03-06 21:35:44.334243,258681617
2026-03-06 21:35:44.441755,258697125
2026-03-06 21:35:44.441877,258697125
2026-03-06 21:35:44.441994,259370690
2026-03-06 21:35:44.442201,259136054
2026-03-06 21:35:44.442552,258663413
2026-03-06 21:35:44.443049,258602731
2026-03-06 21:35:44.551142,259146167
2026-03-06 21:35:44.551486,258910184
2026-03-06 21:35:44.551665,259146167
2026-03-06 21:35:44.551772,258574414
2026-03-06 21:35:44.552258,258546095
2026-03-06 21:35:44.659956,259266182
2026-03-06 21:35:44.660288,259238538
2026-03-06 21:35:44.660651,259105040
2026-03-06 21:35:44.660779,259266182
2026-03-06 21:35:44.661219,258584527
2026-03-06 21:35:44.768626,258607451
2026-03-06 21:35:44.769307,258442937
2026-03-06 21:35:44.769342,258607451
2026-03-06 21:35:44.77003,258751064
2026-03-06 21:35:44.770846,259318099
2026-03-06 21:35:44.771643,259381477
2026-03-06 21:35:44.877889,259168417
2026-03-06 21:35:44.878472,259159652
