time,PT.GN2_Regulated.status
2026-03-06 21:29:40.699335,0
2026-03-06 21:29:40.699348,0
2026-03-06 21:29:40.699363,0
2026-03-06 21:29:40.808381,0
2026-03-06 21:29:40.808424,0
2026-03-06 21:29:40.808441,0
2026-03-06 21:29:40.808463,0
2026-03-06 21:29:40.808475,0
2026-03-06 21:29:40.808497,0
2026-03-06 21:29:40.808516,0
2026-03-06 21:29:40.808534,0
2026-03-06 21:29:40.808555,0
2026-03-06 21:29:40.917129,0
2026-03-06 21:29:40.917173,0
2026-03-06 21:29:40.917191,0
2026-03-06 21:29:40.917214,0
2026-03-06 21:29:40.917226,0
2026-03-06 21:29:40.917248,0
2026-03-06 21:29:40.917268,0
2026-03-06 21:29:40.917283,0
2026-03-06 21:29:40.917301,0
2026-03-06 21:29:41.026036,0
2026-03-06 21:29:41.026084,0
2026-03-06 21:29:41.026114,0
2026-03-06 21:29:41.026144,0
2026-03-06 21:29:41.026192,0
2026-03-06 21:29:41.026212,0
2026-03-06 21:29:41.026243,0
2026-03-06 21:29:41.026261,0
2026-03-06 21:29:41.026295,0
2026-03-06 21:29:41.135021,0
2026-03-06 21:29:41.135088,0
2026-03-06 21:29:41.135145,0
2026-03-06 21:29:41.135205,0
2026-03-06 21:29:41.135243,0
2026-03-06 21:29:41.135275,0
2026-03-06 21:29:41.135295,0
2026-03-06 21:29:41.135327,0
2026-03-06 21:29:41.13536,0
2026-03-06 21:29:41.2444,0
2026-03-06 21:29:41.244517,0
2026-03-06 21:29:41.244599,0
2026-03-06 21:29:41.244681,0
2026-03-06 21:29:41.244755,0
2026-03-06 21:29:41.244785,0
2026-03-06 21:29:41.244829,0
2026-03-06 21:29:41.244863,0
2026-03-06 21:29:41.244893,0
2026-03-06 21:29:41.353349,0
2026-03-06 21:29:41.353416,0
2026-03-06 21:29:41.353473,0
2026-03-06 21:29:41.35353,0
2026-03-06 21:29:41.353585,0
2026-03-06 21:29:41.35364,0
2026-03-06 21:29:41.353685,0
2026-03-06 21:29:41.353706,0
2026-03-06 21:29:41.353724,0
2026-03-06 21:29:41.462536,0
2026-03-06 21:29:41.462601,0
2026-03-06 21:29:41.462657,0
2026-03-06 21:29:41.462712,0
2026-03-06 21:29:41.462767,0
2026-03-06 21:29:41.462822,0
2026-03-06 21:29:41.462875,0
2026-03-06 21:29:41.462928,0
2026-03-06 21:29:41.462983,0
2026-03-06 21:29:41.571314,0
2026-03-06 21:29:41.571386,0
