time,PT_Cal.Ox_Upstream.pressure_psi
2026-03-06 21:31:25.558732,0.0
2026-03-06 21:31:25.558914,0.0
2026-03-06 21:31:25.558991,0.22044554
2026-03-06 21:31:25.559194,0.0
2026-03-06 21:31:25.667196,0.0
2026-03-06 21:31:25.667378,0.0
2026-03-06 21:31:25.667574,0.0
2026-03-06 21:31:25.667787,0.0
2026-03-06 21:31:25.668102,0.21984075
2026-03-06 21:31:25.7769,0.0
2026-03-06 21:31:25.777063,0.22077052
2026-03-06 21:31:25.777106,0.0
2026-03-06 21:31:25.885666,0.0
2026-03-06 21:31:25.885724,0.0
2026-03-06 21:31:25.885768,0.0
2026-03-06 21:31:25.885811,0.0
2026-03-06 21:31:25.886042,0.22054735
2026-03-06 21:31:25.886111,0.0
2026-03-06 21:31:25.994478,0.0
2026-03-06 21:31:25.994664,0.0
2026-03-06 21:31:25.994817,0.0
2026-03-06 21:31:25.995006,0.21980435
2026-03-06 21:31:25.995012,0.0
2026-03-06 21:31:26.103906,0.0
2026-03-06 21:31:26.103997,0.0
2026-03-06 21:31:26.104055,0.0
2026-03-06 21:31:26.104111,0.0
2026-03-06 21:31:26.104166,0.0
2026-03-06 21:31:26.104502,0.21983469
2026-03-06 21:31:26.212509,0.0
2026-03-06 21:31:26.212603,0.0
2026-03-06 21:31:26.212741,0.0
2026-03-06 21:31:26.212784,0.219774
2026-03-06 21:31:26.213067,0.0
2026-03-06 21:31:26.213377,0.0
2026-03-06 21:31:26.21368,0.0
2026-03-06 21:31:26.321702,0.0
2026-03-06 21:31:26.321797,0.0
2026-03-06 21:31:26.32187,0.0
2026-03-06 21:31:26.321939,0.0
2026-03-06 21:31:26.321994,0.0
2026-03-06 21:31:26.322054,0.22026686
2026-03-06 21:31:26.322072,0.0
2026-03-06 21:31:26.322135,0.0
2026-03-06 21:31:26.322222,0.0
2026-03-06 21:31:26.430209,0.0
2026-03-06 21:31:26.430299,0.0
2026-03-06 21:31:26.430327,0.0
2026-03-06 21:31:26.430385,0.0
2026-03-06 21:31:26.430443,0.0
2026-03-06 21:31:26.430511,0.0
2026-03-06 21:31:26.430653,0.21985221
2026-03-06 21:31:26.539891,0.0
2026-03-06 21:31:26.54001,0.0
2026-03-06 21:31:26.540075,0.0
2026-03-06 21:31:26.540145,0.0
2026-03-06 21:31:26.540221,0.0
2026-03-06 21:31:26.54031,0.0
2026-03-06 21:31:26.540373,0.0
2026-03-06 21:31:26.540443,0.0
2026-03-06 21:31:26.540456,0.21984951
2026-03-06 21:31:26.648583,0.0
2026-03-06 21:31:26.648711,0.0
2026-03-06 21:31:26.648797,0.0
2026-03-06 21:31:26.648893,0.0
2026-03-06 21:31:26.649002,0.0
2026-03-06 21:31:26.649115,0.0
2026-03-06 21:31:26.649236,0.0
2026-03-06 21:31:26.65002,0.21969107
2026-03-06 21:31:26.757727,0.0
2026-03-06 21:31:26.757927,0.0
2026-03-06 21:31:26.758029,0.0
2026-03-06 21:31:26.75804,0.2199284
2026-03-06 21:31:26.758352,0.0
2026-03-06 21:31:26.758614,0.0
2026-03-06 21:31:26.758848,0.0
2026-03-06 21:31:26.759068,0.0
2026-03-06 21:31:26.866395,0.0
2026-03-06 21:31:26.86648,0.0
2026-03-06 21:31:26.866555,0.0
2026-03-06 21:31:26.866726,0.0
2026-03-06 21:31:26.866785,0.21998908
2026-03-06 21:31:26.975277,0.0
2026-03-06 21:31:26.975436,0.0
2026-03-06 21:31:26.975594,0.0
2026-03-06 21:31:26.975744,0.0
2026-03-06 21:31:26.97591,0.0
2026-03-06 21:31:26.976005,0.22063702
2026-03-06 21:31:26.976092,0.0
2026-03-06 21:31:26.976517,0.0
2026-03-06 21:31:26.976794,0.0
2026-03-06 21:31:27.084433,0.0
2026-03-06 21:31:27.084542,0.0
2026-03-06 21:31:27.084646,0.0
2026-03-06 21:31:27.084834,0.0
2026-03-06 21:31:27.084837,0.21987109
2026-03-06 21:31:27.084976,0.0
2026-03-06 21:31:27.085094,0.0
2026-03-06 21:31:27.194084,0.0
2026-03-06 21:31:27.194193,0.0
2026-03-06 21:31:27.194221,0.0
2026-03-06 21:31:27.194278,0.0
2026-03-06 21:31:27.194311,0.0
2026-03-06 21:31:27.194374,0.0
2026-03-06 21:31:27.194618,0.22000055
2026-03-06 21:31:27.302791,0.22052106
2026-03-06 21:31:27.302827,0.0
2026-03-06 21:31:27.302883,0.0
2026-03-06 21:31:27.302919,0.0
2026-03-06 21:31:27.30299,0.0
2026-03-06 21:31:27.303078,0.0
2026-03-06 21:31:27.303139,0.0
2026-03-06 21:31:27.303208,0.0
2026-03-06 21:31:27.411491,0.0
2026-03-06 21:31:27.41171,0.0
2026-03-06 21:31:27.411787,0.22047183
2026-03-06 21:31:27.411928,0.0
2026-03-06 21:31:27.412154,0.0
2026-03-06 21:31:27.412364,0.0
2026-03-06 21:31:27.520696,0.0
2026-03-06 21:31:27.520801,0.0
2026-03-06 21:31:27.520859,0.0
2026-03-06 21:31:27.520922,0.0
2026-03-06 21:31:27.520987,0.0
2026-03-06 21:31:27.52108,0.0
2026-03-06 21:31:27.521135,0.22047386
2026-03-06 21:31:27.521144,0.0
2026-03-06 21:31:27.521213,0.0
2026-03-06 21:31:27.521276,0.0
2026-03-06 21:31:27.62987,0.0
2026-03-06 21:31:27.629948,0.0
2026-03-06 21:31:27.629955,0.22053455
2026-03-06 21:31:27.63,0.0
2026-03-06 21:31:27.630156,0.0
2026-03-06 21:31:27.630436,0.0
2026-03-06 21:31:27.630554,0.0
2026-03-06 21:31:27.630631,0.0
2026-03-06 21:31:27.739243,0.0
2026-03-06 21:31:27.7393,0.0
2026-03-06 21:31:27.739368,0.0
2026-03-06 21:31:27.739523,0.22053252
2026-03-06 21:31:27.739759,0.0
2026-03-06 21:31:27.739829,0.0
2026-03-06 21:31:27.740269,0.0
2026-03-06 21:31:27.740353,0.0
2026-03-06 21:31:27.847703,0.0
2026-03-06 21:31:27.847792,0.0
2026-03-06 21:31:27.847819,0.0
2026-03-06 21:31:27.848063,0.0
2026-03-06 21:31:27.848141,0.0
2026-03-06 21:31:27.848174,0.21991155
2026-03-06 21:31:27.848228,0.0
2026-03-06 21:31:27.848308,0.0
2026-03-06 21:31:27.956451,0.0
2026-03-06 21:31:27.956686,0.0
2026-03-06 21:31:27.956748,0.0
2026-03-06 21:31:27.956951,0.0
2026-03-06 21:31:27.957068,0.0
2026-03-06 21:31:27.957336,0.0
2026-03-06 21:31:27.957617,0.0
2026-03-06 21:31:27.957775,0.21830213
2026-03-06 21:31:28.065901,0.0
2026-03-06 21:31:28.066007,0.0
2026-03-06 21:31:28.066065,0.21999516
2026-03-06 21:31:28.066076,0.0
2026-03-06 21:31:28.066142,0.0
2026-03-06 21:31:28.066234,0.0
2026-03-06 21:31:28.066306,0.0
2026-03-06 21:31:28.066381,0.0
2026-03-06 21:31:28.066451,0.0
2026-03-06 21:31:28.066528,0.0
2026-03-06 21:31:28.174182,0.0
2026-03-06 21:31:28.174361,0.0
2026-03-06 21:31:28.174437,0.0
2026-03-06 21:31:28.174513,0.0
2026-03-06 21:31:28.174587,0.0
2026-03-06 21:31:28.174629,0.21981445
2026-03-06 21:31:28.283502,0.0
2026-03-06 21:31:28.283586,0.0
2026-03-06 21:31:28.283614,0.0
2026-03-06 21:31:28.28368,0.0
2026-03-06 21:31:28.283787,0.0
2026-03-06 21:31:28.283822,0.22046576
2026-03-06 21:31:28.283843,0.0
2026-03-06 21:31:28.283925,0.0
2026-03-06 21:31:28.393012,0.0
2026-03-06 21:31:28.393108,0.0
2026-03-06 21:31:28.393197,0.0
2026-03-06 21:31:28.393362,0.0
2026-03-06 21:31:28.393492,0.22049476
2026-03-06 21:31:28.393532,0.0
2026-03-06 21:31:28.3937,0.0
2026-03-06 21:31:28.393993,0.0
2026-03-06 21:31:28.501759,0.0
2026-03-06 21:31:28.501784,0.22068152
2026-03-06 21:31:28.501828,0.0
2026-03-06 21:31:28.50189,0.0
2026-03-06 21:31:28.50196,0.0
2026-03-06 21:31:28.502034,0.0
2026-03-06 21:31:28.502102,0.0
2026-03-06 21:31:28.502175,0.0
2026-03-06 21:31:28.502257,0.0
2026-03-06 21:31:28.610198,0.0
2026-03-06 21:31:28.610256,0.0
2026-03-06 21:31:28.610327,0.0
2026-03-06 21:31:28.610399,0.0
2026-03-06 21:31:28.61047,0.0
2026-03-06 21:31:28.610687,0.220664
2026-03-06 21:31:28.719518,0.0
2026-03-06 21:31:28.719581,0.0
2026-03-06 21:31:28.719641,0.0
2026-03-06 21:31:28.719725,0.0
2026-03-06 21:31:28.719853,0.21971129
2026-03-06 21:31:28.828202,0.0
2026-03-06 21:31:28.828275,0.0
2026-03-06 21:31:28.828339,0.0
2026-03-06 21:31:28.828433,0.0
2026-03-06 21:31:28.828631,0.22059253
2026-03-06 21:31:28.937044,0.0
2026-03-06 21:31:28.937118,0.0
2026-03-06 21:31:28.937235,0.0
2026-03-06 21:31:28.937339,0.0
2026-03-06 21:31:28.937388,0.2204152
2026-03-06 21:31:28.937442,0.0
2026-03-06 21:31:29.047024,0.0
2026-03-06 21:31:29.047217,0.0
2026-03-06 21:31:29.047309,0.0
2026-03-06 21:31:29.047392,0.0
2026-03-06 21:31:29.047487,0.0
2026-03-06 21:31:29.047542,0.0
2026-03-06 21:31:29.047624,0.0
