time,ACT.GSE_LOX_Fill_Vent.status
2026-03-06 21:29:18.386087,0
2026-03-06 21:29:18.473621,0
2026-03-06 21:29:18.488382,0
2026-03-06 21:29:18.575262,0
2026-03-06 21:29:18.590253,0
2026-03-06 21:29:18.677612,0
2026-03-06 21:29:18.692348,0
2026-03-06 21:29:18.77906,0
2026-03-06 21:29:18.7943,0
2026-03-06 21:29:18.881419,0
2026-03-06 21:29:18.896171,0
2026-03-06 21:29:18.983234,0
2026-03-06 21:29:18.997871,0
2026-03-06 21:29:19.085203,0
2026-03-06 21:29:19.100106,0
2026-03-06 21:29:19.187506,0
2026-03-06 21:29:19.202262,0
2026-03-06 21:29:19.289381,0
2026-03-06 21:29:19.304209,0
2026-03-06 21:29:19.391548,0
2026-03-06 21:29:19.405994,0
2026-03-06 21:29:19.493554,0
2026-03-06 21:29:19.508204,0
2026-03-06 21:29:19.595619,0
2026-03-06 21:29:19.61007,0
2026-03-06 21:29:19.697401,0
2026-03-06 21:29:19.711127,0
2026-03-06 21:29:19.799104,0
2026-03-06 21:29:19.813392,0
2026-03-06 21:29:19.901173,0
2026-03-06 21:29:19.9155,0
2026-03-06 21:29:20.003131,0
2026-03-06 21:29:20.017109,0
2026-03-06 21:29:20.105408,0
2026-03-06 21:29:20.118865,0
2026-03-06 21:29:20.207593,0
2026-03-06 21:29:20.221113,0
2026-03-06 21:29:20.309572,0
2026-03-06 21:29:20.323072,0
2026-03-06 21:29:20.41138,0
2026-03-06 21:29:20.425905,0
2026-03-06 21:29:20.513638,0
2026-03-06 21:29:20.527148,0
2026-03-06 21:29:20.615277,0
2026-03-06 21:29:20.629411,0
2026-03-06 21:29:20.717409,0
2026-03-06 21:29:20.731487,0
2026-03-06 21:29:20.819571,0
2026-03-06 21:29:20.833269,0
2026-03-06 21:29:20.921552,0
2026-03-06 21:29:20.935025,0
2026-03-06 21:29:21.023516,0
2026-03-06 21:29:21.037359,0
2026-03-06 21:29:21.125327,0
2026-03-06 21:29:21.139454,0
2026-03-06 21:29:21.22749,0
2026-03-06 21:29:21.241162,0
2026-03-06 21:29:21.329532,0
2026-03-06 21:29:21.343005,0
2026-03-06 21:29:21.431482,0
2026-03-06 21:29:21.445136,0
2026-03-06 21:29:21.533164,0
2026-03-06 21:29:21.547209,0
2026-03-06 21:29:21.635458,0
2026-03-06 21:29:21.649224,0
2026-03-06 21:29:21.737383,0
2026-03-06 21:29:21.751615,0
2026-03-06 21:29:21.839391,0
2026-03-06 21:29:21.853273,0
2026-03-06 21:29:21.941338,0
2026-03-06 21:29:21.955203,0
2026-03-06 21:29:22.043644,0
2026-03-06 21:29:22.057507,0
2026-03-06 21:29:22.145299,0
2026-03-06 21:29:22.159475,0
2026-03-06 21:29:22.247284,0
