time,ACT.Fuel_Fill_Press.raw_adc_counts
2026-03-06 21:27:07.234982,0
2026-03-06 21:27:07.300782,1037038437
2026-03-06 21:27:07.336983,0
2026-03-06 21:27:07.402649,1036822116
2026-03-06 21:27:07.439315,0
2026-03-06 21:27:07.50474,1036930277
2026-03-06 21:27:07.541074,0
2026-03-06 21:27:07.606768,1036713955
2026-03-06 21:27:07.643127,0
2026-03-06 21:27:07.708845,1036930277
2026-03-06 21:27:07.7453,0
2026-03-06 21:27:07.811072,1037038437
2026-03-06 21:27:07.847369,0
2026-03-06 21:27:07.912953,1036930277
2026-03-06 21:27:07.949451,0
2026-03-06 21:27:08.015126,1036930277
2026-03-06 21:27:08.050945,0
2026-03-06 21:27:08.11657,1036930277
2026-03-06 21:27:08.153081,0
2026-03-06 21:27:08.219118,1037795564
2026-03-06 21:27:08.255397,0
2026-03-06 21:27:08.320727,1036930277
2026-03-06 21:27:08.357226,0
2026-03-06 21:27:08.422626,1037038437
2026-03-06 21:27:08.459553,0
2026-03-06 21:27:08.524936,1036930277
2026-03-06 21:27:08.560915,0
2026-03-06 21:27:08.6265,1036930277
2026-03-06 21:27:08.663401,0
2026-03-06 21:27:08.728589,1036930277
2026-03-06 21:27:08.765264,0
2026-03-06 21:27:08.830605,1036930277
2026-03-06 21:27:08.86696,0
2026-03-06 21:27:08.932643,1036822116
2026-03-06 21:27:08.968767,0
2026-03-06 21:27:09.034897,1036713955
2026-03-06 21:27:09.0713,0
2026-03-06 21:27:09.1368,1036713955
2026-03-06 21:27:09.17298,0
2026-03-06 21:27:09.238613,1037146598
2026-03-06 21:27:09.274315,0
2026-03-06 21:27:09.340863,1036930277
2026-03-06 21:27:09.376279,0
2026-03-06 21:27:09.44281,1036930277
2026-03-06 21:27:09.477963,0
2026-03-06 21:27:09.544634,1036822116
2026-03-06 21:27:09.580221,0
2026-03-06 21:27:09.646428,1036713955
2026-03-06 21:27:09.682181,0
2026-03-06 21:27:09.74884,1036822116
2026-03-06 21:27:09.78461,0
2026-03-06 21:27:09.850902,1036930277
2026-03-06 21:27:09.886046,0
2026-03-06 21:27:09.952655,1037038437
2026-03-06 21:27:09.988095,0
2026-03-06 21:27:10.054561,1036822116
2026-03-06 21:27:10.090036,0
2026-03-06 21:27:10.156459,1036930277
2026-03-06 21:27:10.192209,0
2026-03-06 21:27:10.258952,1037687403
2026-03-06 21:27:10.294287,0
2026-03-06 21:27:10.361046,1036930277
2026-03-06 21:27:10.395937,0
2026-03-06 21:27:10.462744,1036930277
2026-03-06 21:27:10.498093,0
2026-03-06 21:27:10.564798,1036822116
2026-03-06 21:27:10.599939,0
2026-03-06 21:27:10.666588,1036930277
2026-03-06 21:27:10.701926,0
2026-03-06 21:27:10.768494,1036930277
2026-03-06 21:27:10.803862,0
2026-03-06 21:27:10.870465,1036930277
2026-03-06 21:27:10.906215,0
2026-03-06 21:27:10.972681,1036930277
2026-03-06 21:27:11.008156,0
2026-03-06 21:27:11.075026,1036930277
2026-03-06 21:27:11.110089,0
2026-03-06 21:27:11.176971,1037146598
2026-03-06 21:27:11.212378,0
2026-03-06 21:27:11.279207,1037795564
2026-03-06 21:27:11.314269,0
2026-03-06 21:27:11.380712,1037146598
2026-03-06 21:27:11.416297,0
2026-03-06 21:27:11.482721,1036930277
2026-03-06 21:27:11.518015,0
2026-03-06 21:27:11.584845,1037146598
2026-03-06 21:27:11.620485,0
2026-03-06 21:27:11.686972,1036822116
2026-03-06 21:27:11.722463,0
2026-03-06 21:27:11.788555,1037146598
2026-03-06 21:27:11.824102,0
2026-03-06 21:27:11.891022,1037146598
2026-03-06 21:27:11.926174,0
2026-03-06 21:27:11.992661,1036930277
2026-03-06 21:27:12.028258,0
2026-03-06 21:27:12.094576,1036930277
2026-03-06 21:27:12.129996,0
2026-03-06 21:27:12.197278,1036930277
2026-03-06 21:27:12.232266,0
2026-03-06 21:27:12.299727,1037795564
2026-03-06 21:27:12.334163,0
2026-03-06 21:27:12.400569,1036930277
2026-03-06 21:27:12.436534,0
2026-03-06 21:27:12.503012,1036930277
2026-03-06 21:27:12.538539,0
2026-03-06 21:27:12.604699,1037146598
2026-03-06 21:27:12.640205,0
2026-03-06 21:27:12.706858,1036930277
2026-03-06 21:27:12.742034,0
2026-03-06 21:27:12.808673,1036930277
2026-03-06 21:27:12.844226,0
2026-03-06 21:27:12.910696,1037146598
2026-03-06 21:27:12.946292,0
2026-03-06 21:27:13.01274,1036930277
2026-03-06 21:27:13.047928,0
2026-03-06 21:27:13.114791,1036930277
2026-03-06 21:27:13.149932,0
2026-03-06 21:27:13.216496,1037146598
2026-03-06 21:27:13.252054,0
2026-03-06 21:27:13.318988,1037795564
2026-03-06 21:27:13.35415,0
2026-03-06 21:27:13.420978,1037038437
2026-03-06 21:27:13.455927,0
2026-03-06 21:27:13.522656,1036930277
2026-03-06 21:27:13.558111,0
2026-03-06 21:27:13.62479,1037038437
2026-03-06 21:27:13.660045,0
2026-03-06 21:27:13.726882,1036930277
2026-03-06 21:27:13.762275,0
2026-03-06 21:27:13.828687,1036930277
2026-03-06 21:27:13.863918,0
2026-03-06 21:27:13.930901,1036930277
2026-03-06 21:27:13.965811,0
2026-03-06 21:27:14.032649,1036930277
2026-03-06 21:27:14.068179,0
2026-03-06 21:27:14.134981,1036930277
2026-03-06 21:27:14.169741,0
2026-03-06 21:27:14.236945,1037146598
2026-03-06 21:27:14.271939,0
2026-03-06 21:27:14.338696,1036930277
2026-03-06 21:27:14.374318,0
2026-03-06 21:27:14.440485,1037579242
2026-03-06 21:27:14.47631,0
2026-03-06 21:27:14.542516,1036930277
2026-03-06 21:27:14.577779,0
2026-03-06 21:27:14.645055,1036930277
2026-03-06 21:27:14.680409,0
