time,PT_Cal.Fuel_Upstream.pressure_psi
2026-03-06 21:34:58.770377,7.366194
2026-03-06 21:34:58.770705,7.120457
2026-03-06 21:34:58.771022,7.48545
2026-03-06 21:34:58.771052,0.2590302
2026-03-06 21:34:58.879571,7.525327
2026-03-06 21:34:58.879851,7.909662
2026-03-06 21:34:58.880068,7.730031
2026-03-06 21:34:58.880339,0.2593127
2026-03-06 21:34:58.880453,7.729651
2026-03-06 21:34:58.988708,7.4562054
2026-03-06 21:34:58.989236,0.25919
2026-03-06 21:34:58.989262,7.5040593
2026-03-06 21:34:58.989855,7.2890935
2026-03-06 21:34:58.990493,7.4296203
2026-03-06 21:34:59.097376,7.48545
2026-03-06 21:34:59.097636,7.3646746
2026-03-06 21:34:59.097944,7.4751954
2026-03-06 21:34:59.098019,0.2592419
2026-03-06 21:34:59.098441,7.435317
2026-03-06 21:34:59.206497,7.779781
2026-03-06 21:34:59.206717,7.4018946
2026-03-06 21:34:59.206961,7.440634
2026-03-06 21:34:59.207179,0.25976443
2026-03-06 21:34:59.207465,7.73155
2026-03-06 21:34:59.207913,7.5803967
2026-03-06 21:34:59.315864,7.4653206
2026-03-06 21:34:59.316479,7.4379754
2026-03-06 21:34:59.31648,0.25920618
2026-03-06 21:34:59.317056,7.590271
2026-03-06 21:34:59.317783,7.5655847
2026-03-06 21:34:59.318672,7.873584
2026-03-06 21:34:59.319311,7.4759545
2026-03-06 21:34:59.424589,7.5150733
2026-03-06 21:34:59.424907,7.3908806
2026-03-06 21:34:59.425207,7.477854
2026-03-06 21:34:59.425311,0.2592945
2026-03-06 21:34:59.42553,7.8959904
2026-03-06 21:34:59.533352,7.5082374
2026-03-06 21:34:59.533379,0.25928235
2026-03-06 21:34:59.533674,7.3977165
2026-03-06 21:34:59.533942,7.5162125
2026-03-06 21:34:59.534316,7.497224
2026-03-06 21:34:59.642294,7.760413
2026-03-06 21:34:59.642849,7.7174983
2026-03-06 21:34:59.642888,0.25973007
2026-03-06 21:34:59.643443,7.7611723
2026-03-06 21:34:59.644089,7.788136
2026-03-06 21:34:59.644724,7.7843385
2026-03-06 21:34:59.752774,7.48545
2026-03-06 21:34:59.753458,0.2592419
2026-03-06 21:34:59.753513,7.5990067
2026-03-06 21:34:59.75417,7.4018946
2026-03-06 21:34:59.75493,7.808644
2026-03-06 21:34:59.755585,7.492286
2026-03-06 21:34:59.860606,7.4831715
2026-03-06 21:34:59.860977,7.4717765
2026-03-06 21:34:59.861359,7.396957
2026-03-06 21:34:59.861413,0.25923786
2026-03-06 21:34:59.861777,7.3745494
2026-03-06 21:34:59.969489,7.3787274
2026-03-06 21:34:59.969777,7.4345574
2026-03-06 21:34:59.969984,7.488868
2026-03-06 21:34:59.970087,0.25905246
2026-03-06 21:34:59.970249,7.5454564
2026-03-06 21:34:59.970681,7.3620157
2026-03-06 21:35:00.078611,7.4713974
2026-03-06 21:35:00.079115,7.3365693
2026-03-06 21:35:00.079335,0.25921696
2026-03-06 21:35:00.079399,7.601285
2026-03-06 21:35:00.079625,7.4417734
2026-03-06 21:35:00.187396,7.540139
2026-03-06 21:35:00.187454,0.259339
2026-03-06 21:35:00.187596,7.5454564
2026-03-06 21:35:00.187689,7.3620157
