time,ACT.GSE_High_Press_Vent.timestamp_ns
2026-03-06 21:17:19.877747,1772831839877387206
2026-03-06 21:17:19.921699,1772831839921380206
2026-03-06 21:17:19.921729,1772831839921380206
2026-03-06 21:17:19.979937,1772831839979687574
2026-03-06 21:17:19.979957,1772831839979687574
2026-03-06 21:17:20.023825,1772831840023519602
2026-03-06 21:17:20.023843,1772831840023519602
2026-03-06 21:17:20.0825,1772831840081569555
2026-03-06 21:17:20.082524,1772831840081569555
2026-03-06 21:17:20.125842,1772831840125536316
2026-03-06 21:17:20.12587,1772831840125536316
2026-03-06 21:17:20.183811,1772831840183495452
2026-03-06 21:17:20.183835,1772831840183495452
2026-03-06 21:17:20.228014,1772831840227718414
2026-03-06 21:17:20.228037,1772831840227718414
2026-03-06 21:17:20.285539,1772831840285307689
2026-03-06 21:17:20.285561,1772831840285307689
2026-03-06 21:17:20.329936,1772831840329552536
2026-03-06 21:17:20.329969,1772831840329552536
2026-03-06 21:17:20.387703,1772831840387441192
2026-03-06 21:17:20.38773,1772831840387441192
2026-03-06 21:17:20.431981,1772831840431647228
2026-03-06 21:17:20.432018,1772831840431647228
2026-03-06 21:17:20.489963,1772831840489763470
2026-03-06 21:17:20.489985,1772831840489763470
2026-03-06 21:17:20.534185,1772831840533795226
2026-03-06 21:17:20.534216,1772831840533795226
2026-03-06 21:17:20.592098,1772831840591779290
2026-03-06 21:17:20.592125,1772831840591779290
2026-03-06 21:17:20.63607,1772831840635749253
2026-03-06 21:17:20.636099,1772831840635749253
2026-03-06 21:17:20.693844,1772831840693549423
2026-03-06 21:17:20.69387,1772831840693549423
2026-03-06 21:17:20.738143,1772831840737700839
2026-03-06 21:17:20.738223,1772831840737700839
2026-03-06 21:17:20.796138,1772831840795772845
2026-03-06 21:17:20.796182,1772831840795772845
2026-03-06 21:17:20.83983,1772831840839561682
2026-03-06 21:17:20.839854,1772831840839561682
2026-03-06 21:17:20.897682,1772831840897349161
2026-03-06 21:17:20.89771,1772831840897349161
2026-03-06 21:17:20.941606,1772831840941427983
2026-03-06 21:17:20.941624,1772831840941427983
2026-03-06 21:17:20.999894,1772831840999359482
2026-03-06 21:17:20.999955,1772831840999359482
2026-03-06 21:17:21.043867,1772831841043666594
2026-03-06 21:17:21.043882,1772831841043666594
2026-03-06 21:17:21.101906,1772831841101738395
2026-03-06 21:17:21.101919,1772831841101738395
2026-03-06 21:17:21.145743,1772831841145560840
2026-03-06 21:17:21.145761,1772831841145560840
2026-03-06 21:17:21.204334,1772831841204120283
2026-03-06 21:17:21.204355,1772831841204120283
2026-03-06 21:17:21.247709,1772831841247518532
2026-03-06 21:17:21.247727,1772831841247518532
2026-03-06 21:17:21.305607,1772831841305429307
2026-03-06 21:17:21.30562,1772831841305429307
2026-03-06 21:17:21.349701,1772831841349434509
2026-03-06 21:17:21.349728,1772831841349434509
2026-03-06 21:17:21.407453,1772831841407322314
2026-03-06 21:17:21.407461,1772831841407322314
2026-03-06 21:17:21.451752,1772831841451546625
2026-03-06 21:17:21.45177,1772831841451546625
2026-03-06 21:17:21.509865,1772831841509562912
2026-03-06 21:17:21.50989,1772831841509562912
2026-03-06 21:17:21.553703,1772831841553343907
2026-03-06 21:17:21.553737,1772831841553343907
2026-03-06 21:17:21.61174,1772831841611532314
2026-03-06 21:17:21.61176,1772831841611532314
2026-03-06 21:17:21.656199,1772831841655836700
2026-03-06 21:17:21.656236,1772831841655836700
2026-03-06 21:17:21.71388,1772831841713555439
2026-03-06 21:17:21.713907,1772831841713555439
2026-03-06 21:17:21.757628,1772831841757395918
2026-03-06 21:17:21.757644,1772831841757395918
2026-03-06 21:17:21.815792,1772831841815564752
2026-03-06 21:17:21.815802,1772831841815564752
2026-03-06 21:17:21.859833,1772831841859592340
2026-03-06 21:17:21.859852,1772831841859592340
2026-03-06 21:17:21.91805,1772831841917780751
2026-03-06 21:17:21.918072,1772831841917780751
2026-03-06 21:17:21.962029,1772831841961702777
2026-03-06 21:17:21.96206,1772831841961702777
2026-03-06 21:17:22.020053,1772831842019670367
2026-03-06 21:17:22.020083,1772831842019670367
2026-03-06 21:17:22.06384,1772831842063419881
2026-03-06 21:17:22.063872,1772831842063419881
2026-03-06 21:17:22.121906,1772831842121737720
2026-03-06 21:17:22.121919,1772831842121737720
2026-03-06 21:17:22.165762,1772831842165402131
2026-03-06 21:17:22.165784,1772831842165402131
2026-03-06 21:17:22.223568,1772831842223368607
2026-03-06 21:17:22.223586,1772831842223368607
2026-03-06 21:17:22.267518,1772831842267356815
2026-03-06 21:17:22.267531,1772831842267356815
2026-03-06 21:17:22.325964,1772831842325390506
2026-03-06 21:17:22.32598,1772831842325390506
2026-03-06 21:17:22.370241,1772831842369819808
2026-03-06 21:17:22.370277,1772831842369819808
2026-03-06 21:17:22.427586,1772831842427347914
2026-03-06 21:17:22.427605,1772831842427347914
2026-03-06 21:17:22.471653,1772831842471379597
2026-03-06 21:17:22.471671,1772831842471379597
2026-03-06 21:17:22.529817,1772831842529567144
2026-03-06 21:17:22.529833,1772831842529567144
2026-03-06 21:17:22.573626,1772831842573454254
2026-03-06 21:17:22.573638,1772831842573454254
2026-03-06 21:17:22.631777,1772831842631639182
2026-03-06 21:17:22.63179,1772831842631639182
2026-03-06 21:17:22.676358,1772831842675897821
2026-03-06 21:17:22.676376,1772831842675897821
2026-03-06 21:17:22.734223,1772831842733857220
2026-03-06 21:17:22.734245,1772831842733857220
2026-03-06 21:17:22.777934,1772831842777628172
2026-03-06 21:17:22.777951,1772831842777628172
2026-03-06 21:17:22.835938,1772831842835662701
2026-03-06 21:17:22.835955,1772831842835662701
2026-03-06 21:17:22.88012,1772831842879797019
2026-03-06 21:17:22.880137,1772831842879797019
2026-03-06 21:17:22.937852,1772831842937513411
2026-03-06 21:17:22.937866,1772831842937513411
2026-03-06 21:17:22.981965,1772831842981756305
2026-03-06 21:17:22.981991,1772831842981756305
2026-03-06 21:17:23.039537,1772831843039343768
2026-03-06 21:17:23.039553,1772831843039343768
2026-03-06 21:17:23.084027,1772831843083725522
2026-03-06 21:17:23.084056,1772831843083725522
2026-03-06 21:17:23.141554,1772831843141387660
2026-03-06 21:17:23.14157,1772831843141387660
2026-03-06 21:17:23.185907,1772831843185593422
2026-03-06 21:17:23.18593,1772831843185593422
2026-03-06 21:17:23.24361,1772831843243466360
2026-03-06 21:17:23.243626,1772831843243466360
2026-03-06 21:17:23.287661,1772831843287433129
2026-03-06 21:17:23.287686,1772831843287433129
2026-03-06 21:17:23.345574,1772831843345344463
2026-03-06 21:17:23.345593,1772831843345344463
2026-03-06 21:17:23.390037,1772831843389742911
2026-03-06 21:17:23.390055,1772831843389742911
2026-03-06 21:17:23.448023,1772831843447756251
2026-03-06 21:17:23.448048,1772831843447756251
2026-03-06 21:17:23.491641,1772831843491383705
2026-03-06 21:17:23.491657,1772831843491383705
2026-03-06 21:17:23.549841,1772831843549711072
2026-03-06 21:17:23.549853,1772831843549711072
2026-03-06 21:17:23.593634,1772831843593427083
2026-03-06 21:17:23.593653,1772831843593427083
