time,ACT.GSE_Med_Press_Control.timestamp_ns
2026-03-06 21:14:26.520226,1772831666519967318
2026-03-06 21:14:26.575769,1772831666575492744
2026-03-06 21:14:26.575795,1772831666575492744
2026-03-06 21:14:26.622633,1772831666622399174
2026-03-06 21:14:26.622658,1772831666622399174
2026-03-06 21:14:26.677287,1772831666677095429
2026-03-06 21:14:26.677304,1772831666677095429
2026-03-06 21:14:26.724652,1772831666724275031
2026-03-06 21:14:26.724676,1772831666724275031
2026-03-06 21:14:26.779857,1772831666779594958
2026-03-06 21:14:26.779874,1772831666779594958
2026-03-06 21:14:26.826579,1772831666826341079
2026-03-06 21:14:26.826602,1772831666826341079
2026-03-06 21:14:26.881377,1772831666881205688
2026-03-06 21:14:26.881398,1772831666881205688
2026-03-06 21:14:26.928304,1772831666927986737
2026-03-06 21:14:26.928334,1772831666927986737
2026-03-06 21:14:26.98373,1772831666983413554
2026-03-06 21:14:26.983757,1772831666983413554
2026-03-06 21:14:27.030788,1772831667030495636
2026-03-06 21:14:27.030818,1772831667030495636
2026-03-06 21:14:27.0856,1772831667085343064
2026-03-06 21:14:27.085627,1772831667085343064
2026-03-06 21:14:27.132485,1772831667132145302
2026-03-06 21:14:27.132517,1772831667132145302
2026-03-06 21:14:27.187793,1772831667187501498
2026-03-06 21:14:27.187826,1772831667187501498
2026-03-06 21:14:27.234404,1772831667234019332
2026-03-06 21:14:27.234416,1772831667234019332
2026-03-06 21:14:27.289453,1772831667289209538
2026-03-06 21:14:27.289484,1772831667289209538
2026-03-06 21:14:27.336434,1772831667336252928
2026-03-06 21:14:27.336453,1772831667336252928
2026-03-06 21:14:27.391344,1772831667391137293
2026-03-06 21:14:27.391367,1772831667391137293
2026-03-06 21:14:27.438569,1772831667438395451
2026-03-06 21:14:27.43859,1772831667438395451
2026-03-06 21:14:27.4936,1772831667493364302
2026-03-06 21:14:27.493628,1772831667493364302
2026-03-06 21:14:27.540294,1772831667539971319
2026-03-06 21:14:27.540316,1772831667539971319
2026-03-06 21:14:27.59668,1772831667595644408
2026-03-06 21:14:27.596708,1772831667595644408
2026-03-06 21:14:27.6427,1772831667642452962
2026-03-06 21:14:27.642726,1772831667642452962
2026-03-06 21:14:27.69756,1772831667697275295
2026-03-06 21:14:27.697582,1772831667697275295
2026-03-06 21:14:27.74459,1772831667744106582
2026-03-06 21:14:27.744625,1772831667744106582
2026-03-06 21:14:27.799338,1772831667799241154
2026-03-06 21:14:27.799355,1772831667799241154
2026-03-06 21:14:27.846676,1772831667846422420
2026-03-06 21:14:27.846702,1772831667846422420
2026-03-06 21:14:27.901782,1772831667901419381
2026-03-06 21:14:27.901812,1772831667901419381
2026-03-06 21:14:27.948456,1772831667948110577
2026-03-06 21:14:27.948482,1772831667948110577
2026-03-06 21:14:28.004026,1772831668003675516
2026-03-06 21:14:28.004061,1772831668003675516
2026-03-06 21:14:28.050326,1772831668050115240
2026-03-06 21:14:28.050348,1772831668050115240
2026-03-06 21:14:28.106006,1772831668105708822
2026-03-06 21:14:28.106035,1772831668105708822
2026-03-06 21:14:28.152513,1772831668152332529
2026-03-06 21:14:28.152538,1772831668152332529
2026-03-06 21:14:28.20778,1772831668207452656
2026-03-06 21:14:28.207811,1772831668207452656
2026-03-06 21:14:28.254457,1772831668254243841
2026-03-06 21:14:28.254482,1772831668254243841
2026-03-06 21:14:28.30949,1772831668309310039
2026-03-06 21:14:28.309503,1772831668309310039
2026-03-06 21:14:28.356569,1772831668356219073
2026-03-06 21:14:28.356583,1772831668356219073
2026-03-06 21:14:28.411664,1772831668411372200
2026-03-06 21:14:28.411693,1772831668411372200
2026-03-06 21:14:28.458162,1772831668457976755
2026-03-06 21:14:28.45818,1772831668457976755
2026-03-06 21:14:28.513719,1772831668513501877
2026-03-06 21:14:28.513743,1772831668513501877
2026-03-06 21:14:28.56051,1772831668560316270
2026-03-06 21:14:28.560523,1772831668560316270
2026-03-06 21:14:28.615612,1772831668615332199
2026-03-06 21:14:28.61564,1772831668615332199
2026-03-06 21:14:28.662417,1772831668662180207
2026-03-06 21:14:28.662444,1772831668662180207
2026-03-06 21:14:28.717472,1772831668717183204
2026-03-06 21:14:28.717489,1772831668717183204
2026-03-06 21:14:28.764296,1772831668763968787
2026-03-06 21:14:28.764321,1772831668763968787
2026-03-06 21:14:28.819778,1772831668819615806
2026-03-06 21:14:28.819793,1772831668819615806
2026-03-06 21:14:28.866634,1772831668866373420
2026-03-06 21:14:28.866662,1772831668866373420
2026-03-06 21:14:28.921648,1772831668921430586
2026-03-06 21:14:28.921667,1772831668921430586
2026-03-06 21:14:28.968695,1772831668968348722
2026-03-06 21:14:28.968718,1772831668968348722
2026-03-06 21:14:29.023451,1772831669023205700
2026-03-06 21:14:29.023475,1772831669023205700
2026-03-06 21:14:29.070397,1772831669070134353
2026-03-06 21:14:29.070426,1772831669070134353
2026-03-06 21:14:29.125633,1772831669125405553
2026-03-06 21:14:29.125659,1772831669125405553
2026-03-06 21:14:29.172331,1772831669172121495
2026-03-06 21:14:29.172345,1772831669172121495
2026-03-06 21:14:29.227398,1772831669227211278
2026-03-06 21:14:29.227412,1772831669227211278
2026-03-06 21:14:29.274551,1772831669274388671
2026-03-06 21:14:29.274563,1772831669274388671
2026-03-06 21:14:29.329463,1772831669329268413
2026-03-06 21:14:29.32948,1772831669329268413
2026-03-06 21:14:29.376847,1772831669376461464
2026-03-06 21:14:29.376881,1772831669376461464
2026-03-06 21:14:29.431728,1772831669431507469
2026-03-06 21:14:29.431744,1772831669431507469
2026-03-06 21:14:29.478324,1772831669478066622
2026-03-06 21:14:29.478346,1772831669478066622
2026-03-06 21:14:29.533627,1772831669533339247
2026-03-06 21:14:29.533648,1772831669533339247
2026-03-06 21:14:29.5804,1772831669580257202
2026-03-06 21:14:29.580422,1772831669580257202
2026-03-06 21:14:29.635772,1772831669635428675
2026-03-06 21:14:29.635804,1772831669635428675
2026-03-06 21:14:29.682347,1772831669682244840
2026-03-06 21:14:29.682366,1772831669682244840
2026-03-06 21:14:29.73746,1772831669737240881
2026-03-06 21:14:29.737477,1772831669737240881
2026-03-06 21:14:29.784456,1772831669784233854
2026-03-06 21:14:29.784471,1772831669784233854
2026-03-06 21:14:29.83944,1772831669839238785
2026-03-06 21:14:29.839451,1772831669839238785
2026-03-06 21:14:29.886389,1772831669886305410
2026-03-06 21:14:29.8864,1772831669886305410
2026-03-06 21:14:29.941673,1772831669941457121
2026-03-06 21:14:29.94169,1772831669941457121
2026-03-06 21:14:29.988877,1772831669988364431
2026-03-06 21:14:29.988892,1772831669988364431
2026-03-06 21:14:30.043539,1772831670043290049
2026-03-06 21:14:30.043561,1772831670043290049
2026-03-06 21:14:30.090627,1772831670090372906
2026-03-06 21:14:30.090641,1772831670090372906
2026-03-06 21:14:30.145708,1772831670145545965
2026-03-06 21:14:30.145724,1772831670145545965
2026-03-06 21:14:30.192538,1772831670192112509
2026-03-06 21:14:30.192574,1772831670192112509
2026-03-06 21:14:30.247711,1772831670247523856
2026-03-06 21:14:30.247724,1772831670247523856
2026-03-06 21:14:30.294455,1772831670294270109
2026-03-06 21:14:30.294471,1772831670294270109
2026-03-06 21:14:30.349877,1772831670349544650
2026-03-06 21:14:30.349909,1772831670349544650
2026-03-06 21:14:30.396238,1772831670396140437
2026-03-06 21:14:30.396247,1772831670396140437
2026-03-06 21:14:30.451805,1772831670451460393
2026-03-06 21:14:30.451837,1772831670451460393
2026-03-06 21:14:30.498687,1772831670498444393
2026-03-06 21:14:30.498708,1772831670498444393
2026-03-06 21:14:30.553759,1772831670553491704
2026-03-06 21:14:30.553788,1772831670553491704
2026-03-06 21:14:30.600675,1772831670600393402
2026-03-06 21:14:30.60071,1772831670600393402
2026-03-06 21:14:30.655517,1772831670655241405
2026-03-06 21:14:30.655545,1772831670655241405
2026-03-06 21:14:30.702601,1772831670702357551
2026-03-06 21:14:30.702622,1772831670702357551
2026-03-06 21:14:30.759152,1772831670757291860
2026-03-06 21:14:30.759194,1772831670757291860
2026-03-06 21:14:30.804522,1772831670804328433
2026-03-06 21:14:30.804536,1772831670804328433
2026-03-06 21:14:30.859458,1772831670859206784
2026-03-06 21:14:30.859481,1772831670859206784
2026-03-06 21:14:30.906701,1772831670906401229
2026-03-06 21:14:30.906725,1772831670906401229
2026-03-06 21:14:30.961797,1772831670961514964
2026-03-06 21:14:30.961814,1772831670961514964
2026-03-06 21:14:31.008588,1772831671008385400
2026-03-06 21:14:31.008604,1772831671008385400
2026-03-06 21:14:31.063939,1772831671063599024
2026-03-06 21:14:31.063962,1772831671063599024
2026-03-06 21:14:31.110436,1772831671110232477
2026-03-06 21:14:31.110449,1772831671110232477
2026-03-06 21:14:31.16582,1772831671165640626
2026-03-06 21:14:31.165836,1772831671165640626
2026-03-06 21:14:31.212418,1772831671212216826
2026-03-06 21:14:31.212434,1772831671212216826
2026-03-06 21:14:31.267914,1772831671267747495
2026-03-06 21:14:31.267929,1772831671267747495
2026-03-06 21:14:31.31433,1772831671314168849
2026-03-06 21:14:31.314344,1772831671314168849
2026-03-06 21:14:31.369799,1772831671369626903
