time,ACT.Fuel_Fill_Vent.status
2026-03-06 21:16:38.973175,0
2026-03-06 21:16:39.019555,0
2026-03-06 21:16:39.075045,0
2026-03-06 21:16:39.121506,0
2026-03-06 21:16:39.177721,0
2026-03-06 21:16:39.223328,0
2026-03-06 21:16:39.279437,0
2026-03-06 21:16:39.325736,0
2026-03-06 21:16:39.38149,0
2026-03-06 21:16:39.4274,0
2026-03-06 21:16:39.483451,0
2026-03-06 21:16:39.529866,0
2026-03-06 21:16:39.585391,0
2026-03-06 21:16:39.631531,0
2026-03-06 21:16:39.688322,0
2026-03-06 21:16:39.733297,0
2026-03-06 21:16:39.789065,0
2026-03-06 21:16:39.835566,0
2026-03-06 21:16:39.891106,0
2026-03-06 21:16:39.937203,0
2026-03-06 21:16:39.993131,0
2026-03-06 21:16:40.039313,0
2026-03-06 21:16:40.095404,0
2026-03-06 21:16:40.141442,0
2026-03-06 21:16:40.197155,0
2026-03-06 21:16:40.243481,0
2026-03-06 21:16:40.299351,0
2026-03-06 21:16:40.34559,0
2026-03-06 21:16:40.401025,0
2026-03-06 21:16:40.447621,0
2026-03-06 21:16:40.503048,0
2026-03-06 21:16:40.550355,0
2026-03-06 21:16:40.605758,0
2026-03-06 21:16:40.651666,0
2026-03-06 21:16:40.707504,0
2026-03-06 21:16:40.753153,0
2026-03-06 21:16:40.809042,0
2026-03-06 21:16:40.855328,0
2026-03-06 21:16:40.911332,0
2026-03-06 21:16:40.957627,0
2026-03-06 21:16:41.013383,0
2026-03-06 21:16:41.059751,0
2026-03-06 21:16:41.11502,0
2026-03-06 21:16:41.161461,0
2026-03-06 21:16:41.217484,0
2026-03-06 21:16:41.263132,0
2026-03-06 21:16:41.319248,0
2026-03-06 21:16:41.365525,0
2026-03-06 21:16:41.421289,0
2026-03-06 21:16:41.467513,0
2026-03-06 21:16:41.524768,0
2026-03-06 21:16:41.569828,0
2026-03-06 21:16:41.626534,0
2026-03-06 21:16:41.671457,0
2026-03-06 21:16:41.728102,0
2026-03-06 21:16:41.773322,0
2026-03-06 21:16:41.830593,0
2026-03-06 21:16:41.875306,0
2026-03-06 21:16:41.932383,0
2026-03-06 21:16:41.97719,0
2026-03-06 21:16:42.034524,0
2026-03-06 21:16:42.079746,0
2026-03-06 21:16:42.136271,0
2026-03-06 21:16:42.181386,0
2026-03-06 21:16:42.238293,0
2026-03-06 21:16:42.283512,0
2026-03-06 21:16:42.340192,0
2026-03-06 21:16:42.385563,0
2026-03-06 21:16:42.442016,0
2026-03-06 21:16:42.487355,0
2026-03-06 21:16:42.544261,0
2026-03-06 21:16:42.589622,0
2026-03-06 21:16:42.646081,0
2026-03-06 21:16:42.691488,0
2026-03-06 21:16:42.748332,0
2026-03-06 21:16:42.793345,0
2026-03-06 21:16:42.850482,0
2026-03-06 21:16:42.895318,0
2026-03-06 21:16:42.952461,0
2026-03-06 21:16:42.997419,0
2026-03-06 21:16:43.054252,0
2026-03-06 21:16:43.099605,0
2026-03-06 21:16:43.156344,0
2026-03-06 21:16:43.201269,0
2026-03-06 21:16:43.258277,0
2026-03-06 21:16:43.303794,0
2026-03-06 21:16:43.360574,0
2026-03-06 21:16:43.405245,0
2026-03-06 21:16:43.461952,0
2026-03-06 21:16:43.50753,0
2026-03-06 21:16:43.564177,0
2026-03-06 21:16:43.609256,0
2026-03-06 21:16:43.666336,0
2026-03-06 21:16:43.711218,0
2026-03-06 21:16:43.768136,0
2026-03-06 21:16:43.813358,0
2026-03-06 21:16:43.870652,0
2026-03-06 21:16:43.915171,0
2026-03-06 21:16:43.972015,0
2026-03-06 21:16:44.01738,0
2026-03-06 21:16:44.074005,0
2026-03-06 21:16:44.11966,0
2026-03-06 21:16:44.176026,0
2026-03-06 21:16:44.221263,0
2026-03-06 21:16:44.278761,0
2026-03-06 21:16:44.323322,0
2026-03-06 21:16:44.380537,0
2026-03-06 21:16:44.425335,0
2026-03-06 21:16:44.482507,0
2026-03-06 21:16:44.52738,0
