time,PT_Cal.GN2_Regulated.cal_status
2026-03-06 21:23:58.000359,1
2026-03-06 21:23:58.000422,1
2026-03-06 21:23:58.000489,1
2026-03-06 21:23:58.000559,1
2026-03-06 21:23:58.00088,0
2026-03-06 21:23:58.109229,1
2026-03-06 21:23:58.109283,1
2026-03-06 21:23:58.109391,1
2026-03-06 21:23:58.109499,1
2026-03-06 21:23:58.109615,1
2026-03-06 21:23:58.109725,0
2026-03-06 21:23:58.21841,1
2026-03-06 21:23:58.218507,1
2026-03-06 21:23:58.218609,1
2026-03-06 21:23:58.218716,1
2026-03-06 21:23:58.218821,1
2026-03-06 21:23:58.218866,0
2026-03-06 21:23:58.218926,1
2026-03-06 21:23:58.327551,1
2026-03-06 21:23:58.32763,1
2026-03-06 21:23:58.32768,1
2026-03-06 21:23:58.327742,1
2026-03-06 21:23:58.328231,0
2026-03-06 21:23:58.436486,1
2026-03-06 21:23:58.436568,1
2026-03-06 21:23:58.436635,1
2026-03-06 21:23:58.43671,1
2026-03-06 21:23:58.4368,1
2026-03-06 21:23:58.436884,1
2026-03-06 21:23:58.436956,0
2026-03-06 21:23:58.43698,1
2026-03-06 21:23:58.545109,1
2026-03-06 21:23:58.54585,0
2026-03-06 21:23:58.654649,1
2026-03-06 21:23:58.654736,1
2026-03-06 21:23:58.654791,1
2026-03-06 21:23:58.65484,1
2026-03-06 21:23:58.654893,1
2026-03-06 21:23:58.654961,1
2026-03-06 21:23:58.655015,1
2026-03-06 21:23:58.655072,1
2026-03-06 21:23:58.655429,0
2026-03-06 21:23:58.763396,1
2026-03-06 21:23:58.763465,1
2026-03-06 21:23:58.763518,1
2026-03-06 21:23:58.763576,1
2026-03-06 21:23:58.763611,1
2026-03-06 21:23:58.763889,0
2026-03-06 21:23:58.872115,1
2026-03-06 21:23:58.872201,1
2026-03-06 21:23:58.872267,1
2026-03-06 21:23:58.872385,1
2026-03-06 21:23:58.872739,0
2026-03-06 21:23:58.981506,1
2026-03-06 21:23:58.981544,1
2026-03-06 21:23:58.981565,1
2026-03-06 21:23:58.981588,1
2026-03-06 21:23:58.981648,1
2026-03-06 21:23:58.981721,1
2026-03-06 21:23:58.981853,1
2026-03-06 21:23:58.982276,0
2026-03-06 21:23:59.090726,1
