time,ACT.LOX_Dump.raw_adc_counts
2026-03-06 21:28:59.009293,0
2026-03-06 21:28:59.093588,0
2026-03-06 21:28:59.11156,0
2026-03-06 21:28:59.195625,0
2026-03-06 21:28:59.213679,0
2026-03-06 21:28:59.297664,0
2026-03-06 21:28:59.315196,0
2026-03-06 21:28:59.39935,0
2026-03-06 21:28:59.417123,0
2026-03-06 21:28:59.501564,0
2026-03-06 21:28:59.519209,0
2026-03-06 21:28:59.603689,0
2026-03-06 21:28:59.621058,0
2026-03-06 21:28:59.705695,0
2026-03-06 21:28:59.723337,0
2026-03-06 21:28:59.807018,0
2026-03-06 21:28:59.825328,0
2026-03-06 21:28:59.909464,0
2026-03-06 21:28:59.927414,0
2026-03-06 21:29:00.011336,0
2026-03-06 21:29:00.029245,0
2026-03-06 21:29:00.113319,0
2026-03-06 21:29:00.131439,0
2026-03-06 21:29:00.215509,0
2026-03-06 21:29:00.233059,0
2026-03-06 21:29:00.317274,0
2026-03-06 21:29:00.334914,0
2026-03-06 21:29:00.419142,0
2026-03-06 21:29:00.437416,0
2026-03-06 21:29:00.521556,0
2026-03-06 21:29:00.53941,0
2026-03-06 21:29:00.623516,0
2026-03-06 21:29:00.641333,0
2026-03-06 21:29:00.725274,0
2026-03-06 21:29:00.743493,0
2026-03-06 21:29:00.827198,0
2026-03-06 21:29:00.845453,0
2026-03-06 21:29:00.929467,0
2026-03-06 21:29:00.946945,0
2026-03-06 21:29:01.031396,0
2026-03-06 21:29:01.049145,0
2026-03-06 21:29:01.133023,0
2026-03-06 21:29:01.151537,0
2026-03-06 21:29:01.235395,0
2026-03-06 21:29:01.253145,0
2026-03-06 21:29:01.33746,0
2026-03-06 21:29:01.355211,0
2026-03-06 21:29:01.439069,0
2026-03-06 21:29:01.456899,0
2026-03-06 21:29:01.541366,0
2026-03-06 21:29:01.559181,0
2026-03-06 21:29:01.643139,0
2026-03-06 21:29:01.661078,0
2026-03-06 21:29:01.745632,0
2026-03-06 21:29:01.762976,0
2026-03-06 21:29:01.847493,0
2026-03-06 21:29:01.865713,0
2026-03-06 21:29:01.949434,0
2026-03-06 21:29:01.967353,0
2026-03-06 21:29:02.051466,0
2026-03-06 21:29:02.069098,0
2026-03-06 21:29:02.153439,0
2026-03-06 21:29:02.171236,0
2026-03-06 21:29:02.255598,0
2026-03-06 21:29:02.273271,0
2026-03-06 21:29:02.357495,0
2026-03-06 21:29:02.375191,0
2026-03-06 21:29:02.459339,0
2026-03-06 21:29:02.476935,0
2026-03-06 21:29:02.561738,0
2026-03-06 21:29:02.579147,0
2026-03-06 21:29:02.663605,0
2026-03-06 21:29:02.681416,0
2026-03-06 21:29:02.765577,0
2026-03-06 21:29:02.783143,0
2026-03-06 21:29:02.867289,0
2026-03-06 21:29:02.885512,0
2026-03-06 21:29:02.969576,0
2026-03-06 21:29:02.987012,0
2026-03-06 21:29:03.071499,0
2026-03-06 21:29:03.08957,0
2026-03-06 21:29:03.173408,0
2026-03-06 21:29:03.19151,0
2026-03-06 21:29:03.275369,0
2026-03-06 21:29:03.293413,0
2026-03-06 21:29:03.377564,0
2026-03-06 21:29:03.395148,0
2026-03-06 21:29:03.479178,0
2026-03-06 21:29:03.497389,0
2026-03-06 21:29:03.581665,0
2026-03-06 21:29:03.599126,0
2026-03-06 21:29:03.683553,0
2026-03-06 21:29:03.701312,0
2026-03-06 21:29:03.785621,0
2026-03-06 21:29:03.802319,0
2026-03-06 21:29:03.887631,0
2026-03-06 21:29:03.904257,0
2026-03-06 21:29:03.989625,0
2026-03-06 21:29:04.006022,0
2026-03-06 21:29:04.09148,0
2026-03-06 21:29:04.108274,0
2026-03-06 21:29:04.193655,0
2026-03-06 21:29:04.210206,0
2026-03-06 21:29:04.29536,0
2026-03-06 21:29:04.312611,0
2026-03-06 21:29:04.397732,0
2026-03-06 21:29:04.414076,0
2026-03-06 21:29:04.49959,0
2026-03-06 21:29:04.516223,0
2026-03-06 21:29:04.601084,0
2026-03-06 21:29:04.617998,0
2026-03-06 21:29:04.703672,0
2026-03-06 21:29:04.720137,0
2026-03-06 21:29:04.805162,0
2026-03-06 21:29:04.822478,0
2026-03-06 21:29:04.907398,0
2026-03-06 21:29:04.924284,0
2026-03-06 21:29:05.009183,0
2026-03-06 21:29:05.025942,0
2026-03-06 21:29:05.111481,0
2026-03-06 21:29:05.128573,0
2026-03-06 21:29:05.213217,0
2026-03-06 21:29:05.229896,0
2026-03-06 21:29:05.315203,0
2026-03-06 21:29:05.332217,0
2026-03-06 21:29:05.417144,0
2026-03-06 21:29:05.43415,0
2026-03-06 21:29:05.519428,0
2026-03-06 21:29:05.535917,0
2026-03-06 21:29:05.621373,0
2026-03-06 21:29:05.637399,0
2026-03-06 21:29:05.723419,0
2026-03-06 21:29:05.739386,0
2026-03-06 21:29:05.825218,0
2026-03-06 21:29:05.841562,0
2026-03-06 21:29:05.927616,0
2026-03-06 21:29:05.943304,0
2026-03-06 21:29:06.029243,0
2026-03-06 21:29:06.045269,0
2026-03-06 21:29:06.131301,0
2026-03-06 21:29:06.147041,0
2026-03-06 21:29:06.233477,0
2026-03-06 21:29:06.24921,0
2026-03-06 21:29:06.335509,0
2026-03-06 21:29:06.35123,0
2026-03-06 21:29:06.43717,0
2026-03-06 21:29:06.453208,0
2026-03-06 21:29:06.539685,0
2026-03-06 21:29:06.555142,0
2026-03-06 21:29:06.641477,0
2026-03-06 21:29:06.65717,0
2026-03-06 21:29:06.743646,0
2026-03-06 21:29:06.759266,0
2026-03-06 21:29:06.845486,0
2026-03-06 21:29:06.861526,0
2026-03-06 21:29:06.947461,0
2026-03-06 21:29:06.962939,0
2026-03-06 21:29:07.04939,0
2026-03-06 21:29:07.065069,0
2026-03-06 21:29:07.151469,0
2026-03-06 21:29:07.166951,0
2026-03-06 21:29:07.25319,0
2026-03-06 21:29:07.269068,0
2026-03-06 21:29:07.355781,0
2026-03-06 21:29:07.371282,0
2026-03-06 21:29:07.457491,0
2026-03-06 21:29:07.473565,0
2026-03-06 21:29:07.560351,0
2026-03-06 21:29:07.575073,0
2026-03-06 21:29:07.66177,0
2026-03-06 21:29:07.677218,0
2026-03-06 21:29:07.763114,0
2026-03-06 21:29:07.779379,0
2026-03-06 21:29:07.865719,0
2026-03-06 21:29:07.881488,0
2026-03-06 21:29:07.967205,0
2026-03-06 21:29:07.983547,0
2026-03-06 21:29:08.069644,0
2026-03-06 21:29:08.085587,0
2026-03-06 21:29:08.171475,0
2026-03-06 21:29:08.186888,0
2026-03-06 21:29:08.273214,0
2026-03-06 21:29:08.289552,0
2026-03-06 21:29:08.375681,0
2026-03-06 21:29:08.391397,0
2026-03-06 21:29:08.477881,0
2026-03-06 21:29:08.493046,0
2026-03-06 21:29:08.579762,0
2026-03-06 21:29:08.59526,0
2026-03-06 21:29:08.681279,0
2026-03-06 21:29:08.697273,0
2026-03-06 21:29:08.783333,0
2026-03-06 21:29:08.798977,0
2026-03-06 21:29:08.885387,0
2026-03-06 21:29:08.901467,0
2026-03-06 21:29:08.987443,0
2026-03-06 21:29:09.003174,0
2026-03-06 21:29:09.090026,0
2026-03-06 21:29:09.105592,0
2026-03-06 21:29:09.191454,0
2026-03-06 21:29:09.207101,0
2026-03-06 21:29:09.293683,0
2026-03-06 21:29:09.309297,0
2026-03-06 21:29:09.396031,0
2026-03-06 21:29:09.411332,0
2026-03-06 21:29:09.497417,0
2026-03-06 21:29:09.513492,0
2026-03-06 21:29:09.599522,0
2026-03-06 21:29:09.615363,0
2026-03-06 21:29:09.701191,0
2026-03-06 21:29:09.717171,0
2026-03-06 21:29:09.803329,0
2026-03-06 21:29:09.819746,0
2026-03-06 21:29:09.905311,0
2026-03-06 21:29:09.921087,0
2026-03-06 21:29:10.007698,0
2026-03-06 21:29:10.023612,0
2026-03-06 21:29:10.109396,0
2026-03-06 21:29:10.125421,0
2026-03-06 21:29:10.211191,0
2026-03-06 21:29:10.227085,0
2026-03-06 21:29:10.31338,0
2026-03-06 21:29:10.329316,0
2026-03-06 21:29:10.415679,0
2026-03-06 21:29:10.431059,0
2026-03-06 21:29:10.517188,0
2026-03-06 21:29:10.533137,0
2026-03-06 21:29:10.619631,0
2026-03-06 21:29:10.635042,0
2026-03-06 21:29:10.721532,0
2026-03-06 21:29:10.737434,0
2026-03-06 21:29:10.823466,0
2026-03-06 21:29:10.839509,0
2026-03-06 21:29:10.92558,0
2026-03-06 21:29:10.941248,0
2026-03-06 21:29:11.02761,0
2026-03-06 21:29:11.04344,0
2026-03-06 21:29:11.129556,0
2026-03-06 21:29:11.14559,0
2026-03-06 21:29:11.231733,0
2026-03-06 21:29:11.247318,0
2026-03-06 21:29:11.333468,0
2026-03-06 21:29:11.349474,0
2026-03-06 21:29:11.435192,0
2026-03-06 21:29:11.451415,0
2026-03-06 21:29:11.537436,0
2026-03-06 21:29:11.553476,0
2026-03-06 21:29:11.639544,0
2026-03-06 21:29:11.655531,0
2026-03-06 21:29:11.741468,0
2026-03-06 21:29:11.75755,0
2026-03-06 21:29:11.84338,0
2026-03-06 21:29:11.858491,0
2026-03-06 21:29:11.945483,0
2026-03-06 21:29:11.960432,0
2026-03-06 21:29:12.04743,0
2026-03-06 21:29:12.06296,0
2026-03-06 21:29:12.149452,0
2026-03-06 21:29:12.16426,0
2026-03-06 21:29:12.251558,0
2026-03-06 21:29:12.266421,0
2026-03-06 21:29:12.353607,0
2026-03-06 21:29:12.368118,0
2026-03-06 21:29:12.455679,0
2026-03-06 21:29:12.470268,0
2026-03-06 21:29:12.557491,0
2026-03-06 21:29:12.572264,0
2026-03-06 21:29:12.659679,0
2026-03-06 21:29:12.674136,0
2026-03-06 21:29:12.761393,0
2026-03-06 21:29:12.7761,0
2026-03-06 21:29:12.863668,0
2026-03-06 21:29:12.878576,0
2026-03-06 21:29:12.965545,0
2026-03-06 21:29:12.980351,0
2026-03-06 21:29:13.067365,0
2026-03-06 21:29:13.08221,0
2026-03-06 21:29:13.169738,0
2026-03-06 21:29:13.184258,0
2026-03-06 21:29:13.271284,0
2026-03-06 21:29:13.286308,0
2026-03-06 21:29:13.373593,0
2026-03-06 21:29:13.388741,0
2026-03-06 21:29:13.475485,0
2026-03-06 21:29:13.490012,0
2026-03-06 21:29:13.577336,0
2026-03-06 21:29:13.592287,0
2026-03-06 21:29:13.679518,0
2026-03-06 21:29:13.69409,0
2026-03-06 21:29:13.781554,0
2026-03-06 21:29:13.796381,0
2026-03-06 21:29:13.883581,0
2026-03-06 21:29:13.898362,0
2026-03-06 21:29:13.985433,0
2026-03-06 21:29:14.000272,0
2026-03-06 21:29:14.087413,0
2026-03-06 21:29:14.102243,0
2026-03-06 21:29:14.189533,0
2026-03-06 21:29:14.204058,0
2026-03-06 21:29:14.291588,0
2026-03-06 21:29:14.305928,0
2026-03-06 21:29:14.393685,0
2026-03-06 21:29:14.408608,0
2026-03-06 21:29:14.495457,0
2026-03-06 21:29:14.509987,0
2026-03-06 21:29:14.597414,0
2026-03-06 21:29:14.612292,0
2026-03-06 21:29:14.699139,0
2026-03-06 21:29:14.714581,0
2026-03-06 21:29:14.801481,0
2026-03-06 21:29:14.816112,0
2026-03-06 21:29:14.903334,0
2026-03-06 21:29:14.918408,0
2026-03-06 21:29:15.005387,0
2026-03-06 21:29:15.020361,0
2026-03-06 21:29:15.107324,0
2026-03-06 21:29:15.122346,0
2026-03-06 21:29:15.209427,0
2026-03-06 21:29:15.224106,0
2026-03-06 21:29:15.311206,0
2026-03-06 21:29:15.326066,0
2026-03-06 21:29:15.413539,0
2026-03-06 21:29:15.428113,0
2026-03-06 21:29:15.515498,0
2026-03-06 21:29:15.530437,0
2026-03-06 21:29:15.617244,0
2026-03-06 21:29:15.632053,0
2026-03-06 21:29:15.71951,0
2026-03-06 21:29:15.73444,0
2026-03-06 21:29:15.821227,0
2026-03-06 21:29:15.836407,0
2026-03-06 21:29:15.923736,0
2026-03-06 21:29:15.93817,0
2026-03-06 21:29:16.025328,0
2026-03-06 21:29:16.040034,0
2026-03-06 21:29:16.127777,0
2026-03-06 21:29:16.142501,0
2026-03-06 21:29:16.229671,0
2026-03-06 21:29:16.244282,0
2026-03-06 21:29:16.331195,0
2026-03-06 21:29:16.346296,0
2026-03-06 21:29:16.433371,0
2026-03-06 21:29:16.448335,0
2026-03-06 21:29:16.535471,0
2026-03-06 21:29:16.550358,0
2026-03-06 21:29:16.637477,0
2026-03-06 21:29:16.652448,0
2026-03-06 21:29:16.73949,0
2026-03-06 21:29:16.754122,0
2026-03-06 21:29:16.841652,0
2026-03-06 21:29:16.85646,0
2026-03-06 21:29:16.943367,0
2026-03-06 21:29:16.958414,0
2026-03-06 21:29:17.045299,0
2026-03-06 21:29:17.060176,0
2026-03-06 21:29:17.147703,0
2026-03-06 21:29:17.162009,0
