time,ACT.GSE_LOX_Fill_Vent.timestamp_ns
2026-03-06 21:15:47.156949,1772831747156798921
2026-03-06 21:15:47.202839,1772831747202691531
2026-03-06 21:15:47.202864,1772831747202691531
2026-03-06 21:15:47.258835,1772831747258550137
2026-03-06 21:15:47.258869,1772831747258550137
2026-03-06 21:15:47.305234,1772831747305115533
2026-03-06 21:15:47.305291,1772831747305115533
2026-03-06 21:15:47.360421,1772831747360277379
2026-03-06 21:15:47.360449,1772831747360277379
2026-03-06 21:15:47.406979,1772831747406799289
2026-03-06 21:15:47.407004,1772831747406799289
2026-03-06 21:15:47.462425,1772831747462305142
2026-03-06 21:15:47.462447,1772831747462305142
2026-03-06 21:15:47.51003,1772831747509021817
2026-03-06 21:15:47.510057,1772831747509021817
2026-03-06 21:15:47.564652,1772831747564490259
2026-03-06 21:15:47.564678,1772831747564490259
2026-03-06 21:15:47.610986,1772831747610845481
2026-03-06 21:15:47.611005,1772831747610845481
2026-03-06 21:15:47.666551,1772831747666368335
2026-03-06 21:15:47.666579,1772831747666368335
2026-03-06 21:15:47.712896,1772831747712609458
2026-03-06 21:15:47.712921,1772831747712609458
2026-03-06 21:15:47.768537,1772831747768381120
2026-03-06 21:15:47.768563,1772831747768381120
2026-03-06 21:15:47.814878,1772831747814723049
2026-03-06 21:15:47.814917,1772831747814723049
2026-03-06 21:15:47.870927,1772831747870718099
2026-03-06 21:15:47.870952,1772831747870718099
2026-03-06 21:15:47.91735,1772831747917175760
2026-03-06 21:15:47.917375,1772831747917175760
2026-03-06 21:15:47.973178,1772831747972954617
2026-03-06 21:15:47.973205,1772831747972954617
2026-03-06 21:15:48.019373,1772831748019225347
2026-03-06 21:15:48.019393,1772831748019225347
2026-03-06 21:15:48.074507,1772831748074397993
2026-03-06 21:15:48.074528,1772831748074397993
2026-03-06 21:15:48.121394,1772831748121119916
2026-03-06 21:15:48.121418,1772831748121119916
2026-03-06 21:15:48.176921,1772831748176726121
2026-03-06 21:15:48.17695,1772831748176726121
2026-03-06 21:15:48.222995,1772831748222782697
